,etcd-io/etcd,hashicorp/consul,apache/zookeeper
2018-02-04,0.0,0,0
2018-02-05,13.0,9,0
2018-02-06,5.1,11,0
2018-02-07,-2.0649999999999995,16,1
2018-02-08,7.681500000000001,8,0
2018-02-09,1.7323874999999997,11,0
2018-02-10,-2.7168257499999995,1,0
2018-02-11,-2.175458462499999,5,0
2018-02-12,8.62096217875,2,0
2018-02-13,1.9787479932968743,3,0
2018-02-14,2.341318004582812,1,1
2018-02-15,-1.5379823151265621,3,0
2018-02-16,-2.311583499121875,0,0
2018-02-17,-0.3552292066718752,0,0
2018-02-18,0.8315176788374998,4,0
2018-02-19,3.6935121742671875,9,0
2018-02-20,0.7588635148437497,11,1
2018-02-21,4.024437699578125,12,0
2018-02-22,-0.7372205774906253,6,0
2018-02-23,1.1947122245718753,3,1
2018-02-24,-1.828774575215625,1,0
2018-02-25,1.0656686732343752,0,0
2018-02-26,15.752887696985937,0,0
2018-02-27,30.20696459345625,2,0
2018-02-28,-8.069013333960937,1,0
2018-03-01,6.384407324707816,1,0
2018-03-02,0.5206712658218757,8,1
2018-03-03,-6.134952951762499,1,0
2018-03-04,-3.3586809496984364,0,0
2018-03-05,9.66114811271875,0,1
2018-03-06,-1.4036004289812514,5,0
2018-03-07,9.102320590229686,6,0
2018-03-08,4.9649220810406245,2,0
2018-03-09,-2.810922574117188,5,0
2018-03-10,-3.649391106151562,0,0
2018-03-11,3.0014688441375004,0,0
2018-03-12,-2.827261485,0,0
2018-03-13,1.4585888413124997,5,0
2018-03-14,4.98429737789375,3,0
2018-03-15,9.845083930365625,6,0
2018-03-16,-1.370201327698438,3,0
2018-03-17,0.584560491642188,0,0
2018-03-18,-2.8993348584484373,0,0
2018-03-19,11.462619578671875,10,0
2018-03-20,14.027231825085938,0,0
2018-03-21,-2.827513279046875,1,0
2018-03-22,10.121163734192189,6,0
2018-03-23,-6.1480462555828135,0,0
2018-03-24,2.3621289159109384,0,0
2018-03-25,-3.98348898249375,0,0
