,saltstack/salt,ansible/ansible,cfengine/core
2016-03-05,12,12,0
2016-03-06,14,17,0
2016-03-07,29,16,2
2016-03-08,34,18,19
2016-03-09,39,19,2
2016-03-10,79,45,13
2016-03-11,55,12,4
2016-03-12,11,9,0
2016-03-13,10,13,0
2016-03-14,55,8,10
2016-03-15,51,23,21
2016-03-16,50,28,6
2016-03-17,46,28,0
2016-03-18,81,32,7
2016-03-19,8,12,0
2016-03-20,7,8,0
2016-03-21,61,22,0
2016-03-22,70,21,0
2016-03-23,95,30,0
2016-03-24,49,20,0
2016-03-25,42,23,1
2016-03-26,0,9,0
2016-03-27,10,8,0
2016-03-28,49,7,0
2016-03-29,54,3,7
2016-03-30,126,15,3
2016-03-31,41,20,10
2016-04-01,44,14,6
2016-04-02,20,8,0
2016-04-03,2,5,0
2016-04-04,77,12,0
2016-04-05,43,8,5
2016-04-06,29,13,4
2016-04-07,30,11,1
2016-04-08,22,13,4
2016-04-09,13,0,0
2016-04-10,0,2,0
2016-04-11,25,11,10
2016-04-12,10,25,9
2016-04-13,36,16,2
2016-04-14,24,13,6
2016-04-15,29,10,7
2016-04-16,3,8,0
2016-04-17,0,5,0
2016-04-18,27,12,4
2016-04-19,22,23,8
2016-04-20,15,12,9
2016-04-21,20,11,3
2016-04-22,32,13,0
2016-04-23,4,11,0
2016-04-24,0,11,0
2016-04-25,49,36,1
2016-04-26,42,13,6
2016-04-27,24,26,4
2016-04-28,21,9,6
2016-04-29,24,12,3
2016-04-30,0,6,0
2016-05-01,0,2,0
2016-05-02,13,4,3
2016-05-03,24,17,0
2016-05-04,16,5,2
2016-05-05,32,12,0
2016-05-06,24,10,0
2016-05-07,1,2,0
2016-05-08,0,0,0
2016-05-09,20,9,4
2016-05-10,24,14,2
2016-05-11,12,11,7
2016-05-12,27,33,3
2016-05-13,24,22,0
2016-05-14,0,8,0
2016-05-15,3,1,0
2016-05-16,32,19,1
2016-05-17,26,11,0
2016-05-18,11,25,2
2016-05-19,41,13,0
2016-05-20,27,8,0
2016-05-21,0,3,0
2016-05-22,0,1,0
2016-05-23,75,11,1
2016-05-24,40,14,2
2016-05-25,53,12,17
2016-05-26,50,10,2
2016-05-27,49,8,0
2016-05-28,8,2,0
2016-05-29,15,0,0
2016-05-30,19,0,1
2016-05-31,53,15,0
2016-06-01,63,32,1
2016-06-02,76,27,2
2016-06-03,60,13,1
2016-06-04,5,13,0
2016-06-05,12,1,0
2016-06-06,50,21,2
2016-06-07,32,14,0
2016-06-08,46,8,8
2016-06-09,47,9,0
2016-06-10,29,9,11
2016-06-11,8,0,1
2016-06-12,6,0,0
2016-06-13,54,11,4
2016-06-14,62,20,1
2016-06-15,43,18,0
2016-06-16,28,7,2
2016-06-17,33,15,0
2016-06-18,4,4,0
2016-06-19,0,1,0
2016-06-20,34,11,0
2016-06-21,47,4,0
2016-06-22,43,10,0
2016-06-23,34,14,6
2016-06-24,41,9,6
2016-06-25,11,1,0
2016-06-26,0,0,0
2016-06-27,29,9,1
2016-06-28,46,15,4
2016-06-29,31,8,5
2016-06-30,39,8,0
2016-07-01,14,10,1
2016-07-02,4,5,0
2016-07-03,0,3,0
2016-07-04,3,4,6
2016-07-05,37,21,3
2016-07-06,131,21,4
2016-07-07,49,19,1
2016-07-08,39,10,9
2016-07-09,6,10,0
2016-07-10,2,3,0
2016-07-11,40,9,2
2016-07-12,37,7,5
2016-07-13,49,2,4
2016-07-14,46,10,2
2016-07-15,42,12,3
2016-07-16,25,0,0
2016-07-17,12,0,0
2016-07-18,64,3,1
2016-07-19,44,1,0
2016-07-20,103,5,2
2016-07-21,50,7,0
2016-07-22,56,3,5
2016-07-23,5,8,0
2016-07-24,20,4,0
2016-07-25,49,8,0
2016-07-26,71,6,5
2016-07-27,75,1,4
2016-07-28,52,4,0
2016-07-29,39,7,0
2016-07-30,15,1,1
2016-07-31,7,1,0
2016-08-01,67,3,0
2016-08-02,99,4,0
2016-08-03,33,2,0
2016-08-04,25,21,0
2016-08-05,44,8,2
2016-08-06,51,2,0
2016-08-07,10,0,0
2016-08-08,34,20,4
2016-08-09,72,9,0
2016-08-10,59,7,0
2016-08-11,54,12,0
2016-08-12,31,10,0
2016-08-13,1,2,1
2016-08-14,3,0,0
2016-08-15,35,13,0
2016-08-16,59,10,0
2016-08-17,66,11,0
2016-08-18,49,12,0
2016-08-19,22,12,1
2016-08-20,40,17,0
2016-08-21,18,2,0
2016-08-22,72,8,0
2016-08-23,75,23,0
2016-08-24,36,28,0
2016-08-25,24,22,0
2016-08-26,29,22,0
2016-08-27,5,4,0
2016-08-28,2,0,0
2016-08-29,94,12,0
2016-08-30,59,12,0
2016-08-31,56,40,0
2016-09-01,53,13,0
2016-09-02,40,11,2
2016-09-03,24,8,0
2016-09-04,3,8,0
2016-09-05,2,3,0
2016-09-06,54,22,0
2016-09-07,40,22,1
2016-09-08,86,12,0
2016-09-09,34,23,6
