,apache/zookeeper,hashicorp/consul,etcd-io/etcd
2014-01-04,0,2,0
2014-01-05,0,0,3
2014-01-06,0,4,6
2014-01-07,0,0,5
2014-01-08,0,25,18
2014-01-09,3,5,11
2014-01-10,0,15,11
2014-01-11,0,0,0
2014-01-12,0,0,1
2014-01-13,1,0,1
2014-01-14,0,0,3
2014-01-15,0,5,12
2014-01-16,1,4,10
2014-01-17,0,0,8
2014-01-18,0,0,2
2014-01-19,0,0,2
2014-01-20,0,2,7
2014-01-21,2,13,7
2014-01-22,0,0,37
2014-01-23,0,0,5
2014-01-24,1,0,4
2014-01-25,1,0,3
2014-01-26,0,0,0
2014-01-27,1,0,0
2014-01-28,0,0,0
2014-01-29,0,0,0
2014-01-30,0,9,3
2014-01-31,0,1,0
2014-02-01,0,2,2
2014-02-02,0,0,4
2014-02-03,0,3,5
2014-02-04,0,3,6
2014-02-05,0,23,21
2014-02-06,0,1,14
2014-02-07,0,6,27
2014-02-08,0,2,7
2014-02-09,0,0,2
2014-02-10,2,0,1
2014-02-11,0,0,10
2014-02-12,3,0,0
2014-02-13,0,0,6
2014-02-14,1,2,4
2014-02-15,0,0,8
2014-02-16,0,0,0
2014-02-17,0,0,3
2014-02-18,0,1,2
2014-02-19,1,9,2
2014-02-20,0,6,0
2014-02-21,0,4,4
2014-02-22,0,3,1
2014-02-23,0,7,3
2014-02-24,0,9,0
2014-02-25,0,3,3
2014-02-26,0,3,0
2014-02-27,0,0,6
2014-02-28,0,0,0
2014-03-01,0,0,2
2014-03-02,0,0,0
2014-03-03,0,0,1
2014-03-04,0,0,5
2014-03-05,1,7,5
2014-03-06,0,2,7
2014-03-07,0,0,1
2014-03-08,0,0,2
2014-03-09,0,5,0
2014-03-10,1,0,2
2014-03-11,1,0,1
2014-03-12,3,1,3
2014-03-13,2,0,1
2014-03-14,2,0,1
2014-03-15,0,0,1
2014-03-16,0,0,0
2014-03-17,0,0,2
2014-03-18,0,0,6
2014-03-19,0,0,0
2014-03-20,0,5,1
2014-03-21,1,0,0
2014-03-22,0,0,1
2014-03-23,2,0,1
2014-03-24,0,0,3
2014-03-25,1,4,2
2014-03-26,2,0,6
2014-03-27,0,1,5
2014-03-28,1,0,3
2014-03-29,3,1,0
2014-03-30,0,0,0
2014-03-31,2,17,6
2014-04-01,3,14,17
2014-04-02,0,0,0
2014-04-03,3,14,3
2014-04-04,2,2,17
2014-04-05,0,1,3
2014-04-06,0,0,0
2014-04-07,1,21,2
2014-04-08,0,5,1
2014-04-09,0,14,13
2014-04-10,1,8,2
2014-04-11,0,20,8
2014-04-12,0,2,1
2014-04-13,0,0,0
2014-04-14,1,46,24
2014-04-15,0,0,11
2014-04-16,2,10,0
2014-04-17,1,33,12
2014-04-18,1,8,11
2014-04-19,0,7,2
2014-04-20,0,2,0
2014-04-21,0,30,6
2014-04-22,0,0,4
2014-04-23,0,4,0
2014-04-24,0,2,0
2014-04-25,3,7,0
2014-04-26,1,1,0
2014-04-27,0,0,0
2014-04-28,0,0,0
2014-04-29,1,7,1
2014-04-30,1,3,0
2014-05-01,0,124,0
2014-05-02,0,8,0
2014-05-03,0,2,0
2014-05-04,1,11,0
2014-05-05,0,13,0
2014-05-06,0,14,1
2014-05-07,0,19,24
2014-05-08,1,10,15
2014-05-09,1,19,7
2014-05-10,1,1,0
2014-05-11,0,0,0
2014-05-12,0,0,0
2014-05-13,0,3,3
2014-05-14,0,0,4
2014-05-15,2,3,1
2014-05-16,2,5,9
2014-05-17,1,0,1
2014-05-18,3,0,4
2014-05-19,0,1,0
2014-05-20,2,38,13
2014-05-21,2,6,10
2014-05-22,0,2,1
2014-05-23,0,1,0
2014-05-24,0,0,0
2014-05-25,0,0,0
2014-05-26,0,11,0
2014-05-27,0,3,0
2014-05-28,1,13,0
2014-05-29,0,5,1
2014-05-30,0,8,7
2014-05-31,0,0,7
2014-06-01,0,0,0
2014-06-02,0,5,12
2014-06-03,0,5,0
2014-06-04,1,17,0
2014-06-05,0,11,3
2014-06-06,0,10,5
2014-06-07,0,1,1
2014-06-08,0,9,5
2014-06-09,1,20,3
2014-06-10,0,5,0
2014-06-11,0,23,1
2014-06-12,0,0,1
2014-06-13,0,8,2
2014-06-14,0,0,0
2014-06-15,0,0,0
2014-06-16,0,1,2
2014-06-17,0,10,7
2014-06-18,0,7,5
2014-06-19,0,3,4
2014-06-20,0,1,2
2014-06-21,0,0,1
2014-06-22,0,0,0
2014-06-23,0,0,4
2014-06-24,0,0,2
2014-06-25,5,0,4
2014-06-26,0,0,0
2014-06-27,1,0,1
2014-06-28,0,1,0
2014-06-29,0,0,0
2014-06-30,1,3,1
2014-07-01,0,3,0
2014-07-02,0,2,1
2014-07-03,2,0,1
2014-07-04,1,0,0
2014-07-05,0,1,0
2014-07-06,0,0,0
2014-07-07,1,0,4
2014-07-08,2,0,4
2014-07-09,0,0,1
2014-07-10,0,0,2
2014-07-11,1,3,1
2014-07-12,0,0,0
2014-07-13,0,0,1
2014-07-14,1,0,2
2014-07-15,1,1,0
2014-07-16,2,1,0
2014-07-17,2,2,0
2014-07-18,5,0,0
2014-07-19,1,0,0
2014-07-20,1,0,0
2014-07-21,2,3,2
2014-07-22,2,4,0
2014-07-23,3,14,0
2014-07-24,3,0,0
2014-07-25,2,0,1
2014-07-26,1,0,0
2014-07-27,0,0,1
2014-07-28,0,0,3
2014-07-29,0,0,2
2014-07-30,0,0,0
2014-07-31,0,0,0
2014-08-01,3,7,0
2014-08-02,0,0,0
2014-08-03,0,4,0
2014-08-04,0,4,0
2014-08-05,0,2,0
2014-08-06,0,0,1
2014-08-07,0,0,0
2014-08-08,0,0,0
2014-08-09,0,0,2
2014-08-10,0,0,1
2014-08-11,0,0,2
2014-08-12,0,0,2
2014-08-13,0,0,1
2014-08-14,3,0,1
2014-08-15,0,0,1
2014-08-16,0,0,0
2014-08-17,0,0,0
2014-08-18,0,60,1
2014-08-19,1,6,0
2014-08-20,2,12,2
2014-08-21,0,9,1
2014-08-22,0,14,1
2014-08-23,0,14,0
2014-08-24,1,0,2
2014-08-25,0,4,6
2014-08-26,0,0,0
2014-08-27,0,5,1
2014-08-28,0,12,6
2014-08-29,1,5,2
2014-08-30,0,2,0
2014-08-31,0,2,0
2014-09-01,0,20,0
2014-09-02,0,17,0
2014-09-03,0,1,506
2014-09-04,0,0,22
2014-09-05,0,8,11
2014-09-06,0,0,0
2014-09-07,0,0,0
2014-09-08,0,2,26
2014-09-09,0,0,49
2014-09-10,1,0,11
2014-09-11,0,0,20
2014-09-12,0,0,27
2014-09-13,0,0,2
2014-09-14,0,0,2
2014-09-15,0,1,38
2014-09-16,0,0,17
2014-09-17,1,2,14
2014-09-18,1,5,12
2014-09-19,0,3,10
2014-09-20,0,0,0
2014-09-21,0,0,5
