,gitbucket/gitbucket,gitlabhq/gitlabhq,gogs/gogs
2014-04-12,0,3,25
2014-04-13,0,12,12
2014-04-14,0,28,16
2014-04-15,1,17,16
2014-04-16,0,7,11
2014-04-17,6,11,2
2014-04-18,3,10,6
2014-04-19,0,1,4
2014-04-20,0,1,4
2014-04-21,2,4,8
2014-04-22,1,18,14
2014-04-23,2,26,26
2014-04-24,2,17,4
2014-04-25,2,11,3
2014-04-26,4,2,9
2014-04-27,5,4,11
2014-04-28,8,13,0
2014-04-29,13,12,3
2014-04-30,4,9,6
2014-05-01,1,8,23
2014-05-02,2,16,9
2014-05-03,1,4,4
2014-05-04,2,0,0
2014-05-05,7,20,13
2014-05-06,2,16,6
2014-05-07,5,15,11
2014-05-08,0,38,8
2014-05-09,0,4,9
2014-05-10,15,1,1
2014-05-11,2,3,21
2014-05-12,2,13,11
2014-05-13,1,28,8
2014-05-14,0,20,10
2014-05-15,0,15,8
2014-05-16,2,10,9
2014-05-17,0,1,0
2014-05-18,11,4,3
2014-05-19,0,18,5
2014-05-20,1,14,0
2014-05-21,0,4,2
2014-05-22,0,29,1
2014-05-23,0,30,0
2014-05-24,0,10,6
2014-05-25,1,0,0
2014-05-26,0,34,9
2014-05-27,0,26,0
2014-05-28,1,29,4
2014-05-29,0,38,1
2014-05-30,1,14,5
2014-05-31,5,6,1
2014-06-01,5,1,5
2014-06-02,6,18,1
2014-06-03,0,52,4
2014-06-04,1,29,1
2014-06-05,4,26,1
2014-06-06,3,21,3
2014-06-07,3,10,1
2014-06-08,0,3,4
2014-06-09,4,4,0
2014-06-10,2,41,1
2014-06-11,0,27,2
2014-06-12,0,17,6
2014-06-13,0,24,1
2014-06-14,5,29,0
2014-06-15,6,4,0
2014-06-16,2,11,0
2014-06-17,0,16,1
2014-06-18,0,18,0
2014-06-19,2,12,1
2014-06-20,2,13,2
2014-06-21,0,3,3
2014-06-22,2,4,5
2014-06-23,1,26,6
2014-06-24,1,45,6
2014-06-25,1,25,10
2014-06-26,1,35,1
2014-06-27,0,5,3
2014-06-28,3,0,12
2014-06-29,6,0,4
2014-06-30,5,22,2
2014-07-01,0,16,0
2014-07-02,0,22,1
2014-07-03,0,21,0
2014-07-04,0,21,9
2014-07-05,4,5,5
2014-07-06,9,0,3
2014-07-07,0,9,2
2014-07-08,2,9,0
2014-07-09,0,17,0
2014-07-10,0,20,0
2014-07-11,0,17,0
2014-07-12,2,0,4
2014-07-13,10,3,0
2014-07-14,1,10,0
2014-07-15,0,16,1
2014-07-16,2,18,1
2014-07-17,0,17,0
2014-07-18,0,4,2
2014-07-19,0,2,0
2014-07-20,1,2,1
2014-07-21,0,12,1
2014-07-22,2,9,18
2014-07-23,3,21,4
2014-07-24,0,8,26
2014-07-25,2,12,24
2014-07-26,3,4,15
2014-07-27,4,6,3
2014-07-28,6,15,4
2014-07-29,6,22,0
2014-07-30,1,21,1
2014-07-31,2,26,1
2014-08-01,1,9,5
2014-08-02,1,2,1
2014-08-03,7,7,0
2014-08-04,4,12,4
2014-08-05,2,2,1
2014-08-06,0,14,2
2014-08-07,1,7,7
2014-08-08,0,0,2
2014-08-09,2,6,3
2014-08-10,1,3,3
2014-08-11,4,28,1
2014-08-12,2,7,0
2014-08-13,7,32,1
2014-08-14,5,5,10
2014-08-15,1,19,2
2014-08-16,1,3,2
2014-08-17,2,5,0
2014-08-18,0,14,0
2014-08-19,0,12,0
2014-08-20,1,19,1
2014-08-21,1,22,0
2014-08-22,2,17,0
2014-08-23,1,22,5
2014-08-24,4,5,3
2014-08-25,1,15,7
2014-08-26,0,24,4
2014-08-27,0,26,2
2014-08-28,0,22,2
2014-08-29,0,30,8
2014-08-30,0,6,10
2014-08-31,4,5,29
2014-09-01,1,35,4
2014-09-02,2,25,16
2014-09-03,0,17,9
2014-09-04,2,21,5
2014-09-05,0,15,8
2014-09-06,0,8,0
2014-09-07,0,3,5
2014-09-08,0,48,5
2014-09-09,1,26,7
2014-09-10,1,22,3
2014-09-11,0,24,0
2014-09-12,1,29,4
2014-09-13,1,2,4
2014-09-14,3,11,3
2014-09-15,4,14,3
2014-09-16,0,8,12
2014-09-17,0,12,10
2014-09-18,0,14,3
2014-09-19,4,25,1
2014-09-20,2,8,3
2014-09-21,0,8,5
2014-09-22,9,36,9
2014-09-23,8,24,15
2014-09-24,4,27,3
2014-09-25,3,35,6
2014-09-26,0,26,9
2014-09-27,3,6,4
2014-09-28,4,6,18
2014-09-29,6,38,10
2014-09-30,2,46,3
2014-10-01,0,32,5
2014-10-02,0,42,0
2014-10-03,2,33,3
2014-10-04,2,5,9
2014-10-05,15,9,6
2014-10-06,4,31,4
2014-10-07,1,30,1
2014-10-08,0,24,5
2014-10-09,1,13,4
2014-10-10,0,20,6
2014-10-11,2,1,7
2014-10-12,3,11,5
2014-10-13,0,26,10
2014-10-14,0,29,6
2014-10-15,0,30,4
2014-10-16,2,13,0
2014-10-17,0,15,0
2014-10-18,4,17,2
2014-10-19,2,5,6
2014-10-20,0,27,2
2014-10-21,0,54,1
2014-10-22,0,20,2
2014-10-23,0,22,0
2014-10-24,0,19,3
2014-10-25,0,3,1
2014-10-26,0,1,0
2014-10-27,0,25,1
2014-10-28,0,25,2
2014-10-29,1,24,0
2014-10-30,0,36,1
2014-10-31,5,12,1
2014-11-01,0,4,2
2014-11-02,7,4,5
2014-11-03,1,9,0
2014-11-04,1,10,10
2014-11-05,0,30,0
2014-11-06,1,10,1
2014-11-07,1,5,6
2014-11-08,3,2,0
2014-11-09,0,3,0
2014-11-10,1,9,2
2014-11-11,3,17,2
2014-11-12,0,17,1
2014-11-13,0,8,3
2014-11-14,0,14,3
2014-11-15,1,2,0
2014-11-16,2,2,2
2014-11-17,1,6,10
2014-11-18,1,17,2
2014-11-19,0,7,6
2014-11-20,0,12,2
2014-11-21,0,4,4
2014-11-22,10,0,1
2014-11-23,4,7,1
2014-11-24,1,14,7
2014-11-25,0,3,0
2014-11-26,1,7,2
2014-11-27,3,7,2
2014-11-28,0,5,6
2014-11-29,0,7,3
2014-11-30,0,10,7
2014-12-01,0,17,2
2014-12-02,0,27,6
2014-12-03,0,22,1
2014-12-04,1,31,2
2014-12-05,0,22,11
2014-12-06,0,1,0
2014-12-07,0,7,5
2014-12-08,0,19,1
2014-12-09,0,4,1
2014-12-10,0,4,7
2014-12-11,0,10,4
2014-12-12,1,10,1
2014-12-13,0,2,2
2014-12-14,0,7,3
2014-12-15,0,24,2
2014-12-16,0,9,1
2014-12-17,0,14,6
2014-12-18,0,6,8
2014-12-19,1,2,6
2014-12-20,0,17,1
2014-12-21,2,2,7
2014-12-22,2,16,9
2014-12-23,0,25,0
2014-12-24,0,18,2
2014-12-25,0,17,0
2014-12-26,1,22,0
2014-12-27,2,9,6
2014-12-28,4,13,3
2014-12-29,3,45,6
2014-12-30,5,25,0
2014-12-31,1,2,7
2015-01-01,3,6,0
2015-01-02,3,1,11
2015-01-03,1,4,2
2015-01-04,4,1,0
2015-01-05,1,8,3
2015-01-06,2,21,1
2015-01-07,6,15,0
2015-01-08,1,11,1
2015-01-09,3,2,2
2015-01-10,2,8,0
2015-01-11,0,20,0
2015-01-12,1,12,0
2015-01-13,0,30,0
2015-01-14,1,8,0
2015-01-15,0,49,1
2015-01-16,0,12,0
2015-01-17,7,17,5
2015-01-18,2,22,5
2015-01-19,0,25,0
2015-01-20,4,14,3
2015-01-21,1,21,0
2015-01-22,1,31,8
2015-01-23,0,24,1
2015-01-24,2,19,0
