,nim-lang/Nim,golang/go,rust-lang/rust
2022-08-16,0,14,106
2022-08-17,2,37,88
2022-08-18,0,41,104
2022-08-19,5,41,89
2022-08-20,1,2,79
2022-08-21,4,0,117
2022-08-22,2,18,133
2022-08-23,15,35,134
2022-08-24,8,17,87
2022-08-25,2,14,67
2022-08-26,2,29,112
2022-08-27,2,4,92
2022-08-28,1,1,80
2022-08-29,3,21,87
2022-08-30,1,12,100
2022-08-31,4,32,124
2022-09-01,5,23,94
2022-09-02,2,51,87
2022-09-03,2,7,53
2022-09-04,3,1,60
2022-09-05,2,14,82
2022-09-06,5,39,75
2022-09-07,0,46,74
2022-09-08,4,27,96
2022-09-09,2,19,88
2022-09-10,1,0,72
2022-09-11,8,0,54
2022-09-12,1,0,126
2022-09-13,1,16,115
2022-09-14,5,9,103
2022-09-15,4,21,75
2022-09-16,4,22,94
2022-09-17,0,4,58
2022-09-18,0,1,46
2022-09-19,7,24,70
2022-09-20,4,10,82
2022-09-21,5,10,86
2022-09-22,4,5,103
2022-09-23,3,11,99
2022-09-24,1,1,93
2022-09-25,1,1,68
2022-09-26,7,23,101
2022-09-27,6,38,140
2022-09-28,12,31,64
2022-09-29,4,54,77
2022-09-30,3,24,82
2022-10-01,6,10,104
2022-10-02,3,4,91
2022-10-03,4,7,83
2022-10-04,4,15,65
2022-10-05,8,14,65
2022-10-06,7,10,78
2022-10-07,4,14,116
2022-10-08,1,4,60
2022-10-09,5,0,83
2022-10-10,9,13,108
2022-10-11,4,12,64
2022-10-12,3,17,74
2022-10-13,5,11,68
2022-10-14,4,17,87
2022-10-15,3,1,68
2022-10-16,3,0,70
2022-10-17,4,19,77
2022-10-18,4,13,65
2022-10-19,1,8,93
2022-10-20,5,9,104
2022-10-21,8,11,78
2022-10-22,3,0,64
2022-10-23,2,1,101
2022-10-24,13,15,106
2022-10-25,8,13,92
2022-10-26,1,16,95
2022-10-27,8,6,99
2022-10-28,3,8,74
2022-10-29,6,4,109
2022-10-30,0,0,39
2022-10-31,9,19,70
2022-11-01,8,19,71
2022-11-02,4,12,72
2022-11-03,6,24,52
2022-11-04,5,21,105
2022-11-05,8,1,102
2022-11-06,6,0,69
2022-11-07,4,17,158
2022-11-08,3,23,78
2022-11-09,8,25,122
2022-11-10,6,32,95
2022-11-11,6,14,86
2022-11-12,7,0,85
2022-11-13,2,0,71
2022-11-14,7,18,72
2022-11-15,1,45,102
2022-11-16,3,32,70
2022-11-17,3,25,70
2022-11-18,1,24,97
2022-11-19,0,13,105
2022-11-20,0,0,106
2022-11-21,5,20,130
2022-11-22,9,18,80
2022-11-23,1,14,90
2022-11-24,4,3,86
2022-11-25,3,0,170
2022-11-26,6,0,80
2022-11-27,2,0,88
2022-11-28,4,11,100
2022-11-29,10,5,100
2022-11-30,3,7,65
2022-12-01,8,18,90
2022-12-02,2,14,87
2022-12-03,1,1,75
2022-12-04,2,0,54
2022-12-05,8,8,53
2022-12-06,8,9,106
2022-12-07,1,11,60
2022-12-08,8,8,59
2022-12-09,4,3,83
2022-12-10,5,1,60
2022-12-11,3,1,68
2022-12-12,9,6,68
2022-12-13,6,3,110
2022-12-14,0,6,112
2022-12-15,4,2,88
2022-12-16,7,4,70
2022-12-17,4,1,79
2022-12-18,1,0,53
2022-12-19,2,1,53
2022-12-20,4,0,91
2022-12-21,2,6,59
2022-12-22,9,6,74
2022-12-23,6,2,60
2022-12-24,1,0,42
2022-12-25,0,0,44
2022-12-26,2,0,22
2022-12-27,4,1,67
2022-12-28,7,1,110
2022-12-29,4,2,67
2022-12-30,1,0,52
2022-12-31,0,0,54
2023-01-01,2,0,39
2023-01-02,3,0,87
2023-01-03,1,3,66
2023-01-04,2,4,80
2023-01-05,0,2,56
2023-01-06,1,3,62
2023-01-07,0,0,53
2023-01-08,4,0,37
2023-01-09,1,7,172
2023-01-10,0,3,52
2023-01-11,2,3,133
2023-01-12,1,0,131
2023-01-13,1,3,106
2023-01-14,1,0,131
2023-01-15,0,0,49
2023-01-16,0,1,65
2023-01-17,2,42,100
2023-01-18,8,7,72
2023-01-19,1,19,76
2023-01-20,2,38,84
2023-01-21,1,3,83
2023-01-22,0,0,54
2023-01-23,0,12,100
2023-01-24,3,20,50
2023-01-25,2,16,64
2023-01-26,3,22,81
2023-01-27,3,14,151
2023-01-28,0,6,77
2023-01-29,1,1,57
2023-01-30,0,25,91
2023-01-31,2,31,95
2023-02-01,4,14,72
2023-02-02,2,17,73
2023-02-03,0,7,80
2023-02-04,0,9,30
2023-02-05,0,0,61
2023-02-06,0,15,65
2023-02-07,1,8,72
2023-02-08,2,10,52
2023-02-09,3,13,84
2023-02-10,0,20,89
2023-02-11,0,2,53
2023-02-12,1,0,56
2023-02-13,0,8,90
2023-02-14,5,8,139
2023-02-15,2,7,86
2023-02-16,4,8,95
2023-02-17,2,10,75
2023-02-18,0,1,98
2023-02-19,1,1,73
2023-02-20,1,1,93
2023-02-21,9,8,91
2023-02-22,5,14,83
2023-02-23,0,18,66
2023-02-24,4,12,42
2023-02-25,1,3,79
2023-02-26,4,0,82
2023-02-27,0,34,64
2023-02-28,2,26,79
2023-03-01,6,23,126
2023-03-02,7,10,66
2023-03-03,3,5,93
2023-03-04,3,1,80
2023-03-05,2,0,84
2023-03-06,4,13,75
2023-03-07,2,12,60
2023-03-08,1,5,98
2023-03-09,1,13,97
2023-03-10,3,25,104
2023-03-11,0,1,75
2023-03-12,3,0,78
2023-03-13,2,16,76
2023-03-14,0,11,87
2023-03-15,0,24,87
2023-03-16,3,17,86
2023-03-17,2,12,88
2023-03-18,0,4,47
2023-03-19,1,0,59
2023-03-20,11,8,70
2023-03-21,2,20,92
2023-03-22,1,21,91
2023-03-23,1,5,79
2023-03-24,0,20,75
2023-03-25,0,2,63
2023-03-26,0,0,61
2023-03-27,2,12,84
2023-03-28,5,16,81
2023-03-29,2,24,99
2023-03-30,4,12,105
2023-03-31,2,18,50
2023-04-01,2,0,33
