,flutter/flutter,NativeScript/NativeScript,facebook/react-native
2015-06-24,7.978974494664063,2,17
2015-06-25,10.854555939484374,9,22
2015-06-26,8.486691933453125,14,6
2015-06-27,-2.4975144824937496,0,4
2015-06-28,-1.4146247851437488,0,1
2015-06-29,0.0010009000000020807,9,4
2015-06-30,1.1138608360937523,5,13
2015-07-01,1.1064326564687517,9,11
2015-07-02,0.20442930319843866,4,7
2015-07-03,-0.5980697533124992,4,9
2015-07-04,-0.3738782761390618,0,0
2015-07-05,-0.20760789039531197,0,1
2015-07-06,7.909686278750001,22,10
2015-07-07,0.12580351948437452,18,15
2015-07-08,3.4771151164328122,6,16
2015-07-09,1.2799719726468746,10,15
2015-07-10,1.3998339819125003,9,17
2015-07-11,-0.5619953525359374,0,0
2015-07-12,-0.3510628499999994,0,0
2015-07-13,-0.26470358249999937,6,12
2015-07-14,0.7861532496250007,11,19
2015-07-15,-0.27969144330312457,23,17
2015-07-16,7.859816477901563,17,10
2015-07-17,17.096580571325,4,14
2015-07-18,5.783403168896873,0,1
2015-07-19,-1.8709144550718764,0,0
2015-07-20,8.9485379875,12,8
2015-07-21,32.26004730375,6,17
2015-07-22,24.579734086984374,10,9
2015-07-23,25.82200135246406,6,12
2015-07-24,16.037845863374997,14,15
2015-07-25,0.38663747543125027,0,4
2015-07-26,-3.980027974771872,0,0
2015-07-27,16.369440542212505,11,22
2015-07-28,11.120238584843754,12,11
2015-07-29,13.027405753359378,8,11
2015-07-30,26.790288577575,10,13
2015-07-31,7.451694680473437,11,6
2015-08-01,-0.3330852424578117,0,6
2015-08-02,-0.9537766213843728,0,4
2015-08-03,14.876374218534378,25,7
2015-08-04,14.755810646453128,12,9
2015-08-05,9.186114132832813,1,4
2015-08-06,13.496053144445312,6,8
2015-08-07,35.18223970215469,13,16
2015-08-08,0.8631389421828111,0,4
2015-08-09,-3.891613940029687,0,0
2015-08-10,24.534478652575004,5,8
2015-08-11,45.4704260286625,8,17
2015-08-12,3.328826858857812,7,9
2015-08-13,24.7902040114,11,18
2015-08-14,10.725477854517187,4,19
2015-08-15,-5.425377824470309,0,5
2015-08-16,-3.4030327775109335,0,1
2015-08-17,23.701918358498443,0,10
2015-08-18,15.607423598578128,6,8
2015-08-19,24.33393954699844,2,15
2015-08-20,20.377240830031248,1,21
2015-08-21,11.419745395385938,1,20
2015-08-22,4.056587602656251,0,3
2015-08-23,-3.8125403181109347,1,0
2015-08-24,18.554212897500005,4,2
2015-08-25,45.020853574093756,7,29
2015-08-26,35.62138680750313,3,17
2015-08-27,15.793800806828122,6,14
2015-08-28,18.03519368930156,18,6
2015-08-29,4.3627109965500015,0,1
2015-08-30,0.9074941772484424,0,3
2015-08-31,20.050083843426567,5,14
2015-09-01,9.80264327292188,12,21
2015-09-02,16.18065327022969,8,13
2015-09-03,23.821460493567187,12,15
2015-09-04,18.12198478482969,26,19
2015-09-05,-1.642022520003124,3,5
2015-09-06,-2.6798369840703105,0,7
2015-09-07,-1.5151404034890583,7,8
2015-09-08,7.05487391615938,0,15
2015-09-09,9.597284860153128,8,17
2015-09-10,9.316847647382815,11,13
2015-09-11,18.193967009292187,6,10
2015-09-12,-2.714822283417188,1,9
2015-09-13,-2.044102171674999,1,1
2015-09-14,9.742433468090626,7,14
2015-09-15,1.9684319181984398,6,26
2015-09-16,27.36030357532344,7,33
2015-09-17,19.99044720348906,7,12
2015-09-18,19.49197687963125,21,22
2015-09-19,5.120751249990623,1,7
2015-09-20,-2.758405853770311,0,6
2015-09-21,11.619636688714065,6,7
2015-09-22,24.85597340932813,0,25
2015-09-23,27.17980687879219,5,29
2015-09-24,20.065956502403125,5,35
2015-09-25,32.985533179082815,10,18
2015-09-26,3.6585045517624994,0,5
2015-09-27,-2.201086462268748,0,0
2015-09-28,1.4231340641250037,5,3
2015-09-29,20.952463870245317,11,14
2015-09-30,30.35095194505938,17,12
2015-10-01,35.695119772493754,22,29
2015-10-02,9.294361539193748,5,24
2015-10-03,9.08296518020625,0,7
2015-10-04,-4.103887343323436,0,2
2015-10-05,22.816139651807816,11,24
2015-10-06,31.099376729814065,6,20
2015-10-07,6.404860081195314,7,18
2015-10-08,18.850433378590626,6,22
2015-10-09,17.35380624083594,18,30
2015-10-10,6.391633915975003,1,9
2015-10-11,-0.4074267095953106,0,0
2015-10-12,21.801262596445316,10,24
2015-10-13,21.288306281557816,12,35
2015-10-14,13.519428964253127,17,40
2015-10-15,14.945727242003127,20,9
2015-10-16,12.071046740907814,12,27
2015-10-17,-0.6890598152218725,0,5
2015-10-18,0.7719585379859408,0,5
2015-10-19,24.457417536256255,10,21
2015-10-20,13.521084924465626,10,26
2015-10-21,15.581597319445313,17,37
2015-10-22,11.42758674926875,13,24
2015-10-23,22.772460155254688,6,19
2015-10-24,-0.22473845698437422,0,7
2015-10-25,-3.4551543676734355,0,1
2015-10-26,35.744250314043754,4,25
2015-10-27,16.486877855934377,2,34
2015-10-28,17.720070472248437,10,34
2015-10-29,25.670997166540623,20,22
2015-10-30,6.76641507978125,20,23
2015-10-31,-0.8657060732468729,0,11
2015-11-01,-2.473073058548434,0,0
2015-11-02,16.585158254820318,29,16
2015-11-03,35.262384750406255,14,28
2015-11-04,25.731495566040625,6,22
2015-11-05,14.498513798599998,8,28
2015-11-06,14.253138336939061,30,24
2015-11-07,8.588654954682815,0,9
2015-11-08,-0.5968835187796842,0,3
2015-11-09,11.68308906059063,18,21
2015-11-10,26.12526289641719,27,27
2015-11-11,18.435247051707815,9,18
2015-11-12,21.384266363348438,12,13
2015-11-13,21.114755545521874,5,21
2015-11-14,-2.036328211067186,0,10
2015-11-15,-3.907640905437497,0,0
2015-11-16,16.38868749368438,9,16
2015-11-17,27.16714095712188,10,29
2015-11-18,18.49254252399219,10,33
2015-11-19,18.462523775296873,2,13
2015-11-20,27.431817738965627,2,22
2015-11-21,2.4597559951078125,0,2
2015-11-22,5.42036024196719,0,2
2015-11-23,11.119399973606253,20,25
2015-11-24,16.88324466895313,7,37
2015-11-25,15.183851838332815,15,16
2015-11-26,14.08522518651094,6,28
2015-11-27,-2.7853670619874986,11,14
2015-11-28,-1.049453931628122,0,1
2015-11-29,1.7451541491734415,0,4
2015-11-30,13.123996990770316,7,19
2015-12-01,13.19173565815625,10,25
2015-12-02,16.738571976132814,10,25
2015-12-03,19.13277008268281,5,23
2015-12-04,34.571309084484376,10,8
2015-12-05,20.669098483285936,0,6
2015-12-06,-6.059357303603125,0,6
2015-12-07,26.44385889911563,3,11
2015-12-08,26.436117754621876,10,22
2015-12-09,19.45988324121094,3,17
2015-12-10,21.5756263478625,10,22
2015-12-11,2.3220482586718765,4,18
2015-12-12,2.088429885314067,8,14
2015-12-13,-3.9367210753234327,0,11
2015-12-14,24.450150194029693,11,22
2015-12-15,25.47900850453125,9,36
2015-12-16,20.280187704921875,9,27
2015-12-17,5.221061722943749,3,17
2015-12-18,1.638852215878126,7,18
2015-12-19,-3.289965811896872,0,5
2015-12-20,1.8978302985671922,0,7
2015-12-21,5.029494858498442,4,9
2015-12-22,0.8853730860781281,6,8
2015-12-23,-1.77273714893906,2,28
2015-12-24,0.881105551765627,0,10
2015-12-25,0.11521171339375158,0,3
2015-12-26,2.4327499440109386,0,7
2015-12-27,-0.6372522377156247,0,2
2015-12-28,3.6397598366875004,1,5
2015-12-29,1.3277493099968751,0,16
2015-12-30,2.428074818201563,0,22
2015-12-31,3.3871037873921876,0,6
2016-01-01,-0.74436635978125,0,4
2016-01-02,9.5690608931625,0,4
2016-01-03,-1.297972841582813,0,5
2016-01-04,7.323104382392188,2,24
2016-01-05,6.7505863179375,0,22
2016-01-06,13.494713825075,0,37
2016-01-07,27.66095507088125,1,31
2016-01-08,11.736610065329685,3,18
2016-01-09,1.1837336273562489,0,7
2016-01-10,4.2851492698437506,0,3
2016-01-11,27.479339554640628,11,7
2016-01-12,18.365671238375,16,17
2016-01-13,6.084316356837499,10,12
2016-01-14,11.030660146978125,4,14
2016-01-15,10.96046636899219,8,16
2016-01-16,5.000098846921878,0,6
2016-01-17,-3.2552122044031226,0,4
2016-01-18,10.93576862121094,6,18
2016-01-19,14.14603274052969,13,10
2016-01-20,22.495788628312503,12,22
2016-01-21,18.457188567251563,3,34
2016-01-22,16.256111870620312,5,17
2016-01-23,0.1938690004765622,0,6
2016-01-24,4.705086482320315,2,1
2016-01-25,9.038665063426565,8,14
2016-01-26,13.837709019546878,16,10
2016-01-27,16.22722695576719,5,15
2016-01-28,13.724002342232813,3,14
2016-01-29,9.701396950956251,4,26
2016-01-30,0.12046373709531366,0,3
2016-01-31,6.29885406166719,0,6
2016-02-01,9.351320665695315,10,22
2016-02-02,14.067779837275001,8,25
2016-02-03,22.472977798303127,12,24
2016-02-04,21.32446903907656,14,11
2016-02-05,10.8043327675,11,11
2016-02-06,11.496367874634375,0,18
2016-02-07,-4.2858543538156235,1,5
2016-02-08,8.39115070521563,5,20
2016-02-09,34.973149909739064,13,20
2016-02-10,20.222436020803126,15,21
2016-02-11,22.228047065982814,17,8
2016-02-12,50.864474855659374,9,25
2016-02-13,9.787578435815625,1,3
2016-02-14,14.155081713675001,1,3
2016-02-15,8.666345725675002,15,10
2016-02-16,14.51544427432813,5,19
2016-02-17,27.302302025010942,7,16
2016-02-18,1.003578507728128,17,15
2016-02-19,19.12790889587813,9,19
2016-02-20,3.376754545853128,0,4
2016-02-21,7.696872149404692,0,1
2016-02-22,15.223688784739066,4,15
2016-02-23,17.70254506401094,7,10
2016-02-24,16.24149837539844,24,23
2016-02-25,37.08712999976562,15,12
2016-02-26,30.903596039689063,1,30
2016-02-27,15.3960890010875,3,3
2016-02-28,-1.6663708705031244,0,2
2016-02-29,4.4849693172390666,9,14
2016-03-01,18.954373742271883,8,15
2016-03-02,18.908972769223443,6,19
2016-03-03,40.482701203381254,2,23
2016-03-04,20.095421955089062,1,16
2016-03-05,0.7883989726468759,0,8
2016-03-06,11.049260560525003,0,10
2016-03-07,13.261138272845317,9,13
2016-03-08,22.232927106429692,7,23
2016-03-09,15.250068842817189,15,17
2016-03-10,25.41080650179844,4,24
2016-03-11,37.49807254541875,7,14
2016-03-12,21.804909248909375,1,4
2016-03-13,1.5413055098687503,0,5
2016-03-14,28.741666051462502,1,12
2016-03-15,12.048687413893754,5,28
2016-03-16,1.9339741941812552,9,12
2016-03-17,17.355798274451566,7,15
2016-03-18,36.69494763326094,7,15
2016-03-19,-1.4911962013015607,1,5
2016-03-20,-4.792468843299997,0,10
2016-03-21,31.984146696781252,12,26
2016-03-22,7.389617855895315,8,13
2016-03-23,19.478448721481254,8,15
2016-03-24,31.887808955192188,14,20
2016-03-25,16.303711475868752,13,9
2016-03-26,3.8650951700531255,0,6
2016-03-27,6.334250127896877,0,2
2016-03-28,14.03340685353438,9,1
2016-03-29,25.55344544320313,7,10
2016-03-30,19.127598669539065,7,15
2016-03-31,17.19652735590781,3,6
2016-04-01,22.228415568809375,2,28
2016-04-02,-1.2440243431890607,0,0
2016-04-03,-2.06336862223281,0,3
2016-04-04,5.115056873968754,2,9
2016-04-05,8.091786537823442,0,11
2016-04-06,9.910121070134378,3,18
2016-04-07,17.740226484781253,1,14
2016-04-08,14.997490429742188,11,10
2016-04-09,-1.1146003790140622,0,8
2016-04-10,-2.609889678584374,0,2
2016-04-11,8.385407153789066,7,17
2016-04-12,12.796979719553129,4,15
2016-04-13,10.088731672790626,18,14
2016-04-14,6.991828444151563,15,15
2016-04-15,12.220489077454689,16,12
2016-04-16,-0.18305993930156195,0,7
2016-04-17,-2.0902670122296856,0,6
2016-04-18,8.687793542392189,11,11
2016-04-19,8.010200263593752,10,19
2016-04-20,12.742909853156252,8,10
2016-04-21,14.157911742757811,8,15
2016-04-22,6.7226153056265625,7,29
2016-04-23,0.17891319065625044,0,8
2016-04-24,0.008087147914063841,0,9
2016-04-25,10.51923260489219,5,15
2016-04-26,4.739839969843752,6,11
2016-04-27,8.910013688234375,8,10
2016-04-28,11.60559856815625,5,19
2016-04-29,14.186249390695313,1,26
2016-04-30,-0.2796072370171876,0,9
2016-05-01,0.903070243093751,0,3
2016-05-02,6.3443491238609395,10,5
2016-05-03,16.048547527490626,8,12
2016-05-04,19.944464494709376,2,28
2016-05-05,9.00855287907656,11,18
2016-05-06,5.483927116135938,5,11
2016-05-07,-1.9943713830187488,2,4
2016-05-08,-1.9509016209078096,1,2
2016-05-09,16.679634958345314,20,18
2016-05-10,11.171863868267188,7,14
2016-05-11,9.95860511918125,3,15
2016-05-12,8.90695654124375,1,21
2016-05-13,8.013508043720314,16,13
2016-05-14,-1.7962700963578118,3,13
2016-05-15,-0.7533212108390606,0,2
2016-05-16,14.691678689964064,8,16
2016-05-17,17.40716395571875,12,20
2016-05-18,11.466255320884375,11,15
2016-05-19,10.58734225279375,12,5
2016-05-20,8.649085739595312,15,16
2016-05-21,-0.15891138235312363,0,11
2016-05-22,-2.194914087160935,0,1
2016-05-23,11.53326719444844,0,20
2016-05-24,8.560119526714065,0,18
2016-05-25,5.383189980362501,11,16
2016-05-26,13.661392106546876,8,17
2016-05-27,8.025337937242188,8,15
2016-05-28,0.24950996955937566,0,5
2016-05-29,2.105818418021876,0,0
2016-05-30,0.3777692536421895,17,1
2016-05-31,7.697629672046878,10,14
2016-06-01,10.142949953860938,4,19
2016-06-02,13.715784590479688,7,6
2016-06-03,15.115907475212499,9,18
2016-06-04,-1.4057582224968757,0,9
2016-06-05,-2.0507918769421867,1,3
2016-06-06,6.668883685329689,4,26
2016-06-07,16.202687547575003,8,31
2016-06-08,8.061944422787501,14,14
2016-06-09,7.224941705989062,5,15
2016-06-10,8.34681020381875,5,16
2016-06-11,-2.6931576673562487,0,3
2016-06-12,0.4269989283218769,0,1
2016-06-13,9.760127249928127,14,17
2016-06-14,10.000529825875002,16,21
2016-06-15,6.5776445116812505,7,17
2016-06-16,11.69302511118125,8,11
2016-06-17,3.2833778331984376,12,14
2016-06-18,-1.127298243531249,0,4
2016-06-19,-0.40772040789531094,0,0
2016-06-20,5.950562815218753,16,10
2016-06-21,12.503258884256251,7,26
2016-06-22,14.647818424667188,3,31
2016-06-23,14.012535879928125,0,31
2016-06-24,4.685975504957812,10,24
2016-06-25,2.3491582276531253,0,3
2016-06-26,-1.0845862119812484,0,1
2016-06-27,2.54186153569844,5,9
2016-06-28,7.51877224635469,5,14
2016-06-29,-1.9458418987203108,4,9
2016-06-30,8.805619556981252,9,18
2016-07-01,5.184731803123438,6,24
2016-07-02,-0.6883869909859368,0,1
2016-07-03,-1.0238248816156246,0,1
2016-07-04,1.3344795268046887,4,5
2016-07-05,-0.6808203708484362,4,17
2016-07-06,4.525189897715626,9,19
2016-07-07,4.1482225271765625,2,29
2016-07-08,9.04717398359375,2,15
2016-07-09,-1.5617939127187506,1,2
2016-07-10,-0.7904968057671873,0,2
2016-07-11,2.500517504964063,5,23
2016-07-12,4.327844561468751,8,18
2016-07-13,3.0657562511781253,6,29
2016-07-14,3.054569828671875,5,22
2016-07-15,3.0147397097421877,4,17
2016-07-16,0.01665985716406282,0,2
2016-07-17,-0.6807083128593744,0,2
2016-07-18,6.594791848750001,10,11
2016-07-19,1.9875615297031253,10,11
2016-07-20,7.129809542314063,8,18
2016-07-21,8.672092900257812,7,8
2016-07-22,9.280457040293749,7,11
2016-07-23,-1.035767108456251,0,3
2016-07-24,-1.2289480606593746,0,0
2016-07-25,5.180400236214064,4,10
2016-07-26,8.777489620140626,5,7
2016-07-27,13.224186648201563,4,11
2016-07-28,6.505421088267187,5,10
2016-07-29,7.71795837830625,7,13
2016-07-30,-2.3361591647812503,0,3
2016-07-31,-1.3585327659109359,0,7
2016-08-01,2.080705094964064,4,8
2016-08-02,5.982547221906252,3,26
2016-08-03,1.572892698378126,3,21
2016-08-04,9.840523388156251,2,27
2016-08-05,22.18047793232031,3,17
2016-08-06,-2.344760552979689,0,4
2016-08-07,-1.791779312859375,1,4
2016-08-08,5.8699470737500015,1,13
2016-08-09,11.452468899703128,1,20
2016-08-10,3.7072975250328133,0,10
2016-08-11,12.073967384451564,2,14
2016-08-12,2.4050037767203127,3,10
2016-08-13,-0.015550336520311347,0,3
2016-08-14,-1.4607676113781236,0,1
2016-08-15,8.124363611214065,2,18
2016-08-16,9.423884682640626,4,18
2016-08-17,9.939080860545314,5,18
2016-08-18,8.628549728939062,2,12
2016-08-19,7.594395496315625,0,15
2016-08-20,-1.3969511430812496,0,1
2016-08-21,-1.468323251210936,0,2
2016-08-22,4.987888391178127,7,9
2016-08-23,5.621501124109377,3,11
2016-08-24,6.389422391504689,1,14
2016-08-25,7.237025332167188,1,9
2016-08-26,5.0863883513968755,0,10
2016-08-27,-0.7735022043015622,0,4
2016-08-28,-1.122146163374999,0,0
2016-08-29,7.273508382464064,9,10
2016-08-30,4.641449898156251,5,12
2016-08-31,4.581941261175,7,11
2016-09-01,8.558567424373438,7,9
2016-09-02,4.149576476321875,2,12
2016-09-03,-0.6275705601828123,0,4
2016-09-04,-1.0493318807671868,0,2
2016-09-05,-0.6954459975359361,2,11
2016-09-06,-0.5357232566249983,0,29
2016-09-07,3.5598539991187512,2,14
2016-09-08,7.286171219190626,2,13
2016-09-09,13.794199564628125,2,22
2016-09-10,-2.1264920997031265,0,2
2016-09-11,-1.04561142823125,0,2
2016-09-12,8.334334147464062,3,14
2016-09-13,5.608480450000001,2,9
2016-09-14,5.5035778650000005,6,14
2016-09-15,9.4040469904375,9,14
2016-09-16,12.92299014198125,10,11
2016-09-17,-1.6949037655218753,12,0
2016-09-18,-1.5903956505390617,0,1
2016-09-19,5.995417896250002,4,19
2016-09-20,15.528373471609378,5,15
2016-09-21,9.357580374817188,6,8
2016-09-22,14.374152244889062,0,9
2016-09-23,2.7872516328265617,0,18
2016-09-24,-0.4180855193796864,0,4
2016-09-25,-0.7041199385546859,0,1
2016-09-26,13.784527561214066,6,19
2016-09-27,9.586525072640626,10,12
2016-09-28,6.380142643482813,9,12
2016-09-29,3.5544388394515627,7,8
2016-09-30,5.970611995803126,3,14
2016-10-01,-0.051741026204686236,0,2
2016-10-02,-0.38841712499687353,0,1
2016-10-03,8.962258638162501,4,7
2016-10-04,9.23249348472969,3,12
2016-10-05,6.831623114523438,7,9
2016-10-06,5.9083446749281245,2,6
2016-10-07,4.010685104082813,7,11
2016-10-08,-0.7672440243406242,0,1
2016-10-09,-1.1902880175687487,0,4
2016-10-10,2.191564131912502,1,4
2016-10-11,7.074020246057814,9,21
2016-10-12,2.5532576652187506,1,17
2016-10-13,12.792159409964063,5,9
2016-10-14,8.898152133051562,5,16
2016-10-15,2.8066553553687497,0,8
2016-10-16,1.29496853426875,0,8
2016-10-17,10.660781958714063,7,8
2016-10-18,7.899475440953125,5,14
2016-10-19,8.763517228267188,9,12
2016-10-20,14.559870792649999,10,12
2016-10-21,8.8683072363875,3,6
2016-10-22,-2.9963158974249997,0,3
2016-10-23,2.255590818276564,0,3
2016-10-24,9.39400956827344,13,14
2016-10-25,7.80232983620469,13,10
2016-10-26,1.655344768162501,7,17
2016-10-27,10.218073045218752,5,15
2016-10-28,8.655072445839064,7,7
2016-10-29,0.5518424507015633,0,7
2016-10-30,-1.670760652931249,0,1
2016-10-31,5.947158964187501,13,14
2016-11-01,17.491379634184376,3,17
2016-11-02,16.155338806948436,9,23
2016-11-03,12.596981480078124,4,16
2016-11-04,-0.4510693625812512,5,13
2016-11-05,-2.306223512353124,0,7
2016-11-06,-0.5030321544421847,0,2
2016-11-07,7.824751081142191,10,13
2016-11-08,6.207307842640627,7,23
2016-11-09,7.0561874062015635,1,12
2016-11-10,13.904476177020314,13,19
2016-11-11,1.2189684548171873,6,26
2016-11-12,1.1369006578781256,0,4
2016-11-13,-1.4056448663578116,0,1
2016-11-14,5.0606415707343775,6,31
2016-11-15,11.672260647823439,5,32
2016-11-16,11.840973856801563,4,19
2016-11-17,2.4121969225718747,3,15
2016-11-18,6.062981496426563,1,17
2016-11-19,0.004751018612500824,0,4
2016-11-20,-1.3425651741906235,0,5
2016-11-21,6.090188102392189,13,22
2016-11-22,14.611220145656251,3,17
2016-11-23,6.51883800558125,6,30
2016-11-24,-0.2556395464359378,5,8
2016-11-25,-1.4861365955812496,4,5
2016-11-26,-0.9306454093046859,0,2
2016-11-27,2.320707966181252,0,2
2016-11-28,7.208578471178126,4,23
2016-11-29,7.669831056390626,6,17
2016-11-30,10.316447732748436,5,20
2016-12-01,1.8623286497843745,4,10
2016-12-02,3.4951234511453126,3,20
2016-12-03,-0.39318024257187467,0,6
2016-12-04,0.029422061250001352,0,3
2016-12-05,5.200536378453126,7,16
2016-12-06,9.79919002201719,1,14
2016-12-07,1.1611757075718752,2,10
2016-12-08,2.6966264734890624,0,25
2016-12-09,6.8037182737562505,0,4
2016-12-10,-0.4951806839718744,0,2
2016-12-11,0.04509990305468825,0,2
2016-12-12,5.266688269448438,4,5
2016-12-13,2.8694075731203132,21,6
2016-12-14,0.9103298028625006,1,13
2016-12-15,5.141457548057813,7,4
2016-12-16,2.8905268578296877,4,22
2016-12-17,-1.0407481230187496,0,2
2016-12-18,0.37638309544687554,0,1
2016-12-19,1.4926141069484382,16,254
2016-12-20,0.4391419593703133,19,4
2016-12-21,0.5272071652218755,14,13
2016-12-22,-0.3946047636749996,10,11
2016-12-23,-0.24952411816562453,0,5
2016-12-24,-0.18322437977812456,0,0
2016-12-25,-0.10779238139374966,0,0
2016-12-26,-0.061034468015624815,0,2
2016-12-27,-0.051791187317187355,20,2
2016-12-28,-0.0374597143374999,12,0
2016-12-29,-0.017967165551562456,2,4
2016-12-30,-0.008398852535937478,8,4
2016-12-31,0.0,0,1
2017-01-01,0.0,0,0
2017-01-02,0.0,0,3
2017-01-03,2.0,19,6
2017-01-04,2.8,18,6
2017-01-05,15.61,7,4
2017-01-06,9.207999999999998,14,17
2017-01-07,-0.9468250000000014,0,7
2017-01-08,-1.1452210000000005,0,4
2017-01-09,5.2362257250000015,8,19
2017-01-10,18.82467107,6,11
2017-01-11,12.26904333521875,10,14
2017-01-12,8.045099328381248,11,11
2017-01-13,6.217542762892187,12,13
2017-01-14,-0.5831772799968737,0,7
2017-01-15,-1.7317002659109355,0,2
2017-01-16,-1.1537400300359353,9,5
2017-01-17,5.103039259406253,1,1
2017-01-18,3.6606772932218767,3,10
2017-01-19,12.645775982796875,0,10
2017-01-20,7.846598477539062,1,13
2017-01-21,1.902835412464062,0,6
2017-01-22,2.4562607011453124,0,1
2017-01-23,12.669371469928127,4,13
2017-01-24,10.741368260000002,0,9
2017-01-25,13.41503596565625,5,12
2017-01-26,9.88371644720625,1,15
2017-01-27,16.916222342601564,2,13
2017-01-28,2.1544630993406253,0,4
2017-01-29,-1.7615224874218738,0,3
2017-01-30,4.135232927793752,1,12
2017-01-31,14.038870206387504,0,21
2017-02-01,10.064612692793752,2,12
2017-02-02,20.021900607532814,2,20
2017-02-03,8.959292540221874,1,19
2017-02-04,10.486923966720312,0,3
2017-02-05,-2.4824332000624993,0,2
2017-02-06,5.877628944268753,1,14
2017-02-07,19.702288216870315,3,12
2017-02-08,20.262276787784376,15,6
2017-02-09,23.450672113971876,12,21
2017-02-10,8.653840741423437,3,18
2017-02-11,-1.413544437529687,0,9
2017-02-12,0.062000238564065224,0,0
2017-02-13,7.695181906481254,3,15
2017-02-14,23.394061025839065,0,20
2017-02-15,16.66439923336875,5,21
2017-02-16,6.425356311834375,5,18
2017-02-17,13.294741739700001,10,14
2017-02-18,3.066216120525001,0,5
2017-02-19,-0.9426380882999976,0,1
2017-02-20,1.927709965845315,12,13
2017-02-21,12.096235197235941,12,6
2017-02-22,14.233863327484377,14,18
2017-02-23,10.6367681394875,10,11
2017-02-24,8.758762229823438,6,16
2017-02-25,-2.0272705979109373,0,0
2017-02-26,0.0995088732796896,0,0
2017-02-27,3.54316869621719,2,26
2017-02-28,11.473778582865627,5,32
2017-03-01,17.6635236963875,2,20
2017-03-02,10.62155709573125,4,19
2017-03-03,5.770930757170312,0,14
2017-03-04,11.280982337059376,0,3
2017-03-05,-2.025119748446874,0,7
2017-03-06,9.147779877682815,8,19
2017-03-07,10.572305428600002,7,17
2017-03-08,14.16964981811719,9,18
2017-03-09,8.580881796720313,11,21
2017-03-10,13.8350508758125,10,20
2017-03-11,-3.5425692626437497,1,2
2017-03-12,-2.033202138792185,0,1
2017-03-13,13.573276180231252,10,10
2017-03-14,11.47371394054219,10,21
2017-03-15,15.087702816651564,15,13
2017-03-16,6.513775028267187,11,17
2017-03-17,18.034869414451563,6,15
2017-03-18,-1.8574738016968748,0,8
2017-03-19,0.6322298193890648,0,2
2017-03-20,13.164099881250003,6,22
2017-03-21,4.177167332265627,11,17
2017-03-22,9.56847742224219,5,24
2017-03-23,11.286126205215625,3,22
2017-03-24,6.996058127946876,5,13
2017-03-25,-0.7049852786874995,0,6
2017-03-26,0.164008944464064,0,1
2017-03-27,10.638281824631251,1,9
2017-03-28,9.816419223407813,11,15
2017-03-29,7.490153990851563,6,17
2017-03-30,12.583897903560938,6,17
2017-03-31,4.05581289985,3,17
2017-04-01,-2.363129483159374,0,3
2017-04-02,4.574217306109377,0,1
2017-04-03,2.402392163896877,6,12
2017-04-04,19.54724930874063,5,23
2017-04-05,17.91220961338125,1,14
2017-04-06,9.262016108162499,7,13
2017-04-07,5.6719804056562495,3,20
2017-04-08,8.146187445851563,0,6
2017-04-09,-0.8258664452515605,0,0
2017-04-10,4.063248824406252,2,8
2017-04-11,2.0029834989718776,2,20
2017-04-12,5.262057982778128,12,13
2017-04-13,8.090404109667189,6,19
2017-04-14,7.869402123792188,1,6
