,rust-lang/rust,apple/swift,JetBrains/kotlin
2018-07-17,65,87,28
2018-07-18,78,96,33
2018-07-19,57,76,26
2018-07-20,89,64,49
2018-07-21,42,39,0
2018-07-22,65,12,0
2018-07-23,62,66,28
2018-07-24,109,78,14
2018-07-25,82,116,33
2018-07-26,79,79,13
2018-07-27,56,75,18
2018-07-28,32,45,0
2018-07-29,56,28,1
2018-07-30,109,63,11
2018-07-31,108,112,11
2018-08-01,120,78,21
2018-08-02,64,58,50
2018-08-03,57,55,26
2018-08-04,68,12,0
2018-08-05,97,4,0
2018-08-06,58,49,37
2018-08-07,104,80,50
2018-08-08,70,59,32
2018-08-09,127,75,53
2018-08-10,46,88,53
2018-08-11,52,43,4
2018-08-12,41,16,1
2018-08-13,53,65,35
2018-08-14,125,105,33
2018-08-15,105,73,30
2018-08-16,116,115,27
2018-08-17,44,93,46
2018-08-18,40,53,1
2018-08-19,83,7,2
2018-08-20,72,70,174
2018-08-21,44,65,58
2018-08-22,118,62,12
2018-08-23,72,50,69
2018-08-24,87,95,51
2018-08-25,43,52,7
2018-08-26,57,18,0
2018-08-27,89,37,29
2018-08-28,61,80,15
2018-08-29,92,88,18
2018-08-30,98,56,231
2018-08-31,78,89,68
2018-09-01,64,26,0
2018-09-02,42,5,0
2018-09-03,74,5,2
2018-09-04,39,55,35
2018-09-05,64,82,38
2018-09-06,93,73,96
2018-09-07,74,38,91
2018-09-08,63,15,45
2018-09-09,47,1,5
2018-09-10,69,44,60
2018-09-11,85,61,81
2018-09-12,71,52,54
2018-09-13,76,52,68
2018-09-14,44,92,51
2018-09-15,69,29,2
2018-09-16,50,49,12
2018-09-17,51,34,43
2018-09-18,61,56,67
2018-09-19,45,71,32
2018-09-20,86,77,42
2018-09-21,50,80,43
2018-09-22,57,68,3
2018-09-23,43,10,1
2018-09-24,41,85,18
2018-09-25,51,75,40
2018-09-26,87,95,65
2018-09-27,35,76,35
2018-09-28,37,68,24
2018-09-29,66,20,4
2018-09-30,59,8,2
2018-10-01,51,60,39
2018-10-02,64,40,18
2018-10-03,42,72,25
2018-10-04,62,67,7
2018-10-05,82,93,4
2018-10-06,48,18,0
2018-10-07,30,13,0
2018-10-08,76,54,14
2018-10-09,76,68,30
2018-10-10,76,56,26
2018-10-11,58,65,32
2018-10-12,69,73,33
2018-10-13,76,30,0
2018-10-14,54,13,6
2018-10-15,123,55,34
2018-10-16,69,62,43
2018-10-17,63,31,51
2018-10-18,73,16,26
2018-10-19,67,40,35
2018-10-20,54,25,0
2018-10-21,36,15,2
2018-10-22,52,16,34
2018-10-23,57,42,24
2018-10-24,58,49,38
2018-10-25,122,47,50
2018-10-26,77,79,27
2018-10-27,49,45,10
2018-10-28,61,9,0
2018-10-29,61,57,13
2018-10-30,70,68,10
2018-10-31,62,67,46
2018-11-01,96,54,30
2018-11-02,62,56,57
2018-11-03,71,20,0
2018-11-04,37,62,2
2018-11-05,99,45,0
2018-11-06,53,105,30
2018-11-07,81,89,35
2018-11-08,56,71,50
2018-11-09,49,101,16
2018-11-10,85,58,0
2018-11-11,60,5,0
2018-11-12,38,44,22
2018-11-13,63,73,40
2018-11-14,36,101,21
2018-11-15,67,83,14
2018-11-16,123,115,25
2018-11-17,34,45,5
2018-11-18,47,16,1
2018-11-19,52,9,14
2018-11-20,72,14,16
2018-11-21,108,10,91
2018-11-22,61,22,47
2018-11-23,42,8,47
2018-11-24,61,3,2
2018-11-25,63,1,0
2018-11-26,56,82,44
2018-11-27,127,75,52
2018-11-28,47,88,44
2018-11-29,84,74,43
2018-11-30,103,98,29
2018-12-01,18,25,1
2018-12-02,57,13,0
2018-12-03,79,49,7
2018-12-04,82,86,20
2018-12-05,59,60,33
2018-12-06,74,66,36
2018-12-07,57,79,29
2018-12-08,57,41,0
2018-12-09,57,14,1
2018-12-10,73,62,29
2018-12-11,78,49,63
2018-12-12,86,78,57
2018-12-13,53,84,37
2018-12-14,80,38,17
2018-12-15,57,55,3
2018-12-16,40,25,2
2018-12-17,56,48,13
2018-12-18,50,65,45
2018-12-19,117,47,12
2018-12-20,86,52,35
2018-12-21,79,77,34
2018-12-22,75,5,0
2018-12-23,54,8,0
2018-12-24,38,3,21
2018-12-25,60,6,26
2018-12-26,52,5,49
2018-12-27,76,0,13
2018-12-28,61,2,17
2018-12-29,73,0,6
2018-12-30,72,5,0
2018-12-31,50,1,0
2019-01-01,60,2,1
2019-01-02,83,71,6
2019-01-03,89,44,3
2019-01-04,68,81,0
2019-01-05,70,25,5
2019-01-06,63,10,0
2019-01-07,82,31,2
2019-01-08,91,88,5
2019-01-09,51,60,19
2019-01-10,45,66,41
2019-01-11,44,58,49
2019-01-12,80,24,0
2019-01-13,107,7,0
2019-01-14,69,53,35
2019-01-15,67,74,29
2019-01-16,46,65,29
