,definitelytyped/definitelytyped,sindresorhus/type-fest,microsoft/TypeScript
2019-05-13,58,0,11.0
2019-05-14,67,0,5.899999999999999
2019-05-15,34,3,5.804999999999999
2019-05-16,17,0,2.6714999999999987
2019-05-17,14,0,3.8582125
2019-05-18,0,0,-1.2014217499999997
2019-05-19,1,0,-0.7412368874999989
2019-05-20,37,0,10.447868003750001
2019-05-21,16,0,11.457179095578125
2019-05-22,21,0,14.834746757245313
2019-05-23,2,0,12.165544993639061
2019-05-24,38,0,10.984678798935937
2019-05-25,1,0,-3.0868337252218754
2019-05-26,0,3,-1.8050566501796856
2019-05-27,1,0,-0.2760590712499973
2019-05-28,56,0,4.895750043078128
2019-05-29,0,0,3.5265670291515643
2019-05-30,32,0,12.57897997701719
2019-05-31,19,0,30.741720564154686
2019-06-01,0,0,-0.47253092025781473
2019-06-02,0,0,0.3852410519968741
2019-06-03,15,0,5.119575478750001
2019-06-04,30,0,4.001562446984378
2019-06-05,25,0,16.079451863120315
2019-06-06,14,0,18.91615265970625
2019-06-07,4,1,5.031321578851562
2019-06-08,12,0,-1.1569913375187495
2019-06-09,0,0,4.858523938001564
2019-06-10,12,0,0.9898952020593774
2019-06-11,18,0,5.391815848782815
2019-06-12,22,0,4.173671596654689
2019-06-13,16,0,2.2374868205031264
2019-06-14,14,2,30.467845726759375
2019-06-15,0,0,-3.129198802931252
2019-06-16,27,0,-2.1026604601046874
2019-06-17,16,0,7.65445842756875
2019-06-18,8,0,6.101708144451565
2019-06-19,29,0,21.047216523782815
2019-06-20,9,0,16.485622219154685
2019-06-21,21,0,15.094210840221875
2019-06-22,4,0,1.8832741271062492
2019-06-23,0,0,1.974038793334377
2019-06-24,31,0,5.691026531214065
2019-06-25,3,0,12.611486825359378
2019-06-26,43,0,15.896775309301564
2019-06-27,35,0,13.237772817853125
2019-06-28,33,0,14.097324077610939
2019-06-29,3,0,2.9724812619843757
2019-06-30,0,0,4.99340859247344
2019-07-01,58,0,24.33010481220625
2019-07-02,18,0,2.559565801945313
2019-07-03,30,1,10.777011043228127
2019-07-04,0,0,-1.4959070465859368
2019-07-05,2,4,6.669618360551565
2019-07-06,0,0,-2.4667518511421855
2019-07-07,0,0,-0.5263736942562469
2019-07-08,41,0,13.84953814187344
2019-07-09,29,0,2.649344679540626
2019-07-10,41,0,9.176066267920314
2019-07-11,30,0,13.893443645029688
2019-07-12,9,0,14.199881922215624
2019-07-13,1,0,-1.194638284712501
2019-07-14,0,0,-2.012984806573437
2019-07-15,26,0,9.675831930734377
2019-07-16,25,0,11.88169533347969
2019-07-17,27,0,16.283243038132813
2019-07-18,18,0,7.575767441648437
2019-07-19,18,0,4.958315252604688
2019-07-20,0,0,3.377710395659376
2019-07-21,0,0,-1.1984212566421855
2019-07-22,44,0,3.5453977111781274
2019-07-23,20,0,5.430774321828127
2019-07-24,17,0,3.2116848736359396
2019-07-25,18,0,12.398428358450001
2019-07-26,14,1,6.623519463645312
2019-07-27,0,0,-1.1463793220203122
2019-07-28,0,0,1.6783657928687505
2019-07-29,15,0,12.821077253018752
2019-07-30,20,0,6.825196646135938
2019-07-31,24,0,4.870077639960938
2019-08-01,25,0,8.037492357170313
2019-08-02,24,0,13.801918826351564
2019-08-03,0,5,2.0846245136062502
2019-08-04,0,0,3.902604500410938
2019-08-05,46,0,7.088684098417189
2019-08-06,22,0,19.84460220642344
2019-08-07,23,0,6.44984474860625
2019-08-08,26,0,8.084844223567188
2019-08-09,19,0,34.14255269959219
2019-08-10,0,0,2.5488521601406244
2019-08-11,1,0,-3.706936995653124
2019-08-12,29,0,4.708233317976564
2019-08-13,20,0,4.618013875143754
2019-08-14,17,0,13.681568590832816
2019-08-15,27,0,18.867082992803127
2019-08-16,22,0,19.03085967021875
2019-08-17,3,0,-0.5386192794734388
2019-08-18,0,0,-0.9848553854546864
2019-08-19,65,0,12.015076218462502
2019-08-20,26,0,7.210967735140628
2019-08-21,23,0,4.266831176139064
2019-08-22,26,0,3.5865354189984386
2019-08-23,25,0,6.825803909331252
2019-08-24,2,0,-1.2773042651499988
2019-08-25,2,0,-1.419707427889061
2019-08-26,32,0,10.122043841325002
2019-08-27,17,0,11.235011862709376
2019-08-28,2,0,5.669391735590625
2019-08-29,5,0,4.9493962435312495
2019-08-30,18,0,8.113005375404688
2019-08-31,0,0,2.8635016213937505
2019-09-01,0,0,-1.7542578733390615
2019-09-02,1,0,2.9148928262140643
2019-09-03,24,0,6.783292155578127
2019-09-04,26,0,16.357860895401565
2019-09-05,15,0,11.250408664157812
2019-09-06,15,0,4.168433963603125
2019-09-07,15,0,0.7172894208421874
2019-09-08,0,0,-1.6993371404374984
2019-09-09,18,0,9.894458352320315
2019-09-10,16,1,6.080288952937501
2019-09-11,30,0,17.03609862823125
2019-09-12,4,0,7.891283460431249
2019-09-13,3,0,4.187434860884375
2019-09-14,0,3,0.7030725346375002
2019-09-15,0,0,3.3176994557015647
2019-09-16,24,5,7.37947093364219
2019-09-17,15,0,10.023498999328126
2019-09-18,12,0,10.553199001729688
2019-09-19,9,0,3.288683736165625
2019-09-20,1,0,9.824482197395312
2019-09-21,0,0,5.508042529745313
2019-09-22,0,1,-2.2344370005484366
2019-09-23,25,0,13.633681711064064
2019-09-24,77,0,27.495009902679687
2019-09-25,67,2,13.552699444739062
2019-09-26,28,0,8.843885372865625
2019-09-27,33,0,19.320047083939063
2019-09-28,1,0,-4.513588691403124
2019-09-29,0,0,-2.635690422056247
2019-09-30,6,0,15.157329360962503
2019-10-01,20,0,10.901992942265629
2019-10-02,51,0,4.680489876492189
2019-10-03,45,0,9.214360450890625
2019-10-04,4,0,13.1590150714
2019-10-05,0,0,1.7394839676734382
2019-10-06,0,0,4.630137679173439
2019-10-07,36,0,0.8692549887500016
2019-10-08,30,2,1.2952298312343775
2019-10-09,29,0,8.480888904670316
2019-10-10,26,0,5.016431755371876
2019-10-11,5,0,-1.835624528974999
2019-10-12,0,0,-0.11181955743124883
2019-10-13,0,0,5.146159633096876
2019-10-14,47,0,5.867455419960939
2019-10-15,26,0,14.636284629451563
2019-10-16,29,0,26.63636495334531
2019-10-17,18,0,25.841872688485935
2019-10-18,14,0,17.833533271031246
2019-10-19,1,0,2.9312250109984355
2019-10-20,0,0,-3.7153450780156234
2019-10-21,3,0,11.543182445620317
2019-10-22,83,0,4.736691191175004
2019-10-23,19,0,2.105552207748441
2019-10-24,25,0,3.5646661069718775
2019-10-25,28,0,2.766657772239065
2019-10-26,4,0,-0.864220845437498
2019-10-27,1,0,-1.1822347874515609
2019-10-28,39,0,5.280142582212502
2019-10-29,73,0,4.882970985281251
2019-10-30,32,0,5.700182754121876
2019-10-31,3,0,2.595478624634375
2019-11-01,96,0,0.8219903654765628
2019-11-02,0,0,-0.9095038765437494
2019-11-03,1,0,-0.5758726506953115
2019-11-04,56,0,2.5935996449640637
2019-11-05,78,0,3.378101856906251
2019-11-06,31,0,1.1946595829406252
2019-11-07,45,0,3.3464298836750004
2019-11-08,17,0,0.21475988768593757
2019-11-09,1,0,0.47926771382500033
2019-11-10,0,1,-0.4210757425718747
2019-11-11,35,0,0.7256873612500006
2019-11-12,31,0,2.6869667509531254
2019-11-13,19,0,1.4799154978296878
2019-11-14,13,0,1.510114416325
2019-11-15,38,0,4.524510834115625
2019-11-16,9,0,-0.7793616694093751
2019-11-17,0,0,-0.40280442805156236
2019-11-18,46,0,2.7249629137140627
2019-11-19,36,0,6.495280573234376
2019-11-20,24,0,3.9988010409171872
2019-11-21,3,0,6.967169361360937
2019-11-22,33,0,9.622109687646875
2019-11-23,7,0,-0.8601270201500004
2019-11-24,0,0,-1.1206100501796872
2019-11-25,16,0,2.270201073750001
2019-11-26,28,0,-0.8568923752968736
2019-11-27,32,0,6.414113920032814
2019-11-28,0,0,-0.14178199032968708
2019-11-29,0,0,-0.7307209380546869
2019-11-30,0,0,-0.4763862097093746
2019-12-01,0,1,-0.3145792284109366
2019-12-02,10,0,4.824840308714063
2019-12-03,17,0,1.3630442234531248
2019-12-04,14,0,2.4589855561421876
2019-12-05,5,0,4.3894281126406245
2019-12-06,20,0,3.1363272192328124
2019-12-07,20,0,-0.8408076025359377
2019-12-08,1,0,-0.4825310624999998
2019-12-09,11,0,1.6525447437500007
2019-12-10,39,0,3.5272512549218757
2019-12-11,1,0,7.285310960039062
2019-12-12,1,0,-0.1906191753687505
2019-12-13,22,0,5.267262092314063
2019-12-14,0,0,-1.0681510147421878
2019-12-15,0,0,0.41181356485625076
2019-12-16,28,0,1.5045680575000007
2019-12-17,15,0,1.4461007389687508
2019-12-18,31,0,12.427816960365625
2019-12-19,1,0,1.3321298144812492
2019-12-20,37,0,5.857236939196875
2019-12-21,0,0,2.641970756870312
2019-12-22,1,0,0.8108431635343756
2019-12-23,52,0,5.090915019484376
2019-12-24,1,0,-0.2178167835671867
2019-12-25,0,0,-0.842105669853124
2019-12-26,45,0,-0.5883929505249991
2019-12-27,21,0,0.5470975542359388
2019-12-28,1,0,-0.38023655871718676
2019-12-29,0,0,-0.25934143731406195
2019-12-30,7,0,0.8390437738250003
2019-12-31,12,0,0.7940362205843752
2020-01-01,0,0,-0.22107817823124992
2020-01-02,33,0,2.9049391349640623
2020-01-03,34,0,10.63974380375
2020-01-04,0,0,0.7186524369843741
2020-01-05,0,0,-0.818177615035938
2020-01-06,15,0,3.51025679125
2020-01-07,17,0,9.246700240734375
2020-01-08,31,0,6.543937546948437
2020-01-09,22,0,1.417304421214062
2020-01-10,14,0,6.795290377203125
2020-01-11,5,0,-1.5867273932796873
2020-01-12,0,0,-0.9361395539265613
2020-01-13,19,0,2.388285884928126
2020-01-14,4,0,1.2318434354375012
2020-01-15,33,0,4.278551852200001
2020-01-16,28,0,4.025387781765625
2020-01-17,36,0,7.971367170665625
2020-01-18,4,0,1.541081688267187
2020-01-19,0,0,-1.0897228577874998
2020-01-20,17,0,-0.6350013637499995
2020-01-21,33,1,7.531251355953126
2020-01-22,35,0,6.827350022610938
2020-01-23,22,0,7.5530838861
2020-01-24,1,2,12.282834868492188
2020-01-25,19,0,4.640309831429687
2020-01-26,1,0,-1.9850286118703124
2020-01-27,42,0,4.840610842392189
2020-01-28,28,0,8.572128580000001
2020-01-29,24,0,12.075973813375
2020-01-30,24,0,3.4383339843374996
2020-01-31,23,3,12.960273527571875
2020-02-01,3,0,-2.759527428792188
2020-02-02,1,0,-1.5599767016124984
2020-02-03,17,0,1.9659162297484392
2020-02-04,16,0,1.9407469844062522
2020-02-05,25,0,7.942888682128126
2020-02-06,32,1,2.3975627274218754
2020-02-07,27,0,2.7061132426531254
2020-02-08,3,0,-1.1407555604499997
