,scikit-learn/scikit-learn,mlpack/mlpack,statsmodels/statsmodels
2010-04-05,0,2.0,1
2010-04-06,4,0.20000000000000018,0
2010-04-07,0,1.36,0
2010-04-08,8,0.9520000000000001,1
2010-04-09,0,-1.1872,1
2010-04-10,0,-0.46950400000000003,0
2010-04-11,0,1.7129215999999998,4
2010-04-12,0,1.99719168,14
2010-04-13,3,2.4054876160000003,3
2010-04-14,9,13.7885804544,1
2010-04-15,5,-5.235050700799999,0
2010-04-16,0,-3.2166117376,4
2010-04-17,0,-1.5917787136000003,6
2010-04-18,0,-1.0190387200000008,3
2010-04-19,9,-0.7397079040000003,2
2010-04-20,15,3.4281391104,1
2010-04-21,16,0.9611273216000003,1
2010-04-22,13,-2.0104251391999997,1
2010-04-23,7,-0.8510819327999999,0
2010-04-24,0,1.6160036863999998,14
2010-04-25,1,0.955392,1
2010-04-26,1,-1.2217087999999998,1
2010-04-27,0,0.48962816,0
2010-04-28,2,10.273065472,0
2010-04-29,7,-1.7597637631999987,0
2010-04-30,4,-1.7282248703999996,0
2010-05-01,0,-1.58826752,0
2010-05-02,0,-0.8666045440000004,11
2010-05-03,10,2.4028570624,12
2010-05-04,10,1.3719819264000002,13
2010-05-05,8,-0.8760734719999996,0
2010-05-06,11,2.7904141312000004,0
2010-05-07,23,-1.2414174207999995,0
2010-05-08,1,-1.2122061824,0
2010-05-09,6,1.4108562432,0
2010-05-10,4,-1.18435328,7
2010-05-11,0,2.475049984,0
2010-05-12,6,3.4479630336000002,2
2010-05-13,2,-0.5931956223999997,0
2010-05-14,1,3.2563044352,0
2010-05-15,1,-1.7970747391999997,4
2010-05-16,0,-1.4753952768,4
2010-05-17,6,2.2278389759999997,3
2010-05-18,2,-1.7274279936,5
2010-05-19,0,-0.7346063360000001,1
2010-05-20,3,1.5123178496,6
2010-05-21,0,-0.13391820799999987,6
2010-05-22,0,-0.8496014336,7
2010-05-23,0,-0.396036096,0
2010-05-24,3,11.7848901632,0
2010-05-25,1,7.053028864000001,0
2010-05-26,4,-1.354272870399999,0
2010-05-27,19,-2.26770432,1
2010-05-28,5,-0.7158819840000006,3
2010-05-29,6,-2.259376025600001,0
2010-05-30,2,-1.2237805568000004,0
2010-05-31,2,-0.8569651200000001,3
2010-06-01,2,5.339764736,0
2010-06-02,7,-1.9331296255999995,0
2010-06-03,3,6.5679760384,0
2010-06-04,3,-3.8350433279999994,2
2010-06-05,0,0.6704922623999998,0
2010-06-06,0,-0.5589083135999999,0
2010-06-07,2,-0.1405312000000003,2
2010-06-08,0,4.97919744,5
2010-06-09,3,5.039789568000001,8
2010-06-10,10,-4.324413132799999,4
2010-06-11,1,-1.5955222528,0
2010-06-12,0,-0.9536415744000003,2
2010-06-13,0,-0.5841571840000004,0
2010-06-14,2,0.5634822143999998,6
2010-06-15,3,0.2781171712000001,3
2010-06-16,13,3.2293030912000003,8
2010-06-17,6,2.0179653632000005,4
2010-06-18,3,11.712014745600001,3
2010-06-19,0,-6.407551999999999,0
2010-06-20,0,-1.1553152,0
2010-06-21,7,1.3764582399999998,4
2010-06-22,11,2.8524129279999997,6
2010-06-23,14,9.9633830912,0
2010-06-24,0,-4.501988044799999,0
2010-06-25,8,-0.2037553152,1
2010-06-26,13,-2.8561917952,0
2010-06-27,2,-1.4449943552000004,1
2010-06-28,7,-0.8496593920000004,3
2010-06-29,0,-0.6333436928000002,2
2010-06-30,0,0.5112272896000001,7
2010-07-01,2,-0.7666457599999997,3
2010-07-02,1,-0.3717991423999999,0
2010-07-03,5,-0.13506344959999997,0
2010-07-04,9,-0.07999447040000005,0
2010-07-05,1,-0.029952000000000017,0
2010-07-06,11,-0.022963200000000007,0
2010-07-07,9,1.98162944,5
2010-07-08,3,-0.8151557119999998,2
2010-07-09,0,0.7472018432,4
2010-07-10,6,-0.5279999999999999,0
2010-07-11,0,-0.2032000000000001,0
2010-07-12,0,-0.12390400000000004,2
2010-07-13,1,1.9124736,4
2010-07-14,2,1.1333068800000001,5
2010-07-15,3,-0.09327462399999975,1
2010-07-16,42,0.18803312640000014,13
2010-07-17,3,-0.746355712,0
2010-07-18,6,-0.33990215680000013,0
2010-07-19,2,-0.2114304000000001,3
2010-07-20,5,-0.15421952000000005,2
2010-07-21,1,-0.119967744,2
2010-07-22,2,-0.09724149759999998,1
2010-07-23,1,-0.05912258559999998,6
2010-07-24,2,-0.02795386879999999,0
2010-07-25,0,-0.012798156799999997,0
2010-07-26,14,0.0,2
2010-07-27,74,3.0,0
2010-07-28,18,-1.1999999999999997,0
2010-07-29,4,-0.36,1
2010-07-30,4,-0.192,0
2010-07-31,8,-0.12480000000000013,2
2010-08-01,6,-0.08985600000000005,0
2010-08-02,1,-0.06888960000000002,1
2010-08-03,0,-0.05511167999999998,4
2010-08-04,4,-0.04546713599999998,0
2010-08-05,4,3.9616055296,0
2010-08-06,4,-1.5999999999999996,2
2010-08-07,1,0.52,0
2010-08-08,17,0.3440000000000001,0
2010-08-09,0,3.3136,1
2010-08-10,0,0.09619200000000028,0
2010-08-11,4,3.5225472,0
2010-08-12,1,4.35896576,0
2010-08-13,16,-0.8079380479999996,3
2010-08-14,1,0.3444656128000001,0
2010-08-15,2,2.598716928,0
2010-08-16,5,3.8596774912000003,4
2010-08-17,13,-0.15144212479999908,2
2010-08-18,38,-2.3087552511999996,2
2010-08-19,17,3.0752856063999996,1
2010-08-20,22,-2.111042048,0
2010-08-21,3,-1.7450459136000003,0
2010-08-22,11,-0.9378648064,0
2010-08-23,9,-0.6365717504000004,0
2010-08-24,3,2.542113792,0
2010-08-25,8,1.4866514944000002,1
2010-08-26,10,1.2588356608000004,0
2010-08-27,16,0.14105272320000029,3
2010-08-28,0,-1.5559464959999998,0
2010-08-29,0,-0.6594541568000002,0
2010-08-30,6,-0.4115456000000002,0
2010-08-31,20,-0.29705728000000015,1
2010-09-01,8,-0.22937241600000002,3
2010-09-02,8,0.8151003136,1
2010-09-03,14,-0.5206027263999998,0
2010-09-04,6,-0.18870589439999996,0
2010-09-05,10,-0.08959631359999999,0
2010-09-06,24,-0.04160000000000005,0
2010-09-07,8,-0.029952000000000017,2
2010-09-08,54,1.9770368,2
2010-09-09,61,-0.8183705599999999,0
2010-09-10,11,-0.255155712,0
2010-09-11,23,-0.1407981568,7
2010-09-12,1,-0.0832000000000001,5
