,tryghost/ghost,WordPress/WordPress,getgrav/grav
2022-11-02,17,2,0
2022-11-03,17,1,0
2022-11-04,12,3,0
2022-11-05,2,1,0
2022-11-06,0,3,0
2022-11-07,19,5,0
2022-11-08,9,2,0
2022-11-09,6,8,0
2022-11-10,5,10,0
2022-11-11,11,13,0
2022-11-12,0,1,0
2022-11-13,0,3,0
2022-11-14,10,6,0
2022-11-15,8,2,0
2022-11-16,2,5,0
2022-11-17,38,3,0
2022-11-18,18,2,0
2022-11-19,0,1,0
2022-11-20,0,1,0
2022-11-21,6,1,0
2022-11-22,6,5,0
2022-11-23,15,4,0
2022-11-24,14,5,0
2022-11-25,3,1,0
2022-11-26,0,8,0
2022-11-27,0,1,0
2022-11-28,13,2,0
2022-11-29,10,10,0
2022-11-30,13,7,0
2022-12-01,30,7,1
2022-12-02,28,2,1
2022-12-03,0,1,0
2022-12-04,0,3,0
2022-12-05,12,3,0
2022-12-06,13,10,0
2022-12-07,29,3,0
2022-12-08,41,3,0
2022-12-09,14,3,0
2022-12-10,0,1,0
2022-12-11,0,1,0
2022-12-12,11,4,0
2022-12-13,7,5,0
2022-12-14,23,7,0
2022-12-15,8,4,0
2022-12-16,5,2,0
2022-12-17,0,2,0
2022-12-18,0,2,0
2022-12-19,0,4,0
2022-12-20,2,2,0
2022-12-21,0,1,0
2022-12-22,0,2,0
2022-12-23,1,1,0
2022-12-24,0,1,0
2022-12-25,0,1,0
2022-12-26,0,1,0
2022-12-27,0,1,0
2022-12-28,0,1,0
2022-12-29,0,1,0
2022-12-30,1,2,0
2022-12-31,0,1,0
2023-01-01,0,1,1
2023-01-02,4,2,6
2023-01-03,10,1,0
2023-01-04,17,1,0
2023-01-05,8,5,0
2023-01-06,17,2,0
2023-01-07,0,1,0
2023-01-08,0,1,0
2023-01-09,3,4,0
2023-01-10,11,6,0
2023-01-11,20,7,2
2023-01-12,6,5,0
2023-01-13,10,6,0
2023-01-14,0,3,0
2023-01-15,0,7,0
2023-01-16,3,5,0
2023-01-17,11,2,0
2023-01-18,17,10,0
2023-01-19,15,11,0
2023-01-20,22,6,0
2023-01-21,0,2,0
2023-01-22,0,3,0
2023-01-23,16,6,0
2023-01-24,10,15,0
2023-01-25,19,7,0
2023-01-26,7,6,0
2023-01-27,1,8,0
2023-01-28,0,3,0
2023-01-29,0,1,0
2023-01-30,25,3,0
2023-01-31,9,8,0
2023-02-01,9,14,0
2023-02-02,16,14,0
2023-02-03,12,19,0
2023-02-04,0,6,0
2023-02-05,0,1,0
2023-02-06,1,16,0
2023-02-07,5,53,0
2023-02-08,4,6,0
2023-02-09,15,2,0
2023-02-10,4,2,1
2023-02-11,0,3,0
2023-02-12,0,1,0
2023-02-13,24,17,0
2023-02-14,2,18,0
2023-02-15,10,7,1
2023-02-16,9,5,0
2023-02-17,22,5,1
2023-02-18,0,2,0
2023-02-19,0,1,14
2023-02-20,21,3,8
2023-02-21,25,12,5
2023-02-22,28,8,5
2023-02-23,26,8,0
2023-02-24,1,4,2
2023-02-25,0,2,0
2023-02-26,0,1,0
2023-02-27,21,4,0
2023-02-28,14,7,0
2023-03-01,24,18,0
2023-03-02,30,2,0
2023-03-03,16,3,0
2023-03-04,0,1,0
2023-03-05,0,1,0
2023-03-06,7,7,6
2023-03-07,12,12,2
2023-03-08,11,7,0
2023-03-09,7,10,0
2023-03-10,14,9,0
2023-03-11,0,1,0
2023-03-12,1,1,0
2023-03-13,9,2,0
2023-03-14,18,6,0
2023-03-15,31,3,0
2023-03-16,21,2,0
2023-03-17,38,2,1
2023-03-18,0,3,0
2023-03-19,0,2,0
2023-03-20,9,4,0
2023-03-21,15,8,0
2023-03-22,29,2,7
2023-03-23,17,2,0
2023-03-24,25,4,0
2023-03-25,0,1,0
2023-03-26,0,1,0
2023-03-27,10,2,0
2023-03-28,26,5,0
2023-03-29,7,3,0
2023-03-30,26,3,0
2023-03-31,2,1,0
2023-04-01,1,1,0
2023-04-02,6,1,0
2023-04-03,13,1,0
2023-04-04,15,10,0
2023-04-05,18,1,0
2023-04-06,25,2,1
2023-04-07,24,1,0
2023-04-08,2,2,0
2023-04-09,0,1,0
2023-04-10,10,3,0
2023-04-11,13,3,0
2023-04-12,21,2,0
2023-04-13,18,1,0
2023-04-14,24,1,0
2023-04-15,0,1,0
2023-04-16,0,1,0
2023-04-17,19,1,0
2023-04-18,28,3,0
2023-04-19,26,4,0
2023-04-20,33,4,0
2023-04-21,47,8,0
2023-04-22,0,1,0
2023-04-23,0,1,0
2023-04-24,0,5,0
2023-04-25,2,1,0
2023-04-26,9,5,0
2023-04-27,14,4,0
2023-04-28,1,3,0
2023-04-29,0,1,0
2023-04-30,0,1,0
2023-05-01,11,1,0
2023-05-02,12,3,0
2023-05-03,15,14,0
2023-05-04,3,2,0
2023-05-05,17,2,0
2023-05-06,0,1,0
2023-05-07,0,1,0
2023-05-08,11,2,10
2023-05-09,7,3,12
2023-05-10,9,3,4
2023-05-11,13,8,0
2023-05-12,14,2,0
2023-05-13,1,1,0
2023-05-14,0,2,0
2023-05-15,14,1,0
2023-05-16,28,8,0
2023-05-17,46,6,0
2023-05-18,11,3,0
2023-05-19,51,2,0
2023-05-20,0,2,0
2023-05-21,0,1,0
2023-05-22,25,4,0
2023-05-23,32,3,1
2023-05-24,25,3,0
2023-05-25,36,5,0
2023-05-26,1,3,0
2023-05-27,0,1,0
2023-05-28,0,1,0
2023-05-29,13,2,0
2023-05-30,34,6,0
2023-05-31,23,1,0
2023-06-01,58,2,5
2023-06-02,63,1,0
2023-06-03,0,1,0
2023-06-04,2,1,0
2023-06-05,41,4,0
2023-06-06,39,3,0
2023-06-07,44,7,0
2023-06-08,26,7,1
2023-06-09,32,3,0
2023-06-10,0,2,0
2023-06-11,3,1,0
2023-06-12,13,2,0
2023-06-13,28,3,3
2023-06-14,37,11,4
2023-06-15,20,3,5
2023-06-16,32,5,0
2023-06-17,0,3,0
2023-06-18,1,4,0
2023-06-19,13,6,0
2023-06-20,16,10,0
2023-06-21,30,20,0
2023-06-22,19,18,0
2023-06-23,29,17,0
2023-06-24,0,12,0
2023-06-25,0,7,0
2023-06-26,7,19,0
2023-06-27,24,35,0
2023-06-28,5,19,0
2023-06-29,23,15,0
2023-06-30,1,4,0
2023-07-01,0,3,0
2023-07-02,0,2,0
2023-07-03,14,6,0
2023-07-04,18,4,0
2023-07-05,9,9,0
2023-07-06,10,13,0
2023-07-07,18,8,0
2023-07-08,0,4,0
2023-07-09,0,14,0
2023-07-10,20,14,0
2023-07-11,16,20,0
2023-07-12,15,6,0
2023-07-13,11,6,0
2023-07-14,17,9,0
2023-07-15,0,3,0
2023-07-16,0,3,0
2023-07-17,30,10,0
2023-07-18,12,12,8
2023-07-19,7,5,0
2023-07-20,13,2,0
2023-07-21,17,3,0
2023-07-22,0,2,0
2023-07-23,0,1,0
2023-07-24,8,6,0
2023-07-25,23,8,0
2023-07-26,12,4,0
2023-07-27,15,3,0
2023-07-28,2,3,0
2023-07-29,0,1,0
2023-07-30,0,1,0
2023-07-31,12,2,0
2023-08-01,22,9,0
2023-08-02,10,4,0
2023-08-03,16,7,0
2023-08-04,8,2,0
2023-08-05,0,1,0
2023-08-06,0,1,0
2023-08-07,21,4,0
2023-08-08,10,1,0
2023-08-09,15,2,0
2023-08-10,24,5,0
2023-08-11,23,10,0
2023-08-12,0,1,0
2023-08-13,0,1,0
2023-08-14,5,1,0
2023-08-15,13,1,0
2023-08-16,8,3,0
2023-08-17,6,10,0
2023-08-18,7,7,0
2023-08-19,0,2,0
2023-08-20,0,1,0
2023-08-21,7,2,0
2023-08-22,8,1,2
2023-08-23,19,1,0
2023-08-24,7,32,0
2023-08-25,2,8,0
2023-08-26,0,3,0
2023-08-27,0,3,0
2023-08-28,4,3,0
2023-08-29,16,5,0
2023-08-30,16,6,0
2023-08-31,17,4,0
2023-09-01,15,7,0
2023-09-02,7,1,0
2023-09-03,0,1,0
2023-09-04,13,2,0
2023-09-05,13,4,0
2023-09-06,14,12,0
2023-09-07,18,12,0
2023-09-08,26,4,0
2023-09-09,0,1,0
2023-09-10,0,2,0
2023-09-11,12,4,0
2023-09-12,20,5,0
2023-09-13,27,8,0
2023-09-14,22,21,0
2023-09-15,32,4,0
2023-09-16,0,2,0
2023-09-17,0,5,0
2023-09-18,15,11,0
2023-09-19,28,13,0
2023-09-20,26,11,0
2023-09-21,18,17,0
2023-09-22,39,9,0
2023-09-23,0,3,0
2023-09-24,0,2,0
2023-09-25,21,20,0
2023-09-26,22,39,0
2023-09-27,12,6,0
2023-09-28,9,4,0
2023-09-29,1,9,0
2023-09-30,0,1,0
2023-10-01,0,1,0
2023-10-02,22,5,9
2023-10-03,16,13,0
2023-10-04,27,8,0
2023-10-05,12,3,0
2023-10-06,19,4,0
2023-10-07,0,1,0
2023-10-08,0,4,0
2023-10-09,12,9,0
2023-10-10,13,12,0
2023-10-11,19,8,0
2023-10-12,21,14,0
2023-10-13,15,9,0
2023-10-14,0,1,0
2023-10-15,0,3,0
2023-10-16,25,11,0
2023-10-17,11,18,0
2023-10-18,12,2,0
2023-10-19,3,4,0
2023-10-20,20,4,0
2023-10-21,0,2,0
2023-10-22,0,1,0
2023-10-23,3,6,0
2023-10-24,13,6,10
2023-10-25,19,1,3
2023-10-26,7,4,0
2023-10-27,4,5,0
2023-10-28,0,1,1
2023-10-29,0,1,0
2023-10-30,8,2,0
2023-10-31,17,5,0
2023-11-01,18,5,0
