,nestjs/nest,fastify/fastify,koajs/koa
2017-04-08,7,5.0,0
2017-04-09,0,2.0,0
2017-04-10,0,-2.220446049250313e-16,0
2017-04-11,5,-0.6800000000000004,0
2017-04-12,0,10.608,0
2017-04-13,0,-0.47647999999999957,2
2017-04-14,0,-1.4923520000000008,1
2017-04-15,0,3.1405439999999993,0
2017-04-16,0,-1.4087475199999997,0
2017-04-17,0,-0.7905326080000001,1
2017-04-18,0,1.4804154368,0
2017-04-19,0,-0.7739208704,0
2017-04-20,0,6.545737728000001,1
2017-04-21,0,-0.7436534783999993,2
2017-04-22,0,-0.9198455808000005,0
2017-04-23,0,-0.5246228480000001,3
2017-04-24,0,-0.3739350016,0
2017-04-25,0,-0.24620544000000014,0
2017-04-26,0,0.802686976,1
2017-04-27,0,-0.36385454079999996,0
2017-04-28,0,-0.19764070399999967,0
2017-04-29,0,-0.14967316479999973,1
2017-04-30,0,-0.04606935039999997,0
2017-05-01,7,-0.025536000000000014,0
2017-05-02,1,-0.02042880000000001,0
2017-05-03,0,-0.01692672000000001,0
2017-05-04,2,-0.01438771199999994,0
2017-05-05,7,0.9875306496,1
2017-05-06,2,-0.19999999999999996,0
2017-05-07,5,2.92,0
2017-05-08,0,3.3520000000000003,0
2017-05-09,3,-1.0736,0
2017-05-10,1,-0.4895360000000004,0
2017-05-11,0,-0.3132288000000002,1
2017-05-12,0,-0.2279347200000001,0
2017-05-13,3,-0.17781811200000003,0
2017-05-14,23,-0.14496471040000003,0
2017-05-15,3,3.889129984,0
2017-05-16,0,3.1050411008000003,0
2017-05-17,0,7.8301225984,1
2017-05-18,0,0.6879999999999997,0
2017-05-19,0,0.35359999999999925,0
2017-05-20,0,-1.3085440000000006,0
2017-05-21,4,3.2097407999999996,2
2017-05-22,2,-1.37604608,0
2017-05-23,15,2.227075072,0
2017-05-24,4,-1.1641271295999998,0
2017-05-25,0,5.354595430400001,0
2017-05-26,0,-0.6353847295999993,0
2017-05-27,1,2.0713013248,0
2017-05-28,0,2.8627464191999996,0
2017-05-29,0,-1.4084372479999998,0
2017-05-30,1,0.24852643839999966,0
2017-05-31,1,-0.684071936,0
2017-06-01,0,3.5495948288,0
2017-06-02,6,1.8853166080000003,0
2017-06-03,4,-1.1752991744,0
2017-06-04,0,1.4191246335999999,0
2017-06-05,0,-0.7937876991999997,0
2017-06-06,0,0.5702518783999999,0
2017-06-07,0,-0.46871091200000004,0
2017-06-08,0,-0.2886626304000001,0
2017-06-09,0,-0.20740300799999986,0
2017-06-10,0,-0.1674981375999997,0
2017-06-11,0,-0.09679749119999993,0
2017-06-12,0,-0.049204223999999894,3
2017-06-13,0,-0.04186542079999994,0
2017-06-14,1,-0.01438771199999994,0
2017-06-15,0,-0.012469350399999964,0
2017-06-16,0,5.0,0
2017-06-17,0,-0.9999999999999998,0
2017-06-18,0,0.5999999999999996,0
2017-06-19,0,2.5599999999999996,0
2017-06-20,0,-0.848,6
2017-06-21,0,-0.4156800000000003,0
2017-06-22,0,1.7202559999999998,0
2017-06-23,0,6.3890304,0
2017-06-24,4,-1.7289753599999995,0
2017-06-25,2,6.2034401279999996,0
2017-06-26,0,1.1316321280000001,0
2017-06-27,0,5.4980955136,0
2017-06-28,0,-2.2330176512,0
2017-06-29,0,0.8839449599999991,0
2017-06-30,0,-0.16281446400000021,0
2017-07-01,0,-0.9404622847999997,0
2017-07-02,0,3.3781891072,0
2017-07-03,0,0.7903042560000004,0
2017-07-04,0,-0.05360762879999981,0
2017-07-05,0,0.24348436480000024,0
2017-07-06,0,-0.6519676927999999,0
2017-07-07,0,-0.3430461440000001,1
2017-07-08,0,-0.2537136128,0
2017-07-09,0,-0.18016983040000006,0
2017-07-10,0,1.8626309120000002,0
