,jetbrains/kotlin,apache/groovy,scala/scala
2023-10-22,0,0,0
2023-10-23,26,2,1
2023-10-24,51,0,1
2023-10-25,40,4,0
2023-10-26,36,2,1
2023-10-27,29,0,3
2023-10-28,0,2,2
2023-10-29,0,0,0
2023-10-30,25,0,1
2023-10-31,15,1,0
2023-11-01,22,0,4
2023-11-02,39,1,4
2023-11-03,9,2,0
2023-11-04,0,1,1
2023-11-05,6,0,3
2023-11-06,52,11,9
2023-11-07,38,3,6
2023-11-08,36,0,2
2023-11-09,45,0,2
2023-11-10,41,0,0
2023-11-11,2,0,1
2023-11-12,0,0,0
2023-11-13,31,4,0
2023-11-14,56,1,5
2023-11-15,49,1,7
2023-11-16,87,0,0
2023-11-17,28,0,0
2023-11-18,2,10,0
2023-11-19,0,1,0
2023-11-20,69,0,0
2023-11-21,40,5,0
2023-11-22,42,1,2
2023-11-23,42,3,6
2023-11-24,32,4,3
2023-11-25,1,0,0
2023-11-26,7,5,0
2023-11-27,29,0,4
2023-11-28,53,3,0
2023-11-29,28,5,6
2023-11-30,37,0,2
2023-12-01,41,2,2
2023-12-02,0,0,0
2023-12-03,0,0,0
2023-12-04,41,0,2
2023-12-05,82,0,6
2023-12-06,18,2,7
2023-12-07,72,1,3
2023-12-08,37,0,3
2023-12-09,1,3,0
2023-12-10,0,0,0
2023-12-11,10,0,4
2023-12-12,57,0,2
2023-12-13,70,2,5
2023-12-14,29,5,3
2023-12-15,27,1,2
2023-12-16,3,5,0
2023-12-17,3,0,2
2023-12-18,41,3,7
2023-12-19,86,0,13
2023-12-20,29,4,2
2023-12-21,67,3,0
2023-12-22,2,3,5
2023-12-23,0,1,0
2023-12-24,1,1,2
2023-12-25,0,0,0
2023-12-26,2,2,0
2023-12-27,3,1,0
2023-12-28,11,0,1
2023-12-29,4,1,0
2023-12-30,0,6,0
2023-12-31,0,1,0
2024-01-01,0,1,0
2024-01-02,30,1,0
2024-01-03,35,0,2
2024-01-04,36,2,4
2024-01-05,56,4,4
2024-01-06,3,1,0
2024-01-07,0,0,0
2024-01-08,51,1,3
2024-01-09,43,5,0
2024-01-10,57,1,0
2024-01-11,33,6,4
2024-01-12,48,7,1
2024-01-13,0,5,7
2024-01-14,1,1,3
2024-01-15,39,4,6
2024-01-16,55,1,14
2024-01-17,59,0,1
2024-01-18,46,2,12
2024-01-19,55,0,4
2024-01-20,1,2,0
2024-01-21,0,3,0
2024-01-22,42,1,2
2024-01-23,39,2,2
2024-01-24,43,1,1
2024-01-25,22,5,3
2024-01-26,46,3,7
2024-01-27,1,1,1
2024-01-28,1,1,0
2024-01-29,45,3,1
2024-01-30,49,6,7
2024-01-31,52,1,2
2024-02-01,24,0,0
2024-02-02,23,0,4
2024-02-03,0,0,0
2024-02-04,0,2,0
2024-02-05,29,1,1
2024-02-06,23,0,3
2024-02-07,27,1,2
2024-02-08,47,0,6
2024-02-09,64,0,0
2024-02-10,4,0,0
2024-02-11,10,1,0
2024-02-12,52,0,20
2024-02-13,54,0,3
2024-02-14,53,3,2
2024-02-15,58,2,0
2024-02-16,17,0,0
2024-02-17,0,0,0
2024-02-18,7,0,0
2024-02-19,67,0,3
2024-02-20,42,0,0
2024-02-21,49,3,3
2024-02-22,40,12,4
2024-02-23,46,5,6
2024-02-24,0,3,2
2024-02-25,10,1,0
2024-02-26,61,4,2
2024-02-27,69,2,0
2024-02-28,98,0,0
2024-02-29,41,1,0
2024-03-01,31,0,2
2024-03-02,1,0,1
2024-03-03,1,0,0
2024-03-04,45,3,0
2024-03-05,52,1,4
2024-03-06,48,0,1
2024-03-07,56,0,2
2024-03-08,38,6,1
2024-03-09,32,3,1
2024-03-10,3,7,2
2024-03-11,62,2,2
2024-03-12,71,0,0
2024-03-13,52,1,2
2024-03-14,79,0,9
2024-03-15,61,0,1
2024-03-16,3,0,4
2024-03-17,0,0,2
2024-03-18,32,1,0
2024-03-19,46,1,3
2024-03-20,50,0,0
2024-03-21,41,1,1
2024-03-22,40,3,0
2024-03-23,2,0,0
2024-03-24,0,0,4
2024-03-25,31,0,2
2024-03-26,46,8,5
2024-03-27,29,4,3
2024-03-28,49,0,0
2024-03-29,10,0,0
2024-03-30,0,1,1
2024-03-31,4,2,0
2024-04-01,1,0,0
2024-04-02,53,0,1
2024-04-03,56,0,0
2024-04-04,58,2,3
2024-04-05,25,0,2
2024-04-06,0,9,4
2024-04-07,1,0,0
2024-04-08,31,1,12
2024-04-09,31,1,7
2024-04-10,24,1,4
2024-04-11,29,0,4
2024-04-12,54,0,1
2024-04-13,2,0,2
2024-04-14,0,0,0
2024-04-15,42,0,6
2024-04-16,68,1,1
2024-04-17,59,0,4
2024-04-18,70,5,0
2024-04-19,64,10,1
2024-04-20,0,1,0
2024-04-21,0,1,1
2024-04-22,51,1,0
2024-04-23,52,2,0
2024-04-24,42,4,0
2024-04-25,57,1,0
2024-04-26,37,0,0
2024-04-27,7,0,0
2024-04-28,0,1,0
2024-04-29,36,0,0
2024-04-30,31,1,0
2024-05-01,2,3,2
2024-05-02,46,0,0
2024-05-03,14,3,1
2024-05-04,0,1,0
2024-05-05,0,0,1
2024-05-06,36,0,3
2024-05-07,55,0,1
2024-05-08,60,3,5
2024-05-09,9,2,0
2024-05-10,33,2,0
2024-05-11,0,0,0
2024-05-12,4,1,1
2024-05-13,51,1,3
2024-05-14,35,1,0
2024-05-15,76,0,0
2024-05-16,33,1,0
2024-05-17,31,0,0
2024-05-18,5,4,0
2024-05-19,2,4,0
2024-05-20,8,1,1
2024-05-21,47,0,6
2024-05-22,47,0,6
2024-05-23,33,1,0
2024-05-24,13,0,0
2024-05-25,3,0,0
2024-05-26,0,2,0
2024-05-27,68,0,0
