,BabylonJS/Babylon.js,mrdoob/three.js,playcanvas/engine
2013-08-27,2,0,0
2013-08-28,2,0,2
2013-08-29,1,0,6
2013-08-30,1,1,6
2013-08-31,0,0,4
2013-09-01,0,0,0
2013-09-02,0,0,8
2013-09-03,0,0,3
2013-09-04,3,3,0
2013-09-05,0,9,0
2013-09-06,0,5,3
2013-09-07,0,0,0
2013-09-08,0,0,0
2013-09-09,0,1,3
2013-09-10,0,4,0
2013-09-11,0,6,0
2013-09-12,0,4,1
2013-09-13,2,1,0
2013-09-14,12,0,0
2013-09-15,0,1,0
2013-09-16,2,11,0
2013-09-17,2,0,1
2013-09-18,1,2,5
2013-09-19,0,5,3
2013-09-20,0,8,6
2013-09-21,0,2,0
2013-09-22,0,0,0
2013-09-23,0,8,0
2013-09-24,1,0,0
2013-09-25,0,13,0
2013-09-26,0,5,0
2013-09-27,0,0,0
2013-09-28,0,0,0
2013-09-29,0,1,0
2013-09-30,0,3,0
2013-10-01,0,5,2
2013-10-02,0,8,4
2013-10-03,0,2,5
2013-10-04,0,3,8
2013-10-05,0,3,6
2013-10-06,4,0,0
2013-10-07,0,0,0
2013-10-08,10,1,2
2013-10-09,1,0,4
2013-10-10,1,0,19
2013-10-11,2,3,3
2013-10-12,0,8,0
2013-10-13,0,0,0
2013-10-14,0,10,3
2013-10-15,0,0,5
2013-10-16,0,6,7
2013-10-17,0,13,5
2013-10-18,5,11,26
2013-10-19,0,3,0
2013-10-20,0,5,0
2013-10-21,0,15,10
2013-10-22,0,8,11
2013-10-23,0,6,0
2013-10-24,0,7,2
2013-10-25,0,5,10
2013-10-26,0,3,4
2013-10-27,0,3,0
2013-10-28,5,7,2
2013-10-29,0,4,6
2013-10-30,0,9,1
2013-10-31,3,4,18
2013-11-01,1,15,5
2013-11-02,0,3,0
2013-11-03,3,4,0
2013-11-04,2,5,1
2013-11-05,3,15,2
2013-11-06,1,12,0
2013-11-07,0,2,4
2013-11-08,1,7,3
2013-11-09,0,6,0
2013-11-10,0,9,0
2013-11-11,0,2,3
2013-11-12,0,5,0
2013-11-13,0,2,4
2013-11-14,0,4,6
2013-11-15,0,6,10
2013-11-16,0,4,0
2013-11-17,0,1,4
2013-11-18,0,16,11
2013-11-19,0,3,8
2013-11-20,0,7,8
2013-11-21,0,4,12
2013-11-22,0,4,4
2013-11-23,0,2,3
2013-11-24,0,3,1
2013-11-25,1,14,27
2013-11-26,1,2,6
2013-11-27,0,0,5
2013-11-28,0,0,2
2013-11-29,2,0,0
2013-11-30,0,0,0
2013-12-01,0,2,0
2013-12-02,0,5,0
2013-12-03,1,6,0
2013-12-04,0,14,0
2013-12-05,1,3,2
2013-12-06,5,6,0
2013-12-07,0,1,1
2013-12-08,0,6,1
2013-12-09,0,1,1
2013-12-10,1,5,4
2013-12-11,3,11,4
2013-12-12,0,3,0
2013-12-13,1,1,4
2013-12-14,0,2,0
2013-12-15,0,3,0
2013-12-16,0,5,1
2013-12-17,0,0,2
2013-12-18,2,5,3
2013-12-19,0,7,3
2013-12-20,0,3,1
2013-12-21,1,0,2
2013-12-22,0,1,3
2013-12-23,0,0,1
2013-12-24,0,11,0
2013-12-25,0,6,0
2013-12-26,0,1,0
2013-12-27,0,1,0
2013-12-28,0,2,0
2013-12-29,0,4,2
2013-12-30,0,1,3
2013-12-31,1,6,1
2014-01-01,1,1,0
2014-01-02,2,0,17
2014-01-03,2,4,25
2014-01-04,1,6,7
2014-01-05,7,0,2
2014-01-06,3,3,9
2014-01-07,3,6,17
2014-01-08,0,4,16
2014-01-09,1,10,10
2014-01-10,1,12,6
2014-01-11,0,1,0
2014-01-12,0,0,1
2014-01-13,5,12,12
2014-01-14,3,17,9
2014-01-15,1,31,17
2014-01-16,5,1,1
2014-01-17,2,0,8
2014-01-18,0,0,0
2014-01-19,2,0,0
2014-01-20,18,2,12
2014-01-21,4,8,14
2014-01-22,5,3,10
2014-01-23,6,0,0
2014-01-24,2,8,0
2014-01-25,1,3,0
2014-01-26,3,7,0
2014-01-27,1,45,0
2014-01-28,0,16,0
2014-01-29,3,31,8
2014-01-30,0,14,0
2014-01-31,0,14,0
2014-02-01,0,5,0
2014-02-02,1,0,0
2014-02-03,0,0,3
2014-02-04,1,2,0
2014-02-05,1,22,0
2014-02-06,0,10,0
2014-02-07,0,18,0
2014-02-08,0,5,0
2014-02-09,1,3,0
2014-02-10,1,34,4
2014-02-11,0,7,0
2014-02-12,1,51,0
2014-02-13,0,23,0
2014-02-14,0,15,0
2014-02-15,1,13,4
2014-02-16,2,4,0
2014-02-17,4,18,0
2014-02-18,1,20,0
2014-02-19,10,52,13
2014-02-20,0,18,12
2014-02-21,0,9,1
2014-02-22,0,7,0
2014-02-23,1,9,0
2014-02-24,1,23,2
2014-02-25,0,13,7
2014-02-26,3,18,0
2014-02-27,1,5,0
2014-02-28,0,4,0
2014-03-01,0,16,0
2014-03-02,0,9,0
2014-03-03,0,8,10
2014-03-04,0,15,0
2014-03-05,0,5,4
2014-03-06,0,22,0
2014-03-07,0,7,0
2014-03-08,0,6,0
2014-03-09,0,18,4
2014-03-10,0,4,4
2014-03-11,3,21,2
2014-03-12,1,34,1
2014-03-13,2,17,16
2014-03-14,4,3,10
2014-03-15,0,6,0
2014-03-16,1,1,0
2014-03-17,1,0,0
2014-03-18,5,5,0
2014-03-19,2,5,0
2014-03-20,1,4,0
2014-03-21,4,0,0
2014-03-22,1,6,0
2014-03-23,0,3,0
2014-03-24,6,14,2
2014-03-25,5,5,0
2014-03-26,1,6,0
2014-03-27,1,4,2
2014-03-28,0,34,1
2014-03-29,3,8,0
2014-03-30,1,0,0
2014-03-31,1,8,4
2014-04-01,2,1,0
2014-04-02,7,19,0
2014-04-03,5,8,0
2014-04-04,6,4,1
2014-04-05,0,0,0
2014-04-06,1,0,0
2014-04-07,12,5,0
2014-04-08,1,16,0
2014-04-09,0,9,1
2014-04-10,4,1,1
2014-04-11,5,2,0
2014-04-12,0,13,0
2014-04-13,0,3,0
2014-04-14,0,7,0
2014-04-15,3,14,0
2014-04-16,3,2,1
2014-04-17,10,7,0
2014-04-18,7,1,0
2014-04-19,0,15,0
2014-04-20,1,1,0
2014-04-21,0,7,0
2014-04-22,3,2,0
2014-04-23,3,2,16
2014-04-24,1,6,12
2014-04-25,2,10,6
2014-04-26,0,4,0
2014-04-27,0,1,0
2014-04-28,2,12,4
2014-04-29,4,5,2
2014-04-30,4,7,5
2014-05-01,0,4,4
2014-05-02,1,12,11
2014-05-03,0,2,0
2014-05-04,0,1,0
2014-05-05,5,16,0
2014-05-06,3,10,0
2014-05-07,10,8,3
2014-05-08,2,11,3
2014-05-09,1,7,2
2014-05-10,7,35,1
2014-05-11,2,18,0
2014-05-12,3,17,2
2014-05-13,12,5,9
2014-05-14,2,8,0
2014-05-15,2,5,1
2014-05-16,3,7,0
2014-05-17,0,2,0
2014-05-18,1,3,0
2014-05-19,1,2,4
2014-05-20,1,5,0
2014-05-21,2,11,11
2014-05-22,3,14,11
2014-05-23,0,4,8
2014-05-24,0,3,0
2014-05-25,1,2,0
2014-05-26,3,1,0
2014-05-27,0,2,23
2014-05-28,0,3,1
2014-05-29,1,1,3
2014-05-30,2,0,0
2014-05-31,1,5,6
2014-06-01,1,4,0
2014-06-02,2,3,7
2014-06-03,1,3,3
2014-06-04,7,0,12
2014-06-05,4,0,6
2014-06-06,2,3,12
2014-06-07,0,4,0
2014-06-08,0,2,1
2014-06-09,2,13,0
2014-06-10,2,0,2
2014-06-11,8,0,0
2014-06-12,5,3,10
2014-06-13,8,0,1
2014-06-14,0,3,8
2014-06-15,0,9,0
2014-06-16,2,1,8
