,mui/material-ui,ant-design/ant-design,twbs/bootstrap
2015-05-07,3.0,5,2
2015-05-08,0.6999999999999997,5,4
2015-05-09,6.765,9,2
2015-05-10,13.1695,0,2
2015-05-11,21.1945125,4,3
2015-05-12,16.801487249999997,7,5
2015-05-13,4.365759712499997,0,11
2015-05-14,0.19596464874999953,0,21
2015-05-15,6.937195277203127,3,5
2015-05-16,-2.3436241693734345,16,6
2015-05-17,-0.5115500786453095,0,2
2015-05-18,4.74143488627969,5,2
2015-05-19,1.4558620901375021,0,0
2015-05-20,-0.2563262261390611,0,0
2015-05-21,0.17707474390625078,2,1
2015-05-22,1.4336692244156257,2,2
2015-05-23,1.443338612751563,0,7
2015-05-24,16.446831805926564,0,1
2015-05-25,-1.9993957780156262,13,0
2015-05-26,1.0083064181203123,11,3
2015-05-27,0.13858773698749993,23,1
2015-05-28,2.354321408126564,6,7
2015-05-29,1.2575366669484382,15,18
2015-05-30,0.3216979164328132,0,5
2015-05-31,1.4470768326468755,0,1
2015-06-01,1.4141126986625006,5,11
2015-06-02,12.413694851889064,17,2
2015-06-03,15.430387640218749,13,2
2015-06-04,1.5145871181624986,33,0
2015-06-05,10.318488303417187,18,2
2015-06-06,2.7529030951109372,0,0
2015-06-07,7.210342314412501,4,0
2015-06-08,5.955536216432813,22,2
2015-06-09,12.936176405146876,57,9
2015-06-10,16.204359839475,39,2
2015-06-11,7.456288410767187,15,3
2015-06-12,12.927161087326564,18,0
2015-06-13,4.602286739918751,0,3
2015-06-14,5.178394088240626,23,0
2015-06-15,12.436205412679689,62,1
2015-06-16,7.835495891801564,14,6
2015-06-17,13.007554118228127,41,1
2015-06-18,10.542862405914065,8,11
2015-06-19,1.5800036186453137,21,11
2015-06-20,14.505435193854689,0,1
2015-06-21,3.6710078478000012,0,1
2015-06-22,7.390432094337502,0,6
2015-06-23,6.328214625728126,2,16
2015-06-24,24.425652203789063,8,0
2015-06-25,23.724775553854688,22,1
2015-06-26,10.86149703345625,13,0
2015-06-27,3.577217575668749,0,2
2015-06-28,7.565130167304689,0,0
2015-06-29,3.6311439907796905,1,0
2015-06-30,1.1854382983421905,3,0
2015-07-01,2.7101625087500034,13,7
2015-07-02,28.90912868075469,16,1
2015-07-03,-1.5383987729078124,15,4
2015-07-04,4.345240163243751,2,7
2015-07-05,6.68862760905,7,0
2015-07-06,11.675632562790629,30,0
2015-07-07,23.16434283349531,30,2
2015-07-08,11.759956161435937,41,1
2015-07-09,34.067392653528124,35,1
2015-07-10,-0.15935289241406458,14,0
2015-07-11,2.9859571460890644,12,1
2015-07-12,9.821078310032814,11,1
2015-07-13,21.528526142607816,23,3
2015-07-14,4.270514142457815,33,0
2015-07-15,1.3191463110906265,59,0
2015-07-16,16.129074543315628,45,0
2015-07-17,9.235745949831252,40,1
2015-07-18,-1.5117095607093733,0,8
2015-07-19,-1.1655029200749984,0,0
2015-07-20,9.387348194295315,65,0
2015-07-21,8.70912301289219,45,0
2015-07-22,14.524024400710939,21,0
2015-07-23,2.933286370848437,11,0
2015-07-24,-1.316238536226562,13,1
2015-07-25,-1.578387422385936,1,7
2015-07-26,-1.028744292748435,1,3
2015-07-27,8.280361435662503,14,3
2015-07-28,4.523201833042188,19,4
2015-07-29,9.513679517682814,36,3
2015-07-30,9.038727110839062,39,0
2015-07-31,7.836753432545312,21,4
2015-08-01,-0.13748717823125034,3,2
2015-08-02,1.5856550349640632,0,0
2015-08-03,16.74161290875,38,0
2015-08-04,5.326631617859375,28,0
2015-08-05,3.7021951528328128,14,31
2015-08-06,11.0234836578625,21,9
2015-08-07,2.4468249414328134,16,0
2015-08-08,0.038854561948438615,3,8
2015-08-09,0.5782685348593763,5,1
2015-08-10,3.851701723381252,15,44
2015-08-11,0.675021913110939,8,13
2015-08-12,3.9306970602281264,19,0
2015-08-13,13.859312687868751,3,32
2015-08-14,10.82588030933125,14,9
2015-08-15,1.5550531844546867,4,5
2015-08-16,-1.6971743437109377,3,0
2015-08-17,5.941251912646877,31,14
2015-08-18,9.522999524850002,51,37
2015-08-19,4.978802692539063,43,72
2015-08-20,1.1388821236000002,41,44
2015-08-21,13.544477440835939,28,43
2015-08-22,-2.469350392242187,16,7
2015-08-23,-1.3220141725296863,11,45
2015-08-24,12.141661828606251,36,25
2015-08-25,-0.9394306873593741,30,27
2015-08-26,-0.2079365721734363,12,25
2015-08-27,0.09442315474531315,25,15
2015-08-28,-0.6960148505484359,10,2
2015-08-29,1.5275984971578136,1,10
2015-08-30,6.437631799460938,0,2
2015-08-31,-0.9841593137500001,27,3
2015-09-01,2.463239472046875,39,6
2015-09-02,2.3161658952671877,2,36
2015-09-03,0.35906813819843786,0,9
2015-09-04,-0.47760844055156226,0,0
2015-09-05,0.6847921674640629,0,14
2015-09-06,0.6643697502187506,0,17
2015-09-07,1.6627253163187503,21,3
2015-09-08,2.5788241559984377,20,9
2015-09-09,-0.5143105402968751,14,4
2015-09-10,8.706225557095312,14,10
2015-09-11,-1.090868633123438,30,3
2015-09-12,0.4681244387140626,4,2
2015-09-13,-0.45183628426562494,8,1
2015-09-14,0.6893969044484384,13,1
2015-09-15,4.665632682682813,18,2
2015-09-16,3.27037674338125,27,6
2015-09-17,0.20534342614218737,18,1
2015-09-18,-0.542439329640625,7,0
2015-09-19,0.634887380926563,2,3
2015-09-20,1.6855359244843755,1,3
2015-09-21,1.5845678887140628,2,1
2015-09-22,10.547698405734375,7,5
2015-09-23,13.618560284885938,20,4
2015-09-24,21.79919703900781,8,7
2015-09-25,3.4816157643406225,4,9
2015-09-26,0.4871624262140619,0,2
2015-09-27,-1.8443014805156241,0,6
2015-09-28,8.733343741432815,0,6
2015-09-29,17.027665322646875,0,5
2015-09-30,7.870852358006251,0,0
2015-10-01,-0.8826451206296877,0,10
2015-10-02,5.084110788335939,17,2
2015-10-03,-1.959086740721873,0,0
2015-10-04,-1.1246227817984353,0,3
2015-10-05,10.195678992392189,1,0
2015-10-06,12.27188350359375,3,2
2015-10-07,18.57804159359375,0,7
2015-10-08,-1.422651121354689,1,4
2015-10-09,2.0395326223234376,14,3
2015-10-10,2.361164853818751,2,3
2015-10-11,-0.5001211052515602,3,5
2015-10-12,-1.0800755837499982,4,5
2015-10-13,2.189151046828127,3,11
2015-10-14,20.03874759363594,13,2
2015-10-15,4.286516548668749,9,3
2015-10-16,0.9608478857140619,3,5
2015-10-17,-0.38809525463437544,0,4
2015-10-18,1.0002748915437516,0,0
2015-10-19,24.10376098934063,32,4
2015-10-20,17.88861304621406,8,3
2015-10-21,21.295180602203125,18,2
2015-10-22,1.4417852078140605,23,1
2015-10-23,12.837906804385938,20,10
2015-10-24,-3.5442458780484367,2,14
2015-10-25,-2.1320168256234338,3,4
2015-10-26,3.4358261026828156,20,7
2015-10-27,4.2546760357875035,27,14
2015-10-28,2.1499116320234397,22,7
2015-10-29,2.4947618938546885,22,9
2015-10-30,2.700807168507813,22,8
2015-10-31,6.8979551265343755,23,3
2015-11-01,4.526457796925,4,0
2015-11-02,-0.35555755624999996,15,5
2015-11-03,11.087831207421875,32,9
2015-11-04,4.157806024226563,35,2
2015-11-05,5.392901797721875,24,1
2015-11-06,2.34909745279375,11,1
2015-11-07,1.610342942793751,0,0
2015-11-08,3.813257895731251,4,0
2015-11-09,13.71602345536875,5,0
2015-11-10,13.721974891768749,12,0
2015-11-11,2.1741306262765616,16,7
2015-11-12,17.912337217725,13,6
2015-11-13,1.7272466211749995,48,44
2015-11-14,0.6889923789359389,19,1
2015-11-15,0.22862048205937646,6,45
2015-11-16,2.578630483564065,23,11
