,huggingface/transformers,pytorch/vision,tensorflow/models
2021-12-05,1,2,0
2021-12-06,15,2,2
2021-12-07,5,5,3
2021-12-08,19,11,1
2021-12-09,10,8,4
2021-12-10,10,2,1
2021-12-11,2,0,1
2021-12-12,3,0,0
2021-12-13,19,3,7
2021-12-14,3,4,1
2021-12-15,12,1,5
2021-12-16,11,3,3
2021-12-17,8,1,2
2021-12-18,0,0,0
2021-12-19,0,2,0
2021-12-20,12,2,2
2021-12-21,17,2,3
2021-12-22,14,2,2
2021-12-23,16,0,0
2021-12-24,1,1,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,8,1,0
2021-12-28,8,0,2
2021-12-29,2,0,4
2021-12-30,6,2,0
2021-12-31,0,1,0
2022-01-01,0,1,0
2022-01-02,0,1,0
2022-01-03,7,0,0
2022-01-04,6,2,6
2022-01-05,6,4,0
2022-01-06,16,8,2
2022-01-07,5,4,5
2022-01-08,1,0,2
2022-01-09,0,1,1
2022-01-10,30,4,2
2022-01-11,17,1,4
2022-01-12,8,1,14
2022-01-13,8,1,3
2022-01-14,11,2,4
2022-01-15,1,0,0
2022-01-16,1,0,0
2022-01-17,5,6,0
2022-01-18,19,3,4
2022-01-19,18,6,11
2022-01-20,9,9,4
2022-01-21,15,3,4
2022-01-22,0,0,8
2022-01-23,0,1,0
2022-01-24,12,8,3
2022-01-25,4,4,1
2022-01-26,8,6,2
2022-01-27,15,7,3
2022-01-28,11,3,4
2022-01-29,4,1,0
2022-01-30,1,0,0
2022-01-31,25,2,3
2022-02-01,11,6,2
2022-02-02,12,6,2
2022-02-03,8,2,2
2022-02-04,6,3,2
2022-02-05,0,0,3
2022-02-06,0,0,0
2022-02-07,12,1,1
2022-02-08,6,5,1
2022-02-09,18,4,2
2022-02-10,9,2,2
2022-02-11,12,2,1
2022-02-12,0,0,0
2022-02-13,0,0,0
2022-02-14,6,2,5
2022-02-15,21,3,8
2022-02-16,10,5,1
2022-02-17,5,0,2
2022-02-18,12,2,1
2022-02-19,0,0,0
2022-02-20,0,2,0
2022-02-21,6,1,0
2022-02-22,8,1,2
2022-02-23,20,4,3
2022-02-24,7,6,5
2022-02-25,11,5,7
2022-02-26,0,0,4
2022-02-27,0,2,1
2022-02-28,5,3,0
2022-03-01,12,8,1
2022-03-02,17,4,7
2022-03-03,13,3,7
2022-03-04,12,4,3
2022-03-05,0,1,3
2022-03-06,0,0,3
2022-03-07,9,8,2
2022-03-08,10,0,6
2022-03-09,14,5,8
2022-03-10,17,2,5
2022-03-11,18,4,9
2022-03-12,6,1,0
2022-03-13,1,0,1
2022-03-14,29,8,5
2022-03-15,26,4,7
2022-03-16,15,4,13
2022-03-17,19,2,1
2022-03-18,14,1,12
2022-03-19,1,0,0
2022-03-20,0,1,7
2022-03-21,30,2,3
2022-03-22,13,3,7
2022-03-23,16,7,13
2022-03-24,13,3,2
2022-03-25,11,4,22
2022-03-26,0,0,1
2022-03-27,1,0,1
2022-03-28,13,5,12
2022-03-29,18,3,5
2022-03-30,9,1,6
2022-03-31,9,3,2
2022-04-01,12,7,5
2022-04-02,0,0,0
2022-04-03,0,0,1
2022-04-04,11,7,2
2022-04-05,13,4,2
2022-04-06,17,3,4
2022-04-07,8,3,5
2022-04-08,9,2,4
2022-04-09,0,0,2
2022-04-10,0,1,0
2022-04-11,18,4,2
2022-04-12,15,1,1
2022-04-13,14,1,3
2022-04-14,9,1,1
2022-04-15,4,0,1
2022-04-16,0,0,0
2022-04-17,1,0,1
2022-04-18,13,1,1
2022-04-19,19,9,1
2022-04-20,6,2,5
2022-04-21,9,6,5
2022-04-22,7,6,7
2022-04-23,1,0,1
2022-04-24,0,1,2
2022-04-25,11,7,7
2022-04-26,7,5,4
2022-04-27,14,12,6
2022-04-28,6,10,12
2022-04-29,9,0,3
2022-04-30,2,0,0
2022-05-01,0,0,2
2022-05-02,17,1,3
2022-05-03,7,11,3
2022-05-04,13,4,3
2022-05-05,6,1,2
2022-05-06,2,0,6
2022-05-07,0,0,1
2022-05-08,0,0,2
2022-05-09,10,11,0
2022-05-10,10,3,2
2022-05-11,13,3,10
2022-05-12,17,9,4
2022-05-13,13,4,3
2022-05-14,0,0,2
2022-05-15,0,0,1
2022-05-16,21,9,3
2022-05-17,17,7,1
2022-05-18,17,7,12
2022-05-19,7,4,1
2022-05-20,2,5,3
2022-05-21,0,0,2
2022-05-22,0,0,0
2022-05-23,8,5,2
2022-05-24,4,2,2
2022-05-25,12,2,2
2022-05-26,4,4,1
2022-05-27,1,0,9
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,0,3,0
2022-05-31,17,2,2
2022-06-01,17,0,5
2022-06-02,11,2,2
2022-06-03,9,0,5
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,8,3,3
2022-06-07,9,0,5
2022-06-08,10,2,2
2022-06-09,14,4,1
2022-06-10,16,2,3
2022-06-11,0,1,1
2022-06-12,0,0,1
2022-06-13,10,2,6
2022-06-14,10,2,1
2022-06-15,8,3,3
2022-06-16,5,2,2
2022-06-17,4,0,1
2022-06-18,2,0,0
2022-06-19,0,0,3
2022-06-20,5,1,1
2022-06-21,16,1,1
2022-06-22,5,1,5
2022-06-23,17,6,0
2022-06-24,13,1,1
2022-06-25,1,0,1
2022-06-26,0,0,0
2022-06-27,9,1,3
2022-06-28,14,0,7
2022-06-29,22,3,4
2022-06-30,8,0,4
2022-07-01,14,3,5
2022-07-02,0,0,5
2022-07-03,0,0,1
2022-07-04,10,0,4
2022-07-05,4,4,2
2022-07-06,6,1,6
2022-07-07,5,1,5
2022-07-08,4,3,0
2022-07-09,0,0,0
2022-07-10,1,0,0
2022-07-11,8,1,2
2022-07-12,6,0,2
2022-07-13,9,0,4
2022-07-14,0,2,4
2022-07-15,2,1,3
2022-07-16,0,0,2
2022-07-17,0,0,0
2022-07-18,17,0,5
2022-07-19,10,0,3
2022-07-20,6,0,3
2022-07-21,12,2,2
2022-07-22,8,3,1
2022-07-23,1,0,1
2022-07-24,0,0,1
2022-07-25,3,3,6
2022-07-26,20,2,1
2022-07-27,19,2,2
2022-07-28,10,4,3
2022-07-29,6,1,5
2022-07-30,1,0,0
2022-07-31,0,1,0
2022-08-01,17,2,2
2022-08-02,10,3,6
2022-08-03,10,4,9
2022-08-04,10,0,5
2022-08-05,13,0,3
2022-08-06,2,0,0
2022-08-07,0,0,0
2022-08-08,17,4,2
2022-08-09,9,2,6
2022-08-10,11,4,1
2022-08-11,11,3,3
2022-08-12,14,3,5
2022-08-13,0,0,0
2022-08-14,1,0,0
2022-08-15,0,9,4
2022-08-16,7,3,1
2022-08-17,4,4,3
2022-08-18,12,11,1
2022-08-19,3,3,5
2022-08-20,0,0,0
2022-08-21,0,0,0
2022-08-22,3,3,3
2022-08-23,4,8,2
2022-08-24,7,6,4
2022-08-25,4,8,3
2022-08-26,3,8,2
2022-08-27,0,0,0
2022-08-28,0,0,0
2022-08-29,8,1,4
2022-08-30,12,5,2
2022-08-31,14,6,2
2022-09-01,16,4,2
2022-09-02,15,0,2
2022-09-03,0,0,0
2022-09-04,0,1,1
2022-09-05,7,3,0
2022-09-06,8,1,2
2022-09-07,14,1,4
2022-09-08,2,3,4
2022-09-09,8,4,4
2022-09-10,3,0,1
2022-09-11,0,0,0
2022-09-12,14,2,6
2022-09-13,10,7,3
2022-09-14,22,7,6
2022-09-15,12,8,2
2022-09-16,14,6,2
2022-09-17,0,0,1
2022-09-18,0,0,2
2022-09-19,13,4,4
2022-09-20,8,2,3
2022-09-21,11,7,7
2022-09-22,10,4,2
2022-09-23,10,9,9
2022-09-24,0,0,1
2022-09-25,0,0,0
2022-09-26,8,3,6
2022-09-27,8,3,3
2022-09-28,8,7,5
2022-09-29,17,5,1
2022-09-30,12,3,1
2022-10-01,0,0,0
2022-10-02,0,0,0
2022-10-03,5,2,0
2022-10-04,18,9,1
2022-10-05,17,4,1
2022-10-06,3,6,2
2022-10-07,22,3,4
2022-10-08,1,0,0
2022-10-09,0,0,0
2022-10-10,28,7,2
2022-10-11,27,6,5
2022-10-12,31,3,6
2022-10-13,22,6,3
2022-10-14,35,6,5
2022-10-15,1,1,0
2022-10-16,0,0,1
2022-10-17,35,3,3
2022-10-18,29,3,6
2022-10-19,16,2,4
2022-10-20,12,2,4
2022-10-21,16,10,2
2022-10-22,0,0,0
2022-10-23,1,0,0
2022-10-24,19,9,0
2022-10-25,8,3,4
2022-10-26,11,3,1
2022-10-27,16,5,1
2022-10-28,8,8,1
2022-10-29,0,0,1
2022-10-30,0,0,0
2022-10-31,11,5,2
2022-11-01,12,4,4
2022-11-02,13,4,8
2022-11-03,11,8,2
2022-11-04,14,11,2
2022-11-05,0,0,0
2022-11-06,0,0,1
2022-11-07,12,6,2
2022-11-08,7,1,0
2022-11-09,11,3,4
2022-11-10,9,4,5
2022-11-11,3,3,0
2022-11-12,0,0,0
2022-11-13,0,0,1
2022-11-14,16,3,5
2022-11-15,25,2,5
2022-11-16,29,1,2
2022-11-17,14,2,7
2022-11-18,15,1,3
2022-11-19,0,0,2
2022-11-20,0,0,0
2022-11-21,15,2,4
2022-11-22,12,0,4
2022-11-23,11,0,4
2022-11-24,0,1,1
2022-11-25,3,1,0
2022-11-26,1,0,1
2022-11-27,0,0,0
2022-11-28,21,6,3
2022-11-29,9,2,3
2022-11-30,20,5,5
2022-12-01,12,2,0
2022-12-02,4,1,5
2022-12-03,0,0,0
2022-12-04,0,0,0
2022-12-05,29,3,1
2022-12-06,16,2,4
2022-12-07,12,2,5
2022-12-08,15,2,4
2022-12-09,7,1,6
2022-12-10,0,0,0
2022-12-11,0,0,0
2022-12-12,18,3,3
2022-12-13,8,1,5
2022-12-14,8,0,3
2022-12-15,9,0,1
2022-12-16,6,0,10
2022-12-17,0,0,0
2022-12-18,0,0,1
2022-12-19,6,2,6
2022-12-20,10,1,3
2022-12-21,13,3,1
2022-12-22,3,0,1
2022-12-23,6,0,2
2022-12-24,1,0,0
2022-12-25,0,0,1
2022-12-26,2,0,0
2022-12-27,3,0,1
2022-12-28,2,0,2
