,diaspora/diaspora,friendica/friendica,mastodon/mastodon
2016-02-20,0,0,1.0
2016-02-21,7,0,-0.5
2016-02-22,8,1,2.875
2016-02-23,8,8,2.4375
2016-02-24,4,8,7.5859375
2016-02-25,5,3,-5.71484375
2016-02-26,3,0,1.3623046875
2016-02-27,0,1,-0.37939453125
2016-02-28,0,2,5.050384521484375
2016-02-29,0,6,-2.3522186279296875
2016-03-01,1,44,-2.425994873046875
2016-03-02,3,7,-1.0938873291015625
2016-03-03,8,1,-0.689208984375
2016-03-04,26,9,-0.467987060546875
2016-03-05,11,4,3.730255126953125
2016-03-06,3,20,1.7872772216796875
2016-03-07,12,4,1.35430908203125
2016-03-08,7,3,-1.8525543212890625
2016-03-09,1,4,-1.428070068359375
2016-03-10,0,2,-0.640625
2016-03-11,0,4,2.58984375
2016-03-12,1,21,1.205078125
2016-03-13,1,8,-2.1011962890625
2016-03-14,0,7,3.25653076171875
2016-03-15,0,4,-2.41680908203125
2016-03-16,0,7,12.244049072265625
2016-03-17,0,3,-5.9044647216796875
2016-03-18,5,6,6.60888671875
2016-03-19,0,1,5.365509033203125
2016-03-20,2,4,-5.3493499755859375
2016-03-21,6,5,9.570785522460938
2016-03-22,10,3,-2.1353759765625
2016-03-23,2,7,-5.69940185546875
2016-03-24,0,5,3.687713623046875
2016-03-25,0,0,3.5369720458984375
2016-03-26,0,0,0.3131561279296875
2016-03-27,1,3,-2.0800933837890625
2016-03-28,0,5,-3.4630889892578125
2016-03-29,0,1,-1.5152587890625
2016-03-30,14,7,-0.9840545654296875
2016-03-31,3,3,-0.607452392578125
2016-04-01,0,5,-0.41253662109375
2016-04-02,0,9,-0.328399658203125
2016-04-03,2,16,-0.21417236328125
2016-04-04,3,2,-0.104736328125
2016-04-05,1,2,-0.0327301025390625
2016-04-06,0,5,0.0
2016-04-07,2,3,0.0
2016-04-08,1,1,0.0
2016-04-09,0,1,0.0
2016-04-10,0,3,0.0
2016-04-11,1,1,0.0
2016-04-12,0,1,0.0
2016-04-13,7,7,0.0
2016-04-14,0,9,0.0
2016-04-15,0,5,0.0
2016-04-16,0,12,0.0
2016-04-17,0,16,0.0
2016-04-18,1,8,0.0
2016-04-19,1,13,0.0
2016-04-20,0,32,0.0
2016-04-21,4,11,0.0
2016-04-22,0,4,0.0
2016-04-23,0,6,0.0
2016-04-24,0,4,0.0
2016-04-25,2,22,0.0
2016-04-26,0,6,0.0
2016-04-27,2,6,0.0
2016-04-28,1,11,0.0
2016-04-29,0,11,0.0
2016-04-30,0,2,0.0
2016-05-01,0,210,0.0
2016-05-02,0,6,0.0
2016-05-03,1,5,0.0
2016-05-04,1,6,0.0
2016-05-05,3,8,0.0
2016-05-06,5,17,0.0
2016-05-07,2,3,0.0
2016-05-08,2,0,0.0
2016-05-09,0,2,0.0
2016-05-10,0,2,0.0
2016-05-11,1,5,0.0
2016-05-12,62,5,0.0
2016-05-13,1,3,0.0
2016-05-14,0,0,0.0
2016-05-15,0,5,0.0
2016-05-16,0,5,0.0
2016-05-17,3,0,0.0
2016-05-18,0,6,0.0
2016-05-19,0,6,0.0
2016-05-20,0,5,0.0
2016-05-21,3,2,0.0
2016-05-22,0,5,0.0
2016-05-23,0,8,0.0
2016-05-24,0,2,0.0
2016-05-25,0,6,0.0
2016-05-26,0,6,0.0
2016-05-27,1,5,0.0
2016-05-28,0,7,0.0
2016-05-29,0,14,0.0
2016-05-30,0,12,0.0
2016-05-31,3,4,0.0
2016-06-01,0,23,0.0
2016-06-02,0,5,0.0
2016-06-03,0,4,0.0
2016-06-04,0,8,0.0
2016-06-05,0,9,0.0
2016-06-06,1,20,0.0
2016-06-07,8,15,0.0
2016-06-08,2,9,0.0
2016-06-09,2,7,0.0
2016-06-10,0,15,0.0
2016-06-11,0,15,0.0
2016-06-12,3,24,0.0
2016-06-13,0,14,0.0
2016-06-14,1,4,0.0
2016-06-15,0,5,0.0
2016-06-16,24,4,0.0
2016-06-17,1,11,0.0
2016-06-18,10,7,0.0
2016-06-19,20,5,0.0
2016-06-20,9,13,0.0
2016-06-21,0,5,0.0
2016-06-22,0,4,0.0
2016-06-23,0,5,0.0
2016-06-24,0,3,0.0
2016-06-25,0,12,0.0
2016-06-26,115,4,0.0
2016-06-27,15,4,0.0
2016-06-28,7,2,0.0
2016-06-29,2,7,0.0
2016-06-30,1,11,0.0
2016-07-01,0,3,0.0
2016-07-02,0,19,0.0
2016-07-03,4,7,0.0
2016-07-04,1,4,0.0
2016-07-05,8,5,0.0
2016-07-06,1,0,0.0
2016-07-07,1,7,0.0
2016-07-08,2,5,0.0
2016-07-09,5,4,0.0
2016-07-10,0,11,0.0
2016-07-11,4,7,0.0
2016-07-12,1,2,0.0
2016-07-13,0,8,0.0
2016-07-14,0,5,0.0
2016-07-15,3,11,0.0
2016-07-16,3,1,0.0
2016-07-17,5,2,0.0
2016-07-18,2,1,0.0
2016-07-19,0,2,0.0
2016-07-20,2,0,0.0
2016-07-21,0,5,0.0
2016-07-22,0,2,0.0
2016-07-23,0,1,0.0
2016-07-24,0,3,0.0
2016-07-25,0,2,0.0
2016-07-26,0,9,0.0
2016-07-27,0,2,0.0
2016-07-28,0,7,0.0
2016-07-29,0,0,0.0
2016-07-30,0,3,0.0
2016-07-31,1,0,0.0
2016-08-01,4,12,0.0
2016-08-02,0,8,0.0
2016-08-03,0,9,0.0
2016-08-04,0,19,0.0
2016-08-05,1,3,0.0
2016-08-06,0,6,0.0
2016-08-07,6,2,0.0
2016-08-08,43,14,0.0
2016-08-09,15,6,0.0
2016-08-10,20,12,0.0
2016-08-11,30,7,0.0
2016-08-12,14,2,0.0
2016-08-13,11,9,0.0
2016-08-14,40,16,0.0
2016-08-15,7,0,0.0
2016-08-16,3,2,0.0
2016-08-17,3,5,1.0
2016-08-18,16,1,5.5
2016-08-19,0,2,-3.125
2016-08-20,2,1,-0.8125
2016-08-21,22,0,-0.4140625
2016-08-22,9,0,-0.26171875
2016-08-23,0,8,-0.1845703125
2016-08-24,0,0,5.86083984375
2016-08-25,0,0,-2.109771728515625
2016-08-26,3,1,-0.3394622802734375
2016-08-27,0,5,-1.065460205078125
2016-08-28,0,0,-0.421875
2016-08-29,0,2,-0.265625
2016-08-30,0,0,-0.189453125
2016-08-31,0,3,4.85546875
2016-09-01,8,4,1.38482666015625
2016-09-02,0,1,-1.71966552734375
2016-09-03,5,4,1.6634979248046875
2016-09-04,37,2,6.9187774658203125
2016-09-05,2,3,7.76953125
2016-09-06,4,10,-7.0634765625
2016-09-07,0,2,0.00537109375
2016-09-08,4,0,0.978485107421875
2016-09-09,0,5,-0.3759613037109375
2016-09-10,12,0,6.128326416015625
2016-09-11,8,1,-5.7313385009765625
2016-09-12,8,1,2.0686798095703125
2016-09-13,0,10,-2.1350860595703125
2016-09-14,0,2,-1.7188873291015625
2016-09-15,0,0,1.2027435302734375
2016-09-16,0,0,-0.5367584228515625
2016-09-17,0,0,5.873626708984375
2016-09-18,12,3,5.9900665283203125
2016-09-19,6,1,-0.1987762451171875
2016-09-20,10,5,1.1502685546875
2016-09-21,0,4,2.226470947265625
2016-09-22,0,9,-0.2706756591796875
2016-09-23,0,10,-1.44366455078125
2016-09-24,0,15,3.686279296875
2016-09-25,17,16,-1.0117340087890625
2016-09-26,0,1,0.1237640380859375
2016-09-27,0,3,2.380706787109375
2016-09-28,8,8,-4.464813232421875
2016-09-29,8,10,3.3531494140625
2016-09-30,6,8,-0.4743499755859375
2016-10-01,7,20,-2.7574005126953125
2016-10-02,0,17,9.877578735351562
2016-10-03,0,7,2.8009490966796875
2016-10-04,0,9,-6.32159423828125
2016-10-05,0,11,2.8807373046875
2016-10-06,0,2,16.300262451171875
2016-10-07,0,9,-4.391143798828125
2016-10-08,0,2,-5.8780059814453125
2016-10-09,0,5,2.7851409912109375
2016-10-10,0,1,14.230499267578125
2016-10-11,0,2,-9.473190307617188
2016-10-12,0,0,9.430618286132812
2016-10-13,0,0,-6.230499267578125
2016-10-14,0,1,3.2690582275390625
2016-10-15,0,0,10.703338623046875
2016-10-16,0,2,0.1351470947265625
2016-10-17,2,14,3.9383697509765625
2016-10-18,29,0,-1.965576171875
2016-10-19,0,1,-6.7158966064453125
2016-10-20,0,4,0.375457763671875
2016-10-21,0,12,-4.1031494140625
2016-10-22,0,12,-0.8674468994140625
2016-10-23,4,11,1.238494873046875
2016-10-24,0,11,0.4883880615234375
2016-10-25,2,7,-0.4864959716796875
2016-10-26,2,3,-1.9462738037109375
2016-10-27,19,2,2.253143310546875
2016-10-28,0,10,3.0919952392578125
2016-10-29,5,7,-3.15643310546875
2016-10-30,0,0,4.009857177734375
2016-10-31,0,5,0.9307708740234375
2016-11-01,0,4,-1.0065765380859375
2016-11-02,7,3,11.930343627929688
2016-11-03,3,4,4.131988525390625
2016-11-04,0,9,-1.287811279296875
2016-11-05,0,7,-1.2632293701171875
2016-11-06,14,6,1.0562896728515625
2016-11-07,0,4,3.915008544921875
2016-11-08,0,0,3.4096832275390625
2016-11-09,0,6,-1.42822265625
2016-11-10,0,6,0.274383544921875
2016-11-11,0,0,-5.415802001953125
2016-11-12,2,8,1.812103271484375
2016-11-13,8,13,9.694107055664062
2016-11-14,3,8,-6.8816375732421875
2016-11-15,6,33,3.99346923828125
2016-11-16,0,10,-1.0425872802734375
2016-11-17,4,5,0.160980224609375
2016-11-18,8,4,15.441925048828125
2016-11-19,3,31,-1.947296142578125
2016-11-20,0,29,-4.7550048828125
2016-11-21,0,5,22.548370361328125
2016-11-22,8,18,-2.6388092041015625
2016-11-23,6,5,6.8173675537109375
2016-11-24,2,3,-0.2586212158203125
2016-11-25,6,4,14.71405029296875
2016-11-26,5,1,-8.495025634765625
2016-11-27,2,10,-9.548263549804688
2016-11-28,5,18,9.910873413085938
2016-11-29,5,17,-2.5234222412109375
2016-11-30,0,3,0.9785919189453125
2016-12-01,4,13,1.1571807861328125
2016-12-02,2,4,-0.7083740234375
2016-12-03,0,4,2.4420928955078125
2016-12-04,5,7,2.7669677734375
2016-12-05,0,2,-2.6772003173828125
2016-12-06,0,12,0.6472015380859375
2016-12-07,0,0,0.6090545654296875
2016-12-08,3,5,-2.192901611328125
2016-12-09,0,11,-0.6071319580078125
2016-12-10,0,10,-3.1610260009765625
2016-12-11,0,4,6.5811920166015625
2016-12-12,0,5,-1.9014739990234375
2016-12-13,7,7,-2.093505859375
2016-12-14,0,26,4.2516632080078125
2016-12-15,0,20,-2.878875732421875
2016-12-16,0,0,-1.801513671875
2016-12-17,0,0,-0.8571624755859375
2016-12-18,0,7,3.4526214599609375
2016-12-19,0,16,-0.376708984375
2016-12-20,0,116,4.206939697265625
2016-12-21,0,21,0.3369903564453125
2016-12-22,0,33,9.863174438476562
2016-12-23,0,22,-6.64105224609375
2016-12-24,0,4,2.2429962158203125
2016-12-25,0,4,-3.86328125
2016-12-26,0,4,5.4876708984375
2016-12-27,0,4,-2.45556640625
2016-12-28,0,4,-1.529083251953125
2016-12-29,0,10,3.327972412109375
2016-12-30,0,10,-3.355926513671875
2016-12-31,0,3,0.8074798583984375
2017-01-01,0,7,0.3738250732421875
2017-01-02,0,8,4.3189849853515625
2017-01-03,2,5,3.343902587890625
2017-01-04,3,8,-1.6743316650390625
2017-01-05,0,14,37.001708984375
2017-01-06,0,7,-14.218948364257812
2017-01-07,4,17,2.7472076416015625
2017-01-08,0,5,8.13494873046875
2017-01-09,0,11,-4.870269775390625
2017-01-10,5,6,-1.641876220703125
2017-01-11,3,14,-3.3109130859375
