,plotly/plotly.js,highcharts/highcharts,apache/echarts
2013-05-31,0,4,2.0
2013-06-01,2,0,0.0
2013-06-02,4,0,0.0
2013-06-03,0,2,5.0
2013-06-04,2,2,1.0
2013-06-05,2,4,2.0
2013-06-06,0,4,0.0
2013-06-07,2,2,1.0
2013-06-08,0,1,1.0
2013-06-09,4,0,1.0
2013-06-10,7,7,0.0
2013-06-11,3,6,0.0
2013-06-12,22,10,0.0
2013-06-13,1,19,1.0
2013-06-14,4,11,2.0
2013-06-15,7,0,0.0
2013-06-16,1,0,0.0
2013-06-17,4,8,1.0
2013-06-18,3,8,2.0
2013-06-19,0,16,2.0
2013-06-20,4,6,1.0
2013-06-21,0,15,5.0
2013-06-22,1,1,0.0
2013-06-23,0,0,0.0
2013-06-24,2,10,1.0
2013-06-25,0,3,3.0
2013-06-26,1,8,3.0
2013-06-27,5,4,0.0
2013-06-28,5,0,2.0
2013-06-29,0,0,0.0
2013-06-30,0,0,0.0
2013-07-01,0,4,5.0
2013-07-02,0,3,4.0
2013-07-03,3,3,6.0
2013-07-04,2,1,0.0
2013-07-05,0,1,0.0
2013-07-06,0,0,0.0
2013-07-07,0,0,0.0
2013-07-08,0,0,1.0
2013-07-09,7,0,2.0
2013-07-10,3,0,1.0
2013-07-11,3,0,0.0
2013-07-12,0,0,0.0
2013-07-13,3,0,0.0
2013-07-14,4,0,0.0
2013-07-15,5,0,0.0
2013-07-16,1,0,1.0
2013-07-17,0,0,1.0
2013-07-18,2,0,0.0
2013-07-19,0,0,0.0
2013-07-20,0,0,0.0
2013-07-21,0,0,0.0
2013-07-22,0,4,0.0
2013-07-23,6,7,1.0
2013-07-24,0,7,1.0
2013-07-25,0,3,2.0
2013-07-26,0,12,2.0
2013-07-27,1,0,0.0
2013-07-28,0,0,0.0
2013-07-29,0,8,2.0
2013-07-30,0,5,3.0
2013-07-31,1,6,1.0
2013-08-01,2,7,2.0
2013-08-02,0,17,3.0
2013-08-03,0,2,0.0
2013-08-04,2,0,0.0
2013-08-05,0,0,0.0
2013-08-06,0,2,0.0
2013-08-07,1,3,0.0
2013-08-08,4,7,3.0
2013-08-09,8,13,7.0
2013-08-10,0,1,0.0
2013-08-11,3,0,0.0
2013-08-12,8,7,2.0
2013-08-13,7,4,2.0
2013-08-14,7,3,1.0
2013-08-15,7,6,1.0
2013-08-16,9,0,0.0
2013-08-17,5,0,0.0
2013-08-18,5,0,0.0
2013-08-19,3,1,4.0
2013-08-20,10,6,0.0
2013-08-21,6,2,1.0
2013-08-22,1,0,2.0
2013-08-23,0,4,3.0
2013-08-24,0,0,0.0
2013-08-25,0,0,0.0
2013-08-26,6,6,1.0
2013-08-27,2,3,1.0
2013-08-28,2,7,5.0
2013-08-29,2,5,1.0
2013-08-30,0,18,3.0
2013-08-31,4,0,0.0
2013-09-01,1,2,0.0
2013-09-02,5,11,0.0
2013-09-03,4,9,3.0
2013-09-04,2,35,1.0
2013-09-05,5,9,0.0
2013-09-06,2,3,3.0
2013-09-07,2,3,0.0
2013-09-08,2,0,0.0
2013-09-09,5,0,6.0
2013-09-10,6,1,1.0
2013-09-11,21,5,3.0
2013-09-12,18,3,0.0
2013-09-13,12,2,1.0
2013-09-14,17,0,0.0
2013-09-15,9,0,0.0
2013-09-16,6,5,8.0
2013-09-17,7,7,2.0
2013-09-18,12,1,0.0
2013-09-19,32,2,0.0
2013-09-20,18,4,1.0
2013-09-21,1,0,0.0
2013-09-22,4,1,0.0
2013-09-23,4,4,5.0
2013-09-24,0,11,7.0
2013-09-25,0,5,1.0
2013-09-26,3,1,4.0
2013-09-27,14,4,2.0
2013-09-28,12,0,0.0
2013-09-29,4,0,4.0
2013-09-30,15,6,3.0
2013-10-01,10,5,0.0
2013-10-02,10,5,0.0
2013-10-03,2,6,0.0
2013-10-04,7,14,0.0
2013-10-05,5,0,0.0
2013-10-06,4,2,0.0
2013-10-07,17,5,0.0
2013-10-08,18,7,0.0
2013-10-09,8,7,1.0
2013-10-10,8,8,0.0
2013-10-11,8,5,0.0
2013-10-12,8,0,0.0
2013-10-13,3,0,0.0
2013-10-14,5,0,0.0
2013-10-15,17,1,0.0
2013-10-16,5,2,0.0
2013-10-17,12,16,0.0
2013-10-18,12,6,0.0
2013-10-19,7,0,0.0
2013-10-20,1,0,0.0
2013-10-21,4,1,0.0
2013-10-22,8,3,0.0
2013-10-23,7,1,0.0
2013-10-24,8,5,0.0
2013-10-25,26,2,2.0
2013-10-26,9,0,0.0
2013-10-27,2,0,0.0
2013-10-28,13,9,8.0
2013-10-29,18,3,9.0
2013-10-30,16,0,6.0
2013-10-31,11,7,2.0
2013-11-01,11,1,5.0
2013-11-02,5,0,0.0
2013-11-03,10,0,0.0
2013-11-04,16,2,8.0
2013-11-05,14,2,11.0
2013-11-06,24,5,0.0
2013-11-07,7,7,0.0
2013-11-08,9,12,1.0
2013-11-09,0,0,0.0
2013-11-10,5,0,0.0
2013-11-11,12,7,3.0
2013-11-12,13,5,2.0
2013-11-13,13,10,1.0
2013-11-14,11,9,4.0
2013-11-15,12,2,1.0
2013-11-16,0,0,0.0
2013-11-17,2,0,0.0
2013-11-18,13,5,2.0
2013-11-19,2,4,2.0
2013-11-20,9,7,4.0
2013-11-21,13,6,7.0
2013-11-22,10,7,4.0
2013-11-23,6,0,0.0
2013-11-24,12,0,0.0
2013-11-25,21,9,2.0
2013-11-26,11,2,1.0
2013-11-27,34,13,0.0
2013-11-28,12,5,4.0
2013-11-29,5,1,0.0
2013-11-30,2,0,0.0
2013-12-01,3,0,0.0
2013-12-02,22,6,0.0
2013-12-03,7,2,0.0
2013-12-04,2,5,0.0
2013-12-05,4,5,0.0
2013-12-06,5,1,0.0
2013-12-07,4,1,0.0
2013-12-08,5,0,0.0
2013-12-09,10,10,0.0
2013-12-10,11,2,8.0
2013-12-11,16,4,3.0
2013-12-12,6,5,3.0
2013-12-13,14,5,5.0
2013-12-14,3,0,0.0
2013-12-15,4,0,0.0
2013-12-16,8,11,4.0
2013-12-17,1,2,1.0
2013-12-18,3,2,5.0
2013-12-19,13,3,7.0
2013-12-20,7,3,3.0
2013-12-21,1,0,0.0
2013-12-22,0,0,0.0
2013-12-23,1,0,2.0
2013-12-24,3,0,4.0
2013-12-25,0,0,1.0
2013-12-26,0,0,1.0
2013-12-27,5,0,2.0
2013-12-28,0,0,0.0
2013-12-29,7,0,0.0
2013-12-30,14,0,2.0
2013-12-31,7,0,1.0
2014-01-01,0,0,0.0
2014-01-02,14,7,4.0
2014-01-03,6,4,2.0
2014-01-04,14,0,0.0
2014-01-05,0,0,0.0
2014-01-06,7,0,2.0
2014-01-07,7,4,3.0
2014-01-08,4,12,1.0
2014-01-09,7,7,7.0
2014-01-10,5,8,0.0
2014-01-11,0,0,0.0
2014-01-12,0,2,0.0
2014-01-13,0,12,6.0
2014-01-14,3,5,6.0
2014-01-15,5,17,4.0
2014-01-16,5,6,2.0
2014-01-17,10,5,3.0
2014-01-18,3,0,0.0
2014-01-19,2,0,0.0
2014-01-20,18,5,5.0
2014-01-21,8,1,0.0
2014-01-22,31,1,7.0
2014-01-23,14,1,12.0
2014-01-24,8,1,0.0
2014-01-25,10,0,0.0
2014-01-26,6,0,1.0
2014-01-27,5,5,5.0
2014-01-28,7,8,0.0
2014-01-29,8,11,0.0
2014-01-30,11,6,0.0
2014-01-31,12,3,0.0
2014-02-01,2,0,0.0
2014-02-02,7,0,0.0
2014-02-03,3,5,0.0
2014-02-04,19,3,0.0
2014-02-05,12,7,0.0
2014-02-06,15,4,0.0
2014-02-07,12,8,0.0
2014-02-08,5,0,0.0
2014-02-09,5,0,0.0
2014-02-10,1,10,2.0
2014-02-11,2,12,0.0
2014-02-12,6,4,0.0
2014-02-13,6,4,0.0
2014-02-14,14,1,0.0
2014-02-15,2,0,0.0
2014-02-16,0,0,0.0
2014-02-17,4,5,6.0
2014-02-18,0,3,0.0
2014-02-19,3,4,3.0
2014-02-20,8,5,0.0
2014-02-21,14,15,0.0
2014-02-22,1,2,0.0
2014-02-23,5,1,0.0
2014-02-24,12,6,4.0
2014-02-25,12,8,5.0
2014-02-26,11,1,0.0
2014-02-27,9,9,0.0
2014-02-28,11,14,5.0
2014-03-01,5,0,2.0
2014-03-02,1,0,0.0
2014-03-03,15,5,8.0
2014-03-04,4,10,7.0
2014-03-05,3,5,5.0
2014-03-06,9,11,5.0
2014-03-07,2,1,2.0
2014-03-08,2,1,0.0
2014-03-09,5,7,1.0
2014-03-10,9,13,3.0
2014-03-11,0,8,6.0
2014-03-12,9,8,1.0
2014-03-13,6,8,5.0
2014-03-14,7,7,4.0
2014-03-15,0,0,0.0
2014-03-16,0,1,6.0
2014-03-17,2,11,17.0
2014-03-18,0,7,5.0
2014-03-19,0,2,7.0
2014-03-20,1,4,3.0
2014-03-21,1,0,8.0
2014-03-22,7,3,0.0
2014-03-23,1,0,0.0
2014-03-24,0,8,5.0
2014-03-25,0,5,8.0
2014-03-26,0,5,3.0
2014-03-27,1,6,0.0
2014-03-28,3,9,0.0
2014-03-29,2,0,0.0
2014-03-30,0,0,0.0
2014-03-31,2,0,14.0
2014-04-01,1,5,11.0
2014-04-02,2,4,4.0
2014-04-03,3,14,0.0
2014-04-04,4,2,2.0
2014-04-05,0,0,0.0
2014-04-06,2,3,0.0
2014-04-07,2,16,3.0
2014-04-08,1,10,2.0
2014-04-09,0,7,0.0
2014-04-10,16,5,0.0
2014-04-11,5,15,0.0
2014-04-12,14,4,0.0
2014-04-13,2,2,0.0
2014-04-14,6,9,3.0
2014-04-15,1,3,2.0
2014-04-16,2,1,0.0
2014-04-17,8,0,2.0
2014-04-18,23,0,13.0
2014-04-19,11,0,0.0
2014-04-20,0,0,0.0
2014-04-21,16,0,5.0
2014-04-22,8,16,27.0
2014-04-23,22,12,4.0
2014-04-24,16,13,14.0
2014-04-25,15,6,5.0
2014-04-26,6,0,0.0
2014-04-27,2,0,0.0
2014-04-28,19,11,8.0
2014-04-29,9,4,6.0
2014-04-30,16,19,5.0
2014-05-01,22,0,0.0
2014-05-02,14,2,0.0
2014-05-03,0,1,0.0
2014-05-04,3,0,14.0
2014-05-05,13,3,11.0
2014-05-06,6,11,0.0
2014-05-07,17,10,0.0
2014-05-08,19,11,0.0
2014-05-09,15,5,1.0
2014-05-10,8,0,0.0
2014-05-11,0,0,0.0
2014-05-12,8,12,4.0
2014-05-13,17,8,2.0
2014-05-14,26,15,4.0
2014-05-15,11,9,4.0
2014-05-16,9,4,6.0
2014-05-17,8,1,0.0
2014-05-18,0,0,0.0
2014-05-19,0,10,4.0
2014-05-20,11,4,0.0
2014-05-21,6,4,0.0
2014-05-22,8,2,1.0
2014-05-23,13,1,0.0
2014-05-24,7,0,0.0
2014-05-25,0,0,1.0
2014-05-26,5,3,3.0
2014-05-27,7,5,4.0
2014-05-28,12,5,4.0
2014-05-29,6,3,8.0
2014-05-30,6,6,4.0
