,facebook/react,angular/angular,emberjs/ember.js
2014-12-18,19,5.0,18
2014-12-19,5,0.0,11
2014-12-20,2,0.0,4
2014-12-21,2,0.0,41
2014-12-22,4,0.0,25
2014-12-23,7,0.0,25
2014-12-24,1,1.0,27
2014-12-25,2,0.0,11
2014-12-26,0,0.0,5
2014-12-27,0,0.0,3
2014-12-28,0,0.0,5
2014-12-29,5,6.0,9
2014-12-30,3,4.0,23
2014-12-31,2,0.0,6
2015-01-01,1,0.0,21
2015-01-02,2,0.0,23
2015-01-03,0,0.0,20
2015-01-04,0,0.0,14
2015-01-05,12,0.0,19
2015-01-06,1,5.0,8
2015-01-07,6,11.0,7
2015-01-08,2,6.0,1
2015-01-09,2,10.0,3
2015-01-10,1,0.0,7
2015-01-11,1,0.0,8
2015-01-12,3,3.0,4
2015-01-13,17,5.0,15
2015-01-14,4,3.0,7
2015-01-15,7,7.0,16
2015-01-16,11,3.0,13
2015-01-17,3,1.0,2
2015-01-18,1,0.0,0
2015-01-19,1,0.0,4
2015-01-20,5,11.0,0
2015-01-21,12,5.0,12
2015-01-22,18,14.0,10
2015-01-23,12,7.0,2
2015-01-24,2,1.0,4
2015-01-25,2,0.0,7
2015-01-26,5,1.0,17
2015-01-27,41,9.0,6
2015-01-28,10,5.0,0
2015-01-29,0,3.0,11
2015-01-30,6,2.0,9
2015-01-31,11,0.0,25
2015-02-01,1,0.0,16
2015-02-02,20,0.0,14
2015-02-03,11,0.0,9
2015-02-04,12,0.0,10
2015-02-05,11,22.0,4
2015-02-06,14,18.0,9
2015-02-07,2,4.0,13
2015-02-08,1,0.0,29
2015-02-09,12,2.0,7
2015-02-10,8,9.0,14
2015-02-11,9,6.0,5
2015-02-12,13,3.0,15
2015-02-13,10,7.0,5
2015-02-14,8,3.0,5
2015-02-15,1,3.0,16
2015-02-16,2,2.0,3
2015-02-17,19,15.0,2
2015-02-18,9,15.0,2
2015-02-19,20,10.0,5
2015-02-20,20,7.0,6
2015-02-21,2,9.0,0
2015-02-22,12,0.0,1
2015-02-23,3,4.0,0
2015-02-24,10,6.0,2
2015-02-25,2,13.0,11
2015-02-26,8,26.0,6
2015-02-27,5,6.0,5
2015-02-28,3,3.0,11
2015-03-01,3,0.0,8
2015-03-02,10,10.0,0
2015-03-03,14,8.0,3
2015-03-04,3,2.0,3
2015-03-05,8,1.0,5
2015-03-06,9,1.0,0
2015-03-07,1,2.0,1
2015-03-08,2,0.0,6
2015-03-09,7,4.0,7
2015-03-10,46,6.0,4
2015-03-11,69,8.0,2
2015-03-12,3,8.0,6
