,4ian/GDevelop,godotengine/godot,MonoGame/MonoGame
2013-07-10,0,0,0
2013-07-11,0,0,1
2013-07-12,0,0,0
2013-07-13,0,0,2
2013-07-14,0,0,0
2013-07-15,3,0,6
2013-07-16,2,0,1
2013-07-17,1,0,1
2013-07-18,1,0,4
2013-07-19,2,0,3
2013-07-20,0,0,3
2013-07-21,5,0,1
2013-07-22,1,0,3
2013-07-23,0,0,6
2013-07-24,0,0,19
2013-07-25,0,0,0
2013-07-26,0,0,5
2013-07-27,0,0,0
2013-07-28,0,0,2
2013-07-29,2,0,8
2013-07-30,3,0,3
2013-07-31,1,0,3
2013-08-01,0,0,5
2013-08-02,6,0,1
2013-08-03,0,0,0
2013-08-04,0,0,3
2013-08-05,1,0,3
2013-08-06,2,0,4
2013-08-07,2,0,2
2013-08-08,3,0,0
2013-08-09,0,0,11
2013-08-10,0,0,1
2013-08-11,0,0,7
2013-08-12,0,0,4
2013-08-13,0,0,4
2013-08-14,0,0,2
2013-08-15,0,0,2
2013-08-16,0,0,0
2013-08-17,0,0,0
2013-08-18,0,0,0
2013-08-19,0,0,4
2013-08-20,0,0,1
2013-08-21,0,0,5
2013-08-22,2,0,1
2013-08-23,2,0,0
2013-08-24,0,0,0
2013-08-25,0,0,1
2013-08-26,0,0,4
2013-08-27,3,0,2
2013-08-28,0,0,0
2013-08-29,0,0,8
2013-08-30,0,0,0
2013-08-31,1,0,16
2013-09-01,0,0,2
2013-09-02,0,0,1
2013-09-03,2,0,2
2013-09-04,0,0,0
2013-09-05,0,0,1
2013-09-06,0,0,8
2013-09-07,0,0,0
2013-09-08,0,0,0
2013-09-09,0,0,0
2013-09-10,0,0,12
2013-09-11,3,0,5
2013-09-12,0,0,16
2013-09-13,0,0,0
2013-09-14,0,0,0
2013-09-15,0,0,2
2013-09-16,1,0,9
2013-09-17,0,0,4
2013-09-18,0,0,1
2013-09-19,0,0,1
2013-09-20,0,0,2
2013-09-21,0,0,5
2013-09-22,0,0,4
2013-09-23,0,0,4
2013-09-24,3,0,7
2013-09-25,2,0,4
2013-09-26,2,0,3
2013-09-27,0,0,8
2013-09-28,0,0,10
2013-09-29,3,0,6
2013-09-30,0,0,4
2013-10-01,0,0,7
2013-10-02,0,0,5
2013-10-03,0,0,6
2013-10-04,0,0,4
2013-10-05,0,0,5
2013-10-06,0,0,0
2013-10-07,4,0,4
2013-10-08,0,0,12
2013-10-09,0,0,15
2013-10-10,0,0,6
2013-10-11,0,0,1
2013-10-12,0,0,0
2013-10-13,0,0,0
2013-10-14,0,0,6
2013-10-15,1,0,1
2013-10-16,0,0,6
2013-10-17,1,0,9
2013-10-18,0,0,0
2013-10-19,0,0,5
2013-10-20,0,0,0
2013-10-21,2,0,1
2013-10-22,0,0,0
2013-10-23,0,0,1
2013-10-24,0,0,1
2013-10-25,0,0,0
2013-10-26,0,0,2
2013-10-27,0,0,2
2013-10-28,3,0,0
2013-10-29,1,0,2
2013-10-30,2,0,1
2013-10-31,3,0,0
2013-11-01,2,0,0
2013-11-02,2,0,0
2013-11-03,0,0,0
2013-11-04,2,0,0
2013-11-05,0,0,1
2013-11-06,0,0,0
2013-11-07,0,0,0
2013-11-08,0,0,2
2013-11-09,0,0,0
2013-11-10,0,0,1
2013-11-11,0,0,4
2013-11-12,2,0,0
2013-11-13,0,0,0
2013-11-14,0,0,0
2013-11-15,0,0,0
2013-11-16,0,0,0
2013-11-17,0,0,0
2013-11-18,0,0,2
2013-11-19,0,0,1
2013-11-20,0,0,0
2013-11-21,0,0,4
2013-11-22,0,0,2
2013-11-23,0,0,0
2013-11-24,3,0,2
2013-11-25,0,0,0
2013-11-26,0,0,1
2013-11-27,0,0,0
2013-11-28,1,0,1
2013-11-29,0,0,1
2013-11-30,0,0,0
2013-12-01,0,0,0
2013-12-02,0,0,2
2013-12-03,0,0,3
2013-12-04,0,0,2
2013-12-05,0,0,3
2013-12-06,0,0,0
2013-12-07,0,0,0
2013-12-08,0,0,1
2013-12-09,0,0,3
2013-12-10,0,0,2
2013-12-11,0,0,0
2013-12-12,0,0,0
2013-12-13,1,0,1
2013-12-14,0,0,0
2013-12-15,0,0,0
2013-12-16,3,0,0
2013-12-17,0,0,0
2013-12-18,0,0,2
2013-12-19,0,0,0
2013-12-20,0,0,0
2013-12-21,0,0,0
2013-12-22,0,0,0
2013-12-23,0,0,0
2013-12-24,1,0,0
2013-12-25,0,0,1
2013-12-26,2,0,0
2013-12-27,3,0,0
2013-12-28,0,0,0
2013-12-29,4,0,0
2013-12-30,0,0,0
2013-12-31,0,0,0
2014-01-01,0,0,0
2014-01-02,1,0,0
2014-01-03,0,0,4
2014-01-04,5,1,0
2014-01-05,0,0,0
2014-01-06,0,0,5
2014-01-07,0,0,11
2014-01-08,0,0,8
2014-01-09,0,0,2
2014-01-10,0,0,0
2014-01-11,0,0,0
2014-01-12,0,0,0
2014-01-13,0,0,4
2014-01-14,0,0,0
2014-01-15,0,0,1
2014-01-16,0,0,4
2014-01-17,0,0,7
2014-01-18,0,0,6
2014-01-19,0,0,4
2014-01-20,0,0,9
2014-01-21,0,0,7
2014-01-22,0,0,0
2014-01-23,0,0,0
2014-01-24,0,0,2
2014-01-25,0,0,0
2014-01-26,0,0,1
2014-01-27,0,0,5
2014-01-28,0,0,0
2014-01-29,0,0,1
2014-01-30,0,0,9
2014-01-31,0,0,0
2014-02-01,0,0,1
2014-02-02,0,0,2
2014-02-03,0,0,9
2014-02-04,3,0,3
2014-02-05,0,0,0
2014-02-06,3,0,0
2014-02-07,0,0,1
2014-02-08,0,0,0
2014-02-09,0,0,0
2014-02-10,0,10,1
2014-02-11,0,8,0
2014-02-12,0,2,4
2014-02-13,1,11,0
2014-02-14,0,9,0
2014-02-15,0,4,0
2014-02-16,0,3,4
2014-02-17,0,5,2
2014-02-18,0,7,1
2014-02-19,0,6,0
2014-02-20,0,1,2
2014-02-21,0,14,5
2014-02-22,0,4,0
2014-02-23,0,9,0
2014-02-24,3,3,3
2014-02-25,0,3,9
2014-02-26,2,12,15
2014-02-27,0,3,11
2014-02-28,0,4,3
2014-03-01,0,0,2
2014-03-02,0,0,12
2014-03-03,2,0,10
2014-03-04,0,0,0
2014-03-05,0,3,9
2014-03-06,0,1,14
2014-03-07,0,2,17
2014-03-08,0,3,0
2014-03-09,0,0,5
2014-03-10,1,0,17
2014-03-11,0,7,7
2014-03-12,0,9,51
2014-03-13,0,2,30
2014-03-14,0,5,5
