,neovim/neovim,pulsar-edit/pulsar,microsoft/vscode
2019-11-13,6,1,81
2019-11-14,6,0,97
2019-11-15,0,2,106
2019-11-16,12,0,13
2019-11-17,5,0,13
2019-11-18,7,4,100
2019-11-19,1,0,77
2019-11-20,11,0,55
2019-11-21,22,0,70
2019-11-22,4,1,57
2019-11-23,15,2,9
2019-11-24,9,0,9
2019-11-25,15,4,42
2019-11-26,7,4,43
2019-11-27,7,0,38
2019-11-28,10,1,32
2019-11-29,10,7,48
2019-11-30,6,0,9
2019-12-01,8,0,29
2019-12-02,12,1,71
2019-12-03,4,1,28
2019-12-04,3,3,62
2019-12-05,1,3,55
2019-12-06,1,5,30
2019-12-07,4,1,5
2019-12-08,1,0,3
2019-12-09,0,1,53
2019-12-10,3,1,64
2019-12-11,2,1,49
2019-12-12,7,1,56
2019-12-13,1,0,54
2019-12-14,0,0,9
2019-12-15,0,0,2
2019-12-16,4,3,54
2019-12-17,7,0,54
2019-12-18,3,4,77
2019-12-19,2,8,48
2019-12-20,5,3,31
2019-12-21,3,0,2
2019-12-22,16,0,1
2019-12-23,9,0,19
2019-12-24,6,0,15
2019-12-25,3,0,2
2019-12-26,12,0,3
2019-12-27,1,0,6
2019-12-28,2,0,2
2019-12-29,13,0,2
2019-12-30,16,0,36
2019-12-31,8,0,31
2020-01-01,16,3,0
2020-01-02,7,0,19
2020-01-03,6,0,16
2020-01-04,5,0,1
2020-01-05,3,0,5
2020-01-06,3,0,58
2020-01-07,3,7,61
2020-01-08,7,2,51
2020-01-09,4,2,59
2020-01-10,0,1,77
2020-01-11,2,0,11
2020-01-12,2,0,13
2020-01-13,2,0,80
2020-01-14,3,0,67
2020-01-15,2,0,75
2020-01-16,4,0,61
2020-01-17,14,0,68
2020-01-18,7,0,8
2020-01-19,13,0,18
2020-01-20,5,0,41
2020-01-21,13,1,88
2020-01-22,3,0,61
2020-01-23,2,5,68
2020-01-24,3,13,58
2020-01-25,1,2,6
2020-01-26,18,0,20
2020-01-27,13,1,94
2020-01-28,7,0,29
2020-01-29,2,1,88
2020-01-30,6,2,49
2020-01-31,4,1,26
2020-02-01,2,0,4
2020-02-02,5,0,4
2020-02-03,11,0,41
2020-02-04,1,1,106
2020-02-05,1,1,110
2020-02-06,1,1,101
2020-02-07,9,3,108
2020-02-08,0,1,9
2020-02-09,5,0,9
2020-02-10,9,7,89
2020-02-11,2,1,83
2020-02-12,13,1,60
2020-02-13,22,5,75
2020-02-14,7,2,59
2020-02-15,1,0,13
2020-02-16,12,0,2
2020-02-17,11,2,66
2020-02-18,7,0,61
2020-02-19,5,0,88
2020-02-20,1,4,102
2020-02-21,5,0,77
2020-02-22,2,0,14
2020-02-23,9,0,31
2020-02-24,1,1,25
2020-02-25,1,7,35
2020-02-26,6,5,88
2020-02-27,6,5,71
2020-02-28,1,5,59
2020-02-29,4,1,4
2020-03-01,11,0,7
2020-03-02,20,1,72
2020-03-03,1,2,52
2020-03-04,0,3,86
2020-03-05,0,0,70
2020-03-06,1,1,62
2020-03-07,0,0,19
2020-03-08,6,0,8
2020-03-09,0,0,65
2020-03-10,0,1,55
2020-03-11,0,5,41
2020-03-12,2,0,58
2020-03-13,0,0,54
2020-03-14,0,0,9
2020-03-15,0,0,5
2020-03-16,1,1,43
2020-03-17,1,0,54
2020-03-18,0,0,58
2020-03-19,4,0,54
2020-03-20,0,0,36
2020-03-21,1,1,8
2020-03-22,2,0,3
2020-03-23,2,1,53
2020-03-24,0,0,72
2020-03-25,0,0,74
2020-03-26,0,3,89
2020-03-27,0,0,113
2020-03-28,2,2,21
2020-03-29,3,0,20
2020-03-30,1,0,84
2020-03-31,0,1,48
2020-04-01,3,0,74
2020-04-02,2,1,43
2020-04-03,0,1,57
2020-04-04,2,0,5
2020-04-05,0,0,14
2020-04-06,1,0,72
2020-04-07,1,0,76
2020-04-08,1,0,58
2020-04-09,0,0,82
2020-04-10,0,0,34
2020-04-11,0,0,21
2020-04-12,7,0,21
2020-04-13,30,1,45
2020-04-14,1,0,76
2020-04-15,3,1,62
2020-04-16,3,0,91
2020-04-17,1,0,105
2020-04-18,9,0,21
2020-04-19,4,0,36
2020-04-20,5,0,74
2020-04-21,8,0,85
2020-04-22,2,0,98
2020-04-23,1,0,70
2020-04-24,5,0,83
2020-04-25,4,1,7
2020-04-26,18,0,9
2020-04-27,12,0,107
2020-04-28,3,0,39
2020-04-29,3,0,72
2020-04-30,1,0,41
2020-05-01,5,0,17
2020-05-02,8,0,5
2020-05-03,13,0,7
2020-05-04,3,0,70
2020-05-05,9,0,69
2020-05-06,1,1,78
2020-05-07,11,2,75
2020-05-08,2,0,46
2020-05-09,4,0,8
2020-05-10,0,0,5
2020-05-11,1,0,68
2020-05-12,6,3,89
2020-05-13,0,1,81
2020-05-14,2,0,72
2020-05-15,3,2,78
2020-05-16,3,0,8
2020-05-17,3,0,10
2020-05-18,4,2,52
2020-05-19,5,18,44
2020-05-20,2,12,81
2020-05-21,6,0,12
2020-05-22,0,0,15
2020-05-23,4,2,12
2020-05-24,2,0,3
2020-05-25,7,0,43
2020-05-26,7,0,68
2020-05-27,0,8,80
2020-05-28,1,7,29
2020-05-29,1,1,54
2020-05-30,5,8,3
2020-05-31,4,1,13
2020-06-01,0,0,73
2020-06-02,4,2,32
2020-06-03,3,9,94
2020-06-04,6,1,53
2020-06-05,13,1,44
2020-06-06,5,5,5
2020-06-07,1,2,8
2020-06-08,2,2,75
2020-06-09,1,0,69
2020-06-10,5,1,58
2020-06-11,3,1,81
2020-06-12,2,8,81
2020-06-13,3,0,10
2020-06-14,2,0,6
2020-06-15,3,4,71
2020-06-16,3,3,78
2020-06-17,1,2,73
2020-06-18,17,3,58
2020-06-19,2,1,37
2020-06-20,0,0,11
2020-06-21,1,1,16
2020-06-22,5,2,73
2020-06-23,6,4,81
2020-06-24,2,7,71
2020-06-25,0,0,68
2020-06-26,0,4,61
2020-06-27,2,0,0
2020-06-28,0,0,12
2020-06-29,11,2,71
2020-06-30,2,0,37
2020-07-01,3,1,74
2020-07-02,6,0,38
2020-07-03,2,5,17
2020-07-04,10,0,6
2020-07-05,0,0,1
2020-07-06,3,1,42
2020-07-07,1,1,50
2020-07-08,1,2,49
2020-07-09,0,0,45
2020-07-10,7,8,40
2020-07-11,2,12,9
2020-07-12,0,1,7
2020-07-13,0,14,59
2020-07-14,0,7,43
2020-07-15,4,0,31
2020-07-16,0,19,57
2020-07-17,0,13,50
2020-07-18,1,3,10
2020-07-19,20,2,0
2020-07-20,7,0,46
2020-07-21,5,2,60
2020-07-22,0,2,79
2020-07-23,6,0,49
2020-07-24,3,0,31
2020-07-25,0,8,5
2020-07-26,1,1,5
2020-07-27,0,0,33
2020-07-28,3,0,37
2020-07-29,1,1,40
2020-07-30,2,0,37
2020-07-31,6,3,33
2020-08-01,0,0,3
2020-08-02,22,4,1
2020-08-03,1,0,54
2020-08-04,0,1,20
2020-08-05,0,0,71
2020-08-06,0,0,37
2020-08-07,0,1,17
2020-08-08,4,0,8
2020-08-09,1,0,8
2020-08-10,2,0,52
2020-08-11,2,1,58
2020-08-12,0,2,69
2020-08-13,7,9,55
2020-08-14,19,5,19
2020-08-15,9,1,4
2020-08-16,2,0,5
2020-08-17,4,8,30
2020-08-18,1,1,42
2020-08-19,1,3,46
2020-08-20,1,3,39
2020-08-21,0,7,53
2020-08-22,3,5,2
2020-08-23,11,13,1
2020-08-24,3,7,42
2020-08-25,2,3,43
2020-08-26,5,1,59
2020-08-27,1,2,55
2020-08-28,1,3,56
2020-08-29,0,10,7
2020-08-30,10,4,16
2020-08-31,18,16,77
2020-09-01,5,0,43
2020-09-02,6,0,60
2020-09-03,11,1,41
2020-09-04,19,4,37
2020-09-05,9,17,12
2020-09-06,23,6,5
2020-09-07,1,6,49
2020-09-08,3,3,80
2020-09-09,11,9,87
2020-09-10,6,14,63
2020-09-11,31,34,40
2020-09-12,10,0,3
2020-09-13,18,0,1
2020-09-14,7,39,39
2020-09-15,0,6,40
2020-09-16,8,30,88
2020-09-17,4,31,55
2020-09-18,2,22,55
2020-09-19,13,1,10
2020-09-20,2,0,1
2020-09-21,4,0,38
2020-09-22,1,6,47
2020-09-23,0,16,42
2020-09-24,9,7,37
2020-09-25,0,2,42
2020-09-26,5,3,1
2020-09-27,2,4,12
2020-09-28,2,4,65
2020-09-29,5,6,21
2020-09-30,10,22,57
2020-10-01,14,12,47
2020-10-02,5,14,14
2020-10-03,6,2,19
2020-10-04,4,1,2
2020-10-05,14,4,50
2020-10-06,16,6,37
2020-10-07,10,4,34
2020-10-08,7,5,26
2020-10-09,2,3,40
2020-10-10,10,1,6
2020-10-11,13,1,5
2020-10-12,8,2,28
2020-10-13,1,5,33
2020-10-14,6,5,43
2020-10-15,4,1,27
2020-10-16,4,1,29
2020-10-17,15,1,8
2020-10-18,5,0,1
2020-10-19,2,4,33
2020-10-20,4,8,55
2020-10-21,7,10,41
2020-10-22,13,5,58
2020-10-23,5,5,61
2020-10-24,4,2,6
2020-10-25,19,1,15
2020-10-26,5,2,80
2020-10-27,1,1,49
2020-10-28,6,0,78
2020-10-29,5,3,33
2020-10-30,4,16,28
2020-10-31,2,32,1
2020-11-01,21,0,0
2020-11-02,7,2,61
2020-11-03,14,2,59
2020-11-04,12,1,85
2020-11-05,4,0,73
2020-11-06,1,7,49
2020-11-07,13,1,4
2020-11-08,12,0,3
2020-11-09,9,0,86
2020-11-10,7,0,93
2020-11-11,4,0,79
2020-11-12,5,0,58
2020-11-13,17,0,63
2020-11-14,7,0,0
2020-11-15,6,0,7
2020-11-16,13,0,50
2020-11-17,2,0,52
2020-11-18,4,5,72
2020-11-19,4,0,45
2020-11-20,10,0,60
2020-11-21,14,0,4
2020-11-22,22,0,7
2020-11-23,19,0,44
2020-11-24,9,1,76
2020-11-25,24,0,79
2020-11-26,7,42,62
2020-11-27,4,0,51
2020-11-28,8,0,6
2020-11-29,7,0,0
2020-11-30,7,0,43
2020-12-01,16,0,45
2020-12-02,2,0,68
2020-12-03,7,0,36
2020-12-04,12,0,31
2020-12-05,17,0,5
2020-12-06,10,0,3
2020-12-07,11,1,22
2020-12-08,1,1,38
2020-12-09,9,1,44
2020-12-10,5,3,49
2020-12-11,9,1,96
2020-12-12,19,0,2
2020-12-13,3,0,4
2020-12-14,6,0,94
2020-12-15,6,0,86
2020-12-16,7,0,85
2020-12-17,2,0,83
2020-12-18,1,0,102
2020-12-19,11,0,5
2020-12-20,13,0,0
2020-12-21,5,0,34
2020-12-22,14,0,46
2020-12-23,8,0,33
2020-12-24,9,0,31
2020-12-25,5,0,7
2020-12-26,6,0,1
2020-12-27,8,0,0
2020-12-28,4,0,18
2020-12-29,6,0,24
2020-12-30,18,0,15
2020-12-31,8,0,13
2021-01-01,30,0,0
2021-01-02,8,0,2
2021-01-03,10,0,1
2021-01-04,5,1,40
2021-01-05,10,0,79
2021-01-06,4,1,67
2021-01-07,1,1,64
2021-01-08,0,0,55
2021-01-09,2,0,5
2021-01-10,2,0,1
2021-01-11,7,0,68
2021-01-12,3,2,64
2021-01-13,4,0,79
2021-01-14,2,0,58
2021-01-15,2,1,79
2021-01-16,3,0,8
2021-01-17,10,0,0
2021-01-18,10,2,61
2021-01-19,1,3,63
2021-01-20,11,2,55
2021-01-21,1,3,94
2021-01-22,10,1,73
2021-01-23,4,0,4
2021-01-24,2,0,5
2021-01-25,2,3,63
2021-01-26,3,2,41
2021-01-27,7,2,64
2021-01-28,2,2,73
2021-01-29,5,4,13
2021-01-30,12,0,4
2021-01-31,14,0,0
2021-02-01,1,2,72
2021-02-02,4,1,89
2021-02-03,4,0,82
2021-02-04,11,3,101
2021-02-05,1,0,79
2021-02-06,11,0,6
2021-02-07,10,0,2
2021-02-08,4,1,51
2021-02-09,2,6,95
2021-02-10,11,0,77
2021-02-11,5,0,105
2021-02-12,1,0,92
2021-02-13,10,0,11
2021-02-14,4,0,5
2021-02-15,0,2,53
2021-02-16,12,0,64
2021-02-17,7,0,75
2021-02-18,5,0,114
2021-02-19,0,1,99
2021-02-20,2,0,13
2021-02-21,1,0,0
2021-02-22,8,0,108
2021-02-23,1,1,56
2021-02-24,8,0,80
2021-02-25,6,0,54
2021-02-26,2,0,37
2021-02-27,4,0,9
2021-02-28,0,0,1
2021-03-01,0,2,55
2021-03-02,7,1,70
2021-03-03,6,1,44
2021-03-04,9,0,82
2021-03-05,5,2,109
2021-03-06,7,1,27
2021-03-07,5,1,3
2021-03-08,2,1,57
2021-03-09,6,1,91
2021-03-10,16,1,55
2021-03-11,7,0,41
2021-03-12,3,0,57
2021-03-13,7,1,4
2021-03-14,10,0,0
2021-03-15,5,0,46
2021-03-16,6,0,75
2021-03-17,0,1,44
2021-03-18,8,0,48
2021-03-19,3,2,107
2021-03-20,10,0,17
2021-03-21,8,2,3
2021-03-22,10,0,68
2021-03-23,13,1,53
2021-03-24,3,0,98
2021-03-25,2,2,58
2021-03-26,3,1,44
2021-03-27,15,0,8
2021-03-28,17,0,5
2021-03-29,11,1,123
2021-03-30,11,8,69
2021-03-31,13,1,76
2021-04-01,16,0,81
2021-04-02,21,0,39
2021-04-03,14,2,3
2021-04-04,13,0,2
2021-04-05,8,1,59
2021-04-06,8,11,93
2021-04-07,7,4,68
2021-04-08,13,5,84
2021-04-09,8,3,97
2021-04-10,5,0,14
2021-04-11,11,0,3
2021-04-12,6,0,79
2021-04-13,5,0,75
2021-04-14,11,0,97
2021-04-15,12,1,109
2021-04-16,4,1,122
2021-04-17,5,0,10
2021-04-18,3,0,6
2021-04-19,0,0,71
2021-04-20,12,0,108
2021-04-21,11,0,122
2021-04-22,4,0,113
2021-04-23,7,0,90
2021-04-24,2,0,18
2021-04-25,0,0,1
2021-04-26,2,1,89
2021-04-27,40,0,69
2021-04-28,7,2,80
2021-04-29,14,2,50
2021-04-30,11,1,33
2021-05-01,12,0,6
2021-05-02,29,0,7
2021-05-03,5,0,66
2021-05-04,5,0,108
2021-05-05,9,2,72
2021-05-06,29,2,99
2021-05-07,6,3,101
2021-05-08,4,1,10
2021-05-09,10,0,2
2021-05-10,7,7,56
2021-05-11,3,4,65
2021-05-12,5,7,97
2021-05-13,0,3,63
2021-05-14,16,1,56
2021-05-15,3,11,2
2021-05-16,4,1,0
2021-05-17,1,6,44
2021-05-18,8,9,64
2021-05-19,15,6,127
2021-05-20,14,4,71
2021-05-21,7,14,104
2021-05-22,13,0,7
2021-05-23,5,0,1
2021-05-24,7,6,42
2021-05-25,1,1,88
2021-05-26,8,0,100
2021-05-27,1,2,74
2021-05-28,1,2,76
2021-05-29,5,0,14
2021-05-30,1,0,6
2021-05-31,5,2,55
2021-06-01,17,0,57
2021-06-02,4,4,99
2021-06-03,6,4,70
2021-06-04,2,6,79
2021-06-05,21,0,6
2021-06-06,8,0,5
2021-06-07,2,5,82
2021-06-08,0,0,79
2021-06-09,5,0,95
2021-06-10,22,0,68
2021-06-11,14,2,80
2021-06-12,17,1,3
2021-06-13,6,1,1
2021-06-14,11,0,34
2021-06-15,9,0,108
2021-06-16,7,0,85
2021-06-17,3,2,48
2021-06-18,2,0,105
2021-06-19,10,1,9
2021-06-20,2,0,1
2021-06-21,2,2,69
2021-06-22,5,0,45
2021-06-23,2,0,79
2021-06-24,7,6,74
2021-06-25,12,1,72
2021-06-26,10,0,6
2021-06-27,1,1,8
2021-06-28,4,0,82
2021-06-29,15,0,42
2021-06-30,9,0,73
2021-07-01,10,1,78
2021-07-02,6,7,43
2021-07-03,7,7,0
2021-07-04,10,0,5
2021-07-05,2,1,31
2021-07-06,6,3,35
2021-07-07,5,0,105
2021-07-08,10,1,68
2021-07-09,8,1,49
2021-07-10,9,0,5
2021-07-11,7,3,0
2021-07-12,4,0,31
2021-07-13,1,0,47
2021-07-14,6,2,61
2021-07-15,1,2,72
2021-07-16,0,7,84
2021-07-17,4,0,7
2021-07-18,4,0,5
2021-07-19,11,4,51
2021-07-20,2,4,51
2021-07-21,0,3,54
2021-07-22,4,1,55
2021-07-23,3,1,54
2021-07-24,6,1,9
2021-07-25,10,0,4
2021-07-26,9,2,53
2021-07-27,4,1,43
2021-07-28,5,10,52
2021-07-29,11,4,39
2021-07-30,8,0,9
2021-07-31,11,0,0
2021-08-01,16,1,1
2021-08-02,4,0,31
2021-08-03,2,2,71
2021-08-04,1,1,54
2021-08-05,1,2,40
2021-08-06,7,4,60
2021-08-07,4,0,6
2021-08-08,3,0,1
2021-08-09,14,2,22
2021-08-10,11,0,24
2021-08-11,4,2,45
2021-08-12,24,4,48
2021-08-13,5,6,50
2021-08-14,4,0,1
2021-08-15,9,0,1
2021-08-16,13,6,39
2021-08-17,6,0,60
2021-08-18,3,5,59
2021-08-19,8,0,80
2021-08-20,3,2,63
2021-08-21,0,0,7
2021-08-22,18,0,2
2021-08-23,7,0,66
2021-08-24,1,0,47
2021-08-25,2,1,62
2021-08-26,6,1,33
2021-08-27,6,0,25
2021-08-28,10,0,0
2021-08-29,4,0,2
2021-08-30,6,0,55
2021-08-31,3,3,50
2021-09-01,4,1,57
2021-09-02,4,2,56
2021-09-03,1,16,40
2021-09-04,2,1,3
2021-09-05,7,0,0
2021-09-06,2,2,24
2021-09-07,3,1,56
2021-09-08,11,0,31
2021-09-09,15,0,35
2021-09-10,26,0,60
2021-09-11,21,0,9
2021-09-12,9,0,1
2021-09-13,7,0,32
2021-09-14,9,2,62
2021-09-15,39,0,33
2021-09-16,15,0,54
2021-09-17,31,0,61
2021-09-18,15,2,12
2021-09-19,19,0,1
2021-09-20,8,4,61
2021-09-21,10,2,57
2021-09-22,12,0,62
2021-09-23,9,1,52
2021-09-24,13,0,63
2021-09-25,1,0,2
2021-09-26,22,0,1
2021-09-27,6,0,71
2021-09-28,4,1,49
2021-09-29,8,4,69
2021-09-30,4,1,48
2021-10-01,9,0,19
2021-10-02,14,0,0
2021-10-03,24,0,2
2021-10-04,15,1,31
2021-10-05,16,0,7
2021-10-06,14,0,33
2021-10-07,16,0,30
2021-10-08,12,0,50
2021-10-09,5,0,1
2021-10-10,4,0,1
2021-10-11,2,0,52
2021-10-12,3,3,72
2021-10-13,5,0,41
2021-10-14,5,0,51
2021-10-15,2,0,57
2021-10-16,8,0,10
2021-10-17,21,0,1
2021-10-18,8,0,28
2021-10-19,17,0,54
2021-10-20,7,0,44
