,ioBroker/ioBroker,node-red/node-red,home-assistant/core
2025-07-19,0,0,44
2025-07-20,0,0,19
2025-07-21,0,7,45
2025-07-22,0,2,29
2025-07-23,0,0,52
2025-07-24,0,0,42
2025-07-25,0,1,23
2025-07-26,0,0,8
2025-07-27,0,0,31
2025-07-28,0,0,45
2025-07-29,0,6,22
2025-07-30,0,0,59
2025-07-31,0,1,42
2025-08-01,0,0,27
2025-08-02,0,0,9
2025-08-03,0,2,8
2025-08-04,0,0,86
2025-08-05,0,0,68
2025-08-06,0,0,71
2025-08-07,0,0,22
2025-08-08,0,0,41
2025-08-09,6,0,10
2025-08-10,3,0,30
2025-08-11,0,0,69
