,scala/scala,jetbrains/kotlin,apache/groovy
2020-02-09,0,7,1
2020-02-10,3,53,0
2020-02-11,7,107,1
2020-02-12,10,173,8
2020-02-13,16,90,5
2020-02-14,7,107,8
2020-02-15,2,12,2
2020-02-16,0,3,3
2020-02-17,13,55,3
2020-02-18,5,67,1
2020-02-19,5,56,7
2020-02-20,4,83,2
2020-02-21,6,52,3
2020-02-22,3,5,3
2020-02-23,3,4,4
2020-02-24,15,4,0
2020-02-25,18,42,4
2020-02-26,13,60,0
2020-02-27,9,37,0
2020-02-28,7,69,2
2020-02-29,7,14,4
2020-03-01,6,4,9
2020-03-02,7,35,5
2020-03-03,5,81,7
2020-03-04,5,54,4
2020-03-05,15,51,1
2020-03-06,5,60,0
2020-03-07,1,4,7
2020-03-08,2,1,1
2020-03-09,11,8,5
2020-03-10,0,48,5
2020-03-11,1,54,3
2020-03-12,2,65,0
2020-03-13,8,32,0
2020-03-14,0,1,15
2020-03-15,11,1,4
2020-03-16,6,129,1
2020-03-17,1,26,3
2020-03-18,11,49,2
2020-03-19,8,44,4
2020-03-20,8,75,5
2020-03-21,0,0,10
2020-03-22,2,3,13
2020-03-23,3,59,1
2020-03-24,5,60,0
2020-03-25,6,71,3
2020-03-26,2,92,4
2020-03-27,6,39,3
2020-03-28,4,28,15
2020-03-29,6,5,6
2020-03-30,10,115,1
2020-03-31,5,73,1
2020-04-01,3,33,0
2020-04-02,2,76,0
2020-04-03,8,73,0
2020-04-04,1,3,7
2020-04-05,2,3,0
2020-04-06,19,33,0
2020-04-07,4,67,2
2020-04-08,4,71,1
2020-04-09,4,78,2
2020-04-10,4,23,1
2020-04-11,1,15,26
2020-04-12,6,0,1
2020-04-13,4,77,0
2020-04-14,5,56,2
2020-04-15,14,80,5
2020-04-16,11,61,4
2020-04-17,5,74,2
2020-04-18,4,12,3
2020-04-19,8,4,2
2020-04-20,14,48,4
2020-04-21,11,79,2
2020-04-22,11,40,3
2020-04-23,17,78,2
2020-04-24,8,36,1
2020-04-25,2,3,7
2020-04-26,4,7,1
2020-04-27,9,27,6
2020-04-28,2,75,0
2020-04-29,6,51,8
2020-04-30,6,20,3
2020-05-01,5,7,0
2020-05-02,4,0,0
2020-05-03,1,0,0
2020-05-04,14,16,6
2020-05-05,13,0,1
2020-05-06,13,41,1
2020-05-07,4,74,2
2020-05-08,17,63,1
2020-05-09,2,7,2
2020-05-10,5,1,0
2020-05-11,9,3,4
2020-05-12,0,95,3
2020-05-13,12,47,3
2020-05-14,26,43,4
2020-05-15,37,49,1
2020-05-16,0,1,11
2020-05-17,3,2,4
2020-05-18,24,53,4
2020-05-19,8,38,0
2020-05-20,7,54,0
2020-05-21,4,35,2
2020-05-22,2,8,2
2020-05-23,4,5,1
2020-05-24,1,26,2
2020-05-25,1,55,2
2020-05-26,1,187,2
2020-05-27,2,38,2
2020-05-28,1,66,10
2020-05-29,5,56,5
2020-05-30,0,10,4
2020-05-31,3,19,0
2020-06-01,10,73,0
2020-06-02,17,60,1
2020-06-03,16,91,0
2020-06-04,6,39,0
2020-06-05,9,52,1
2020-06-06,2,6,0
2020-06-07,5,9,0
2020-06-08,7,41,5
2020-06-09,1,78,5
2020-06-10,90,31,3
2020-06-11,3,47,1
2020-06-12,5,1,0
2020-06-13,3,6,10
2020-06-14,2,27,2
2020-06-15,9,64,6
2020-06-16,3,71,1
2020-06-17,5,60,0
2020-06-18,6,45,0
2020-06-19,16,136,5
2020-06-20,0,0,1
2020-06-21,1,0,7
2020-06-22,8,40,1
2020-06-23,11,42,5
2020-06-24,13,156,7
2020-06-25,7,31,10
2020-06-26,272,62,10
2020-06-27,0,4,0
2020-06-28,1,1,1
2020-06-29,2,105,0
2020-06-30,5,50,1
2020-07-01,4,31,1
2020-07-02,6,61,4
2020-07-03,2,30,1
2020-07-04,0,14,5
2020-07-05,0,1,5
2020-07-06,4,37,17
2020-07-07,4,38,0
2020-07-08,2,27,4
2020-07-09,4,45,13
2020-07-10,5,32,1
2020-07-11,2,6,0
2020-07-12,0,1,5
2020-07-13,7,39,5
2020-07-14,9,50,3
2020-07-15,11,39,2
2020-07-16,3,47,2
2020-07-17,6,26,2
2020-07-18,2,3,9
2020-07-19,0,3,4
2020-07-20,4,55,1
2020-07-21,2,43,0
2020-07-22,1,53,0
2020-07-23,2,22,2
2020-07-24,5,19,2
2020-07-25,3,5,7
2020-07-26,0,1,0
2020-07-27,7,29,4
2020-07-28,5,74,1
2020-07-29,2,23,1
2020-07-30,2,26,1
2020-07-31,0,14,6
2020-08-01,0,1,6
2020-08-02,1,21,3
2020-08-03,0,27,1
2020-08-04,2,36,2
2020-08-05,1,33,3
2020-08-06,2,18,4
2020-08-07,4,7,0
2020-08-08,0,0,8
2020-08-09,3,80,6
2020-08-10,2,42,3
2020-08-11,8,32,0
2020-08-12,2,17,1
2020-08-13,4,51,0
2020-08-14,3,23,5
2020-08-15,0,1,0
2020-08-16,2,0,0
2020-08-17,5,60,4
2020-08-18,8,22,1
2020-08-19,4,49,2
2020-08-20,2,33,2
2020-08-21,1,52,2
2020-08-22,2,1,2
2020-08-23,0,0,8
2020-08-24,0,35,6
2020-08-25,7,76,2
2020-08-26,3,16,3
2020-08-27,1,48,2
2020-08-28,1,66,2
2020-08-29,0,4,5
2020-08-30,1,4,3
2020-08-31,2,39,3
2020-09-01,2,98,0
2020-09-02,7,38,3
2020-09-03,5,29,1
2020-09-04,5,28,2
2020-09-05,1,2,4
2020-09-06,0,2,0
2020-09-07,8,48,1
2020-09-08,5,36,1
2020-09-09,3,55,4
2020-09-10,7,18,0
2020-09-11,0,56,1
2020-09-12,0,15,3
2020-09-13,1,4,1
2020-09-14,13,43,4
2020-09-15,0,38,2
2020-09-16,5,41,3
2020-09-17,4,43,6
2020-09-18,8,7,7
2020-09-19,1,0,0
2020-09-20,4,0,6
2020-09-21,5,13,2
2020-09-22,4,51,4
2020-09-23,0,95,4
2020-09-24,9,55,2
2020-09-25,3,36,4
2020-09-26,0,0,8
2020-09-27,0,2,1
2020-09-28,5,19,3
2020-09-29,0,90,0
2020-09-30,1,27,5
2020-10-01,4,47,8
2020-10-02,0,38,2
2020-10-03,0,0,3
2020-10-04,1,0,0
2020-10-05,8,28,0
2020-10-06,1,49,2
2020-10-07,12,45,0
2020-10-08,28,35,0
2020-10-09,8,68,67
2020-10-10,1,2,10
2020-10-11,2,0,4
2020-10-12,1,33,8
2020-10-13,6,37,10
2020-10-14,4,71,1
2020-10-15,5,55,0
2020-10-16,13,45,1
2020-10-17,4,0,0
2020-10-18,2,0,0
2020-10-19,5,24,0
2020-10-20,1,21,3
2020-10-21,23,29,8
2020-10-22,23,40,0
2020-10-23,19,80,2
2020-10-24,8,0,3
2020-10-25,0,1,5
2020-10-26,4,22,0
2020-10-27,3,36,1
2020-10-28,17,46,0
2020-10-29,12,12,3
2020-10-30,0,22,0
2020-10-31,0,6,0
2020-11-01,0,1,0
2020-11-02,10,16,0
2020-11-03,3,17,4
2020-11-04,3,11,0
2020-11-05,4,23,3
2020-11-06,0,34,2
2020-11-07,0,1,6
2020-11-08,1,3,6
2020-11-09,13,19,10
2020-11-10,7,39,1
2020-11-11,1,58,4
2020-11-12,2,28,0
2020-11-13,4,19,0
2020-11-14,0,2,5
2020-11-15,0,0,8
2020-11-16,1,25,5
2020-11-17,4,15,8
2020-11-18,6,20,5
2020-11-19,5,41,5
2020-11-20,6,25,8
2020-11-21,7,5,15
2020-11-22,3,0,10
2020-11-23,14,55,6
2020-11-24,5,48,11
2020-11-25,5,107,4
2020-11-26,14,50,5
2020-11-27,4,29,18
2020-11-28,0,138,38
2020-11-29,1,6,14
2020-11-30,3,33,7
2020-12-01,4,17,8
2020-12-02,4,46,2
2020-12-03,1,31,6
2020-12-04,17,23,2
2020-12-05,0,10,6
2020-12-06,2,0,9
2020-12-07,5,21,9
2020-12-08,14,10,9
2020-12-09,7,87,6
2020-12-10,3,46,6
2020-12-11,7,14,2
2020-12-12,6,7,11
2020-12-13,2,9,4
2020-12-14,2,88,3
2020-12-15,0,28,2
2020-12-16,2,86,2
2020-12-17,4,8,1
2020-12-18,6,34,2
2020-12-19,3,5,10
2020-12-20,3,8,10
2020-12-21,15,43,0
2020-12-22,13,14,2
2020-12-23,3,56,5
2020-12-24,1,42,0
2020-12-25,0,25,10
2020-12-26,1,0,9
2020-12-27,0,0,9
2020-12-28,0,30,8
2020-12-29,0,11,1
2020-12-30,1,10,2
2020-12-31,1,11,3
2021-01-01,0,0,5
2021-01-02,0,0,3
2021-01-03,0,3,3
2021-01-04,0,2,3
2021-01-05,5,0,2
2021-01-06,4,6,0
2021-01-07,3,12,0
2021-01-08,1,3,3
2021-01-09,1,0,13
2021-01-10,0,0,6
2021-01-11,1,22,0
2021-01-12,5,57,0
2021-01-13,15,23,0
2021-01-14,11,27,2
2021-01-15,8,69,13
2021-01-16,0,0,11
2021-01-17,1,0,6
2021-01-18,5,14,1
2021-01-19,1,24,1
2021-01-20,4,16,1
2021-01-21,4,46,4
2021-01-22,1,24,1
2021-01-23,0,6,5
2021-01-24,1,1,1
2021-01-25,7,32,2
2021-01-26,4,57,6
2021-01-27,6,34,5
2021-01-28,8,62,3
2021-01-29,9,54,2
2021-01-30,5,2,2
2021-01-31,1,1,1
2021-02-01,6,70,3
2021-02-02,10,99,2
2021-02-03,14,52,1
2021-02-04,1,32,0
2021-02-05,5,21,0
2021-02-06,0,7,0
2021-02-07,0,2,1
2021-02-08,2,27,0
2021-02-09,7,132,2
2021-02-10,3,47,1
2021-02-11,16,32,0
2021-02-12,1,55,1
2021-02-13,0,1,1
2021-02-14,0,2,1
2021-02-15,8,99,13
2021-02-16,19,32,4
2021-02-17,11,49,2
2021-02-18,14,30,3
2021-02-19,1,43,2
2021-02-20,0,31,0
2021-02-21,0,3,0
2021-02-22,9,7,1
2021-02-23,2,13,0
2021-02-24,0,81,3
2021-02-25,7,32,3
2021-02-26,1,49,4
2021-02-27,2,1,2
2021-02-28,0,0,3
2021-03-01,3,32,4
2021-03-02,6,49,5
2021-03-03,5,19,0
2021-03-04,2,28,2
2021-03-05,9,42,0
2021-03-06,0,23,4
2021-03-07,0,10,0
2021-03-08,4,12,1
2021-03-09,4,73,1
2021-03-10,7,26,3
2021-03-11,7,75,0
2021-03-12,2,40,5
2021-03-13,0,2,0
2021-03-14,0,1,2
2021-03-15,0,58,1
2021-03-16,2,89,5
2021-03-17,8,55,3
2021-03-18,2,30,3
2021-03-19,0,91,8
2021-03-20,0,8,0
2021-03-21,0,1,4
2021-03-22,1,58,0
2021-03-23,2,24,2
2021-03-24,4,82,5
2021-03-25,5,26,3
2021-03-26,2,36,2
2021-03-27,1,6,0
2021-03-28,2,0,4
2021-03-29,1,55,0
2021-03-30,3,34,3
2021-03-31,3,27,5
2021-04-01,1,31,11
2021-04-02,1,24,2
2021-04-03,0,18,0
2021-04-04,0,2,0
2021-04-05,1,21,1
2021-04-06,0,59,0
2021-04-07,2,34,18
2021-04-08,5,55,0
2021-04-09,1,92,0
2021-04-10,1,1,4
2021-04-11,0,2,5
2021-04-12,5,23,33
2021-04-13,0,68,0
2021-04-14,8,37,3
2021-04-15,7,41,2
2021-04-16,9,22,4
2021-04-17,3,2,0
2021-04-18,1,0,2
2021-04-19,1,64,4
2021-04-20,8,34,5
2021-04-21,10,37,12
2021-04-22,20,58,11
2021-04-23,15,28,11
2021-04-24,1,5,2
2021-04-25,2,29,8
2021-04-26,8,32,4
2021-04-27,4,27,2
2021-04-28,4,10,2
2021-04-29,1,36,0
2021-04-30,2,49,2
2021-05-01,1,9,3
2021-05-02,0,0,8
2021-05-03,4,7,2
2021-05-04,11,20,4
2021-05-05,9,14,0
2021-05-06,11,60,0
2021-05-07,1,16,2
2021-05-08,3,0,3
2021-05-09,3,0,5
2021-05-10,23,23,1
2021-05-11,24,33,5
2021-05-12,9,81,2
2021-05-13,10,37,3
2021-05-14,7,62,1
2021-05-15,0,0,1
2021-05-16,0,0,6
2021-05-17,5,19,5
2021-05-18,5,57,5
2021-05-19,0,19,0
2021-05-20,1,121,7
2021-05-21,2,23,0
2021-05-22,0,1,2
2021-05-23,0,0,1
2021-05-24,0,11,0
2021-05-25,2,40,2
2021-05-26,0,21,3
2021-05-27,2,30,2
2021-05-28,2,64,3
2021-05-29,0,2,4
2021-05-30,0,0,3
2021-05-31,6,21,0
2021-06-01,6,18,4
2021-06-02,3,35,1
2021-06-03,1,105,1
2021-06-04,1,18,1
2021-06-05,0,1,2
2021-06-06,4,3,2
2021-06-07,9,113,2
2021-06-08,5,60,3
2021-06-09,2,50,0
2021-06-10,8,35,1
2021-06-11,4,43,4
2021-06-12,0,37,7
2021-06-13,1,0,7
2021-06-14,3,6,0
2021-06-15,3,27,0
2021-06-16,3,61,0
2021-06-17,2,27,0
2021-06-18,0,23,0
2021-06-19,1,36,1
2021-06-20,0,29,0
2021-06-21,1,57,1
2021-06-22,5,41,0
2021-06-23,1,34,3
2021-06-24,3,25,2
2021-06-25,1,41,3
2021-06-26,0,4,7
2021-06-27,1,13,2
2021-06-28,1,33,0
2021-06-29,1,43,2
2021-06-30,2,11,0
2021-07-01,11,36,3
2021-07-02,1,22,0
2021-07-03,1,0,0
2021-07-04,1,5,1
2021-07-05,0,47,1
2021-07-06,5,35,0
2021-07-07,7,36,0
2021-07-08,4,51,0
2021-07-09,4,27,0
2021-07-10,0,10,0
2021-07-11,2,2,0
2021-07-12,5,52,1
2021-07-13,12,44,1
2021-07-14,2,55,8
2021-07-15,1,67,3
2021-07-16,4,36,1
2021-07-17,3,2,1
2021-07-18,0,0,8
2021-07-19,1,37,8
2021-07-20,5,52,5
2021-07-21,0,17,2
2021-07-22,11,30,0
2021-07-23,1,52,4
2021-07-24,1,0,15
2021-07-25,0,0,14
2021-07-26,3,39,4
2021-07-27,4,20,0
2021-07-28,0,18,0
2021-07-29,0,77,0
2021-07-30,2,50,2
2021-07-31,0,0,5
2021-08-01,2,18,5
2021-08-02,2,39,1
2021-08-03,3,60,0
2021-08-04,2,55,0
2021-08-05,1,29,0
2021-08-06,2,123,2
2021-08-07,0,1,8
2021-08-08,1,0,6
2021-08-09,7,34,4
2021-08-10,2,50,0
2021-08-11,4,28,0
2021-08-12,3,21,1
2021-08-13,0,44,2
2021-08-14,0,0,6
2021-08-15,0,0,0
2021-08-16,1,20,1
2021-08-17,3,26,2
2021-08-18,5,18,0
2021-08-19,8,46,0
2021-08-20,0,15,4
2021-08-21,1,5,0
2021-08-22,0,1,1
2021-08-23,1,68,3
2021-08-24,5,59,1
2021-08-25,2,15,2
2021-08-26,3,39,3
2021-08-27,5,20,3
2021-08-28,2,0,4
2021-08-29,0,1,12
2021-08-30,2,26,0
2021-08-31,3,37,2
2021-09-01,7,42,1
2021-09-02,5,41,2
2021-09-03,4,25,1
2021-09-04,0,0,0
2021-09-05,2,2,0
2021-09-06,1,52,0
2021-09-07,0,30,0
2021-09-08,1,39,4
2021-09-09,4,63,3
2021-09-10,0,15,2
2021-09-11,0,31,0
2021-09-12,0,2,0
2021-09-13,0,41,3
2021-09-14,7,44,0
2021-09-15,1,74,0
2021-09-16,1,34,3
2021-09-17,3,15,3
2021-09-18,0,1,4
2021-09-19,2,0,10
2021-09-20,0,33,3
2021-09-21,1,25,3
2021-09-22,3,80,5
2021-09-23,0,23,5
2021-09-24,1,14,4
2021-09-25,0,1,3
2021-09-26,1,17,7
2021-09-27,0,53,2
2021-09-28,3,39,2
2021-09-29,12,66,2
2021-09-30,5,56,0
2021-10-01,0,56,7
2021-10-02,0,8,2
2021-10-03,0,2,18
2021-10-04,3,16,1
2021-10-05,4,36,3
2021-10-06,3,31,2
2021-10-07,4,30,17
2021-10-08,3,22,1
2021-10-09,1,4,7
2021-10-10,0,2,11
2021-10-11,2,20,3
2021-10-12,10,82,14
2021-10-13,3,9,3
2021-10-14,1,47,0
2021-10-15,0,32,3
2021-10-16,0,8,7
2021-10-17,0,2,2
2021-10-18,0,17,3
2021-10-19,0,16,5
2021-10-20,2,33,2
2021-10-21,2,16,1
