,neovim/neovim,microsoft/vscode,pulsar-edit/pulsar
2016-02-13,5,4,4
2016-02-14,9,7,1
2016-02-15,27,17,3
2016-02-16,11,34,25
2016-02-17,14,30,31
2016-02-18,2,50,28
2016-02-19,8,79,9
2016-02-20,6,6,0
2016-02-21,18,15,4
2016-02-22,21,54,14
2016-02-23,18,34,6
2016-02-24,5,41,3
2016-02-25,9,48,23
2016-02-26,2,23,13
2016-02-27,8,0,0
2016-02-28,13,7,16
2016-02-29,10,33,13
2016-03-01,6,50,79
2016-03-02,20,20,6
2016-03-03,2,56,8
2016-03-04,7,46,20
2016-03-05,15,4,3
2016-03-06,0,2,2
2016-03-07,7,37,12
2016-03-08,3,53,9
2016-03-09,7,30,7
2016-03-10,3,35,21
2016-03-11,7,68,11
2016-03-12,0,4,5
2016-03-13,1,12,5
2016-03-14,0,21,14
2016-03-15,3,64,14
2016-03-16,1,56,4
2016-03-17,5,45,15
2016-03-18,4,37,21
2016-03-19,0,3,4
2016-03-20,0,1,1
2016-03-21,2,3,8
2016-03-22,0,14,12
2016-03-23,0,25,14
2016-03-24,1,55,6
2016-03-25,0,7,27
2016-03-26,0,0,2
2016-03-27,0,5,0
2016-03-28,1,1,21
2016-03-29,4,29,11
2016-03-30,5,38,26
2016-03-31,3,61,18
2016-04-01,5,34,11
2016-04-02,2,1,9
2016-04-03,1,3,1
2016-04-04,2,35,5
2016-04-05,0,36,26
2016-04-06,2,30,13
2016-04-07,1,47,19
2016-04-08,6,42,13
2016-04-09,2,1,8
2016-04-10,4,1,3
2016-04-11,6,41,15
2016-04-12,7,20,9
2016-04-13,5,44,7
2016-04-14,1,36,15
2016-04-15,14,19,18
2016-04-16,2,7,5
2016-04-17,100,2,1
2016-04-18,20,45,13
2016-04-19,13,65,5
2016-04-20,12,45,13
2016-04-21,5,92,11
2016-04-22,5,36,10
2016-04-23,3,10,1
2016-04-24,5,26,4
2016-04-25,21,50,29
2016-04-26,2,10,39
2016-04-27,11,28,16
2016-04-28,14,29,19
2016-04-29,12,35,15
2016-04-30,4,17,4
2016-05-01,6,2,5
2016-05-02,3,51,9
2016-05-03,9,29,11
2016-05-04,2,63,14
2016-05-05,4,3,7
2016-05-06,18,49,5
2016-05-07,7,0,4
2016-05-08,5,1,0
2016-05-09,1,15,0
2016-05-10,20,45,4
2016-05-11,2,47,3
2016-05-12,5,40,4
2016-05-13,0,51,4
2016-05-14,13,6,1
2016-05-15,16,4,2
2016-05-16,5,26,12
2016-05-17,27,40,12
2016-05-18,2,58,7
2016-05-19,12,61,10
2016-05-20,20,60,4
2016-05-21,8,17,2
2016-05-22,9,17,1
2016-05-23,11,58,21
2016-05-24,2,19,19
2016-05-25,13,53,22
2016-05-26,3,50,13
2016-05-27,6,37,5
2016-05-28,15,2,0
2016-05-29,5,0,0
2016-05-30,14,40,6
2016-05-31,6,33,0
2016-06-01,11,57,6
2016-06-02,6,86,2
2016-06-03,4,54,6
2016-06-04,5,5,2
2016-06-05,9,4,1
2016-06-06,7,50,5
2016-06-07,17,51,3
2016-06-08,3,51,11
2016-06-09,11,52,6
2016-06-10,15,29,6
2016-06-11,4,15,4
2016-06-12,1,7,0
2016-06-13,3,43,9
2016-06-14,1,85,16
2016-06-15,12,77,10
2016-06-16,6,71,3
2016-06-17,3,43,5
2016-06-18,7,1,7
2016-06-19,0,9,1
2016-06-20,5,47,5
2016-06-21,1,47,3
2016-06-22,0,42,3
2016-06-23,18,57,2
2016-06-24,15,69,3
2016-06-25,6,14,14
2016-06-26,4,19,0
2016-06-27,1,63,1
2016-06-28,3,19,6
2016-06-29,2,57,7
2016-06-30,1,51,10
2016-07-01,6,24,0
2016-07-02,1,10,18
2016-07-03,12,1,1
2016-07-04,0,30,4
2016-07-05,1,42,2
2016-07-06,3,52,8
2016-07-07,0,62,1
2016-07-08,38,38,6
2016-07-09,11,1,4
2016-07-10,4,5,0
2016-07-11,0,35,10
2016-07-12,5,47,16
2016-07-13,9,50,11
2016-07-14,0,49,11
2016-07-15,2,37,3
2016-07-16,2,8,3
2016-07-17,3,0,1
2016-07-18,4,20,4
2016-07-19,2,23,7
2016-07-20,3,33,10
2016-07-21,0,35,20
2016-07-22,0,29,15
2016-07-23,0,0,0
2016-07-24,7,1,2
2016-07-25,2,49,24
2016-07-26,0,25,14
2016-07-27,2,29,33
2016-07-28,3,19,35
2016-07-29,3,3,34
2016-07-30,14,2,1
2016-07-31,2,0,1
2016-08-01,10,0,12
2016-08-02,0,20,41
2016-08-03,1,41,19
2016-08-04,6,34,15
2016-08-05,5,16,21
2016-08-06,2,2,10
2016-08-07,17,0,4
2016-08-08,7,44,33
2016-08-09,6,59,25
2016-08-10,5,12,15
2016-08-11,9,7,45
2016-08-12,0,53,43
2016-08-13,2,0,8
2016-08-14,13,2,1
2016-08-15,3,28,22
2016-08-16,0,48,23
2016-08-17,11,65,20
2016-08-18,4,56,8
2016-08-19,1,35,19
2016-08-20,4,9,1
2016-08-21,5,4,0
2016-08-22,10,49,1
2016-08-23,0,92,17
2016-08-24,8,51,0
2016-08-25,3,55,14
2016-08-26,16,64,14
2016-08-27,0,6,2
2016-08-28,0,11,6
2016-08-29,7,86,21
2016-08-30,0,16,21
2016-08-31,14,75,5
2016-09-01,2,47,9
2016-09-02,2,19,4
2016-09-03,5,12,0
2016-09-04,7,4,0
2016-09-05,6,57,0
2016-09-06,2,40,4
2016-09-07,0,60,25
2016-09-08,2,43,11
2016-09-09,0,36,15
2016-09-10,6,13,2
2016-09-11,5,18,4
2016-09-12,4,53,13
2016-09-13,7,43,5
2016-09-14,1,42,7
2016-09-15,8,54,13
2016-09-16,2,33,8
2016-09-17,3,3,3
2016-09-18,6,4,0
2016-09-19,2,35,3
2016-09-20,5,56,16
2016-09-21,5,71,17
2016-09-22,4,58,26
2016-09-23,5,74,1
2016-09-24,10,3,4
2016-09-25,7,5,0
2016-09-26,0,70,3
2016-09-27,8,41,2
2016-09-28,7,75,1
2016-09-29,1,48,37
2016-09-30,3,12,3
2016-10-01,4,3,2
2016-10-02,2,1,0
2016-10-03,0,28,2
2016-10-04,7,41,3
2016-10-05,0,38,3
2016-10-06,3,35,12
2016-10-07,9,41,35
2016-10-08,4,22,5
2016-10-09,3,3,0
2016-10-10,4,23,29
2016-10-11,4,18,14
2016-10-12,18,14,18
2016-10-13,4,44,0
2016-10-14,1,55,33
2016-10-15,14,1,8
2016-10-16,5,7,4
2016-10-17,1,54,18
2016-10-18,5,58,4
2016-10-19,6,50,5
2016-10-20,5,76,2
2016-10-21,3,150,5
2016-10-22,15,9,1
2016-10-23,1,17,0
2016-10-24,8,91,2
2016-10-25,6,51,7
2016-10-26,5,61,8
2016-10-27,0,36,10
2016-10-28,5,43,8
2016-10-29,3,6,10
2016-10-30,6,5,7
2016-10-31,4,46,9
2016-11-01,0,60,15
2016-11-02,9,38,6
2016-11-03,3,63,7
2016-11-04,1,52,6
2016-11-05,6,5,2
2016-11-06,0,2,3
2016-11-07,0,53,6
2016-11-08,13,50,1
2016-11-09,2,54,1
2016-11-10,2,58,6
2016-11-11,3,60,17
2016-11-12,4,2,2
2016-11-13,1,0,1
2016-11-14,4,39,4
2016-11-15,12,44,10
2016-11-16,15,38,15
2016-11-17,4,45,7
2016-11-18,1,46,5
2016-11-19,2,4,2
2016-11-20,2,1,3
2016-11-21,4,45,15
2016-11-22,0,51,1
2016-11-23,4,63,9
2016-11-24,10,37,9
2016-11-25,4,37,0
2016-11-26,4,3,0
2016-11-27,2,8,10
2016-11-28,1,35,17
2016-11-29,10,72,6
2016-11-30,1,62,24
2016-12-01,14,54,13
2016-12-02,1,73,6
2016-12-03,7,21,0
2016-12-04,5,11,2
2016-12-05,1,94,8
2016-12-06,3,28,11
2016-12-07,17,87,5
2016-12-08,5,50,5
2016-12-09,8,28,8
2016-12-10,8,11,5
2016-12-11,6,3,1
2016-12-12,39,52,10
2016-12-13,3,48,12
2016-12-14,5,33,15
2016-12-15,3,16,12
2016-12-16,3,25,5
2016-12-17,0,11,2
2016-12-18,1,3,0
2016-12-19,1,39,0
2016-12-20,0,39,8
2016-12-21,0,42,2
2016-12-22,5,10,9
2016-12-23,6,26,4
2016-12-24,4,2,0
2016-12-25,0,0,0
2016-12-26,4,1,2
2016-12-27,38,17,1
2016-12-28,17,21,7
2016-12-29,1,18,3
2016-12-30,0,25,1
2016-12-31,8,13,11
2017-01-01,6,3,2
2017-01-02,13,5,7
2017-01-03,35,29,5
2017-01-04,23,41,9
2017-01-05,9,30,7
2017-01-06,10,39,5
2017-01-07,16,14,9
2017-01-08,15,6,1
2017-01-09,6,63,9
2017-01-10,21,47,12
2017-01-11,6,61,10
2017-01-12,6,63,10
2017-01-13,14,71,6
2017-01-14,6,11,4
2017-01-15,8,14,1
2017-01-16,4,67,0
2017-01-17,2,88,2
2017-01-18,5,58,15
2017-01-19,13,75,24
2017-01-20,8,119,12
2017-01-21,4,35,0
2017-01-22,9,6,0
2017-01-23,12,78,6
2017-01-24,1,48,7
2017-01-25,1,103,18
2017-01-26,3,58,5
2017-01-27,0,37,1
2017-01-28,1,1,1
2017-01-29,0,2,0
2017-01-30,1,27,0
2017-01-31,6,55,1
2017-02-01,7,36,3
2017-02-02,2,67,2
2017-02-03,8,34,2
2017-02-04,24,11,0
2017-02-05,1,6,1
2017-02-06,8,48,21
2017-02-07,5,34,10
2017-02-08,1,42,1
2017-02-09,3,43,4
2017-02-10,20,52,2
2017-02-11,4,7,3
2017-02-12,6,3,0
2017-02-13,15,22,17
2017-02-14,8,29,13
2017-02-15,29,59,13
2017-02-16,10,83,6
2017-02-17,5,60,5
2017-02-18,4,10,2
2017-02-19,3,6,0
2017-02-20,7,85,3
2017-02-21,0,94,3
2017-02-22,1,55,3
2017-02-23,23,71,13
2017-02-24,6,46,10
2017-02-25,1,1,0
2017-02-26,11,5,0
2017-02-27,18,24,10
2017-02-28,8,31,12
2017-03-01,15,67,2
2017-03-02,4,37,15
2017-03-03,0,51,23
2017-03-04,3,5,7
2017-03-05,8,7,1
2017-03-06,12,44,32
2017-03-07,5,64,16
2017-03-08,1,57,20
2017-03-09,1,42,7
2017-03-10,1,58,41
2017-03-11,29,6,5
2017-03-12,22,6,1
2017-03-13,6,35,3
2017-03-14,1,48,11
2017-03-15,11,41,3
2017-03-16,5,52,13
2017-03-17,9,77,19
2017-03-18,8,4,11
2017-03-19,37,10,0
2017-03-20,16,70,10
2017-03-21,13,78,5
2017-03-22,43,57,5
2017-03-23,7,76,19
2017-03-24,6,76,22
2017-03-25,4,19,1
2017-03-26,60,10,3
2017-03-27,12,82,5
2017-03-28,2,17,24
2017-03-29,95,74,3
2017-03-30,22,66,8
2017-03-31,26,31,7
2017-04-01,23,3,1
2017-04-02,10,1,2
2017-04-03,7,39,9
2017-04-04,9,38,17
2017-04-05,3,49,24
2017-04-06,11,23,36
2017-04-07,11,17,13
2017-04-08,28,1,5
2017-04-09,59,3,1
2017-04-10,38,49,5
2017-04-11,14,56,18
2017-04-12,6,42,16
2017-04-13,0,42,7
2017-04-14,7,29,3
2017-04-15,13,1,5
2017-04-16,55,0,0
2017-04-17,4,7,10
2017-04-18,1,54,18
2017-04-19,14,48,13
2017-04-20,12,24,12
2017-04-21,8,41,2
2017-04-22,7,8,0
2017-04-23,9,3,0
2017-04-24,12,50,1
2017-04-25,3,99,4
2017-04-26,6,34,3
2017-04-27,3,82,3
2017-04-28,32,40,2
2017-04-29,2,2,0
2017-04-30,18,2,3
2017-05-01,20,9,1
2017-05-02,14,30,4
2017-05-03,7,32,46
2017-05-04,6,38,3
2017-05-05,2,52,308
2017-05-06,0,4,1
2017-05-07,0,1,2
2017-05-08,19,46,12
2017-05-09,3,58,12
2017-05-10,16,65,27
2017-05-11,8,34,31
2017-05-12,10,66,12
2017-05-13,17,5,1
2017-05-14,1,3,3
2017-05-15,6,46,18
2017-05-16,1,52,15
2017-05-17,2,48,20
2017-05-18,0,99,7
2017-05-19,1,65,13
2017-05-20,29,16,2
2017-05-21,6,12,1
2017-05-22,9,83,7
2017-05-23,5,53,10
2017-05-24,2,86,22
2017-05-25,7,55,11
2017-05-26,0,148,1
2017-05-27,2,1,1
2017-05-28,8,1,0
2017-05-29,3,68,0
2017-05-30,1,32,8
2017-05-31,13,102,14
2017-06-01,0,76,39
2017-06-02,1,33,10
2017-06-03,57,1,4
2017-06-04,2,2,0
2017-06-05,16,14,6
2017-06-06,25,46,12
2017-06-07,8,65,17
2017-06-08,2,20,8
2017-06-09,3,48,5
2017-06-10,1,1,1
2017-06-11,4,3,0
2017-06-12,0,42,7
2017-06-13,0,50,7
2017-06-14,3,66,3
2017-06-15,5,69,12
2017-06-16,0,89,10
2017-06-17,7,15,0
2017-06-18,2,9,0
2017-06-19,2,102,5
2017-06-20,5,81,2
2017-06-21,4,74,0
2017-06-22,0,62,2
2017-06-23,0,65,0
2017-06-24,9,9,2
2017-06-25,3,13,0
2017-06-26,12,131,6
2017-06-27,9,41,5
2017-06-28,12,96,1
2017-06-29,3,59,2
2017-06-30,3,45,6
2017-07-01,5,1,0
2017-07-02,17,0,0
2017-07-03,6,38,2
2017-07-04,24,16,2
2017-07-05,0,27,5
2017-07-06,7,51,2
2017-07-07,5,42,4
2017-07-08,11,2,0
2017-07-09,5,1,0
2017-07-10,2,50,6
2017-07-11,0,50,1
2017-07-12,3,69,11
2017-07-13,2,52,29
2017-07-14,12,39,7
2017-07-15,16,10,0
2017-07-16,16,5,2
2017-07-17,10,80,10
2017-07-18,0,80,8
2017-07-19,2,64,7
2017-07-20,2,90,3
2017-07-21,1,51,8
2017-07-22,5,6,0
2017-07-23,10,13,1
2017-07-24,2,45,2
2017-07-25,5,67,0
2017-07-26,10,71,0
2017-07-27,6,35,1
2017-07-28,3,48,1
2017-07-29,12,10,0
2017-07-30,8,23,0
2017-07-31,5,31,8
2017-08-01,0,20,86
2017-08-02,4,26,18
2017-08-03,3,31,26
2017-08-04,7,13,14
2017-08-05,5,2,2
