,MonoGame/MonoGame,4ian/GDevelop,godotengine/godot
2021-06-10,0,0,13
2021-06-11,0,5,34
2021-06-12,0,5,12
2021-06-13,0,0,33
2021-06-14,0,2,38
2021-06-15,0,0,33
2021-06-16,0,5,30
2021-06-17,0,1,32
2021-06-18,0,0,27
2021-06-19,0,0,24
2021-06-20,0,0,18
2021-06-21,0,0,13
2021-06-22,0,2,4
2021-06-23,0,0,19
2021-06-24,0,0,17
2021-06-25,0,2,9
2021-06-26,0,0,3
2021-06-27,0,0,4
2021-06-28,0,0,20
2021-06-29,0,0,42
2021-06-30,1,1,25
2021-07-01,1,1,26
2021-07-02,4,0,29
2021-07-03,0,2,23
2021-07-04,0,1,16
2021-07-05,0,0,14
2021-07-06,0,5,40
2021-07-07,0,1,25
2021-07-08,0,1,11
2021-07-09,0,2,11
2021-07-10,0,4,11
2021-07-11,0,6,17
2021-07-12,0,3,27
2021-07-13,0,5,43
2021-07-14,0,4,12
2021-07-15,0,2,30
2021-07-16,0,0,10
2021-07-17,0,1,19
2021-07-18,0,0,10
2021-07-19,0,2,25
2021-07-20,0,3,45
2021-07-21,1,1,39
2021-07-22,1,1,23
2021-07-23,0,0,31
2021-07-24,0,0,17
2021-07-25,0,0,24
2021-07-26,0,0,41
2021-07-27,0,1,24
2021-07-28,0,0,15
2021-07-29,0,0,30
2021-07-30,0,0,45
2021-07-31,0,1,23
2021-08-01,0,3,22
2021-08-02,0,2,32
2021-08-03,0,3,32
2021-08-04,0,4,16
2021-08-05,0,3,25
2021-08-06,0,0,36
2021-08-07,0,1,19
2021-08-08,0,0,11
2021-08-09,0,1,40
2021-08-10,1,0,34
2021-08-11,0,1,48
2021-08-12,0,4,74
2021-08-13,1,2,56
2021-08-14,0,0,17
2021-08-15,0,0,12
2021-08-16,0,5,50
2021-08-17,0,4,44
2021-08-18,0,2,44
2021-08-19,0,3,19
2021-08-20,0,4,24
2021-08-21,0,0,13
2021-08-22,0,0,34
2021-08-23,0,3,34
2021-08-24,0,2,23
2021-08-25,0,2,34
2021-08-26,1,0,21
2021-08-27,0,3,34
2021-08-28,0,1,23
2021-08-29,0,0,15
2021-08-30,0,3,25
2021-08-31,3,2,21
2021-09-01,0,0,27
2021-09-02,1,0,20
2021-09-03,1,1,18
2021-09-04,0,0,5
2021-09-05,0,0,9
2021-09-06,0,3,18
2021-09-07,0,3,35
2021-09-08,0,0,19
2021-09-09,2,3,16
2021-09-10,1,0,24
2021-09-11,1,0,15
2021-09-12,0,0,12
2021-09-13,0,5,43
2021-09-14,0,2,57
2021-09-15,0,1,76
2021-09-16,0,3,41
2021-09-17,1,0,26
2021-09-18,3,2,9
2021-09-19,0,4,6
2021-09-20,0,1,41
2021-09-21,0,1,51
2021-09-22,0,7,31
2021-09-23,0,6,17
2021-09-24,0,8,43
2021-09-25,0,0,18
2021-09-26,0,0,13
2021-09-27,0,0,34
2021-09-28,0,0,35
2021-09-29,0,5,50
2021-09-30,0,6,44
2021-10-01,0,8,42
2021-10-02,0,0,7
2021-10-03,0,2,8
2021-10-04,0,4,47
2021-10-05,0,4,43
2021-10-06,0,2,34
2021-10-07,0,8,48
2021-10-08,0,4,30
2021-10-09,0,0,23
2021-10-10,0,0,7
2021-10-11,0,2,29
2021-10-12,0,0,43
2021-10-13,3,0,33
2021-10-14,2,3,35
2021-10-15,0,1,35
2021-10-16,0,0,15
2021-10-17,1,0,9
2021-10-18,2,1,32
2021-10-19,0,0,28
2021-10-20,0,2,27
2021-10-21,0,3,33
2021-10-22,0,2,31
2021-10-23,0,0,19
2021-10-24,3,1,13
2021-10-25,0,4,20
2021-10-26,3,0,26
2021-10-27,0,2,24
2021-10-28,0,4,30
2021-10-29,0,1,34
2021-10-30,0,0,15
2021-10-31,0,0,15
2021-11-01,0,3,29
2021-11-02,0,1,22
2021-11-03,0,0,25
2021-11-04,0,2,23
2021-11-05,0,0,12
2021-11-06,0,0,14
2021-11-07,0,4,17
2021-11-08,0,1,29
2021-11-09,0,2,26
2021-11-10,0,1,28
2021-11-11,0,3,25
2021-11-12,0,2,28
2021-11-13,0,0,10
2021-11-14,0,0,5
2021-11-15,0,1,23
2021-11-16,0,5,15
2021-11-17,0,0,26
2021-11-18,0,0,27
2021-11-19,0,2,33
2021-11-20,0,3,22
2021-11-21,0,2,12
2021-11-22,0,0,28
2021-11-23,0,4,31
2021-11-24,0,8,14
2021-11-25,0,1,26
2021-11-26,0,0,19
2021-11-27,0,2,7
2021-11-28,0,0,7
2021-11-29,0,2,24
2021-11-30,0,2,26
2021-12-01,0,3,28
2021-12-02,0,5,27
2021-12-03,0,4,32
2021-12-04,0,0,6
2021-12-05,0,1,11
2021-12-06,0,0,39
2021-12-07,0,1,18
2021-12-08,0,1,14
2021-12-09,0,1,23
2021-12-10,0,5,44
2021-12-11,0,1,13
2021-12-12,0,1,15
2021-12-13,0,0,14
2021-12-14,0,2,12
2021-12-15,0,6,34
2021-12-16,0,1,23
2021-12-17,0,4,11
2021-12-18,0,0,7
2021-12-19,0,0,1
2021-12-20,0,0,9
2021-12-21,0,2,24
2021-12-22,0,2,7
2021-12-23,0,4,13
2021-12-24,0,2,9
2021-12-25,0,1,2
2021-12-26,0,1,6
2021-12-27,0,4,4
2021-12-28,0,4,9
2021-12-29,0,1,6
2021-12-30,0,1,10
2021-12-31,0,0,8
2022-01-01,0,0,3
2022-01-02,0,2,13
2022-01-03,0,2,20
2022-01-04,0,2,46
2022-01-05,0,1,51
2022-01-06,0,3,58
2022-01-07,0,3,35
2022-01-08,0,1,22
2022-01-09,0,1,15
2022-01-10,0,10,32
2022-01-11,1,3,22
2022-01-12,0,4,48
2022-01-13,0,3,32
2022-01-14,0,4,34
2022-01-15,0,1,15
2022-01-16,0,1,16
2022-01-17,0,1,41
2022-01-18,0,1,45
2022-01-19,0,3,40
2022-01-20,0,1,37
2022-01-21,0,1,21
2022-01-22,0,6,29
2022-01-23,0,8,29
2022-01-24,0,1,31
2022-01-25,0,1,28
2022-01-26,3,2,18
2022-01-27,0,7,24
2022-01-28,0,2,42
2022-01-29,0,2,10
2022-01-30,0,0,12
2022-01-31,0,3,31
2022-02-01,0,3,26
2022-02-02,0,4,23
2022-02-03,0,2,39
2022-02-04,0,2,36
2022-02-05,0,0,35
2022-02-06,0,0,33
2022-02-07,0,1,38
2022-02-08,0,0,65
2022-02-09,0,2,37
2022-02-10,0,2,47
2022-02-11,0,4,38
2022-02-12,0,0,41
2022-02-13,0,3,10
2022-02-14,0,1,37
2022-02-15,0,0,30
2022-02-16,0,4,40
2022-02-17,0,4,27
2022-02-18,0,2,25
2022-02-19,0,1,23
2022-02-20,0,1,16
2022-02-21,0,3,21
2022-02-22,0,6,22
2022-02-23,0,1,21
2022-02-24,0,2,14
2022-02-25,0,3,10
2022-02-26,0,0,8
2022-02-27,0,0,8
2022-02-28,0,1,22
2022-03-01,0,4,20
2022-03-02,0,3,17
2022-03-03,0,2,20
2022-03-04,0,5,56
2022-03-05,0,0,23
2022-03-06,0,0,21
2022-03-07,0,2,28
2022-03-08,0,2,24
2022-03-09,0,2,31
2022-03-10,0,3,27
2022-03-11,0,4,23
2022-03-12,0,0,20
2022-03-13,0,1,31
2022-03-14,0,0,21
2022-03-15,0,1,25
2022-03-16,0,4,25
2022-03-17,0,2,33
2022-03-18,0,0,41
2022-03-19,0,0,7
2022-03-20,0,0,18
2022-03-21,0,4,25
2022-03-22,0,0,27
2022-03-23,0,1,14
2022-03-24,0,1,16
2022-03-25,0,1,28
2022-03-26,0,0,14
2022-03-27,0,1,25
2022-03-28,0,2,51
2022-03-29,0,1,31
2022-03-30,0,0,30
2022-03-31,0,0,36
2022-04-01,0,4,27
2022-04-02,0,0,2
2022-04-03,0,0,8
2022-04-04,0,1,38
2022-04-05,0,1,26
2022-04-06,0,5,20
2022-04-07,0,0,13
2022-04-08,0,1,16
2022-04-09,0,0,8
2022-04-10,0,0,8
2022-04-11,0,1,36
2022-04-12,0,1,35
2022-04-13,0,1,36
2022-04-14,0,3,9
2022-04-15,0,2,5
2022-04-16,0,0,8
2022-04-17,0,0,12
2022-04-18,0,0,1
2022-04-19,0,2,15
2022-04-20,2,2,11
2022-04-21,0,2,3
2022-04-22,1,1,17
2022-04-23,2,2,6
2022-04-24,4,2,14
2022-04-25,2,1,34
2022-04-26,7,1,31
2022-04-27,3,3,41
2022-04-28,1,3,31
2022-04-29,2,2,25
2022-04-30,4,0,18
2022-05-01,1,0,13
2022-05-02,0,3,21
2022-05-03,2,0,27
2022-05-04,1,2,24
2022-05-05,2,3,48
2022-05-06,1,3,19
2022-05-07,0,1,7
2022-05-08,0,1,8
2022-05-09,0,0,17
2022-05-10,0,3,33
2022-05-11,0,1,18
2022-05-12,6,4,39
2022-05-13,1,6,23
2022-05-14,1,0,5
2022-05-15,0,0,6
2022-05-16,0,8,53
2022-05-17,0,0,48
2022-05-18,0,4,33
2022-05-19,0,5,15
2022-05-20,0,4,30
2022-05-21,1,2,11
2022-05-22,0,1,13
2022-05-23,0,4,32
2022-05-24,0,4,33
2022-05-25,0,10,34
2022-05-26,0,0,15
2022-05-27,0,4,15
2022-05-28,0,0,8
2022-05-29,0,0,7
2022-05-30,0,1,9
2022-05-31,0,1,21
2022-06-01,0,8,21
2022-06-02,0,2,17
2022-06-03,0,7,26
2022-06-04,0,0,10
2022-06-05,0,0,13
2022-06-06,0,2,12
2022-06-07,0,2,29
