,huggingface/transformers,pytorch/vision,tensorflow/models
2018-12-29,0,0,0
2018-12-30,0,1,0
2018-12-31,0,0,0
2019-01-01,0,0,0
2019-01-02,1,0,1
2019-01-03,4,0,2
2019-01-04,0,0,7
2019-01-05,1,0,0
2019-01-06,0,0,0
2019-01-07,13,0,22
2019-01-08,7,3,7
2019-01-09,1,0,1
2019-01-10,5,0,1
2019-01-11,2,0,7
2019-01-12,0,0,1
2019-01-13,3,0,0
2019-01-14,5,0,1
2019-01-15,4,0,3
2019-01-16,8,0,1
2019-01-17,2,0,3
2019-01-18,1,0,1
2019-01-19,1,0,1
2019-01-20,0,0,0
2019-01-21,0,0,0
2019-01-22,1,0,0
2019-01-23,0,0,0
2019-01-24,0,0,0
2019-01-25,0,1,0
2019-01-26,0,0,1
2019-01-27,1,0,0
2019-01-28,4,0,0
2019-01-29,4,0,0
2019-01-30,4,0,1
2019-01-31,1,0,1
2019-02-01,4,0,6
2019-02-02,0,0,1
2019-02-03,0,0,1
2019-02-04,5,0,0
2019-02-05,16,0,1
2019-02-06,4,0,2
2019-02-07,12,0,0
2019-02-08,16,0,1
2019-02-09,7,0,1
2019-02-10,0,0,1
2019-02-11,15,1,3
2019-02-12,2,2,4
2019-02-13,8,4,2
2019-02-14,1,4,7
2019-02-15,2,0,1
2019-02-16,1,0,0
2019-02-17,6,0,0
2019-02-18,16,2,0
2019-02-19,3,0,1
2019-02-20,5,0,0
2019-02-21,4,1,5
2019-02-22,1,0,4
2019-02-23,1,1,1
2019-02-24,1,0,1
2019-02-25,0,0,1
2019-02-26,2,1,0
2019-02-27,9,1,2
2019-02-28,1,2,4
2019-03-01,0,1,3
2019-03-02,0,0,1
2019-03-03,2,0,0
2019-03-04,1,0,0
2019-03-05,3,0,0
2019-03-06,11,1,2
2019-03-07,2,3,5
2019-03-08,2,0,0
2019-03-09,5,4,0
2019-03-10,0,0,0
2019-03-11,5,3,1
2019-03-12,4,0,2
2019-03-13,2,0,2
2019-03-14,9,0,0
2019-03-15,2,0,0
2019-03-16,2,0,0
2019-03-17,2,0,0
2019-03-18,7,0,1
2019-03-19,0,1,3
2019-03-20,9,1,2
2019-03-21,12,0,2
2019-03-22,0,0,2
2019-03-23,0,0,0
2019-03-24,6,1,0
2019-03-25,2,2,1
2019-03-26,1,6,4
2019-03-27,8,0,2
2019-03-28,2,2,5
2019-03-29,3,3,4
2019-03-30,2,0,2
2019-03-31,0,0,0
2019-04-01,1,1,2
2019-04-02,4,2,2
2019-04-03,16,1,4
2019-04-04,0,2,2
2019-04-05,0,2,3
2019-04-06,0,0,0
2019-04-07,4,0,0
2019-04-08,0,2,5
2019-04-09,2,5,0
2019-04-10,0,1,2
2019-04-11,11,0,2
2019-04-12,3,2,3
2019-04-13,0,0,0
2019-04-14,0,0,0
2019-04-15,24,1,0
2019-04-16,6,1,0
2019-04-17,16,1,7
2019-04-18,0,2,3
2019-04-19,0,0,0
2019-04-20,0,0,3
2019-04-21,4,0,0
2019-04-22,2,0,5
2019-04-23,4,0,3
2019-04-24,3,2,9
2019-04-25,7,7,2
2019-04-26,0,1,4
2019-04-27,1,0,0
2019-04-28,0,0,0
2019-04-29,1,1,5
2019-04-30,7,3,1
2019-05-01,4,1,2
2019-05-02,7,1,2
2019-05-03,0,1,1
2019-05-04,0,0,1
2019-05-05,1,0,0
2019-05-06,0,2,2
2019-05-07,3,4,2
2019-05-08,7,2,2
2019-05-09,3,0,2
2019-05-10,1,1,5
2019-05-11,2,0,2
2019-05-12,0,0,0
2019-05-13,1,0,0
2019-05-14,0,1,3
2019-05-15,0,0,3
2019-05-16,0,0,2
2019-05-17,0,1,0
2019-05-18,4,1,2
2019-05-19,0,7,0
2019-05-20,0,5,1
2019-05-21,0,8,5
2019-05-22,1,8,8
2019-05-23,3,3,6
2019-05-24,0,1,7
2019-05-25,0,1,0
2019-05-26,0,0,1
2019-05-27,2,2,0
2019-05-28,0,0,13
2019-05-29,0,3,7
2019-05-30,4,1,2
2019-05-31,8,1,7
2019-06-01,11,0,0
2019-06-02,0,0,0
2019-06-03,3,3,12
2019-06-04,0,0,2
2019-06-05,0,3,14
2019-06-06,6,1,6
2019-06-07,0,4,1
2019-06-08,0,0,0
2019-06-09,0,0,0
2019-06-10,1,0,1
2019-06-11,3,4,2
2019-06-12,1,2,3
2019-06-13,0,4,12
2019-06-14,14,6,4
2019-06-15,5,1,0
2019-06-16,0,0,0
2019-06-17,10,1,0
2019-06-18,32,1,4
2019-06-19,12,1,6
2019-06-20,10,4,8
2019-06-21,5,0,5
2019-06-22,7,0,2
2019-06-23,2,0,0
2019-06-24,5,7,2
2019-06-25,4,1,1
2019-06-26,9,3,1
2019-06-27,3,0,0
2019-06-28,5,2,4
2019-06-29,2,1,0
2019-06-30,0,0,0
2019-07-01,1,1,0
2019-07-02,9,2,3
2019-07-03,9,2,1
2019-07-04,3,6,0
2019-07-05,19,2,0
2019-07-06,0,2,0
2019-07-07,0,0,0
2019-07-08,3,1,5
2019-07-09,17,2,2
2019-07-10,6,1,1
2019-07-11,17,1,5
2019-07-12,11,4,0
2019-07-13,4,0,0
2019-07-14,2,0,0
2019-07-15,19,2,3
2019-07-16,23,1,3
2019-07-17,9,1,0
2019-07-18,6,0,7
2019-07-19,0,4,9
2019-07-20,1,0,3
2019-07-21,2,0,1
2019-07-22,4,1,1
2019-07-23,16,5,5
2019-07-24,3,3,10
