,elastic/elasticsearch,typesense/typesense,meilisearch/meilisearch
2018-04-22,0,0,1.0
2018-04-23,2,1,0.0
2018-04-24,8,1,0.0
2018-04-25,16,1,0.0
2018-04-26,31,0,0.0
2018-04-27,23,0,0.0
2018-04-28,3,0,0.0
2018-04-29,1,0,0.0
2018-04-30,15,1,0.0
2018-05-01,40,0,0.0
2018-05-02,37,0,0.0
2018-05-03,19,0,0.0
2018-05-04,21,2,0.0
2018-05-05,3,1,2.0
2018-05-06,5,0,0.0
2018-05-07,19,0,0.0
2018-05-08,33,3,0.0
2018-05-09,21,0,0.0
2018-05-10,22,0,0.0
2018-05-11,15,0,0.0
2018-05-12,3,1,8.0
2018-05-13,3,2,0.0
2018-05-14,29,1,0.0
2018-05-15,29,0,0.0
2018-05-16,40,0,0.0
2018-05-17,24,0,0.0
2018-05-18,20,0,0.0
2018-05-19,3,0,0.0
2018-05-20,2,0,0.0
2018-05-21,12,0,0.0
2018-05-22,32,2,0.0
2018-05-23,28,0,0.0
2018-05-24,20,2,0.0
2018-05-25,17,0,0.0
2018-05-26,3,0,0.0
2018-05-27,1,0,0.0
2018-05-28,7,0,0.0
2018-05-29,17,1,0.0
2018-05-30,34,0,0.0
2018-05-31,24,0,0.0
2018-06-01,25,0,0.0
2018-06-02,5,0,0.0
2018-06-03,1,0,0.0
2018-06-04,38,1,0.0
2018-06-05,30,0,0.0
2018-06-06,28,0,0.0
2018-06-07,28,0,0.0
2018-06-08,17,1,0.0
2018-06-09,6,1,0.0
2018-06-10,2,0,0.0
2018-06-11,18,0,0.0
2018-06-12,30,0,0.0
2018-06-13,37,0,0.0
2018-06-14,22,0,0.0
2018-06-15,36,0,0.0
2018-06-16,2,0,0.0
2018-06-17,2,0,0.0
2018-06-18,18,0,0.0
2018-06-19,20,0,0.0
2018-06-20,21,0,0.0
2018-06-21,20,0,0.0
2018-06-22,19,0,0.0
2018-06-23,5,0,0.0
2018-06-24,3,0,1.0
2018-06-25,18,0,0.0
2018-06-26,16,0,0.0
2018-06-27,14,0,0.0
2018-06-28,27,0,0.0
2018-06-29,22,0,0.0
2018-06-30,1,0,0.0
2018-07-01,3,0,0.0
2018-07-02,10,0,0.0
2018-07-03,20,0,0.0
2018-07-04,11,0,0.0
2018-07-05,20,0,0.0
2018-07-06,18,0,0.0
2018-07-07,2,0,0.0
2018-07-08,3,0,0.0
2018-07-09,14,0,0.0
2018-07-10,16,0,0.0
2018-07-11,21,0,0.0
2018-07-12,23,0,0.0
2018-07-13,30,0,0.0
2018-07-14,3,0,0.0
2018-07-15,0,0,0.0
2018-07-16,28,0,0.0
2018-07-17,25,0,0.0
2018-07-18,23,0,0.0
2018-07-19,15,0,0.0
2018-07-20,30,0,0.0
2018-07-21,4,0,0.0
2018-07-22,2,0,0.0
2018-07-23,21,0,0.0
2018-07-24,23,0,0.0
2018-07-25,26,0,0.0
2018-07-26,24,0,0.0
2018-07-27,15,0,0.0
2018-07-28,5,0,0.0
2018-07-29,0,0,0.0
2018-07-30,19,3,0.0
2018-07-31,28,0,0.0
2018-08-01,24,0,0.0
2018-08-02,19,0,0.0
2018-08-03,29,1,0.0
2018-08-04,1,0,0.0
2018-08-05,1,0,0.0
2018-08-06,23,0,0.0
2018-08-07,24,0,0.0
2018-08-08,16,0,0.0
2018-08-09,19,0,0.0
2018-08-10,26,1,0.0
2018-08-11,1,0,0.0
2018-08-12,0,0,0.0
2018-08-13,18,0,0.0
2018-08-14,19,0,0.0
2018-08-15,24,2,0.0
2018-08-16,24,0,0.0
2018-08-17,24,0,0.0
2018-08-18,7,1,0.0
2018-08-19,0,0,0.0
2018-08-20,29,0,0.0
2018-08-21,30,0,0.0
2018-08-22,23,0,0.0
2018-08-23,22,0,0.0
2018-08-24,26,0,0.0
2018-08-25,3,0,46.0
2018-08-26,5,1,0.0
2018-08-27,23,0,0.0
2018-08-28,28,0,0.0
2018-08-29,25,0,1.0
2018-08-30,27,0,0.0
2018-08-31,36,1,0.0
2018-09-01,4,1,0.0
2018-09-02,6,0,0.0
2018-09-03,19,0,0.0
2018-09-04,20,2,0.0
2018-09-05,31,0,0.0
2018-09-06,23,0,0.0
2018-09-07,26,0,0.0
2018-09-08,7,1,0.0
2018-09-09,10,0,3.0
2018-09-10,20,0,2.0
2018-09-11,20,0,0.0
2018-09-12,28,0,0.0
2018-09-13,24,0,0.0
2018-09-14,31,0,2.0
2018-09-15,3,0,3.0
2018-09-16,4,0,0.0
2018-09-17,28,0,0.0
2018-09-18,33,0,1.0
2018-09-19,32,0,0.0
2018-09-20,32,0,1.0
2018-09-21,12,0,3.0
2018-09-22,8,0,0.0
2018-09-23,0,0,0.0
2018-09-24,24,0,3.0
2018-09-25,27,0,1.0
2018-09-26,26,0,2.0
2018-09-27,20,0,3.0
2018-09-28,30,0,0.0
2018-09-29,3,0,0.0
2018-09-30,5,0,0.0
2018-10-01,14,0,0.0
2018-10-02,33,0,0.0
2018-10-03,21,0,1.0
2018-10-04,22,0,1.0
2018-10-05,23,0,0.0
2018-10-06,6,0,0.0
2018-10-07,0,0,0.0
2018-10-08,7,0,0.0
2018-10-09,1,0,1.0
2018-10-10,4,0,1.0
2018-10-11,4,0,2.0
2018-10-12,6,0,0.0
2018-10-13,1,0,0.0
2018-10-14,4,0,0.0
