,swiftlang/swift,golang/go,rust-lang/rust
2014-07-17,50,10,27
2014-07-18,54,12,36
2014-07-19,19,6,20
2014-07-20,22,6,17
2014-07-21,45,8,58
2014-07-22,66,7,31
2014-07-23,91,9,29
2014-07-24,73,4,48
2014-07-25,54,5,43
2014-07-26,15,5,23
2014-07-27,10,0,23
2014-07-28,49,4,23
2014-07-29,66,12,48
2014-07-30,60,11,21
2014-07-31,71,12,41
2014-08-01,64,5,29
2014-08-02,30,1,27
2014-08-03,26,1,18
2014-08-04,38,2,23
2014-08-05,24,16,23
2014-08-06,26,47,41
2014-08-07,19,42,24
2014-08-08,19,13,28
2014-08-09,8,0,28
2014-08-10,1,0,13
2014-08-11,7,10,15
2014-08-12,21,37,41
2014-08-13,26,38,50
2014-08-14,31,18,25
2014-08-15,23,12,21
2014-08-16,4,4,14
2014-08-17,0,0,24
2014-08-18,22,9,30
2014-08-19,28,23,34
2014-08-20,29,5,22
2014-08-21,61,19,36
2014-08-22,33,10,18
2014-08-23,5,4,25
2014-08-24,0,12,23
2014-08-25,15,35,16
2014-08-26,19,11,15
2014-08-27,29,9,23
2014-08-28,51,33,21
2014-08-29,46,25,30
2014-08-30,15,16,23
2014-08-31,6,1,35
2014-09-01,14,15,11
2014-09-02,20,17,21
2014-09-03,27,14,18
2014-09-04,38,23,24
2014-09-05,17,18,31
2014-09-06,10,8,19
2014-09-07,1,10,25
2014-09-08,23,28,24
2014-09-09,24,17,45
2014-09-10,39,4,25
2014-09-11,37,11,19
2014-09-12,32,17,26
2014-09-13,5,0,15
2014-09-14,0,3,35
2014-09-15,21,12,36
2014-09-16,37,23,22
2014-09-17,47,13,61
2014-09-18,52,14,30
2014-09-19,36,22,21
2014-09-20,4,0,18
2014-09-21,9,1,12
2014-09-22,27,7,43
2014-09-23,50,5,19
2014-09-24,26,21,34
2014-09-25,20,16,31
2014-09-26,15,21,21
2014-09-27,12,1,16
2014-09-28,29,1,9
2014-09-29,26,14,47
2014-09-30,37,22,37
2014-10-01,32,12,40
2014-10-02,32,9,67
2014-10-03,25,9,43
2014-10-04,12,4,22
2014-10-05,7,1,27
2014-10-06,26,18,25
2014-10-07,25,13,29
2014-10-08,25,13,23
2014-10-09,38,11,48
2014-10-10,34,2,12
2014-10-11,11,3,25
2014-10-12,3,1,23
2014-10-13,16,5,41
2014-10-14,23,6,22
2014-10-15,44,19,28
2014-10-16,17,10,27
2014-10-17,14,9,21
2014-10-18,7,2,17
2014-10-19,3,5,16
2014-10-20,24,16,15
2014-10-21,15,7,23
2014-10-22,8,10,20
2014-10-23,22,3,21
2014-10-24,29,9,19
2014-10-25,8,1,26
2014-10-26,12,1,21
2014-10-27,20,17,53
2014-10-28,20,21,41
2014-10-29,17,22,24
2014-10-30,9,16,45
2014-10-31,19,9,37
2014-11-01,14,2,18
2014-11-02,14,1,30
2014-11-03,18,8,76
2014-11-04,14,4,24
2014-11-05,15,8,34
2014-11-06,20,14,69
2014-11-07,25,4,40
2014-11-08,16,1,18
2014-11-09,15,7,31
2014-11-10,13,13,18
2014-11-11,40,26,18
2014-11-12,35,16,32
2014-11-13,18,7,20
2014-11-14,29,21,20
2014-11-15,16,2,14
2014-11-16,6,4,42
2014-11-17,29,10,62
2014-11-18,27,11,42
2014-11-19,33,6,73
2014-11-20,38,9,38
2014-11-21,47,13,55
2014-11-22,17,4,18
2014-11-23,4,1,46
2014-11-24,11,4,25
2014-11-25,2,4,36
2014-11-26,2,0,33
2014-11-27,0,0,45
2014-11-28,4,0,11
2014-11-29,0,0,7
2014-11-30,1,0,16
2014-12-01,12,2,12
2014-12-02,22,2,18
2014-12-03,39,2,33
2014-12-04,28,2,41
2014-12-05,46,11,60
2014-12-06,15,4,17
2014-12-07,2,0,51
2014-12-08,19,13,27
2014-12-09,18,7,42
2014-12-10,15,7,20
2014-12-11,20,9,17
2014-12-12,28,12,24
2014-12-13,16,4,122
2014-12-14,11,3,79
2014-12-15,19,4,47
2014-12-16,15,9,37
2014-12-17,31,2,63
2014-12-18,24,21,41
2014-12-19,26,7,103
2014-12-20,17,8,45
2014-12-21,3,2,57
2014-12-22,19,27,62
2014-12-23,42,22,26
2014-12-24,15,5,22
2014-12-25,0,1,35
2014-12-26,3,5,30
2014-12-27,3,2,27
2014-12-28,2,7,35
2014-12-29,0,6,63
2014-12-30,0,7,126
2014-12-31,0,3,42
2015-01-01,4,6,49
2015-01-02,1,7,70
2015-01-03,0,2,61
2015-01-04,2,7,60
2015-01-05,15,11,127
2015-01-06,25,22,136
2015-01-07,12,25,78
2015-01-08,35,17,109
2015-01-09,43,8,43
2015-01-10,18,3,33
2015-01-11,10,2,48
2015-01-12,10,12,86
2015-01-13,27,8,32
2015-01-14,22,21,34
2015-01-15,28,14,91
2015-01-16,28,6,50
2015-01-17,7,2,44
2015-01-18,2,3,46
2015-01-19,34,15,43
2015-01-20,35,9,72
2015-01-21,34,30,96
2015-01-22,40,5,51
2015-01-23,33,10,28
2015-01-24,16,4,43
2015-01-25,9,1,22
2015-01-26,12,10,31
2015-01-27,24,10,66
2015-01-28,41,29,44
2015-01-29,27,16,40
2015-01-30,27,27,65
2015-01-31,18,1,28
2015-02-01,7,0,36
2015-02-02,17,11,51
2015-02-03,18,29,43
2015-02-04,51,23,21
2015-02-05,37,13,49
2015-02-06,33,26,71
2015-02-07,16,5,35
2015-02-08,0,7,18
2015-02-09,15,11,21
2015-02-10,42,13,66
2015-02-11,58,22,75
2015-02-12,48,17,39
2015-02-13,31,34,46
2015-02-14,11,10,25
2015-02-15,7,4,71
2015-02-16,21,8,71
2015-02-17,23,29,86
2015-02-18,25,14,123
2015-02-19,18,21,36
2015-02-20,32,22,17
2015-02-21,30,8,53
2015-02-22,4,3,72
2015-02-23,10,30,64
2015-02-24,27,15,105
2015-02-25,16,38,32
2015-02-26,30,27,31
2015-02-27,57,12,34
2015-02-28,14,11,41
2015-03-01,17,20,43
2015-03-02,31,28,32
2015-03-03,31,30,76
2015-03-04,44,24,31
2015-03-05,20,31,55
2015-03-06,27,15,59
2015-03-07,19,3,15
2015-03-08,20,4,38
2015-03-09,33,8,35
2015-03-10,56,12,33
2015-03-11,36,12,24
2015-03-12,70,18,33
2015-03-13,39,10,29
2015-03-14,27,8,18
2015-03-15,30,7,42
2015-03-16,23,26,30
2015-03-17,39,25,53
2015-03-18,38,10,37
2015-03-19,49,15,57
2015-03-20,35,28,41
2015-03-21,15,3,10
2015-03-22,19,0,23
2015-03-23,36,13,96
2015-03-24,44,27,65
2015-03-25,49,10,24
2015-03-26,46,11,44
2015-03-27,39,15,79
2015-03-28,29,11,26
2015-03-29,19,1,34
2015-03-30,24,16,37
2015-03-31,35,12,75
2015-04-01,49,16,95
2015-04-02,61,21,34
2015-04-03,35,20,37
2015-04-04,30,5,42
2015-04-05,31,0,18
2015-04-06,19,12,21
2015-04-07,51,24,43
2015-04-08,36,38,68
2015-04-09,41,20,38
2015-04-10,28,24,57
2015-04-11,11,11,45
2015-04-12,6,15,21
2015-04-13,17,32,36
2015-04-14,25,13,86
2015-04-15,36,22,49
2015-04-16,42,36,31
2015-04-17,51,30,75
2015-04-18,10,9,35
2015-04-19,12,2,22
2015-04-20,38,16,35
2015-04-21,24,31,99
2015-04-22,74,22,30
2015-04-23,44,11,45
2015-04-24,37,22,63
2015-04-25,9,1,50
