,django/django,pallets/flask,rails/rails
2022-04-06,4.0,0,11
2022-04-07,3.0,0,2
2022-04-08,0.0,7,4
2022-04-09,0.0,0,0
2022-04-10,0.0,0,0
2022-04-11,7.0,1,11
2022-04-12,5.0,0,5
2022-04-13,8.0,2,9
2022-04-14,7.0,0,10
2022-04-15,2.0,0,1
2022-04-16,1.0,0,0
2022-04-17,0.0,0,2
2022-04-18,4.0,0,5
2022-04-19,5.0,0,0
2022-04-20,9.0,0,0
2022-04-21,4.0,0,4
2022-04-22,3.0,0,7
2022-04-23,0.0,0,3
2022-04-24,0.0,8,3
2022-04-25,1.0,2,6
2022-04-26,4.0,0,9
2022-04-27,2.0,0,1
2022-04-28,7.0,7,4
2022-04-29,5.0,0,8
2022-04-30,0.0,0,1
2022-05-01,0.0,0,1
2022-05-02,4.0,4,8
2022-05-03,6.0,4,11
2022-05-04,6.0,2,4
2022-05-05,2.0,0,7
2022-05-06,3.0,0,4
2022-05-07,0.0,0,2
2022-05-08,0.0,0,3
2022-05-09,1.0,0,13
2022-05-10,3.0,5,6
2022-05-11,2.0,2,18
2022-05-12,5.0,3,4
2022-05-13,3.0,0,7
2022-05-14,0.0,3,13
2022-05-15,0.0,2,5
2022-05-16,5.0,0,11
2022-05-17,15.0,0,5
2022-05-18,3.0,0,16
2022-05-19,4.0,0,15
2022-05-20,3.0,0,19
2022-05-21,3.0,0,5
2022-05-22,0.0,0,9
2022-05-23,2.0,16,6
2022-05-24,1.0,0,6
2022-05-25,4.0,0,9
2022-05-26,4.0,0,15
2022-05-27,0.0,0,2
2022-05-28,0.0,0,7
2022-05-29,0.0,0,8
2022-05-30,0.0,0,13
2022-05-31,5.0,2,17
2022-06-01,10.0,5,7
2022-06-02,3.0,0,8
2022-06-03,6.0,0,14
2022-06-04,0.0,0,3
2022-06-05,0.0,6,2
2022-06-06,0.0,11,13
2022-06-07,0.0,0,9
2022-06-08,1.0,1,6
2022-06-09,1.0,2,9
2022-06-10,0.0,0,10
2022-06-11,0.0,3,0
2022-06-12,0.0,5,5
2022-06-13,4.0,1,17
2022-06-14,1.0,0,19
2022-06-15,0.0,3,11
2022-06-16,4.0,0,11
2022-06-17,5.0,7,11
2022-06-18,1.0,3,7
2022-06-19,0.0,0,0
2022-06-20,3.0,0,18
2022-06-21,2.0,0,11
2022-06-22,1.0,0,9
2022-06-23,3.0,2,19
2022-06-24,2.0,0,7
2022-06-25,0.0,0,7
2022-06-26,0.0,0,4
2022-06-27,5.0,0,5
2022-06-28,9.0,4,10
2022-06-29,0.0,0,10
2022-06-30,1.0,2,4
2022-07-01,2.0,7,4
2022-07-02,1.0,0,1
2022-07-03,0.0,6,2
2022-07-04,4.0,2,8
2022-07-05,3.0,1,11
2022-07-06,4.0,3,16
2022-07-07,2.0,0,4
2022-07-08,3.0,11,6
2022-07-09,1.0,2,5
2022-07-10,0.0,2,7
2022-07-11,3.0,2,9
2022-07-12,2.0,0,10
2022-07-13,1.0,10,18
2022-07-14,1.0,2,2
2022-07-15,0.0,0,3
2022-07-16,1.0,0,1
2022-07-17,1.0,0,0
2022-07-18,2.0,0,6
2022-07-19,1.0,0,21
2022-07-20,1.0,0,3
2022-07-21,2.0,0,5
2022-07-22,1.0,0,2
2022-07-23,4.0,0,3
2022-07-24,0.0,0,6
2022-07-25,6.0,5,8
2022-07-26,6.0,0,22
2022-07-27,11.0,0,9
2022-07-28,1.0,0,14
2022-07-29,1.0,0,20
2022-07-30,1.0,0,6
2022-07-31,2.0,0,7
2022-08-01,2.0,9,14
2022-08-02,4.0,7,16
2022-08-03,11.0,6,30
2022-08-04,4.0,5,13
2022-08-05,1.0,4,9
2022-08-06,2.0,0,26
2022-08-07,0.0,0,3
2022-08-08,4.0,7,9
2022-08-09,8.0,4,8
2022-08-10,3.0,0,9
2022-08-11,5.0,0,8
2022-08-12,3.0,0,6
2022-08-13,0.0,2,0
2022-08-14,0.0,0,0
2022-08-15,4.0,3,5
2022-08-16,2.0,0,5
2022-08-17,5.0,2,3
2022-08-18,3.0,0,16
2022-08-19,0.0,0,11
2022-08-20,0.0,0,1
2022-08-21,0.0,2,0
2022-08-22,0.0,2,12
2022-08-23,4.0,0,7
2022-08-24,2.0,0,9
2022-08-25,5.0,0,13
2022-08-26,2.0,0,3
2022-08-27,4.0,2,3
2022-08-28,0.0,0,4
2022-08-29,4.0,0,5
2022-08-30,6.0,0,14
2022-08-31,3.0,0,8
2022-09-01,4.0,0,14
2022-09-02,1.0,2,11
2022-09-03,0.0,0,0
2022-09-04,1.0,0,0
2022-09-05,3.0,0,10
2022-09-06,6.0,0,2
2022-09-07,3.0,0,13
2022-09-08,2.0,0,24
2022-09-09,3.0,0,42
2022-09-10,0.0,0,7
2022-09-11,0.0,2,7
2022-09-12,4.0,0,18
2022-09-13,2.0,0,18
2022-09-14,1.0,2,23
2022-09-15,5.0,0,17
2022-09-16,5.0,0,13
2022-09-17,4.0,0,8
2022-09-18,0.0,1,1
2022-09-19,2.0,0,12
2022-09-20,0.0,0,19
2022-09-21,1.0,0,5
2022-09-22,1.0,0,19
2022-09-23,1.0,0,8
2022-09-24,4.0,0,0
2022-09-25,4.0,0,3
2022-09-26,5.0,0,8
2022-09-27,8.0,0,10
2022-09-28,8.0,0,4
2022-09-29,4.0,0,8
2022-09-30,2.0,0,5
2022-10-01,2.0,0,0
2022-10-02,0.0,0,6
2022-10-03,3.0,0,6
2022-10-04,7.0,0,7
2022-10-05,2.0,2,19
2022-10-06,5.0,0,4
2022-10-07,5.0,0,2
2022-10-08,1.0,0,1
2022-10-09,0.0,0,21
2022-10-10,5.0,0,3
2022-10-11,1.0,0,10
2022-10-12,3.0,0,4
2022-10-13,5.0,0,12
2022-10-14,1.0,0,8
2022-10-15,0.0,0,0
2022-10-16,0.0,0,8
2022-10-17,0.0,0,8
2022-10-18,1.0,0,9
2022-10-19,1.0,1,6
2022-10-20,2.0,0,18
2022-10-21,3.0,0,8
2022-10-22,0.0,0,11
2022-10-23,0.0,0,7
2022-10-24,6.0,0,10
2022-10-25,2.0,0,17
2022-10-26,8.0,0,8
2022-10-27,2.0,0,15
2022-10-28,1.0,0,4
2022-10-29,3.0,0,7
2022-10-30,0.0,3,4
2022-10-31,4.0,0,6
2022-11-01,3.0,1,14
2022-11-02,4.0,0,8
2022-11-03,3.0,0,9
2022-11-04,6.0,0,18
2022-11-05,0.0,0,4
2022-11-06,0.0,0,2
2022-11-07,9.0,0,0
2022-11-08,5.0,0,9
2022-11-09,3.0,0,6
2022-11-10,4.0,0,17
