,Immediate-Mode-UI/Nuklear,lvgl/lvgl,ocornut/imgui
2016-09-08,1,0.0,2.0
2016-09-09,0,0.0,-0.7999999999999998
2016-09-10,1,0.0,2.76
2016-09-11,0,0.0,0.6720000000000002
2016-09-12,0,0.0,-1.2431999999999999
2016-09-13,1,0.0,0.508096
2016-09-14,1,0.0,-0.6987264000000001
2016-09-15,4,0.0,0.67020288
2016-09-16,2,0.0,-0.6231050239999999
2016-09-17,0,0.0,-0.2882343936
2016-09-18,5,0.0,-0.176160256
2016-09-19,5,0.0,0.8667309056
2016-09-20,2,0.0,0.5260811264
2016-09-21,0,0.0,1.4418810880000001
2016-09-22,0,0.0,-1.0151687167999999
2016-09-23,1,0.0,1.639244288
2016-09-24,2,0.0,-1.0123501568
2016-09-25,0,0.0,13.623884799999999
2016-09-26,0,0.0,-3.829237759999999
2016-09-27,0,3.0,-2.6426526719999996
2016-09-28,2,3.6999999999999997,-1.2605989888
2016-09-29,2,-0.5350000000000005,-0.7994359808000007
2016-09-30,0,4.7345,-0.5648654336000003
2016-10-01,0,-0.6759875000000003,7.5882997759999995
2016-10-02,0,-0.3560002499999997,-2.5287105535999994
2016-10-03,0,-0.24645303749999978,-1.6089210879999998
2016-10-04,0,3.8107583612500004,-0.8414856191999999
2016-10-05,3,-0.5536634740468749,-0.42239631360000035
2016-10-06,0,-0.3092798721703123,1.7187839999999999
2016-10-07,0,1.79693610860625,2.9863424
2016-10-08,1,-0.3304915650781247,-1.0099276799999997
2016-10-09,0,-0.19646126267968725,3.852383744
2016-10-10,0,-0.10964804999999989,-0.5767409663999996
2016-10-11,0,-0.08569978499999972,-1.7031021568
2016-10-12,0,-0.07050675206249979,-0.7673344000000002
2016-10-13,0,-0.05991943514374984,-0.4945459200000003
2016-10-14,0,-0.022187392499999934,-0.3597168640000002
2016-10-15,0,-0.01913662603124995,1.7206902784
2016-10-16,0,2.983202294928125,4.9958724608
2016-10-17,1,1.6999999999999997,-2.7653178367999995
2016-10-18,1,-0.3350000000000003,1.057697792
2016-10-19,0,-0.17550000000000013,-1.2927963135999998
2016-10-20,0,0.8810125000000002,-0.5495040000000002
2016-10-21,1,-0.1896752499999998,-0.35363840000000013
2016-10-22,3,-0.1167195374999998,-0.2577203200000001
2016-10-23,0,-0.08810511374999985,-0.20043878399999998
2016-10-24,0,-0.07155483154687478,-0.16245698559999996
2016-10-25,0,-0.06044993363906233,-0.11353006079999997
2016-10-26,0,-0.02995971757187492,-0.030311423999999986
2016-10-27,0,0.98890630375,-0.025596313599999993
2016-10-28,0,-0.10956831301562506,0.0
2016-10-29,2,-0.05339885253593751,1.0
2016-10-30,3,-0.028500000000000022,-0.3999999999999999
2016-10-31,1,-0.020662499999999924,-0.12
2016-11-01,4,-0.016116749999999947,-0.064
2016-11-02,0,-0.01316201249999996,-0.04160000000000005
2016-11-03,4,-0.011093696249999967,-0.029952000000000017
2016-11-04,0,-0.009568313015624975,-0.022963200000000007
2016-11-05,1,-0.008398852535937478,-0.018370559999999994
2016-11-06,3,0.0,8.984844288
2016-11-07,0,0.0,-2.6127981567999994
2016-11-08,0,0.0,-1.48
2016-11-09,1,0.0,2.304
2016-11-10,1,0.0,-1.6384
2016-11-11,3,0.0,2.328832
2016-11-12,0,0.0,9.3713792
2016-11-13,1,0.0,0.9269017600000016
2016-11-14,6,0.0,-3.1566279679999996
2016-11-15,2,0.0,-2.1480287232
2016-11-16,1,0.0,-1.1193658368000006
2016-11-17,0,0.0,-0.7574287360000005
2016-11-18,1,0.0,-0.5674133504000003
2016-11-19,3,0.0,-0.415274496
2016-11-20,2,0.0,-0.33829386239999987
2016-11-21,0,0.0,-0.2500845567999999
2016-11-22,1,0.0,-0.09194465279999997
2016-11-23,0,0.0,-0.012798156799999997
2016-11-24,0,0.0,0.0
2016-11-25,0,0.0,0.0
2016-11-26,0,0.0,0.0
2016-11-27,0,0.0,10.0
2016-11-28,0,0.0,8.881784197001252e-16
2016-11-29,0,0.0,0.20000000000000018
2016-11-30,0,0.0,-2.32
2016-12-01,0,0.0,-1.0320000000000005
2016-12-02,0,0.0,-0.6579200000000003
2016-12-03,2,0.0,-0.4742400000000003
2016-12-04,0,0.0,0.6345856
2016-12-05,0,0.0,-0.6939289599999998
2016-12-06,0,0.0,-0.36371609599999993
2016-12-07,0,0.0,-0.16065976319999997
2016-12-08,0,0.0,-0.07999447040000005
2016-12-09,0,1.0,-0.029952000000000017
2016-12-10,0,-0.10000000000000009,-0.022963200000000007
2016-12-11,0,-0.04500000000000003,-0.018370559999999994
2016-12-12,0,-0.028500000000000022,0.984844288
2016-12-13,0,-0.020662499999999924,-0.4127981567999999
2016-12-14,0,-0.016116749999999947,-0.12
2016-12-15,0,3.9868379875,-0.064
2016-12-16,0,0.5889063037499997,-0.04160000000000005
2016-12-17,0,4.710431686984375,-0.029952000000000017
2016-12-18,0,0.332601147464062,-0.022963200000000007
2016-12-19,0,2.56385,0.98162944
2016-12-20,2,2.4273705,-0.4151557119999999
2016-12-21,0,2.3644227000000004,3.8672018432
2016-12-22,0,3.3207169525,-1.6639999999999997
2016-12-23,0,-0.8137812608124999,3.4783999999999997
2016-12-24,0,-0.4876319669093745,-1.8859519999999996
2016-12-25,1,-0.3311579013640619,-0.6693632000000002
2016-12-26,1,0.7446700480546883,-0.39417856000000007
2016-12-27,0,-0.2743379178328121,-0.2734085120000002
2016-12-28,0,-0.18483063540468714,-0.20608839680000005
2016-12-29,2,1.8732237183453129,-0.152475648
2016-12-30,0,5.715867690329688,-0.12467486719999996
2016-12-31,10,-0.7397121601437504,-0.06062284799999997
2017-01-01,2,2.6598379874999996,0.9488073728
2017-01-02,0,3.4765813037499997,-0.3999999999999999
2017-01-03,11,6.299223186984375,-0.12
2017-01-04,0,0.9030766224640621,-0.064
2017-01-05,2,-0.7921469674999999,-0.04160000000000005
2017-01-06,4,14.49380094646875,-0.029952000000000017
2017-01-07,4,-1.8797981206656253,0.9770368
2017-01-08,0,5.034535496034375,-0.4183705599999999
2017-01-09,0,6.775052688453124,-0.13515571199999998
2017-01-10,1,6.452612791579688,0.9232018432
2017-01-11,2,0.3044877562468751,2.5584000000000002
2017-01-12,2,0.812666218717188,-1.3499519999999998
2017-01-13,0,4.036796351178126,-0.4469632
2017-01-14,2,-0.16373077023437377,0.7480294399999999
2017-01-15,1,0.14989993446093863,-0.569907712
2017-01-16,0,7.387485951906251,-0.24561735680000005
2017-01-17,0,-1.2510592143406247,-0.15126016000000003
2017-01-18,0,-0.6819949919124995,-0.11186739200000001
2017-01-19,2,-0.4391041513187496,-0.08821729279999999
2017-01-20,1,-0.28598157485312403,-0.061357670399999995
2017-01-21,4,-0.21782897889999933,0.98162944
2017-01-22,3,-0.16795237194531204,-0.4151557119999999
2017-01-23,3,-0.10671673555156219,-0.13279815679999998
2017-01-24,3,-0.08494535666093728,-0.064
2017-01-25,0,-0.06719082028749983,-0.04160000000000005
2017-01-26,0,0.0,-0.029952000000000017
2017-01-27,0,0.0,-0.022963200000000007
2017-01-28,0,0.0,1.98162944
2017-01-29,0,0.0,0.1848442880000002
2017-01-30,1,0.0,-0.6527981567999999
2017-01-31,0,0.0,-0.248
2017-02-01,0,2.0,-0.1472000000000001
2017-02-02,0,-0.20000000000000018,-0.10150400000000008
2017-02-03,0,3.91,-0.07587840000000003
2017-02-04,5,-0.4570000000000004,-0.05970431999999999
2017-02-05,1,-0.221325,-0.048681983999999984
2017-02-06,1,7.8537665,-0.040752025599999984
2017-02-07,0,-0.9089740250000004,-0.012798156799999997
2017-02-08,0,-0.4466543925,0.0
2017-02-09,1,-0.29978467603125,0.0
2017-02-10,2,-0.2264724900718742,0.0
2017-02-11,1,0.8327927479375006,2.0
2017-02-12,0,-0.23889151014374968,-0.7999999999999998
2017-02-13,2,-0.13374956999999976,-0.24
2017-02-14,0,-0.10504650412499983,-0.128
2017-02-15,0,-0.08785332028749976,-0.0832000000000001
2017-02-16,0,-0.016116749999999947,-0.059904000000000034
2017-02-17,1,1.9868379875,-0.04592640000000001
2017-02-18,1,-0.21109369625000016,-0.03674111999999999
2017-02-19,0,-0.09956831301562505,-0.030311423999999986
2017-02-20,1,-0.06539885253593752,-0.025596313599999993
2017-02-21,3,-0.04132499999999985,0.0
2017-02-22,0,0.9677665000000001,0.0
2017-02-23,1,-0.126324025,0.0
2017-02-24,2,-0.06718739249999997,0.0
2017-02-25,3,-0.047636626031249976,0.0
2017-02-26,0,-0.03746020507187488,2.0
2017-02-27,0,-0.016116749999999947,-0.7999999999999998
2017-02-28,0,-0.01316201249999996,-0.24
2017-03-01,2,-0.011093696249999967,-0.128
2017-03-02,2,-0.009568313015624975,-0.0832000000000001
2017-03-03,0,-0.008398852535937478,-0.059904000000000034
2017-03-04,2,0.0,-0.04592640000000001
2017-03-05,0,0.0,-0.03674111999999999
2017-03-06,0,0.0,-0.030311423999999986
2017-03-07,0,2.0,-0.025596313599999993
2017-03-08,0,-0.20000000000000018,0.0
2017-03-09,1,1.91,0.0
2017-03-10,0,-0.25700000000000023,0.0
2017-03-11,0,-0.13132499999999991,0.0
2017-03-12,5,-0.08923349999999994,0.0
2017-03-13,0,-0.06764902499999977,1.0
2017-03-14,0,-0.05442089249999983,-0.3999999999999999
2017-03-15,4,-0.04546065103124987,0.88
2017-03-16,1,-0.03898509757187489,3.536
2017-03-17,2,-0.01913662603124995,1.2384000000000004
2017-03-18,4,-0.016797705071874957,-1.7739519999999998
2017-03-19,0,1.0,-0.6805632
2017-03-20,0,1.9,-0.4067225600000002
