,highcharts/highcharts,plotly/plotly.js,d3/d3
2020-09-06,0,0,0
2020-09-07,9,4,0
2020-09-08,3,6,0
2020-09-09,2,0,0
2020-09-10,17,2,0
2020-09-11,4,3,0
2020-09-12,0,0,0
2020-09-13,0,1,0
2020-09-14,5,4,0
2020-09-15,6,9,0
2020-09-16,9,7,0
2020-09-17,6,14,0
2020-09-18,16,3,0
2020-09-19,2,0,0
2020-09-20,0,0,0
2020-09-21,1,6,0
2020-09-22,4,6,0
2020-09-23,5,7,2
2020-09-24,15,4,0
2020-09-25,3,14,0
2020-09-26,0,10,0
2020-09-27,0,0,0
2020-09-28,1,18,0
2020-09-29,3,14,0
2020-09-30,0,10,0
2020-10-01,0,9,0
2020-10-02,0,8,0
2020-10-03,1,2,0
2020-10-04,0,0,0
2020-10-05,2,3,0
2020-10-06,0,3,0
2020-10-07,1,2,0
2020-10-08,4,6,0
2020-10-09,0,6,0
2020-10-10,0,3,0
2020-10-11,0,2,0
2020-10-12,18,1,0
2020-10-13,2,3,0
2020-10-14,9,12,0
2020-10-15,0,6,0
2020-10-16,15,3,0
2020-10-17,0,5,0
2020-10-18,0,0,0
2020-10-19,13,7,0
2020-10-20,2,7,0
2020-10-21,16,6,0
2020-10-22,10,14,0
2020-10-23,19,7,0
2020-10-24,0,2,0
2020-10-25,0,3,0
2020-10-26,11,3,0
2020-10-27,4,2,0
2020-10-28,14,4,0
2020-10-29,1,6,0
2020-10-30,5,5,0
2020-10-31,0,0,0
2020-11-01,0,0,0
2020-11-02,17,7,0
2020-11-03,6,5,0
2020-11-04,18,22,0
2020-11-05,6,6,0
2020-11-06,37,4,0
2020-11-07,4,0,0
2020-11-08,5,0,0
2020-11-09,30,6,0
2020-11-10,21,2,0
2020-11-11,27,0,0
2020-11-12,30,7,0
2020-11-13,29,9,0
2020-11-14,0,0,0
2020-11-15,0,1,0
2020-11-16,49,8,0
2020-11-17,8,10,0
2020-11-18,35,13,0
2020-11-19,18,10,0
2020-11-20,51,5,0
2020-11-21,0,7,0
2020-11-22,0,0,0
2020-11-23,24,6,0
2020-11-24,40,5,0
2020-11-25,22,10,0
2020-11-26,37,13,0
2020-11-27,54,12,0
2020-11-28,8,8,0
2020-11-29,0,8,0
2020-11-30,86,10,0
2020-12-01,25,2,0
2020-12-02,81,8,0
2020-12-03,24,2,2
2020-12-04,18,9,0
2020-12-05,0,0,0
2020-12-06,0,0,0
2020-12-07,6,12,0
2020-12-08,22,12,2
2020-12-09,11,14,0
2020-12-10,4,4,0
2020-12-11,4,15,0
2020-12-12,0,0,0
2020-12-13,0,0,0
2020-12-14,10,8,0
2020-12-15,1,2,0
2020-12-16,2,0,0
2020-12-17,2,7,0
2020-12-18,4,13,0
2020-12-19,0,1,0
2020-12-20,0,0,0
2020-12-21,0,9,0
2020-12-22,0,10,0
2020-12-23,1,2,0
2020-12-24,0,1,0
2020-12-25,0,2,0
2020-12-26,0,2,0
2020-12-27,0,0,0
2020-12-28,0,0,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,0,0,0
2021-01-01,0,0,0
2021-01-02,0,0,0
2021-01-03,0,0,0
2021-01-04,1,20,0
2021-01-05,37,14,0
2021-01-06,4,6,0
2021-01-07,5,12,0
2021-01-08,11,7,0
2021-01-09,0,0,0
2021-01-10,0,0,0
2021-01-11,7,4,0
2021-01-12,6,3,0
2021-01-13,16,5,0
2021-01-14,4,16,0
2021-01-15,0,17,0
2021-01-16,0,4,0
2021-01-17,0,0,0
2021-01-18,16,6,0
2021-01-19,0,12,0
2021-01-20,2,14,0
2021-01-21,6,9,0
2021-01-22,2,12,2
2021-01-23,0,2,0
2021-01-24,0,0,0
2021-01-25,14,3,2
2021-01-26,14,3,0
2021-01-27,12,9,0
2021-01-28,0,4,0
2021-01-29,8,0,0
2021-01-30,0,0,0
2021-01-31,0,0,0
2021-02-01,4,0,0
2021-02-02,6,7,0
2021-02-03,12,12,0
2021-02-04,15,9,0
2021-02-05,16,0,0
2021-02-06,0,1,0
2021-02-07,0,0,0
2021-02-08,10,7,0
2021-02-09,26,25,0
2021-02-10,9,8,0
2021-02-11,8,12,0
2021-02-12,26,6,0
2021-02-13,0,14,0
2021-02-14,0,8,0
2021-02-15,13,1,0
2021-02-16,61,1,0
2021-02-17,10,10,0
2021-02-18,21,11,0
2021-02-19,25,9,0
2021-02-20,2,0,0
2021-02-21,0,0,0
2021-02-22,11,11,0
2021-02-23,11,10,0
2021-02-24,11,0,0
2021-02-25,11,1,0
2021-02-26,12,2,0
2021-02-27,0,0,0
2021-02-28,1,0,0
2021-03-01,36,16,0
2021-03-02,22,10,0
2021-03-03,33,4,0
2021-03-04,33,9,0
2021-03-05,29,4,0
2021-03-06,0,0,0
2021-03-07,0,0,0
2021-03-08,14,9,0
2021-03-09,23,2,0
2021-03-10,13,4,2
2021-03-11,20,10,0
2021-03-12,18,0,0
2021-03-13,0,0,0
2021-03-14,1,0,0
2021-03-15,28,3,1
2021-03-16,34,18,0
2021-03-17,29,5,0
2021-03-18,16,1,1
2021-03-19,18,0,0
2021-03-20,1,0,0
2021-03-21,0,0,0
2021-03-22,22,3,0
2021-03-23,30,5,0
2021-03-24,28,9,2
2021-03-25,15,11,0
2021-03-26,29,6,0
2021-03-27,0,0,0
2021-03-28,1,0,0
2021-03-29,15,6,2
2021-03-30,10,7,0
2021-03-31,10,2,0
2021-04-01,4,0,0
2021-04-02,9,2,0
2021-04-03,0,0,0
2021-04-04,0,0,0
2021-04-05,0,9,0
2021-04-06,18,2,0
2021-04-07,25,3,0
2021-04-08,24,13,0
2021-04-09,34,8,0
2021-04-10,0,4,0
2021-04-11,0,0,0
2021-04-12,23,0,0
2021-04-13,17,4,0
2021-04-14,24,3,0
2021-04-15,19,4,0
2021-04-16,11,7,2
2021-04-17,0,0,0
2021-04-18,0,0,0
2021-04-19,13,9,0
2021-04-20,36,1,0
2021-04-21,9,15,0
2021-04-22,8,7,0
2021-04-23,19,1,0
2021-04-24,4,0,0
2021-04-25,2,0,0
2021-04-26,42,5,0
2021-04-27,19,1,0
2021-04-28,20,0,0
2021-04-29,18,2,0
2021-04-30,11,0,0
2021-05-01,0,6,0
2021-05-02,2,0,0
2021-05-03,18,14,0
2021-05-04,19,14,0
2021-05-05,16,19,0
2021-05-06,27,13,0
2021-05-07,19,0,0
2021-05-08,0,9,0
2021-05-09,0,1,0
2021-05-10,29,10,0
2021-05-11,10,14,0
2021-05-12,24,5,0
2021-05-13,2,3,1
2021-05-14,3,15,0
2021-05-15,0,2,0
2021-05-16,0,0,0
2021-05-17,0,3,0
2021-05-18,22,13,0
2021-05-19,22,7,0
2021-05-20,18,9,0
2021-05-21,36,6,0
2021-05-22,0,7,0
2021-05-23,0,0,0
2021-05-24,7,1,0
2021-05-25,16,8,0
2021-05-26,19,17,0
2021-05-27,26,2,0
2021-05-28,19,5,0
2021-05-29,0,0,0
2021-05-30,0,0,0
2021-05-31,18,21,0
2021-06-01,18,9,0
2021-06-02,7,26,0
2021-06-03,19,14,0
2021-06-04,12,9,0
2021-06-05,0,0,0
2021-06-06,0,0,0
2021-06-07,5,9,0
2021-06-08,7,6,0
2021-06-09,8,0,0
2021-06-10,16,0,0
2021-06-11,8,9,5
2021-06-12,0,0,0
2021-06-13,3,0,0
2021-06-14,12,8,0
2021-06-15,3,11,0
2021-06-16,18,8,0
2021-06-17,37,20,0
2021-06-18,18,20,0
2021-06-19,1,0,0
2021-06-20,0,0,0
2021-06-21,7,4,0
2021-06-22,25,8,0
2021-06-23,20,9,0
2021-06-24,4,41,0
2021-06-25,13,16,0
2021-06-26,0,13,0
2021-06-27,0,2,0
2021-06-28,5,32,0
2021-06-29,3,22,0
2021-06-30,8,15,0
2021-07-01,3,0,0
2021-07-02,17,0,0
2021-07-03,3,0,0
2021-07-04,0,0,1
2021-07-05,20,7,0
2021-07-06,22,21,0
2021-07-07,12,35,0
2021-07-08,8,17,0
2021-07-09,18,17,0
2021-07-10,1,0,0
2021-07-11,0,0,0
2021-07-12,10,19,0
2021-07-13,7,10,0
2021-07-14,9,13,0
2021-07-15,25,0,0
2021-07-16,8,2,0
2021-07-17,1,25,0
2021-07-18,1,1,0
2021-07-19,6,17,0
2021-07-20,4,12,0
2021-07-21,5,11,0
2021-07-22,4,12,0
2021-07-23,9,12,0
2021-07-24,0,2,0
2021-07-25,2,0,0
2021-07-26,5,6,0
2021-07-27,7,4,0
2021-07-28,6,24,0
2021-07-29,5,11,0
2021-07-30,3,16,0
2021-07-31,7,0,0
2021-08-01,5,0,0
2021-08-02,8,1,0
2021-08-03,5,13,0
2021-08-04,5,17,0
2021-08-05,4,10,0
2021-08-06,4,3,0
2021-08-07,0,0,0
2021-08-08,0,0,0
2021-08-09,1,0,0
2021-08-10,6,39,0
2021-08-11,4,8,0
2021-08-12,8,12,0
2021-08-13,112,9,0
2021-08-14,0,1,0
2021-08-15,0,0,0
2021-08-16,16,15,2
2021-08-17,19,6,0
2021-08-18,14,8,0
2021-08-19,15,0,0
2021-08-20,3,0,0
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,23,10,0
2021-08-24,9,5,0
2021-08-25,6,18,0
2021-08-26,12,14,0
2021-08-27,11,8,0
2021-08-28,0,0,0
2021-08-29,0,0,0
2021-08-30,5,10,0
2021-08-31,11,17,0
2021-09-01,6,9,0
2021-09-02,13,9,0
2021-09-03,11,14,0
2021-09-04,0,0,0
2021-09-05,0,0,0
2021-09-06,11,0,0
2021-09-07,9,2,0
2021-09-08,12,2,0
2021-09-09,6,0,0
2021-09-10,8,0,0
2021-09-11,0,0,0
2021-09-12,0,0,0
2021-09-13,16,7,0
2021-09-14,5,5,0
2021-09-15,16,7,0
2021-09-16,4,3,0
2021-09-17,33,0,0
2021-09-18,0,0,0
2021-09-19,0,0,2
2021-09-20,9,0,2
2021-09-21,38,0,0
2021-09-22,14,0,0
2021-09-23,10,4,0
2021-09-24,9,0,2
2021-09-25,0,0,0
2021-09-26,0,0,0
2021-09-27,20,1,0
2021-09-28,9,1,0
2021-09-29,28,2,0
2021-09-30,21,13,0
2021-10-01,13,19,2
2021-10-02,0,0,0
2021-10-03,0,0,2
2021-10-04,18,9,0
2021-10-05,16,3,0
2021-10-06,21,0,0
2021-10-07,8,2,0
2021-10-08,20,16,0
2021-10-09,3,3,0
2021-10-10,0,0,0
2021-10-11,4,2,0
2021-10-12,6,2,0
2021-10-13,7,0,0
2021-10-14,5,0,0
2021-10-15,2,0,0
2021-10-16,0,0,0
2021-10-17,2,0,0
2021-10-18,32,27,0
2021-10-19,16,12,0
2021-10-20,16,4,0
2021-10-21,17,2,0
2021-10-22,10,6,0
2021-10-23,2,0,0
2021-10-24,5,0,0
2021-10-25,1,0,0
2021-10-26,9,7,0
2021-10-27,3,1,0
2021-10-28,16,0,0
2021-10-29,2,8,0
2021-10-30,1,0,0
2021-10-31,0,0,0
2021-11-01,11,0,0
2021-11-02,28,0,0
2021-11-03,8,6,0
2021-11-04,11,0,0
2021-11-05,9,4,0
2021-11-06,2,0,0
2021-11-07,2,0,0
2021-11-08,22,0,0
2021-11-09,18,0,0
2021-11-10,6,0,0
2021-11-11,19,13,0
2021-11-12,5,3,0
2021-11-13,12,0,0
2021-11-14,1,0,0
2021-11-15,4,0,0
2021-11-16,36,1,0
2021-11-17,10,10,0
2021-11-18,3,4,0
2021-11-19,6,4,0
2021-11-20,0,2,0
2021-11-21,5,0,0
2021-11-22,10,16,0
2021-11-23,13,8,0
2021-11-24,10,3,0
2021-11-25,3,2,0
2021-11-26,8,3,0
2021-11-27,1,0,0
2021-11-28,1,0,0
2021-11-29,14,2,0
2021-11-30,3,0,0
2021-12-01,18,2,0
2021-12-02,5,6,0
2021-12-03,14,6,0
2021-12-04,0,0,2
2021-12-05,0,2,0
2021-12-06,27,3,0
2021-12-07,13,1,0
2021-12-08,7,2,0
2021-12-09,11,10,0
2021-12-10,4,8,2
2021-12-11,5,0,0
2021-12-12,0,0,0
2021-12-13,22,0,0
2021-12-14,7,0,0
2021-12-15,7,3,0
2021-12-16,9,2,0
2021-12-17,20,0,0
2021-12-18,0,0,0
2021-12-19,0,0,0
2021-12-20,5,10,0
2021-12-21,12,0,0
2021-12-22,9,2,0
2021-12-23,6,1,0
2021-12-24,0,1,0
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,0,0
2021-12-28,0,0,0
2021-12-29,5,0,0
2021-12-30,9,0,0
2021-12-31,0,0,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,3,3,0
2022-01-04,21,5,0
2022-01-05,7,5,0
2022-01-06,17,6,0
2022-01-07,10,4,2
2022-01-08,0,1,0
2022-01-09,0,0,0
2022-01-10,2,3,0
2022-01-11,3,0,0
2022-01-12,5,3,0
2022-01-13,20,8,0
2022-01-14,35,0,0
2022-01-15,0,0,0
2022-01-16,3,0,0
2022-01-17,3,0,0
2022-01-18,16,0,0
2022-01-19,3,8,0
2022-01-20,5,0,0
2022-01-21,3,4,0
2022-01-22,0,0,0
2022-01-23,0,0,0
2022-01-24,3,5,0
2022-01-25,4,7,0
2022-01-26,14,1,0
2022-01-27,1,8,0
2022-01-28,12,3,0
2022-01-29,19,1,0
2022-01-30,0,2,0
2022-01-31,10,0,0
2022-02-01,10,3,0
2022-02-02,4,0,0
2022-02-03,17,15,0
2022-02-04,11,20,0
2022-02-05,3,0,0
2022-02-06,2,0,0
2022-02-07,12,4,0
2022-02-08,13,2,0
2022-02-09,14,0,0
2022-02-10,7,9,0
2022-02-11,8,3,0
2022-02-12,0,3,0
2022-02-13,0,0,0
2022-02-14,7,0,0
2022-02-15,7,3,0
2022-02-16,6,0,0
2022-02-17,6,0,0
2022-02-18,1,1,0
2022-02-19,0,0,0
2022-02-20,5,0,0
2022-02-21,1,0,0
2022-02-22,2,0,0
2022-02-23,0,0,0
2022-02-24,4,3,0
2022-02-25,0,0,0
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,3,0,0
2022-03-01,2,1,0
2022-03-02,2,0,0
2022-03-03,0,0,0
2022-03-04,15,8,0
2022-03-05,0,3,0
2022-03-06,0,0,0
2022-03-07,9,10,0
2022-03-08,0,14,0
2022-03-09,2,1,0
2022-03-10,2,2,0
2022-03-11,6,18,0
2022-03-12,0,3,0
2022-03-13,0,0,0
2022-03-14,3,1,0
2022-03-15,7,6,0
2022-03-16,42,0,0
2022-03-17,4,5,0
2022-03-18,6,13,0
2022-03-19,0,2,0
2022-03-20,0,2,0
2022-03-21,1,0,0
2022-03-22,6,5,0
2022-03-23,24,20,0
2022-03-24,1,1,0
2022-03-25,6,0,0
2022-03-26,1,0,0
2022-03-27,0,0,0
2022-03-28,7,0,2
2022-03-29,4,0,1
2022-03-30,28,0,0
2022-03-31,4,0,0
2022-04-01,5,4,0
2022-04-02,0,0,2
2022-04-03,0,0,2
2022-04-04,6,0,0
2022-04-05,3,0,0
2022-04-06,3,2,0
2022-04-07,0,22,2
2022-04-08,18,0,0
2022-04-09,0,0,0
2022-04-10,0,0,0
2022-04-11,5,0,2
2022-04-12,3,0,0
2022-04-13,4,0,0
2022-04-14,2,2,0
2022-04-15,0,0,0
2022-04-16,0,0,0
2022-04-17,0,0,0
2022-04-18,0,0,0
2022-04-19,7,0,0
2022-04-20,20,5,0
2022-04-21,6,3,0
2022-04-22,15,6,0
2022-04-23,0,0,0
2022-04-24,0,0,0
2022-04-25,16,7,0
2022-04-26,10,4,0
2022-04-27,22,1,0
2022-04-28,10,1,0
2022-04-29,5,2,0
2022-04-30,0,1,0
2022-05-01,0,0,0
2022-05-02,5,10,0
2022-05-03,4,0,0
2022-05-04,0,3,0
2022-05-05,1,3,0
2022-05-06,13,17,0
2022-05-07,0,0,0
2022-05-08,1,0,0
2022-05-09,4,19,0
2022-05-10,5,0,0
2022-05-11,19,3,0
2022-05-12,6,2,0
2022-05-13,9,2,0
2022-05-14,3,5,0
2022-05-15,5,0,0
2022-05-16,9,0,0
2022-05-17,1,0,0
2022-05-18,21,0,0
2022-05-19,5,2,0
2022-05-20,24,1,0
2022-05-21,0,0,0
2022-05-22,0,0,0
2022-05-23,9,1,0
2022-05-24,4,2,0
2022-05-25,1,3,0
2022-05-26,2,6,0
2022-05-27,2,2,0
2022-05-28,0,0,0
2022-05-29,0,0,0
2022-05-30,16,2,0
2022-05-31,4,3,0
2022-06-01,5,7,0
2022-06-02,1,0,0
2022-06-03,10,0,0
2022-06-04,0,0,0
2022-06-05,0,0,0
2022-06-06,1,0,0
2022-06-07,9,0,0
2022-06-08,0,0,0
2022-06-09,0,11,0
2022-06-10,1,5,0
2022-06-11,0,0,0
2022-06-12,1,0,0
2022-06-13,13,0,0
2022-06-14,4,10,0
2022-06-15,11,8,0
2022-06-16,7,1,0
2022-06-17,10,0,0
2022-06-18,1,0,0
2022-06-19,0,0,0
2022-06-20,2,4,0
2022-06-21,17,5,0
2022-06-22,7,22,0
2022-06-23,16,0,0
2022-06-24,14,4,2
2022-06-25,2,0,0
2022-06-26,2,0,2
2022-06-27,9,7,0
2022-06-28,0,4,0
2022-06-29,0,1,0
2022-06-30,2,3,0
2022-07-01,0,2,0
2022-07-02,0,0,0
2022-07-03,0,0,4
2022-07-04,27,0,0
2022-07-05,9,20,0
2022-07-06,17,13,0
2022-07-07,5,13,0
2022-07-08,34,26,0
2022-07-09,14,2,0
2022-07-10,1,0,0
2022-07-11,9,9,0
2022-07-12,10,12,0
2022-07-13,6,3,0
2022-07-14,17,16,0
2022-07-15,2,14,0
2022-07-16,0,0,0
2022-07-17,0,0,0
2022-07-18,5,6,0
2022-07-19,6,0,0
2022-07-20,2,2,0
2022-07-21,2,2,0
2022-07-22,0,0,0
2022-07-23,0,0,0
2022-07-24,0,0,0
2022-07-25,2,6,0
2022-07-26,2,4,0
2022-07-27,4,1,0
2022-07-28,1,5,0
2022-07-29,0,0,0
2022-07-30,0,0,0
2022-07-31,0,0,0
2022-08-01,4,0,0
2022-08-02,2,3,0
2022-08-03,0,0,0
2022-08-04,35,0,0
2022-08-05,70,0,0
2022-08-06,0,0,0
2022-08-07,0,0,0
2022-08-08,14,2,0
2022-08-09,5,2,0
2022-08-10,12,4,0
2022-08-11,24,6,0
2022-08-12,2,3,0
2022-08-13,0,0,0
2022-08-14,0,0,0
2022-08-15,13,0,0
2022-08-16,19,3,0
2022-08-17,2,0,0
2022-08-18,19,0,0
2022-08-19,7,7,0
2022-08-20,0,0,0
2022-08-21,0,0,0
2022-08-22,5,1,0
2022-08-23,15,0,0
2022-08-24,17,0,0
2022-08-25,9,2,0
2022-08-26,4,3,0
2022-08-27,0,0,0
2022-08-28,0,0,0
2022-08-29,16,0,0
2022-08-30,6,3,0
2022-08-31,6,2,0
2022-09-01,4,5,0
2022-09-02,19,10,0
2022-09-03,0,0,0
2022-09-04,0,0,0
2022-09-05,0,0,0
2022-09-06,26,4,0
2022-09-07,31,6,0
2022-09-08,8,4,0
2022-09-09,2,0,0
2022-09-10,0,0,0
2022-09-11,0,0,0
2022-09-12,14,1,0
2022-09-13,15,0,0
2022-09-14,4,0,0
2022-09-15,3,3,0
2022-09-16,0,1,0
2022-09-17,0,1,0
2022-09-18,0,0,0
2022-09-19,11,9,0
2022-09-20,7,2,0
2022-09-21,23,2,0
2022-09-22,8,6,0
2022-09-23,9,9,0
2022-09-24,0,0,0
2022-09-25,3,0,0
2022-09-26,12,0,0
2022-09-27,3,0,0
2022-09-28,6,0,0
2022-09-29,5,4,0
2022-09-30,10,0,0
2022-10-01,0,0,0
2022-10-02,0,0,0
2022-10-03,6,4,0
2022-10-04,5,4,0
2022-10-05,17,6,0
2022-10-06,29,12,0
2022-10-07,10,3,0
2022-10-08,0,0,0
2022-10-09,0,0,0
2022-10-10,3,0,0
2022-10-11,2,3,0
2022-10-12,2,1,0
2022-10-13,1,6,0
2022-10-14,3,14,0
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,4,0,0
2022-10-18,13,0,0
2022-10-19,0,1,0
2022-10-20,1,0,0
2022-10-21,0,17,0
2022-10-22,0,1,0
2022-10-23,0,0,0
2022-10-24,3,4,0
2022-10-25,4,0,0
2022-10-26,17,0,0
2022-10-27,13,1,0
2022-10-28,9,0,0
2022-10-29,1,0,0
2022-10-30,1,0,0
2022-10-31,23,1,0
2022-11-01,13,6,0
2022-11-02,14,2,0
2022-11-03,16,2,0
2022-11-04,10,3,0
2022-11-05,2,0,0
2022-11-06,0,1,0
2022-11-07,7,2,0
2022-11-08,11,4,0
2022-11-09,6,8,0
2022-11-10,7,5,0
2022-11-11,37,10,0
2022-11-12,0,4,0
2022-11-13,0,0,0
2022-11-14,13,14,0
2022-11-15,10,0,0
2022-11-16,14,6,0
2022-11-17,14,5,0
2022-11-18,18,0,0
2022-11-19,0,0,0
2022-11-20,0,0,0
2022-11-21,13,1,0
2022-11-22,19,0,0
2022-11-23,10,0,0
2022-11-24,17,2,0
2022-11-25,8,0,0
2022-11-26,4,1,0
2022-11-27,0,0,0
2022-11-28,20,0,0
2022-11-29,24,0,0
2022-11-30,16,1,0
2022-12-01,29,6,0
2022-12-02,18,14,0
2022-12-03,0,0,2
2022-12-04,0,2,0
2022-12-05,21,2,0
2022-12-06,29,3,0
2022-12-07,7,3,0
2022-12-08,5,0,0
2022-12-09,24,4,0
2022-12-10,7,0,0
2022-12-11,0,0,0
2022-12-12,40,3,1
2022-12-13,15,3,0
2022-12-14,21,6,0
2022-12-15,11,5,0
2022-12-16,21,5,0
2022-12-17,0,0,0
2022-12-18,0,0,0
2022-12-19,26,2,0
2022-12-20,94,10,3
2022-12-21,56,20,0
2022-12-22,12,8,0
2022-12-23,9,8,0
2022-12-24,2,1,0
2022-12-25,0,0,0
2022-12-26,0,2,0
2022-12-27,6,0,0
2022-12-28,7,0,0
2022-12-29,17,0,0
2022-12-30,11,0,0
2022-12-31,0,0,0
2023-01-01,0,0,0
2023-01-02,18,0,0
2023-01-03,27,13,0
2023-01-04,54,5,0
2023-01-05,35,1,0
2023-01-06,13,1,0
2023-01-07,1,1,0
2023-01-08,0,2,0
2023-01-09,16,4,0
2023-01-10,19,2,0
2023-01-11,16,8,2
2023-01-12,29,8,0
2023-01-13,26,0,0
2023-01-14,3,0,0
2023-01-15,2,0,0
2023-01-16,52,0,0
2023-01-17,48,2,0
2023-01-18,29,8,2
2023-01-19,31,5,0
2023-01-20,22,0,0
2023-01-21,0,0,0
2023-01-22,0,0,0
2023-01-23,32,0,0
2023-01-24,48,4,0
2023-01-25,45,0,0
2023-01-26,31,1,0
2023-01-27,30,0,0
2023-01-28,1,0,0
2023-01-29,1,1,0
2023-01-30,38,5,0
2023-01-31,28,0,0
2023-02-01,29,12,0
2023-02-02,23,6,0
2023-02-03,22,7,0
2023-02-04,1,0,0
2023-02-05,0,0,0
2023-02-06,32,10,0
2023-02-07,27,6,0
2023-02-08,22,2,0
2023-02-09,19,8,0
2023-02-10,8,7,0
2023-02-11,2,0,0
2023-02-12,0,0,0
2023-02-13,25,3,0
2023-02-14,20,2,0
2023-02-15,24,13,0
2023-02-16,17,6,0
2023-02-17,15,12,0
2023-02-18,1,1,0
2023-02-19,0,0,0
2023-02-20,12,35,0
2023-02-21,23,5,0
2023-02-22,17,0,0
2023-02-23,20,7,0
2023-02-24,18,22,0
2023-02-25,3,1,0
2023-02-26,1,0,0
2023-02-27,54,8,0
2023-02-28,34,10,0
2023-03-01,24,20,0
2023-03-02,17,8,0
2023-03-03,37,1,0
2023-03-04,1,0,0
2023-03-05,1,0,0
2023-03-06,38,26,0
2023-03-07,31,9,0
2023-03-08,20,13,0
2023-03-09,24,30,0
2023-03-10,34,31,0
2023-03-11,8,2,0
2023-03-12,1,0,0
2023-03-13,46,24,0
2023-03-14,35,8,0
2023-03-15,11,18,0
2023-03-16,18,0,0
2023-03-17,18,6,0
2023-03-18,2,0,0
2023-03-19,1,0,0
2023-03-20,36,0,0
2023-03-21,50,11,0
2023-03-22,26,1,0
2023-03-23,24,0,0
2023-03-24,16,1,0
2023-03-25,4,0,2
2023-03-26,0,0,0
2023-03-27,21,0,0
2023-03-28,25,4,0
2023-03-29,22,9,0
2023-03-30,19,0,0
2023-03-31,25,6,0
2023-04-01,1,0,2
2023-04-02,1,0,0
2023-04-03,23,3,0
2023-04-04,10,0,0
2023-04-05,4,0,0
2023-04-06,2,0,0
2023-04-07,6,1,0
2023-04-08,0,1,0
2023-04-09,0,0,0
2023-04-10,0,5,0
2023-04-11,39,0,0
2023-04-12,21,3,0
2023-04-13,24,2,0
2023-04-14,9,9,0
2023-04-15,2,3,0
2023-04-16,10,1,0
2023-04-17,40,11,0
2023-04-18,50,1,0
2023-04-19,43,0,0
2023-04-20,22,1,0
2023-04-21,26,3,0
2023-04-22,6,0,0
2023-04-23,6,0,0
2023-04-24,54,3,0
2023-04-25,35,5,0
2023-04-26,24,9,0
2023-04-27,13,11,0
2023-04-28,15,1,0
2023-04-29,1,0,0
2023-04-30,0,0,0
2023-05-01,1,3,0
2023-05-02,29,13,0
2023-05-03,15,2,0
2023-05-04,10,0,0
2023-05-05,6,3,0
2023-05-06,0,0,0
2023-05-07,1,0,0
2023-05-08,17,7,0
2023-05-09,28,1,0
2023-05-10,23,4,0
2023-05-11,18,5,0
2023-05-12,16,31,0
2023-05-13,1,2,0
2023-05-14,2,4,0
2023-05-15,19,4,0
2023-05-16,28,0,0
2023-05-17,12,8,0
2023-05-18,7,5,0
2023-05-19,7,6,0
2023-05-20,0,0,0
2023-05-21,0,0,0
2023-05-22,58,0,0
2023-05-23,37,2,0
2023-05-24,52,4,0
2023-05-25,15,1,0
2023-05-26,38,1,0
