,apache/echarts,plotly/plotly.js,highcharts/highcharts
2017-06-30,1.0,21,0
2017-07-01,0.0,0,0
2017-07-02,2.0,0,0
2017-07-03,0.0,2,1
2017-07-04,0.0,0,0
2017-07-05,1.0,5,0
2017-07-06,3.0,9,0
2017-07-07,0.0,11,0
2017-07-08,0.0,0,0
2017-07-09,0.0,0,0
2017-07-10,1.0,8,0
2017-07-11,1.0,7,0
2017-07-12,1.0,3,0
2017-07-13,0.0,17,9
2017-07-14,1.0,6,0
2017-07-15,1.0,0,0
2017-07-16,1.0,0,0
2017-07-17,0.0,8,13
2017-07-18,2.0,16,10
2017-07-19,0.0,15,2
2017-07-20,3.0,2,0
2017-07-21,0.0,5,0
2017-07-22,1.0,0,0
2017-07-23,1.0,0,0
2017-07-24,0.0,3,3
2017-07-25,3.0,13,6
2017-07-26,8.0,9,0
2017-07-27,0.0,6,10
2017-07-28,0.0,3,10
2017-07-29,0.0,0,0
2017-07-30,2.0,0,0
2017-07-31,0.0,0,6
2017-08-01,1.0,8,8
2017-08-02,1.0,8,12
2017-08-03,2.0,3,13
2017-08-04,0.0,10,11
2017-08-05,0.0,13,1
2017-08-06,0.0,0,0
2017-08-07,2.0,9,13
2017-08-08,4.0,8,13
2017-08-09,0.0,0,5
2017-08-10,4.0,5,9
2017-08-11,4.0,2,4
2017-08-12,4.0,0,0
2017-08-13,0.0,0,0
2017-08-14,4.0,16,9
2017-08-15,7.0,11,1
2017-08-16,2.0,3,13
2017-08-17,0.0,0,8
2017-08-18,2.0,0,9
2017-08-19,0.0,0,0
2017-08-20,4.0,0,0
2017-08-21,6.0,2,16
2017-08-22,7.0,1,7
2017-08-23,5.0,2,14
2017-08-24,6.0,2,7
2017-08-25,1.0,1,18
2017-08-26,0.0,0,0
2017-08-27,0.0,0,0
2017-08-28,0.0,2,15
2017-08-29,5.0,0,17
2017-08-30,2.0,2,25
2017-08-31,6.0,1,31
2017-09-01,2.0,3,16
2017-09-02,0.0,0,0
2017-09-03,0.0,0,0
2017-09-04,1.0,0,13
2017-09-05,0.0,7,15
2017-09-06,5.0,5,11
2017-09-07,0.0,1,2
2017-09-08,8.0,1,4
2017-09-09,0.0,0,0
2017-09-10,0.0,0,0
2017-09-11,2.0,1,11
2017-09-12,0.0,2,15
2017-09-13,2.0,25,21
2017-09-14,2.0,3,21
2017-09-15,6.0,6,14
2017-09-16,0.0,0,4
2017-09-17,0.0,0,0
2017-09-18,0.0,3,13
2017-09-19,0.0,15,9
2017-09-20,0.0,23,15
2017-09-21,0.0,4,4
2017-09-22,1.0,28,5
2017-09-23,0.0,0,0
2017-09-24,0.0,0,0
2017-09-25,5.0,9,9
2017-09-26,5.0,2,25
2017-09-27,4.0,10,14
2017-09-28,3.0,15,36
2017-09-29,0.0,3,41
2017-09-30,0.0,5,16
2017-10-01,0.0,0,3
2017-10-02,0.0,8,42
2017-10-03,0.0,20,19
2017-10-04,0.0,23,24
2017-10-05,0.0,27,13
2017-10-06,0.0,19,9
2017-10-07,0.0,0,11
2017-10-08,0.0,0,3
2017-10-09,2.0,12,0
2017-10-10,2.0,9,3
2017-10-11,5.0,0,1
2017-10-12,13.0,5,7
