,etcd-io/etcd,apache/zookeeper,hashicorp/consul
2021-12-04,0,0,17
2021-12-05,0,1,0
2021-12-06,0,0,18
2021-12-07,0,0,14
2021-12-08,0,0,18
2021-12-09,1,0,12
2021-12-10,0,0,12
2021-12-11,0,0,1
2021-12-12,0,0,0
2021-12-13,0,0,14
2021-12-14,0,0,33
2021-12-15,3,0,22
2021-12-16,2,0,4
2021-12-17,2,0,14
2021-12-18,1,1,0
2021-12-19,0,0,0
2021-12-20,0,0,4
2021-12-21,7,0,15
2021-12-22,1,0,11
2021-12-23,1,0,0
2021-12-24,1,0,2
2021-12-25,0,0,0
2021-12-26,0,1,0
2021-12-27,2,0,2
2021-12-28,0,0,1
2021-12-29,3,0,0
2021-12-30,0,0,0
2021-12-31,2,0,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,0,0,13
2022-01-04,3,1,12
2022-01-05,0,0,14
2022-01-06,1,0,22
2022-01-07,0,0,8
2022-01-08,0,3,1
2022-01-09,0,0,0
2022-01-10,1,0,40
2022-01-11,0,0,45
2022-01-12,10,0,31
2022-01-13,4,0,13
2022-01-14,8,0,14
2022-01-15,7,0,5
2022-01-16,7,0,0
2022-01-17,11,0,6
2022-01-18,1,0,17
2022-01-19,6,0,13
2022-01-20,11,0,19
2022-01-21,4,0,11
2022-01-22,3,1,6
2022-01-23,0,0,0
2022-01-24,7,0,15
2022-01-25,2,1,4
2022-01-26,10,0,32
2022-01-27,5,3,39
2022-01-28,12,1,7
2022-01-29,0,0,2
2022-01-30,1,0,0
2022-01-31,0,1,9
2022-02-01,5,1,18
2022-02-02,3,1,9
2022-02-03,0,2,27
2022-02-04,0,1,19
2022-02-05,0,0,0
2022-02-06,0,0,0
2022-02-07,1,0,12
2022-02-08,1,0,8
2022-02-09,0,0,5
2022-02-10,1,0,8
2022-02-11,5,1,13
2022-02-12,0,0,0
2022-02-13,3,0,0
2022-02-14,13,1,9
2022-02-15,2,1,12
2022-02-16,2,0,5
2022-02-17,0,1,19
2022-02-18,2,0,12
2022-02-19,0,0,0
2022-02-20,2,0,1
2022-02-21,15,0,3
2022-02-22,9,0,22
2022-02-23,3,0,21
2022-02-24,6,0,20
2022-02-25,5,1,14
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,4,1,5
2022-03-01,12,2,12
2022-03-02,3,0,7
2022-03-03,1,0,9
2022-03-04,0,1,7
2022-03-05,0,0,0
2022-03-06,0,0,0
2022-03-07,3,0,8
2022-03-08,5,1,2
2022-03-09,5,0,7
2022-03-10,1,0,2
2022-03-11,4,0,10
2022-03-12,1,1,0
2022-03-13,0,0,0
2022-03-14,3,0,2
2022-03-15,5,0,12
2022-03-16,3,0,6
2022-03-17,4,0,3
2022-03-18,16,0,9
2022-03-19,5,0,1
