,spring-projects/spring-boot,dropwizard/dropwizard,apache/tomee
2020-11-21,0,0,0
2020-11-22,0,0,0
2020-11-23,4,0,0
2020-11-24,0,0,0
2020-11-25,10,0,1
2020-11-26,3,4,2
2020-11-27,2,0,0
2020-11-28,0,0,1
2020-11-29,0,0,0
2020-11-30,8,0,0
2020-12-01,1,0,5
2020-12-02,4,0,5
2020-12-03,2,0,5
2020-12-04,8,0,0
2020-12-05,14,0,0
2020-12-06,0,0,0
2020-12-07,44,0,1
2020-12-08,36,1,7
2020-12-09,44,1,8
2020-12-10,60,1,5
2020-12-11,27,0,8
2020-12-12,0,1,0
2020-12-13,0,0,0
2020-12-14,15,0,1
2020-12-15,24,1,8
2020-12-16,26,0,3
2020-12-17,6,0,0
2020-12-18,20,0,3
2020-12-19,10,0,0
2020-12-20,0,4,0
2020-12-21,26,0,1
2020-12-22,19,0,0
2020-12-23,17,0,5
2020-12-24,2,0,0
2020-12-25,0,0,0
2020-12-26,0,3,0
2020-12-27,0,3,0
2020-12-28,0,1,0
2020-12-29,0,0,0
2020-12-30,0,0,0
2020-12-31,0,1,0
2021-01-01,4,1,0
2021-01-02,0,2,0
2021-01-03,4,0,0
2021-01-04,7,1,1
2021-01-05,17,0,1
2021-01-06,23,1,0
2021-01-07,27,0,0
2021-01-08,13,0,1
2021-01-09,0,6,5
2021-01-10,1,0,0
2021-01-11,39,1,3
2021-01-12,64,1,2
2021-01-13,21,0,5
2021-01-14,37,0,3
2021-01-15,26,0,1
2021-01-16,0,0,1
2021-01-17,3,0,0
2021-01-18,20,2,3
2021-01-19,10,0,0
2021-01-20,54,0,1
2021-01-21,22,0,0
2021-01-22,13,0,4
2021-01-23,1,0,1
2021-01-24,0,2,1
2021-01-25,0,1,6
2021-01-26,13,1,0
2021-01-27,12,0,0
2021-01-28,19,1,2
2021-01-29,21,0,0
2021-01-30,4,0,0
2021-01-31,9,0,1
2021-02-01,6,4,3
2021-02-02,18,0,5
2021-02-03,2,0,0
2021-02-04,10,0,0
2021-02-05,3,0,1
2021-02-06,0,4,0
2021-02-07,0,1,0
2021-02-08,0,0,0
2021-02-09,28,0,0
2021-02-10,36,0,0
2021-02-11,13,0,0
2021-02-12,74,1,2
2021-02-13,0,0,0
2021-02-14,6,0,0
2021-02-15,31,0,0
2021-02-16,38,0,0
2021-02-17,54,0,0
2021-02-18,38,0,0
2021-02-19,8,0,0
2021-02-20,0,0,0
2021-02-21,0,0,0
2021-02-22,13,0,0
2021-02-23,5,0,1
2021-02-24,9,1,0
2021-02-25,29,0,0
2021-02-26,13,0,0
2021-02-27,6,4,2
2021-02-28,0,2,0
2021-03-01,19,0,1
2021-03-02,0,0,1
2021-03-03,13,0,0
2021-03-04,12,0,5
2021-03-05,35,0,2
2021-03-06,7,0,0
2021-03-07,0,4,0
2021-03-08,6,0,8
2021-03-09,17,1,3
2021-03-10,23,0,0
2021-03-11,21,1,2
2021-03-12,4,0,6
2021-03-13,4,0,3
2021-03-14,3,1,2
2021-03-15,31,0,1
2021-03-16,70,0,2
2021-03-17,43,5,0
2021-03-18,16,1,1
2021-03-19,9,0,0
2021-03-20,0,1,1
2021-03-21,0,2,0
2021-03-22,8,0,1
2021-03-23,22,0,3
2021-03-24,23,0,1
2021-03-25,3,0,2
2021-03-26,8,0,2
2021-03-27,4,0,1
2021-03-28,0,0,3
2021-03-29,20,0,0
2021-03-30,20,0,0
2021-03-31,8,0,0
2021-04-01,20,0,0
2021-04-02,0,0,4
2021-04-03,0,1,13
2021-04-04,4,0,1
2021-04-05,4,1,3
2021-04-06,20,0,2
2021-04-07,25,0,8
2021-04-08,24,0,2
2021-04-09,78,0,0
2021-04-10,11,2,1
2021-04-11,1,0,0
2021-04-12,37,0,1
2021-04-13,65,0,2
2021-04-14,54,0,1
2021-04-15,33,0,0
2021-04-16,10,0,2
2021-04-17,0,0,2
2021-04-18,0,0,4
2021-04-19,17,0,1
2021-04-20,22,0,6
2021-04-21,8,0,7
2021-04-22,16,0,7
2021-04-23,1,0,0
2021-04-24,3,2,2
2021-04-25,1,4,3
2021-04-26,7,0,6
2021-04-27,23,0,3
2021-04-28,28,0,1
2021-04-29,23,0,2
2021-04-30,26,1,6
2021-05-01,3,0,2
2021-05-02,0,0,5
2021-05-03,2,0,14
2021-05-04,16,1,0
2021-05-05,3,1,0
2021-05-06,10,1,0
2021-05-07,13,0,0
2021-05-08,0,0,0
2021-05-09,0,0,0
2021-05-10,20,1,1
2021-05-11,30,0,1
2021-05-12,21,0,3
2021-05-13,8,0,0
2021-05-14,12,1,0
2021-05-15,8,0,0
2021-05-16,5,0,0
2021-05-17,130,0,0
2021-05-18,24,2,0
2021-05-19,44,2,4
2021-05-20,17,4,1
2021-05-21,1,1,1
2021-05-22,0,0,0
2021-05-23,2,1,0
2021-05-24,6,2,0
2021-05-25,11,0,0
2021-05-26,16,0,2
2021-05-27,10,0,0
2021-05-28,10,0,3
2021-05-29,0,1,0
2021-05-30,0,0,0
2021-05-31,4,0,0
2021-06-01,4,2,0
2021-06-02,11,0,0
2021-06-03,7,2,1
2021-06-04,14,1,0
2021-06-05,5,0,0
2021-06-06,11,3,0
2021-06-07,13,0,5
2021-06-08,24,0,3
2021-06-09,43,1,1
2021-06-10,23,1,5
2021-06-11,24,3,1
2021-06-12,15,1,0
2021-06-13,0,0,0
2021-06-14,38,0,0
2021-06-15,15,2,0
2021-06-16,21,5,4
2021-06-17,18,2,3
2021-06-18,9,0,0
2021-06-19,2,0,0
2021-06-20,0,6,0
2021-06-21,29,3,0
2021-06-22,41,2,0
2021-06-23,32,1,2
2021-06-24,78,0,2
2021-06-25,6,0,2
2021-06-26,0,0,5
2021-06-27,0,0,0
2021-06-28,3,0,0
2021-06-29,13,0,1
2021-06-30,0,0,2
2021-07-01,7,0,0
2021-07-02,3,0,0
2021-07-03,0,0,0
2021-07-04,0,0,0
2021-07-05,0,0,0
2021-07-06,5,1,0
2021-07-07,2,0,8
2021-07-08,38,1,1
2021-07-09,32,0,0
2021-07-10,10,1,0
2021-07-11,11,3,0
2021-07-12,45,0,0
2021-07-13,41,0,0
2021-07-14,25,0,0
2021-07-15,40,0,1
2021-07-16,22,0,1
2021-07-17,0,0,0
2021-07-18,0,1,0
2021-07-19,53,0,0
2021-07-20,17,0,0
2021-07-21,13,0,0
2021-07-22,37,0,0
2021-07-23,18,1,0
2021-07-24,4,0,0
2021-07-25,0,0,0
2021-07-26,27,2,0
2021-07-27,10,0,0
2021-07-28,0,1,0
2021-07-29,19,2,0
2021-07-30,4,0,0
2021-07-31,0,1,0
2021-08-01,0,0,0
2021-08-02,4,0,0
2021-08-03,1,0,0
2021-08-04,8,0,2
2021-08-05,21,0,0
2021-08-06,4,0,0
2021-08-07,3,0,0
2021-08-08,0,0,0
2021-08-09,15,0,0
2021-08-10,23,1,0
2021-08-11,6,3,0
2021-08-12,32,0,0
2021-08-13,9,2,0
2021-08-14,0,0,0
2021-08-15,0,1,0
2021-08-16,34,1,0
2021-08-17,41,0,0
2021-08-18,35,0,0
2021-08-19,14,0,0
2021-08-20,11,1,0
2021-08-21,0,0,0
2021-08-22,0,1,0
2021-08-23,18,0,0
2021-08-24,2,0,0
2021-08-25,6,0,0
2021-08-26,0,0,1
2021-08-27,0,0,0
2021-08-28,5,4,0
2021-08-29,0,0,0
2021-08-30,0,0,0
2021-08-31,1,0,6
2021-09-01,0,5,0
2021-09-02,5,0,0
2021-09-03,0,0,0
2021-09-04,0,0,0
2021-09-05,18,0,0
2021-09-06,12,0,0
2021-09-07,6,0,1
2021-09-08,6,2,0
2021-09-09,29,0,0
2021-09-10,17,0,0
2021-09-11,2,0,0
2021-09-12,4,4,0
2021-09-13,28,12,0
2021-09-14,28,14,4
2021-09-15,34,2,5
2021-09-16,36,2,0
2021-09-17,13,0,0
2021-09-18,0,0,0
2021-09-19,0,2,0
2021-09-20,17,0,3
2021-09-21,45,0,2
2021-09-22,28,0,5
2021-09-23,22,4,0
2021-09-24,2,15,1
2021-09-25,0,1,0
2021-09-26,3,3,0
2021-09-27,0,0,3
2021-09-28,4,0,0
2021-09-29,0,0,0
2021-09-30,6,1,1
2021-10-01,21,0,1
2021-10-02,0,1,0
2021-10-03,3,0,1
2021-10-04,3,1,2
2021-10-05,24,1,2
2021-10-06,8,0,0
2021-10-07,20,0,2
2021-10-08,28,4,1
2021-10-09,0,0,0
2021-10-10,0,0,0
2021-10-11,25,0,0
2021-10-12,14,2,0
2021-10-13,13,0,0
2021-10-14,60,0,1
2021-10-15,21,0,0
2021-10-16,0,0,0
2021-10-17,0,26,0
2021-10-18,28,5,0
2021-10-19,46,4,1
2021-10-20,19,0,1
2021-10-21,53,0,0
