,ruby/ruby,python/cpython,php/php-src
2008-03-05,10,18,28
2008-03-06,17,23,6
2008-03-07,7,6,40
2008-03-08,4,13,51
2008-03-09,5,3,19
2008-03-10,4,2,34
2008-03-11,8,4,28
2008-03-12,7,1,41
2008-03-13,8,20,16
2008-03-14,11,10,17
2008-03-15,1,9,5
2008-03-16,4,11,14
2008-03-17,6,29,36
2008-03-18,1,80,32
2008-03-19,13,48,49
2008-03-20,7,27,30
2008-03-21,6,24,30
2008-03-22,2,25,27
2008-03-23,0,21,18
2008-03-24,3,23,21
2008-03-25,7,33,20
2008-03-26,2,33,16
2008-03-27,1,17,16
2008-03-28,3,32,10
2008-03-29,4,24,4
2008-03-30,6,20,9
2008-03-31,10,16,9
2008-04-01,9,12,12
2008-04-02,3,19,9
2008-04-03,11,14,7
2008-04-04,3,19,15
2008-04-05,2,20,4
2008-04-06,5,10,6
2008-04-07,8,22,23
2008-04-08,6,11,18
2008-04-09,2,22,20
2008-04-10,13,16,20
2008-04-11,9,5,36
2008-04-12,3,9,3
2008-04-13,3,26,17
2008-04-14,12,10,48
2008-04-15,11,10,36
2008-04-16,1,2,31
2008-04-17,6,4,12
2008-04-18,2,10,11
2008-04-19,2,21,14
2008-04-20,16,10,25
2008-04-21,8,20,25
2008-04-22,23,9,22
2008-04-23,4,2,28
2008-04-24,8,16,29
2008-04-25,9,11,14
2008-04-26,14,5,22
2008-04-27,7,16,13
2008-04-28,12,9,18
2008-04-29,1,4,25
2008-04-30,11,17,26
2008-05-01,14,4,13
2008-05-02,12,13,19
2008-05-03,4,16,19
2008-05-04,6,17,16
2008-05-05,12,18,14
2008-05-06,3,27,22
2008-05-07,13,9,35
2008-05-08,17,50,21
2008-05-09,2,39,24
2008-05-10,6,41,4
2008-05-11,13,72,25
2008-05-12,24,51,35
2008-05-13,8,12,14
2008-05-14,8,27,16
2008-05-15,7,54,11
2008-05-16,3,49,13
2008-05-17,8,34,12
2008-05-18,2,21,21
2008-05-19,14,4,21
2008-05-20,13,29,20
2008-05-21,10,6,20
2008-05-22,21,5,6
2008-05-23,7,21,12
2008-05-24,10,7,24
2008-05-25,7,38,11
2008-05-26,6,65,9
2008-05-27,16,9,33
2008-05-28,12,7,7
2008-05-29,14,20,13
2008-05-30,10,18,13
2008-05-31,10,10,11
2008-06-01,9,29,22
2008-06-02,13,13,23
2008-06-03,14,7,16
2008-06-04,10,14,13
2008-06-05,14,13,15
2008-06-06,7,19,8
2008-06-07,5,11,19
2008-06-08,10,10,6
2008-06-09,22,8,13
2008-06-10,20,38,11
2008-06-11,8,56,29
2008-06-12,8,36,27
2008-06-13,12,42,24
2008-06-14,3,18,5
2008-06-15,8,6,10
2008-06-16,11,13,8
2008-06-17,14,23,5
2008-06-18,20,18,17
2008-06-19,25,19,20
2008-06-20,12,16,20
2008-06-21,27,13,18
2008-06-22,3,13,38
2008-06-23,5,7,24
2008-06-24,9,15,29
2008-06-25,7,9,18
2008-06-26,8,8,6
2008-06-27,13,16,24
2008-06-28,9,15,14
2008-06-29,16,5,11
2008-06-30,19,8,13
2008-07-01,27,26,38
2008-07-02,12,29,19
2008-07-03,14,7,18
2008-07-04,10,7,11
2008-07-05,12,18,27
2008-07-06,7,10,38
2008-07-07,6,12,46
2008-07-08,12,4,38
2008-07-09,12,0,27
2008-07-10,13,10,13
2008-07-11,8,15,39
2008-07-12,10,6,18
2008-07-13,3,26,32
2008-07-14,6,10,39
2008-07-15,11,25,41
2008-07-16,6,54,42
2008-07-17,7,22,26
2008-07-18,9,28,26
2008-07-19,3,21,20
2008-07-20,5,11,27
2008-07-21,10,10,62
2008-07-22,20,11,51
2008-07-23,10,14,67
2008-07-24,7,12,76
2008-07-25,13,17,58
2008-07-26,3,10,36
2008-07-27,9,5,23
2008-07-28,15,5,39
2008-07-29,7,7,41
2008-07-30,15,14,37
2008-07-31,15,20,56
2008-08-01,13,22,42
2008-08-02,3,25,24
2008-08-03,3,27,32
2008-08-04,9,46,29
2008-08-05,18,5,35
2008-08-06,22,7,36
2008-08-07,14,6,44
2008-08-08,19,13,31
2008-08-09,12,15,10
2008-08-10,13,4,35
2008-08-11,20,8,57
2008-08-12,38,13,31
2008-08-13,46,1,27
2008-08-14,34,25,66
2008-08-15,18,10,33
2008-08-16,10,21,11
2008-08-17,13,42,23
2008-08-18,19,53,54
2008-08-19,14,38,14
2008-08-20,28,31,20
2008-08-21,20,12,44
2008-08-22,15,14,19
2008-08-23,18,13,19
2008-08-24,28,16,19
2008-08-25,28,8,24
2008-08-26,17,7,33
2008-08-27,10,5,9
2008-08-28,29,4,11
2008-08-29,17,5,55
2008-08-30,24,14,23
2008-08-31,37,12,45
2008-09-01,35,27,24
2008-09-02,19,30,16
2008-09-03,33,26,7
2008-09-04,33,22,7
2008-09-05,26,16,1
2008-09-06,35,24,13
2008-09-07,22,17,22
2008-09-08,19,19,19
2008-09-09,15,24,7
2008-09-10,12,20,32
2008-09-11,7,10,38
2008-09-12,18,5,25
2008-09-13,15,32,23
2008-09-14,13,4,14
2008-09-15,19,9,28
2008-09-16,19,6,19
2008-09-17,7,8,9
2008-09-18,19,14,16
2008-09-19,8,8,6
2008-09-20,6,1,6
2008-09-21,10,23,6
2008-09-22,10,13,15
2008-09-23,40,9,9
2008-09-24,22,8,3
2008-09-25,24,9,3
2008-09-26,31,9,14
2008-09-27,2,12,2
2008-09-28,15,12,5
2008-09-29,14,11,10
2008-09-30,18,16,14
2008-10-01,7,7,23
2008-10-02,4,27,12
2008-10-03,5,19,9
2008-10-04,13,20,8
2008-10-05,10,4,12
2008-10-06,7,13,19
2008-10-07,5,17,11
2008-10-08,11,11,5
2008-10-09,16,5,13
2008-10-10,17,8,30
2008-10-11,4,3,15
2008-10-12,7,1,31
2008-10-13,4,4,12
2008-10-14,14,4,16
2008-10-15,11,10,8
2008-10-16,17,21,28
2008-10-17,13,12,19
2008-10-18,18,3,2
2008-10-19,7,6,19
2008-10-20,12,3,21
2008-10-21,17,9,22
2008-10-22,10,4,13
2008-10-23,8,6,17
2008-10-24,29,5,19
2008-10-25,11,8,1
2008-10-26,14,4,23
2008-10-27,13,0,23
2008-10-28,28,1,11
2008-10-29,24,5,21
2008-10-30,8,20,22
2008-10-31,11,5,9
2008-11-01,0,0,10
2008-11-02,6,0,21
2008-11-03,7,10,40
2008-11-04,2,8,40
2008-11-05,0,8,20
2008-11-06,11,13,43
2008-11-07,15,17,15
2008-11-08,15,15,24
2008-11-09,0,3,14
2008-11-10,8,3,51
2008-11-11,13,5,27
2008-11-12,1,7,20
2008-11-13,1,0,30
2008-11-14,2,2,7
2008-11-15,2,3,3
2008-11-16,1,8,13
2008-11-17,2,10,19
2008-11-18,14,7,21
2008-11-19,7,18,19
2008-11-20,0,12,29
2008-11-21,8,15,34
2008-11-22,6,21,28
2008-11-23,3,11,8
2008-11-24,12,9,23
2008-11-25,8,13,13
2008-11-26,4,9,24
2008-11-27,11,8,34
2008-11-28,6,18,27
2008-11-29,5,4,21
2008-11-30,3,16,17
2008-12-01,5,6,27
2008-12-02,12,14,25
2008-12-03,17,19,40
2008-12-04,29,20,12
2008-12-05,13,53,28
2008-12-06,5,15,10
2008-12-07,8,19,10
2008-12-08,11,6,24
2008-12-09,13,4,53
2008-12-10,12,8,14
2008-12-11,18,13,32
2008-12-12,20,7,23
2008-12-13,16,18,15
2008-12-14,9,13,7
2008-12-15,25,21,12
2008-12-16,20,4,10
2008-12-17,13,7,34
2008-12-18,7,7,24
2008-12-19,3,11,6
2008-12-20,4,12,4
2008-12-21,9,10,1
2008-12-22,20,6,12
2008-12-23,26,12,3
2008-12-24,14,4,21
2008-12-25,17,0,19
2008-12-26,8,1,9
2008-12-27,23,41,37
2008-12-28,18,19,4
2008-12-29,26,19,5
2008-12-30,8,13,31
2008-12-31,15,14,57
2009-01-01,29,28,14
2009-01-02,16,37,36
2009-01-03,8,55,34
2009-01-04,15,33,15
2009-01-05,13,6,23
2009-01-06,2,5,22
2009-01-07,14,6,47
2009-01-08,6,9,46
2009-01-09,6,34,30
2009-01-10,9,39,17
2009-01-11,4,14,20
2009-01-12,23,15,40
2009-01-13,16,28,35
2009-01-14,11,9,28
2009-01-15,25,12,13
2009-01-16,14,5,30
2009-01-17,22,21,28
2009-01-18,5,38,24
2009-01-19,23,24,42
2009-01-20,9,33,40
2009-01-21,11,12,29
2009-01-22,12,16,39
2009-01-23,7,8,31
2009-01-24,2,23,16
2009-01-25,9,28,35
2009-01-26,8,25,21
2009-01-27,11,37,16
2009-01-28,5,16,24
2009-01-29,10,27,8
2009-01-30,11,9,12
2009-01-31,14,23,7
2009-02-01,8,24,21
2009-02-02,43,25,21
2009-02-03,23,23,14
2009-02-04,26,9,7
2009-02-05,15,35,11
2009-02-06,18,45,13
2009-02-07,7,28,1
2009-02-08,29,24,6
2009-02-09,22,17,25
2009-02-10,15,24,13
2009-02-11,26,8,22
2009-02-12,19,25,13
2009-02-13,17,40,23
2009-02-14,14,13,17
2009-02-15,11,9,28
2009-02-16,10,28,20
2009-02-17,15,18,31
2009-02-18,24,11,21
2009-02-19,15,28,5
2009-02-20,2,16,9
2009-02-21,11,18,7
2009-02-22,27,17,3
2009-02-23,16,17,9
2009-02-24,23,13,7
2009-02-25,11,17,4
2009-02-26,10,17,1
2009-02-27,19,18,1
2009-02-28,5,20,1
2009-03-01,19,3,17
2009-03-02,14,23,6
2009-03-03,17,32,12
2009-03-04,10,25,2
2009-03-05,11,18,5
2009-03-06,18,6,3
2009-03-07,16,18,5
2009-03-08,8,6,11
2009-03-09,13,25,22
2009-03-10,13,17,6
2009-03-11,22,6,12
2009-03-12,12,10,15
2009-03-13,14,7,11
2009-03-14,20,9,7
2009-03-15,8,21,12
2009-03-16,5,2,30
2009-03-17,14,9,47
2009-03-18,5,18,49
2009-03-19,5,10,25
2009-03-20,12,11,17
2009-03-21,3,11,1
2009-03-22,2,13,5
2009-03-23,7,26,15
2009-03-24,6,20,19
2009-03-25,0,11,25
2009-03-26,7,26,22
2009-03-27,4,7,15
2009-03-28,3,17,12
2009-03-29,2,30,13
2009-03-30,4,69,28
2009-03-31,3,122,16
2009-04-01,9,64,21
2009-04-02,1,55,16
2009-04-03,3,29,7
2009-04-04,1,65,7
2009-04-05,2,65,2
2009-04-06,11,13,30
2009-04-07,3,33,24
2009-04-08,8,17,29
2009-04-09,5,17,14
2009-04-10,2,26,10
2009-04-11,1,29,8
2009-04-12,1,29,4
2009-04-13,3,28,10
2009-04-14,1,7,7
2009-04-15,2,9,10
2009-04-16,7,19,29
2009-04-17,0,16,1
2009-04-18,7,33,3
2009-04-19,2,15,16
2009-04-20,6,19,24
2009-04-21,14,8,13
2009-04-22,9,18,7
2009-04-23,2,8,18
2009-04-24,0,28,19
2009-04-25,13,66,62
2009-04-26,16,38,9
2009-04-27,2,56,22
2009-04-28,1,26,24
2009-04-29,2,34,11
2009-04-30,7,9,30
2009-05-01,3,22,21
2009-05-02,4,32,25
2009-05-03,0,25,23
2009-05-04,0,30,45
2009-05-05,6,56,29
2009-05-06,3,37,10
2009-05-07,10,28,29
2009-05-08,4,29,15
2009-05-09,9,27,23
2009-05-10,8,27,33
2009-05-11,4,10,30
2009-05-12,6,19,17
2009-05-13,3,15,15
2009-05-14,4,32,53
2009-05-15,5,14,17
2009-05-16,22,21,31
2009-05-17,12,46,18
2009-05-18,4,16,32
2009-05-19,6,11,58
2009-05-20,10,17,32
2009-05-21,8,1,15
2009-05-22,7,20,20
2009-05-23,6,36,29
2009-05-24,8,24,6
2009-05-25,7,20,22
2009-05-26,6,19,58
2009-05-27,10,17,40
2009-05-28,0,23,51
2009-05-29,4,28,49
2009-05-30,0,21,11
2009-05-31,4,14,20
2009-06-01,3,28,20
2009-06-02,4,14,10
2009-06-03,4,24,18
2009-06-04,3,30,28
2009-06-05,0,10,16
2009-06-06,0,7,3
2009-06-07,4,14,16
2009-06-08,2,24,26
2009-06-09,6,16,27
2009-06-10,1,9,19
2009-06-11,5,36,41
2009-06-12,5,16,23
2009-06-13,11,17,9
2009-06-14,4,11,17
2009-06-15,7,3,35
2009-06-16,16,16,38
2009-06-17,11,10,38
2009-06-18,9,6,24
2009-06-19,15,7,5
2009-06-20,5,2,5
2009-06-21,4,8,28
2009-06-22,14,6,23
2009-06-23,8,20,37
2009-06-24,9,8,23
2009-06-25,5,11,26
2009-06-26,9,9,18
2009-06-27,6,19,6
2009-06-28,11,63,34
2009-06-29,17,33,16
2009-06-30,13,19,22
2009-07-01,11,27,33
2009-07-02,6,29,21
2009-07-03,9,24,22
2009-07-04,4,21,3
2009-07-05,7,15,7
2009-07-06,6,4,25
2009-07-07,14,26,37
2009-07-08,7,5,17
2009-07-09,7,22,7
2009-07-10,17,11,0
2009-07-11,3,28,6
2009-07-12,9,17,7
2009-07-13,19,14,27
2009-07-14,7,1,12
2009-07-15,9,12,27
2009-07-16,18,10,26
2009-07-17,19,41,44
2009-07-18,10,13,19
2009-07-19,7,18,52
2009-07-20,7,19,32
2009-07-21,14,25,20
2009-07-22,16,32,12
2009-07-23,5,8,26
2009-07-24,4,4,30
2009-07-25,8,6,52
2009-07-26,4,15,57
2009-07-27,5,12,13
2009-07-28,8,17,33
2009-07-29,0,17,33
2009-07-30,19,8,19
2009-07-31,8,1,4
2009-08-01,5,2,33
2009-08-02,7,16,23
2009-08-03,15,2,44
2009-08-04,9,18,37
2009-08-05,13,2,14
2009-08-06,19,16,28
2009-08-07,1,0,16
2009-08-08,6,0,7
2009-08-09,5,0,15
2009-08-10,4,0,10
2009-08-11,10,0,29
2009-08-12,11,4,8
2009-08-13,13,60,8
2009-08-14,5,9,5
2009-08-15,6,13,5
2009-08-16,20,14,3
2009-08-17,6,12,34
2009-08-18,8,19,15
2009-08-19,7,1,6
2009-08-20,11,9,14
2009-08-21,11,7,2
2009-08-22,8,0,3
2009-08-23,2,1,0
2009-08-24,9,8,20
2009-08-25,10,0,17
2009-08-26,19,2,33
2009-08-27,6,10,18
2009-08-28,11,13,8
2009-08-29,7,6,5
2009-08-30,9,19,23
2009-08-31,3,8,16
2009-09-01,8,13,19
2009-09-02,5,5,10
2009-09-03,6,11,17
2009-09-04,6,23,10
2009-09-05,11,6,18
2009-09-06,11,26,9
2009-09-07,6,11,6
2009-09-08,10,14,8
2009-09-09,25,10,9
2009-09-10,13,0,15
2009-09-11,18,9,13
2009-09-12,22,9,0
2009-09-13,29,30,4
2009-09-14,13,7,10
2009-09-15,11,19,13
2009-09-16,19,43,13
2009-09-17,14,36,9
2009-09-18,15,49,10
2009-09-19,2,15,2
2009-09-20,4,29,0
2009-09-21,16,24,40
2009-09-22,13,23,40
2009-09-23,17,5,19
2009-09-24,8,9,25
2009-09-25,12,13,23
2009-09-26,17,12,9
2009-09-27,12,16,0
2009-09-28,15,21,15
2009-09-29,24,30,14
2009-09-30,3,6,20
2009-10-01,3,23,12
2009-10-02,22,6,9
