,sindresorhus/type-fest,definitelytyped/definitelytyped,microsoft/TypeScript
2019-05-13,0,58,11
2019-05-14,0,67,7
2019-05-15,3,34,7
2019-05-16,0,17,4
2019-05-17,0,14,5
2019-05-18,0,0,0
2019-05-19,0,1,0
2019-05-20,0,37,11
2019-05-21,0,16,13
2019-05-22,0,21,17
2019-05-23,0,2,15
2019-05-24,0,38,14
2019-05-25,0,1,0
2019-05-26,3,0,0
2019-05-27,0,1,1
2019-05-28,0,56,6
2019-05-29,0,0,5
2019-05-30,0,32,14
2019-05-31,0,19,33
2019-06-01,0,0,4
2019-06-02,0,0,3
2019-06-03,0,15,7
2019-06-04,0,30,6
2019-06-05,0,25,18
2019-06-06,0,14,22
2019-06-07,1,4,9
2019-06-08,0,12,2
2019-06-09,0,0,7
2019-06-10,0,12,3
2019-06-11,0,18,7
2019-06-12,0,22,6
2019-06-13,0,16,4
2019-06-14,2,14,32
2019-06-15,0,0,1
2019-06-16,0,27,0
2019-06-17,0,16,9
2019-06-18,0,8,8
2019-06-19,0,29,23
2019-06-20,0,9,20
2019-06-21,0,21,19
2019-06-22,0,4,6
2019-06-23,0,0,5
2019-06-24,0,31,8
2019-06-25,0,3,15
2019-06-26,0,43,19
2019-06-27,0,35,17
2019-06-28,0,33,18
2019-06-29,0,3,7
2019-06-30,0,0,8
2019-07-01,0,58,27
2019-07-02,0,18,7
2019-07-03,1,30,14
2019-07-04,0,0,2
2019-07-05,4,2,9
2019-07-06,0,0,0
2019-07-07,0,0,1
2019-07-08,0,41,15
2019-07-09,0,29,5
2019-07-10,0,41,11
2019-07-11,0,30,16
2019-07-12,0,9,17
2019-07-13,0,1,2
2019-07-14,0,0,0
2019-07-15,0,26,11
2019-07-16,0,25,14
2019-07-17,0,27,19
2019-07-18,0,18,11
2019-07-19,0,18,8
2019-07-20,0,0,6
2019-07-21,0,0,1
2019-07-22,0,44,5
2019-07-23,0,20,7
2019-07-24,0,17,5
2019-07-25,0,18,14
2019-07-26,1,14,9
2019-07-27,0,0,1
2019-07-28,0,0,3
2019-07-29,0,15,14
2019-07-30,0,20,9
2019-07-31,0,24,7
2019-08-01,0,25,10
2019-08-02,0,24,16
2019-08-03,5,0,5
2019-08-04,0,0,6
2019-08-05,0,46,9
2019-08-06,0,22,22
2019-08-07,0,23,10
2019-08-08,0,26,11
2019-08-09,0,19,37
2019-08-10,0,0,8
2019-08-11,0,1,0
2019-08-12,0,29,7
2019-08-13,0,20,7
2019-08-14,0,17,16
2019-08-15,0,27,22
2019-08-16,0,22,23
2019-08-17,0,3,4
2019-08-18,0,0,2
2019-08-19,0,65,14
2019-08-20,0,26,10
2019-08-21,0,23,7
2019-08-22,0,26,6
2019-08-23,0,25,9
2019-08-24,0,2,1
2019-08-25,0,2,0
2019-08-26,0,32,11
2019-08-27,0,17,13
2019-08-28,0,2,8
2019-08-29,0,5,7
2019-08-30,0,18,10
2019-08-31,0,0,5
2019-09-01,0,0,0
2019-09-02,0,1,4
2019-09-03,0,24,8
2019-09-04,0,26,18
2019-09-05,0,15,14
2019-09-06,0,15,7
2019-09-07,0,15,3
2019-09-08,0,0,0
2019-09-09,0,18,11
2019-09-10,1,16,8
2019-09-11,0,30,19
2019-09-12,0,4,11
2019-09-13,0,3,7
2019-09-14,3,0,3
2019-09-15,0,0,5
2019-09-16,5,24,9
2019-09-17,0,15,12
2019-09-18,0,12,13
2019-09-19,0,9,6
2019-09-20,0,1,12
2019-09-21,0,0,8
2019-09-22,1,0,0
2019-09-23,0,25,15
2019-09-24,0,77,30
2019-09-25,2,67,18
2019-09-26,0,28,13
2019-09-27,0,33,23
2019-09-28,0,1,0
2019-09-29,0,0,0
2019-09-30,0,6,17
2019-10-01,0,20,14
2019-10-02,0,51,8
2019-10-03,0,45,12
2019-10-04,0,4,16
2019-10-05,0,0,5
2019-10-06,0,0,7
2019-10-07,0,36,3
2019-10-08,2,30,3
2019-10-09,0,29,10
2019-10-10,0,26,7
2019-10-11,0,5,0
2019-10-12,0,0,1
2019-10-13,0,0,6
2019-10-14,0,47,7
2019-10-15,0,26,16
2019-10-16,0,29,29
2019-10-17,0,18,30
2019-10-18,0,14,23
2019-10-19,0,1,8
2019-10-20,0,0,0
2019-10-21,0,3,14
2019-10-22,0,83,8
2019-10-23,0,19,5
2019-10-24,0,25,6
2019-10-25,0,28,5
2019-10-26,0,4,1
2019-10-27,0,1,0
2019-10-28,0,39,6
2019-10-29,0,73,6
2019-10-30,0,32,7
2019-10-31,0,3,4
2019-11-01,0,96,2
2019-11-02,0,0,0
2019-11-03,0,1,0
2019-11-04,0,56,3
2019-11-05,0,78,4
2019-11-06,0,31,2
2019-11-07,0,45,4
2019-11-08,0,17,1
2019-11-09,0,1,1
2019-11-10,1,0,0
2019-11-11,0,35,1
2019-11-12,0,31,3
2019-11-13,0,19,2
2019-11-14,0,13,2
2019-11-15,0,38,5
2019-11-16,0,9,0
2019-11-17,0,0,0
2019-11-18,0,46,3
2019-11-19,0,36,7
2019-11-20,0,24,5
2019-11-21,0,3,8
2019-11-22,0,33,11
2019-11-23,0,7,1
2019-11-24,0,0,0
2019-11-25,0,16,3
2019-11-26,0,28,0
2019-11-27,0,32,7
2019-11-28,0,0,1
2019-11-29,0,0,0
2019-11-30,0,0,0
2019-12-01,1,0,0
2019-12-02,0,10,5
2019-12-03,0,17,2
2019-12-04,0,14,3
2019-12-05,0,5,5
2019-12-06,0,20,4
2019-12-07,0,20,0
2019-12-08,0,1,0
2019-12-09,0,11,2
2019-12-10,0,39,4
2019-12-11,0,1,8
2019-12-12,0,1,1
2019-12-13,0,22,6
2019-12-14,0,0,0
2019-12-15,0,0,1
2019-12-16,0,28,2
2019-12-17,0,15,2
2019-12-18,0,31,13
2019-12-19,0,1,3
2019-12-20,0,37,7
2019-12-21,0,0,4
2019-12-22,0,1,2
2019-12-23,0,52,6
2019-12-24,0,1,1
2019-12-25,0,0,0
2019-12-26,0,45,0
2019-12-27,0,21,1
2019-12-28,0,1,0
2019-12-29,0,0,0
2019-12-30,0,7,1
2019-12-31,0,12,1
2020-01-01,0,0,0
2020-01-02,0,33,3
2020-01-03,0,34,11
2020-01-04,0,0,2
2020-01-05,0,0,0
2020-01-06,0,15,4
2020-01-07,0,17,10
2020-01-08,0,31,8
2020-01-09,0,22,3
2020-01-10,0,14,8
2020-01-11,0,5,0
2020-01-12,0,0,0
2020-01-13,0,19,3
2020-01-14,0,4,2
2020-01-15,0,33,5
2020-01-16,0,28,5
2020-01-17,0,36,9
2020-01-18,0,4,3
2020-01-19,0,0,0
2020-01-20,0,17,0
2020-01-21,1,33,8
2020-01-22,0,35,8
2020-01-23,0,22,9
2020-01-24,2,1,14
2020-01-25,0,19,7
2020-01-26,0,1,0
2020-01-27,0,42,6
2020-01-28,0,28,10
2020-01-29,0,24,14
2020-01-30,0,24,6
2020-01-31,3,23,15
2020-02-01,0,3,0
2020-02-02,0,1,0
2020-02-03,0,17,3
2020-02-04,0,16,3
2020-02-05,0,25,9
2020-02-06,1,32,4
2020-02-07,0,27,4
2020-02-08,0,3,0
2020-02-09,0,2,0
2020-02-10,3,43,2
2020-02-11,0,16,6
2020-02-12,0,27,9
2020-02-13,0,12,4
2020-02-14,3,31,8
2020-02-15,0,0,2
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,40,2
2020-02-19,0,23,8
2020-02-20,2,26,15
2020-02-21,0,15,17
2020-02-22,0,7,1
2020-02-23,0,1,0
2020-02-24,1,2,11
2020-02-25,0,76,23
2020-02-26,0,54,14
2020-02-27,0,21,24
2020-02-28,0,17,7
2020-02-29,0,0,6
2020-03-01,0,0,0
2020-03-02,0,40,12
2020-03-03,0,14,12
2020-03-04,0,16,9
2020-03-05,0,20,8
2020-03-06,0,36,6
2020-03-07,0,4,3
2020-03-08,0,0,1
2020-03-09,3,12,4
2020-03-10,1,15,9
2020-03-11,0,4,15
2020-03-12,1,22,17
2020-03-13,0,25,16
2020-03-14,0,18,2
2020-03-15,0,13,0
2020-03-16,0,2,2
2020-03-17,0,7,13
2020-03-18,0,25,7
2020-03-19,0,1,11
2020-03-20,0,43,3
2020-03-21,0,1,2
2020-03-22,0,30,2
2020-03-23,0,24,2
2020-03-24,0,7,5
2020-03-25,0,13,11
2020-03-26,0,7,5
2020-03-27,0,58,4
2020-03-28,0,4,1
2020-03-29,0,1,0
2020-03-30,0,23,10
2020-03-31,0,111,8
2020-04-01,0,30,9
2020-04-02,0,23,9
