,neovim/neovim,microsoft/vscode,pulsar-edit/pulsar
2020-01-13,2,80.0,0
2020-01-14,3,58.99999999999999,0
2020-01-15,2,64.69999999999999,0
2020-01-16,4,48.20499999999999,0
2020-01-17,14,54.9625,0
2020-01-18,7,-6.356227499999999,0
2020-01-19,13,8.719029250000009,0
2020-01-20,5,32.66348071250001,0
2020-01-21,13,77.97793462250002,1
2020-01-22,3,45.63286584382813,0
2020-01-23,2,53.41856208267031,5
2020-01-24,3,42.73648752085156,13
2020-01-25,1,-8.566227834754685,2
2020-01-26,18,10.786315978431258,0
2020-01-27,13,85.83630914918126,1
2020-01-28,7,13.912027788212505,0
2020-01-29,2,76.48315667940156,1
2020-01-30,6,32.86551531288437,2
2020-01-31,4,12.163508252745318,1
2020-02-01,2,-6.883073554849997,0
2020-02-02,5,-3.2558321751781127,0
2020-02-03,11,35.58199831447189,0
2020-02-04,1,97.7316814845625,1
2020-02-05,1,94.25115740166875,1
2020-02-06,1,81.94300128983281,1
2020-02-07,9,87.46833998657186,3
2020-02-08,0,-13.08835449766719,1
2020-02-09,5,-4.460411215496864,0
2020-02-10,9,78.83536146654376,7
2020-02-11,2,66.52950882871565,1
2020-02-12,13,41.603664516370316,1
2020-02-13,22,57.91273327822188,5
2020-02-14,7,41.24363604896875,2
2020-02-15,1,-3.234341540567179,0
2020-02-16,12,-8.934393519771863,0
2020-02-17,11,58.77531700628595,2
2020-02-18,7,48.87398918003595,0
2020-02-19,5,74.4590586815047,0
2020-02-20,1,85.44336775232969,4
2020-02-21,5,57.658352630421874,0
2020-02-22,2,-4.487104484367187,0
2020-02-23,9,18.915777663676568,0
2020-02-24,1,13.886262576001574,1
2020-02-25,1,24.98780006464689,7
2020-02-26,6,77.50447334367502,5
2020-02-27,6,55.546954469932814,5
2020-02-28,1,43.17276851299375,5
2020-02-29,4,-10.88588344586875,1
2020-03-01,11,-1.9145091737359277,0
2020-03-02,20,65.40097401726251,1
2020-03-03,1,39.96151452724532,2
2020-03-04,0,73.87135132355469,3
2020-03-05,0,54.09871294461718,0
2020-03-06,1,45.92185737397813,1
2020-03-07,0,3.666786129526564,0
2020-03-08,6,-2.859172325432805,0
2020-03-09,0,57.16184011874689,0
2020-03-10,0,42.73273671512345,1
2020-03-11,0,27.97750558810001,5
2020-03-12,2,46.2487629862875,0
2020-03-13,0,40.98553286581563,0
2020-03-14,0,-3.8597576632343706,0
2020-03-15,0,-3.3633909370249935,0
2020-03-16,1,37.0156626039422,1
2020-03-17,1,45.329026527446885,0
2020-03-18,0,47.17581209805469,0
2020-03-19,4,42.08771596938281,0
2020-03-20,0,23.86509593112031,0
2020-03-21,1,-2.661270928678123,1
2020-03-22,2,-4.188817372831243,0
2020-03-23,2,47.95224464834845,1
2020-03-24,0,62.906957455148444,0
2020-03-25,0,61.35197438061094,0
2020-03-26,0,74.57718626065312,3
2020-03-27,0,96.06604573507187,0
2020-03-28,2,0.31787933699687443,2
2020-03-29,3,6.479296053331256,0
2020-03-30,1,73.17137143941564,0
2020-03-31,0,32.02719454756408,1
2020-04-01,3,59.46848439347032,0
2020-04-02,2,26.506879325506254,1
2020-04-03,0,42.940930115200004,1
2020-04-04,2,-9.414532117714055,0
2020-04-05,0,4.92938311511095,0
2020-04-06,1,64.73798375143282,0
2020-04-07,1,63.678515560968755,0
2020-04-08,1,43.18735005223125,0
2020-04-09,0,68.01967751386874,0
2020-04-10,0,17.57956220391875,0
2020-04-11,0,8.379962842814066,0
2020-04-12,7,10.980149192873446,0
2020-04-13,30,36.381893775101574,1
2020-04-14,1,65.51938138737188,0
2020-04-15,3,47.739989420725,1
2020-04-16,3,76.7746692848625,0
2020-04-17,1,87.75041270063437,0
2020-04-18,9,0.8189978157718727,0
2020-04-19,4,22.763798256700007,0
2020-04-20,5,61.706134242167195,0
2020-04-21,8,69.47919757104219,0
2020-04-22,2,80.02713629169531,0
2020-04-23,1,49.56061237905,0
2020-04-24,5,64.2255862896,0
2020-04-25,4,-12.667720518660932,1
2020-04-26,18,-3.2810248296015487,0
2020-04-27,12,97.93314374318282,0
2020-04-28,3,21.60908473930001,0
2020-04-29,3,58.10282744851251,0
2020-04-30,1,25.176117333914064,0
2020-05-01,5,3.6867814141343835,0
2020-05-02,8,-4.70553339406249,0
2020-05-03,13,0.1779851946578237,0
2020-05-04,3,64.73768072885782,0
2020-05-05,9,58.050732530754686,0
2020-05-06,1,64.76297267854531,1
2020-05-07,11,60.17970920522343,2
2020-05-08,2,30.212886635021874,0
2020-05-09,4,-5.406501843989062,0
2020-05-10,0,-3.9208495569390536,0
2020-05-11,1,61.228495946210955,0
2020-05-12,6,77.0670928549047,3
2020-05-13,0,64.89023697940625,1
2020-05-14,2,54.96142446605156,0
2020-05-15,3,61.144526148525,2
2020-05-16,3,-9.50801747141406,0
2020-05-17,3,-0.8834323020281154,0
2020-05-18,4,43.583020407134384,2
2020-05-19,5,32.603817473507824,18
2020-05-20,2,69.28363737291563,12
2020-05-21,6,-3.2454733349640605,0
2020-05-22,0,5.325552499964068,0
2020-05-23,4,4.332863507193757,2
2020-05-24,2,-3.126818114428114,0
2020-05-25,7,38.86021854455626,0
2020-05-26,7,60.58387505032813,0
2020-05-27,0,68.77551909919374,8
2020-05-28,1,14.98397409165312,7
2020-05-29,1,43.505685844651566,1
2020-05-30,5,-8.499991568165623,8
2020-05-31,4,5.854510829523447,1
2020-06-01,0,66.63591054177188,0
2020-06-02,4,20.20237288772032,2
2020-06-03,3,83.9312179933922,9
2020-06-04,6,37.39348437005624,1
2020-06-05,13,30.252184834671876,1
2020-06-06,5,-7.2663656276359365,5
2020-06-07,1,-0.03579893973748938,2
2020-06-08,2,68.73030414693908,2
2020-06-09,1,56.83426286189219,0
2020-06-10,5,44.02485413837657,1
2020-06-11,3,67.37633709413124,1
2020-06-12,2,64.79433307429375,8
2020-06-13,3,-7.059378288342188,0
2020-06-14,2,-4.757272334159367,0
2020-06-15,3,63.174319151945326,4
2020-06-16,3,65.05220468729064,3
2020-06-17,1,57.32223331672657,2
2020-06-18,17,41.78216211136406,3
2020-06-19,2,21.835885677400004,1
2020-06-20,0,-1.7917136971765544,0
2020-06-21,1,7.039475749432825,1
2020-06-22,5,65.51986443779688,2
2020-06-23,6,68.411337440675,4
2020-06-24,2,55.41950925347969,7
2020-06-25,0,52.18258955705625,0
2020-06-26,0,45.206942211220316,4
2020-06-27,2,-15.207469137412495,0
2020-06-28,0,2.9901707104984485,0
2020-06-29,11,63.3907175251047,2
2020-06-30,2,24.337687725534384,0
2020-07-01,3,62.70905937686094,1
2020-07-02,6,23.746638612979687,0
2020-07-03,2,5.231382213635943,5
2020-07-04,10,-2.7405349663968686,0
2020-07-05,0,-5.153301997192178,0
2020-07-06,3,37.77821884756251,1
2020-07-07,1,42.45570885920938,1
2020-07-08,1,39.41210414087031,2
2020-07-09,0,34.87150962301406,0
2020-07-10,7,29.733382356496875,8
2020-07-11,2,-0.6930704076312484,12
2020-07-12,0,0.4351114075453175,1
2020-07-13,0,53.85146945426876,14
2020-07-14,0,33.36685482580782,7
2020-07-15,4,21.04781836395938,0
2020-07-16,0,48.0793249541875,19
2020-07-17,0,38.94327142753594,13
2020-07-18,1,-1.240533988492185,3
2020-07-19,20,-7.48434127982812,2
2020-07-20,7,41.08455576981719,0
2020-07-21,5,51.65484648807657,2
2020-07-22,0,67.91642844445781,2
2020-07-23,6,34.97962282622031,0
2020-07-24,3,18.392461791995313,0
2020-07-25,0,-5.6057077078296835,8
2020-07-26,1,-2.0119208319531143,1
2020-07-27,0,27.721794947140637,0
2020-07-28,3,29.756678588781256,0
2020-07-29,1,31.587781636159377,1
2020-07-30,2,27.999162365859377,0
2020-07-31,6,24.140982415645315,3
2020-08-01,0,-5.23080527149531,0
2020-08-02,22,-4.060340637442183,4
2020-08-03,1,50.47239523349219,0
2020-08-04,0,11.896621896554691,1
2020-08-05,0,64.38572772223594,0
2020-08-06,0,25.85368401179531,0
2020-08-07,0,7.307548553234376,1
2020-08-08,4,0.6549905254046902,0
2020-08-09,1,2.563418056017195,0
2020-08-10,2,47.54963353187657,0
2020-08-11,2,49.58295318212031,1
2020-08-12,0,58.273164056496874,2
2020-08-13,7,42.23221775142187,9
2020-08-14,19,6.29438095212031,5
2020-08-15,9,-5.045460535095309,1
2020-08-16,2,-1.175485217235929,0
2020-08-17,4,25.046000495587514,8
2020-08-18,1,35.26563490790001,1
2020-08-19,1,37.437553534475,3
2020-08-20,1,29.4796419235875,3
2020-08-21,0,43.763334930410934,7
2020-08-22,3,-8.471247184273437,5
2020-08-23,11,-4.9720588064953075,13
2020-08-24,3,37.78523961227813,7
2020-08-25,2,35.57390277935157,3
2020-08-26,5,50.20852401226563,1
2020-08-27,1,43.99196897852187,2
2020-08-28,1,44.3617568994875,3
2020-08-29,0,-5.191916243729688,10
2020-08-30,10,8.272218218314068,4
2020-08-31,18,70.3434064519125,16
2020-09-01,5,30.673123074557818,0
2020-09-02,6,48.589196467568755,0
2020-09-03,11,28.15417562928281,1
2020-09-04,19,25.390448907020318,4
2020-09-05,9,1.3295122578984415,17
2020-09-06,23,-2.6945582856218664,6
2020-09-07,1,43.45926637524845,6
2020-09-08,3,70.96980931847187,3
2020-09-09,11,73.54481685756093,9
2020-09-10,6,47.12970105126718,14
2020-09-11,31,24.947310852953123,34
2020-09-12,10,-9.65453570305156,0
2020-09-13,18,-7.108461893767176,0
2020-09-14,7,33.17592533824064,39
2020-09-15,0,31.5842123620547,6
2020-09-16,8,78.53847532323907,30
2020-09-17,4,40.48975245101562,31
2020-09-18,2,41.76130797188906,22
2020-09-19,13,-2.896356581639063,1
2020-09-20,2,-7.394541224234366,0
2020-09-21,4,32.33388897562657,0
2020-09-22,1,38.863573239854695,6
2020-09-23,0,32.05801002297344,16
2020-09-24,9,26.908140371937503,7
2020-09-25,0,32.26207859222813,2
2020-09-26,5,-8.757867080335934,3
2020-09-27,2,6.2613175591171935,4
2020-09-28,2,59.982852116625004,4
2020-09-29,5,11.021152254120317,6
2020-09-30,10,49.2136371869,22
2020-10-01,14,36.47854674790469,12
2020-10-02,5,3.4141598569125016,14
2020-10-03,6,11.497334213264065,2
2020-10-04,4,-4.7366895370249935,1
2020-10-05,14,45.53549662252657,4
2020-10-06,16,28.61580883980313,6
2020-10-07,10,25.376962738085943,4
2020-10-08,7,17.735015106104687,5
2020-10-09,2,32.41630620871719,3
2020-10-10,10,-2.4751567051578096,1
2020-10-11,13,-0.4195146502999947,1
2020-10-12,8,23.78441140078594,2
2020-10-13,1,27.20527595789688,5
2020-10-14,6,36.035486794125006,5
2020-10-15,4,18.765990211139062,1
2020-10-16,4,21.708309200371875,1
2020-10-17,15,0.7928935734406259,1
2020-10-18,5,-4.112209060781245,0
2020-10-19,2,29.619387662206258,4
2020-10-20,4,49.15066970913281,8
2020-10-21,7,31.970488773228126,10
2020-10-22,13,48.965075745392184,5
2020-10-23,5,50.043012348282815,5
2020-10-24,4,-6.1529519284234375,2
2020-10-25,19,7.502862913582817,1
2020-10-26,5,73.46552645294688,2
2020-10-27,1,36.48486701169844,1
2020-10-28,6,65.94374562920468,0
2020-10-29,5,18.00780713188281,3
2020-10-30,4,16.243746094870318,16
2020-10-31,2,-9.144595406037494,32
2020-11-01,21,-6.491002076535926,0
2020-11-02,7,56.49167887705001,2
2020-11-03,14,49.29942132946094,2
2020-11-04,12,73.44265823935937,1
2020-11-05,4,58.19788273427031,0
2020-11-06,1,33.638437165181244,7
2020-11-07,13,-9.365877844373436,1
2020-11-08,12,-5.4403196965218665,0
2020-11-09,9,79.78354068871408,0
2020-11-10,7,79.60504851479688,0
2020-11-11,4,61.89147768363594,0
2020-11-12,5,40.57392815530156,0
2020-11-13,17,47.16054626805469,0
2020-11-14,7,-15.634977395389058,0
2020-11-15,6,-2.2342264400734244,0
2020-11-16,13,42.79242636080939,0
2020-11-17,2,41.52890678429845,0
2020-11-18,4,60.08319159270626,5
2020-11-19,4,30.880731315923438,0
2020-11-20,10,47.71468338100469,0
2020-11-21,14,-9.139358754568748,0
2020-11-22,22,-0.9731552085140533,0
2020-11-23,19,38.01369384639064,0
2020-11-24,9,67.1442515264672,1
2020-11-25,24,65.86231340389062,0
2020-11-26,7,46.80229954975625,42
2020-11-27,4,36.303471456709374,0
2020-11-28,8,-7.509543017554686,0
2020-11-29,7,-8.71819932796874,0
2020-11-30,7,37.13319256374689,0
2020-12-01,16,36.11325635706095,0
2020-12-02,2,57.829882670481254,0
2020-12-03,7,23.099518174034372,0
2020-12-04,12,20.26751715894219,0
