,bitcoinj/bitcoinj,bitcoin/bitcoin,libbitcoin/libbitcoin-system
2019-09-18,1,13,0
2019-09-19,0,16,0
2019-09-20,0,9,0
2019-09-21,0,4,1
2019-09-22,0,5,0
2019-09-23,0,7,1
2019-09-24,0,7,0
2019-09-25,0,11,1
2019-09-26,0,12,0
2019-09-27,0,4,3
2019-09-28,0,2,0
2019-09-29,0,1,0
2019-09-30,0,26,1
2019-10-01,3,23,0
2019-10-02,0,27,0
2019-10-03,0,11,0
2019-10-04,0,7,0
2019-10-05,0,1,0
2019-10-06,0,3,0
2019-10-07,0,6,0
2019-10-08,1,19,0
2019-10-09,0,25,0
2019-10-10,0,20,0
2019-10-11,0,7,1
2019-10-12,0,4,0
2019-10-13,1,6,1
2019-10-14,0,16,0
2019-10-15,0,20,0
2019-10-16,0,10,1
2019-10-17,0,11,0
2019-10-18,0,17,0
2019-10-19,0,1,0
2019-10-20,0,4,1
2019-10-21,3,18,2
2019-10-22,4,7,0
2019-10-23,0,15,0
2019-10-24,0,26,0
2019-10-25,0,17,0
2019-10-26,0,11,2
2019-10-27,0,1,0
2019-10-28,0,21,7
2019-10-29,0,20,7
2019-10-30,0,32,4
2019-10-31,0,10,0
2019-11-01,0,19,4
2019-11-02,0,23,0
2019-11-03,0,6,0
2019-11-04,0,29,0
2019-11-05,0,41,0
2019-11-06,2,25,0
2019-11-07,0,17,5
2019-11-08,0,17,0
2019-11-09,0,3,0
2019-11-10,5,8,0
2019-11-11,0,11,0
2019-11-12,0,18,0
2019-11-13,0,16,0
2019-11-14,0,7,0
2019-11-15,0,11,1
2019-11-16,0,3,0
2019-11-17,0,3,0
2019-11-18,0,26,0
2019-11-19,0,19,0
2019-11-20,4,16,0
2019-11-21,1,18,0
2019-11-22,0,18,0
2019-11-23,0,9,0
2019-11-24,0,14,0
2019-11-25,0,14,0
2019-11-26,5,13,0
2019-11-27,0,3,0
2019-11-28,0,3,10
2019-11-29,1,3,0
2019-11-30,0,2,0
2019-12-01,0,3,0
2019-12-02,0,6,0
2019-12-03,0,9,0
2019-12-04,0,10,0
2019-12-05,0,15,0
2019-12-06,0,27,0
2019-12-07,0,4,0
2019-12-08,3,4,0
2019-12-09,0,19,0
2019-12-10,0,18,0
2019-12-11,0,13,0
2019-12-12,0,15,0
2019-12-13,0,12,0
2019-12-14,1,1,0
2019-12-15,0,8,0
2019-12-16,0,19,0
2019-12-17,0,13,0
2019-12-18,0,7,0
2019-12-19,0,7,0
2019-12-20,0,2,0
2019-12-21,0,0,0
2019-12-22,0,1,0
2019-12-23,0,3,0
2019-12-24,0,0,0
2019-12-25,0,1,0
2019-12-26,0,1,0
2019-12-27,0,2,0
2019-12-28,0,4,0
2019-12-29,0,2,0
2019-12-30,0,3,0
2019-12-31,0,4,0
2020-01-01,0,0,0
2020-01-02,0,13,0
2020-01-03,0,19,0
2020-01-04,0,7,0
2020-01-05,0,4,0
2020-01-06,0,5,0
2020-01-07,0,12,0
2020-01-08,0,13,0
2020-01-09,0,7,0
2020-01-10,0,4,0
2020-01-11,0,3,0
2020-01-12,1,1,0
2020-01-13,0,8,0
2020-01-14,0,13,0
2020-01-15,0,9,0
2020-01-16,0,12,0
2020-01-17,0,8,0
2020-01-18,0,3,0
2020-01-19,0,2,0
2020-01-20,0,4,0
2020-01-21,0,1,0
2020-01-22,0,16,0
2020-01-23,4,26,0
2020-01-24,0,2,0
2020-01-25,0,3,0
2020-01-26,0,3,0
2020-01-27,0,10,0
2020-01-28,0,18,0
2020-01-29,0,12,0
2020-01-30,1,18,0
2020-01-31,0,14,0
2020-02-01,0,4,0
2020-02-02,0,2,0
2020-02-03,0,8,0
2020-02-04,0,6,0
2020-02-05,0,12,0
2020-02-06,0,8,0
2020-02-07,0,4,0
2020-02-08,0,0,0
2020-02-09,0,7,0
2020-02-10,0,19,0
2020-02-11,0,11,0
2020-02-12,0,11,0
2020-02-13,0,12,0
2020-02-14,0,5,0
2020-02-15,0,2,0
2020-02-16,3,6,0
2020-02-17,0,6,0
2020-02-18,0,4,0
2020-02-19,0,11,0
2020-02-20,0,3,0
2020-02-21,0,9,0
2020-02-22,0,2,0
2020-02-23,0,0,0
2020-02-24,0,1,0
2020-02-25,0,13,0
2020-02-26,0,4,0
2020-02-27,4,6,0
2020-02-28,3,23,0
2020-02-29,2,2,0
2020-03-01,0,2,0
2020-03-02,0,15,0
2020-03-03,0,2,0
2020-03-04,9,17,0
2020-03-05,2,18,0
2020-03-06,1,13,0
2020-03-07,4,21,0
2020-03-08,1,4,0
2020-03-09,0,26,0
2020-03-10,0,16,0
2020-03-11,2,43,0
2020-03-12,1,9,0
2020-03-13,5,6,0
2020-03-14,0,4,0
2020-03-15,0,9,0
2020-03-16,0,14,0
2020-03-17,0,19,0
2020-03-18,0,11,0
2020-03-19,1,13,0
2020-03-20,0,1,0
2020-03-21,0,7,0
2020-03-22,0,8,0
2020-03-23,0,7,0
2020-03-24,0,15,0
2020-03-25,0,13,0
2020-03-26,0,19,0
2020-03-27,0,23,0
2020-03-28,0,6,0
2020-03-29,0,9,0
2020-03-30,0,13,0
2020-03-31,0,26,0
2020-04-01,0,10,0
2020-04-02,0,36,0
2020-04-03,0,16,0
2020-04-04,0,11,0
2020-04-05,0,7,0
2020-04-06,0,34,0
2020-04-07,0,10,0
2020-04-08,1,30,0
2020-04-09,0,10,0
2020-04-10,0,21,0
2020-04-11,0,9,0
2020-04-12,0,16,0
2020-04-13,1,17,0
2020-04-14,0,11,0
2020-04-15,0,28,0
2020-04-16,2,22,0
2020-04-17,0,23,0
2020-04-18,0,4,0
2020-04-19,0,12,0
2020-04-20,0,11,0
2020-04-21,0,15,0
2020-04-22,1,18,0
2020-04-23,2,61,0
2020-04-24,0,14,0
2020-04-25,2,9,0
2020-04-26,1,14,0
2020-04-27,0,12,0
2020-04-28,0,20,0
2020-04-29,0,22,0
2020-04-30,0,26,0
2020-05-01,0,24,0
2020-05-02,0,3,0
2020-05-03,2,6,0
2020-05-04,0,15,0
2020-05-05,0,26,0
2020-05-06,0,11,0
2020-05-07,0,17,0
2020-05-08,0,14,0
2020-05-09,1,5,0
2020-05-10,0,10,1
2020-05-11,0,8,0
2020-05-12,4,24,1
2020-05-13,0,21,0
2020-05-14,0,15,0
2020-05-15,0,9,0
2020-05-16,0,3,0
2020-05-17,2,6,0
2020-05-18,0,13,0
2020-05-19,0,24,0
2020-05-20,0,10,0
2020-05-21,0,27,0
2020-05-22,0,14,0
2020-05-23,0,11,0
2020-05-24,0,3,0
2020-05-25,0,22,0
2020-05-26,0,17,0
2020-05-27,0,14,0
2020-05-28,2,25,0
2020-05-29,0,25,0
2020-05-30,0,18,0
2020-05-31,1,11,0
2020-06-01,0,10,0
2020-06-02,0,21,0
2020-06-03,0,12,0
2020-06-04,0,17,0
2020-06-05,0,17,0
2020-06-06,0,7,0
2020-06-07,0,8,0
2020-06-08,0,26,0
2020-06-09,0,13,0
2020-06-10,0,20,0
2020-06-11,0,12,0
2020-06-12,0,6,0
2020-06-13,0,12,0
2020-06-14,0,6,0
2020-06-15,0,15,0
2020-06-16,0,23,0
2020-06-17,0,17,0
2020-06-18,0,12,0
2020-06-19,0,45,0
2020-06-20,0,6,0
2020-06-21,0,26,0
2020-06-22,0,22,0
2020-06-23,0,10,0
2020-06-24,0,20,0
2020-06-25,0,21,0
2020-06-26,0,6,0
2020-06-27,0,9,0
2020-06-28,1,2,0
2020-06-29,0,21,0
2020-06-30,2,5,0
2020-07-01,0,23,0
2020-07-02,1,8,0
2020-07-03,0,9,0
2020-07-04,0,7,0
2020-07-05,0,7,0
2020-07-06,0,3,0
2020-07-07,0,3,0
2020-07-08,0,11,0
2020-07-09,0,29,0
2020-07-10,0,11,0
2020-07-11,0,25,0
2020-07-12,0,6,0
2020-07-13,0,14,0
2020-07-14,0,22,0
2020-07-15,0,27,0
2020-07-16,0,14,0
2020-07-17,0,4,0
2020-07-18,0,9,0
2020-07-19,0,17,0
2020-07-20,0,1,0
2020-07-21,0,13,0
2020-07-22,0,13,0
2020-07-23,0,8,0
2020-07-24,0,7,0
2020-07-25,0,4,0
2020-07-26,0,6,0
2020-07-27,0,7,0
2020-07-28,0,11,0
2020-07-29,0,14,0
2020-07-30,0,28,0
2020-07-31,0,13,0
2020-08-01,0,2,0
2020-08-02,0,11,0
2020-08-03,0,6,0
2020-08-04,0,10,0
2020-08-05,0,8,0
2020-08-06,0,10,0
2020-08-07,0,4,0
2020-08-08,0,25,0
2020-08-09,0,7,0
2020-08-10,0,5,0
2020-08-11,0,5,0
2020-08-12,0,23,0
2020-08-13,0,13,0
2020-08-14,0,17,0
2020-08-15,0,14,0
2020-08-16,0,9,0
2020-08-17,0,7,0
2020-08-18,0,17,0
2020-08-19,1,6,0
2020-08-20,0,6,0
2020-08-21,0,10,0
2020-08-22,0,1,0
2020-08-23,0,3,0
2020-08-24,0,17,0
2020-08-25,6,26,0
2020-08-26,1,30,0
2020-08-27,0,15,0
2020-08-28,0,17,0
2020-08-29,0,15,0
2020-08-30,0,6,0
2020-08-31,3,29,0
2020-09-01,2,14,0
2020-09-02,0,14,0
2020-09-03,0,32,0
2020-09-04,0,12,0
2020-09-05,0,12,0
2020-09-06,0,8,0
2020-09-07,10,38,0
2020-09-08,1,5,0
2020-09-09,0,10,0
2020-09-10,0,12,0
2020-09-11,0,6,0
2020-09-12,0,2,0
2020-09-13,0,2,0
2020-09-14,0,12,0
2020-09-15,0,10,0
2020-09-16,0,5,0
2020-09-17,0,6,0
2020-09-18,0,11,0
2020-09-19,0,7,0
2020-09-20,3,3,0
2020-09-21,0,9,0
2020-09-22,1,19,0
2020-09-23,0,16,0
2020-09-24,0,9,0
2020-09-25,0,3,0
2020-09-26,0,6,0
2020-09-27,0,2,0
2020-09-28,0,15,0
2020-09-29,0,23,0
2020-09-30,0,17,0
2020-10-01,0,12,0
2020-10-02,0,18,0
2020-10-03,1,9,0
2020-10-04,0,5,0
2020-10-05,0,5,0
2020-10-06,1,8,0
2020-10-07,1,2,0
2020-10-08,0,14,0
2020-10-09,0,24,0
2020-10-10,1,0,0
2020-10-11,2,5,0
2020-10-12,0,19,0
2020-10-13,0,22,0
2020-10-14,0,48,0
2020-10-15,0,21,0
2020-10-16,4,15,0
2020-10-17,0,4,0
2020-10-18,0,3,0
2020-10-19,0,14,0
2020-10-20,0,8,0
2020-10-21,0,11,0
2020-10-22,0,9,0
2020-10-23,0,8,0
2020-10-24,1,3,0
2020-10-25,0,8,0
2020-10-26,0,7,0
2020-10-27,0,17,0
2020-10-28,0,18,0
2020-10-29,0,10,0
2020-10-30,0,4,0
2020-10-31,0,2,0
2020-11-01,0,26,0
2020-11-02,0,16,0
2020-11-03,0,14,0
2020-11-04,0,21,0
2020-11-05,0,14,0
2020-11-06,0,9,0
2020-11-07,0,3,0
2020-11-08,0,0,0
2020-11-09,0,21,0
2020-11-10,0,6,0
2020-11-11,0,19,0
2020-11-12,0,19,0
2020-11-13,0,4,0
2020-11-14,0,11,0
2020-11-15,0,5,0
2020-11-16,0,8,0
2020-11-17,0,7,0
2020-11-18,0,24,0
2020-11-19,0,31,0
2020-11-20,0,14,0
2020-11-21,0,2,0
2020-11-22,0,3,0
2020-11-23,0,29,0
2020-11-24,0,21,0
2020-11-25,0,16,0
2020-11-26,0,14,0
2020-11-27,0,6,0
2020-11-28,0,4,0
2020-11-29,0,0,15
2020-11-30,0,20,0
2020-12-01,0,13,0
2020-12-02,0,13,0
2020-12-03,0,16,0
2020-12-04,0,25,1
2020-12-05,0,2,0
2020-12-06,1,7,0
2020-12-07,0,30,0
2020-12-08,0,12,0
2020-12-09,0,14,0
2020-12-10,0,29,0
2020-12-11,0,6,0
2020-12-12,0,3,0
2020-12-13,0,7,0
2020-12-14,0,14,0
2020-12-15,0,15,0
2020-12-16,0,31,0
2020-12-17,0,28,0
2020-12-18,0,8,0
2020-12-19,0,4,0
2020-12-20,0,10,0
2020-12-21,0,22,0
2020-12-22,0,10,0
2020-12-23,0,3,0
2020-12-24,0,8,0
2020-12-25,0,6,0
2020-12-26,0,6,0
2020-12-27,0,9,0
2020-12-28,0,9,0
2020-12-29,0,3,0
2020-12-30,0,4,0
2020-12-31,0,8,0
2021-01-01,0,1,0
2021-01-02,0,16,0
2021-01-03,0,6,0
2021-01-04,0,8,0
2021-01-05,0,15,0
2021-01-06,1,6,0
2021-01-07,0,45,0
2021-01-08,0,27,0
2021-01-09,1,10,0
2021-01-10,0,10,0
2021-01-11,0,10,0
2021-01-12,0,12,0
2021-01-13,0,9,0
2021-01-14,0,4,0
2021-01-15,0,10,0
2021-01-16,0,1,0
2021-01-17,0,5,0
2021-01-18,0,13,0
2021-01-19,0,9,0
2021-01-20,0,3,0
2021-01-21,0,23,0
2021-01-22,0,8,0
2021-01-23,0,9,0
2021-01-24,0,8,0
2021-01-25,0,11,0
2021-01-26,0,13,0
2021-01-27,0,19,0
2021-01-28,0,36,0
2021-01-29,0,24,0
2021-01-30,0,6,0
2021-01-31,0,11,0
2021-02-01,0,18,0
2021-02-02,0,25,0
2021-02-03,0,13,0
2021-02-04,0,13,0
2021-02-05,0,8,0
2021-02-06,0,10,0
2021-02-07,0,1,0
2021-02-08,0,15,0
2021-02-09,0,24,0
2021-02-10,0,18,0
2021-02-11,4,15,0
2021-02-12,0,27,0
2021-02-13,0,5,0
2021-02-14,0,1,0
2021-02-15,0,15,0
2021-02-16,1,23,1
2021-02-17,3,30,1
2021-02-18,0,39,0
2021-02-19,0,13,0
2021-02-20,0,2,0
2021-02-21,0,10,0
2021-02-22,0,25,0
2021-02-23,0,34,0
2021-02-24,0,7,0
2021-02-25,0,25,0
2021-02-26,0,16,0
2021-02-27,0,3,0
2021-02-28,0,4,0
2021-03-01,0,36,3
2021-03-02,0,20,0
2021-03-03,0,37,0
2021-03-04,0,18,0
2021-03-05,1,15,10
2021-03-06,1,3,2
2021-03-07,3,14,6
2021-03-08,0,19,2
2021-03-09,0,11,2
2021-03-10,0,19,0
2021-03-11,0,13,0
2021-03-12,0,10,0
2021-03-13,0,3,0
2021-03-14,0,3,0
2021-03-15,0,23,6
2021-03-16,3,40,1
2021-03-17,0,6,1
2021-03-18,0,14,16
2021-03-19,0,20,9
2021-03-20,0,7,4
2021-03-21,0,11,3
2021-03-22,0,8,8
2021-03-23,0,21,4
2021-03-24,0,13,0
2021-03-25,0,5,1
2021-03-26,0,2,14
2021-03-27,0,1,1
2021-03-28,0,7,2
2021-03-29,0,26,0
2021-03-30,0,19,0
2021-03-31,0,12,0
2021-04-01,0,24,0
2021-04-02,0,11,0
2021-04-03,0,10,0
2021-04-04,0,7,0
2021-04-05,0,37,0
2021-04-06,0,20,2
2021-04-07,0,18,0
2021-04-08,0,15,0
2021-04-09,0,14,0
2021-04-10,0,2,0
2021-04-11,0,6,2
2021-04-12,0,16,0
2021-04-13,0,21,0
2021-04-14,1,26,80
2021-04-15,0,14,19
2021-04-16,0,7,9
2021-04-17,3,14,3
2021-04-18,0,12,2
2021-04-19,0,34,0
2021-04-20,0,18,14
2021-04-21,0,11,0
2021-04-22,5,15,4
2021-04-23,1,19,8
2021-04-24,2,1,0
2021-04-25,0,7,0
2021-04-26,0,10,0
2021-04-27,0,11,0
2021-04-28,2,22,0
2021-04-29,0,22,0
2021-04-30,2,11,0
2021-05-01,0,31,11
2021-05-02,0,9,23
2021-05-03,1,24,12
2021-05-04,0,26,0
2021-05-05,0,24,1
2021-05-06,0,7,1
2021-05-07,0,7,3
2021-05-08,0,2,0
2021-05-09,0,21,8
2021-05-10,0,19,13
2021-05-11,0,23,7
2021-05-12,0,25,14
2021-05-13,0,14,11
2021-05-14,0,9,11
2021-05-15,0,5,0
2021-05-16,0,2,6
2021-05-17,0,13,1
2021-05-18,0,10,7
2021-05-19,0,31,10
2021-05-20,0,14,25
2021-05-21,0,14,38
2021-05-22,0,6,9
2021-05-23,0,2,2
2021-05-24,0,43,0
2021-05-25,0,23,0
2021-05-26,0,18,27
2021-05-27,0,32,8
2021-05-28,0,24,12
2021-05-29,0,4,9
2021-05-30,0,11,8
2021-05-31,0,22,3
2021-06-01,0,13,2
2021-06-02,0,23,1
2021-06-03,0,37,4
2021-06-04,0,9,0
2021-06-05,0,10,6
2021-06-06,0,4,0
2021-06-07,0,14,5
2021-06-08,0,8,1
2021-06-09,0,21,13
2021-06-10,0,36,29
2021-06-11,0,14,4
2021-06-12,0,25,0
2021-06-13,0,13,0
2021-06-14,0,30,0
2021-06-15,0,10,0
2021-06-16,0,11,0
2021-06-17,0,14,0
2021-06-18,0,21,0
2021-06-19,0,2,19
2021-06-20,0,3,4
2021-06-21,0,17,13
2021-06-22,0,17,2
2021-06-23,0,20,1
2021-06-24,0,23,9
2021-06-25,0,4,0
2021-06-26,0,1,21
2021-06-27,0,2,13
2021-06-28,0,19,5
2021-06-29,0,16,2
2021-06-30,0,8,4
2021-07-01,0,24,13
2021-07-02,0,4,7
2021-07-03,0,4,6
2021-07-04,0,4,0
2021-07-05,0,12,0
2021-07-06,0,10,0
2021-07-07,0,13,0
2021-07-08,0,17,0
2021-07-09,0,16,0
2021-07-10,0,1,0
2021-07-11,0,1,3
2021-07-12,0,8,10
2021-07-13,0,7,1
2021-07-14,0,12,0
2021-07-15,0,25,0
2021-07-16,0,7,0
2021-07-17,0,0,0
2021-07-18,0,9,0
2021-07-19,0,16,0
2021-07-20,0,27,0
2021-07-21,0,19,0
2021-07-22,0,19,0
2021-07-23,0,7,0
2021-07-24,0,1,0
2021-07-25,0,11,0
2021-07-26,0,4,0
2021-07-27,0,13,8
2021-07-28,0,15,0
2021-07-29,0,8,3
2021-07-30,0,26,4
2021-07-31,0,2,0
2021-08-01,0,3,0
2021-08-02,0,13,0
2021-08-03,0,12,0
2021-08-04,0,17,3
2021-08-05,0,19,12
2021-08-06,0,14,0
2021-08-07,0,5,0
2021-08-08,0,1,0
2021-08-09,0,7,0
2021-08-10,7,4,0
2021-08-11,0,11,0
2021-08-12,0,4,0
2021-08-13,0,8,2
2021-08-14,1,6,2
2021-08-15,0,3,4
2021-08-16,0,19,4
2021-08-17,0,9,0
2021-08-18,0,37,0
2021-08-19,0,23,0
2021-08-20,0,17,1
2021-08-21,0,6,0
2021-08-22,0,4,1
2021-08-23,3,15,0
2021-08-24,0,18,1
2021-08-25,0,5,0
2021-08-26,0,25,0
2021-08-27,0,15,0
2021-08-28,0,1,0
2021-08-29,0,1,0
2021-08-30,0,4,0
2021-08-31,5,20,0
2021-09-01,6,9,0
2021-09-02,1,30,0
2021-09-03,1,14,0
2021-09-04,5,3,0
2021-09-05,4,8,0
2021-09-06,1,10,0
2021-09-07,7,29,0
2021-09-08,5,10,0
2021-09-09,0,26,0
2021-09-10,0,15,0
2021-09-11,0,2,0
2021-09-12,0,7,0
2021-09-13,0,7,0
2021-09-14,0,8,0
2021-09-15,0,19,0
2021-09-16,0,37,0
2021-09-17,3,8,0
2021-09-18,1,2,0
2021-09-19,3,2,0
2021-09-20,4,19,0
2021-09-21,2,28,0
2021-09-22,3,11,0
2021-09-23,7,18,0
2021-09-24,1,19,0
2021-09-25,3,11,0
2021-09-26,0,8,0
2021-09-27,0,21,0
2021-09-28,1,39,0
2021-09-29,7,49,0
2021-09-30,0,17,0
2021-10-01,0,11,0
2021-10-02,0,2,0
2021-10-03,0,4,0
2021-10-04,0,16,0
2021-10-05,3,42,2
2021-10-06,2,18,0
2021-10-07,0,15,0
2021-10-08,0,10,0
2021-10-09,1,1,0
2021-10-10,1,0,0
2021-10-11,0,24,0
2021-10-12,0,16,0
2021-10-13,0,14,0
2021-10-14,0,6,0
2021-10-15,0,18,0
2021-10-16,0,6,0
2021-10-17,0,4,0
2021-10-18,0,11,2
2021-10-19,0,12,0
2021-10-20,0,21,0
2021-10-21,0,27,0
2021-10-22,2,24,1
2021-10-23,0,1,0
2021-10-24,1,1,0
2021-10-25,0,12,0
2021-10-26,0,4,0
2021-10-27,0,3,0
2021-10-28,0,11,0
2021-10-29,0,6,0
2021-10-30,0,2,0
2021-10-31,0,2,0
2021-11-01,0,6,0
2021-11-02,0,9,0
2021-11-03,1,26,0
2021-11-04,0,8,0
2021-11-05,0,2,0
2021-11-06,0,2,10
2021-11-07,0,1,0
2021-11-08,0,16,0
2021-11-09,0,22,2
2021-11-10,0,18,0
2021-11-11,0,5,0
2021-11-12,0,39,13
2021-11-13,0,5,11
2021-11-14,0,6,7
2021-11-15,0,23,4
2021-11-16,0,19,0
2021-11-17,3,18,0
2021-11-18,1,10,0
2021-11-19,0,5,0
2021-11-20,0,3,0
2021-11-21,0,8,0
2021-11-22,1,9,0
2021-11-23,0,5,1
2021-11-24,0,11,0
2021-11-25,0,22,21
2021-11-26,0,11,15
2021-11-27,0,1,11
2021-11-28,0,7,13
2021-11-29,0,19,19
2021-11-30,0,21,4
2021-12-01,0,28,2
2021-12-02,0,27,1
2021-12-03,0,29,0
2021-12-04,0,0,0
2021-12-05,0,16,0
2021-12-06,0,33,0
2021-12-07,0,46,5
2021-12-08,0,28,10
2021-12-09,0,27,16
2021-12-10,0,30,18
2021-12-11,0,11,2
2021-12-12,0,5,5
2021-12-13,0,22,2
2021-12-14,7,18,0
2021-12-15,0,33,0
2021-12-16,0,22,0
2021-12-17,0,10,47
2021-12-18,0,12,8
2021-12-19,0,1,0
2021-12-20,0,12,0
2021-12-21,0,2,0
2021-12-22,0,8,0
2021-12-23,1,10,0
2021-12-24,2,13,0
2021-12-25,1,3,0
2021-12-26,0,6,0
2021-12-27,0,10,0
2021-12-28,0,15,0
2021-12-29,0,9,19
2021-12-30,0,10,8
2021-12-31,2,4,2
2022-01-01,4,1,0
2022-01-02,1,15,0
2022-01-03,1,14,1
2022-01-04,2,24,12
2022-01-05,3,27,6
2022-01-06,0,16,2
2022-01-07,0,8,0
2022-01-08,0,1,1
2022-01-09,0,5,8
2022-01-10,0,6,11
2022-01-11,0,17,6
2022-01-12,0,19,5
2022-01-13,0,11,6
2022-01-14,0,13,0
2022-01-15,0,3,0
2022-01-16,0,2,5
2022-01-17,0,14,10
2022-01-18,0,7,4
2022-01-19,0,10,3
2022-01-20,0,15,1
2022-01-21,0,0,7
2022-01-22,0,2,0
2022-01-23,1,2,0
2022-01-24,0,17,2
2022-01-25,0,26,2
2022-01-26,0,23,3
2022-01-27,0,7,0
2022-01-28,3,23,0
2022-01-29,0,1,0
2022-01-30,0,2,0
2022-01-31,0,23,0
2022-02-01,0,14,1
2022-02-02,0,14,3
2022-02-03,0,13,2
2022-02-04,0,16,0
2022-02-05,0,7,0
2022-02-06,0,3,0
2022-02-07,0,9,2
2022-02-08,0,13,0
2022-02-09,0,21,0
2022-02-10,0,11,0
2022-02-11,2,12,0
2022-02-12,1,7,0
2022-02-13,0,7,0
2022-02-14,1,30,1
2022-02-15,0,15,3
2022-02-16,2,8,3
2022-02-17,0,20,0
2022-02-18,10,12,0
2022-02-19,0,5,0
2022-02-20,0,10,0
2022-02-21,0,23,0
2022-02-22,1,36,0
2022-02-23,7,17,0
2022-02-24,4,13,0
2022-02-25,1,11,6
2022-02-26,0,0,2
2022-02-27,0,1,0
2022-02-28,0,9,0
2022-03-01,0,5,0
2022-03-02,0,16,5
2022-03-03,0,11,1
2022-03-04,6,5,0
2022-03-05,2,1,0
2022-03-06,1,6,0
2022-03-07,10,17,0
2022-03-08,2,6,0
2022-03-09,2,14,0
2022-03-10,0,25,0
2022-03-11,0,11,0
2022-03-12,0,5,0
2022-03-13,0,7,0
2022-03-14,4,14,0
2022-03-15,1,11,0
2022-03-16,0,27,0
2022-03-17,0,27,0
2022-03-18,0,13,2
2022-03-19,3,0,0
2022-03-20,0,1,0
2022-03-21,2,9,0
2022-03-22,7,19,0
2022-03-23,0,21,0
2022-03-24,1,34,0
2022-03-25,3,36,0
2022-03-26,4,1,0
2022-03-27,0,1,0
2022-03-28,0,18,0
2022-03-29,0,14,0
2022-03-30,13,23,0
2022-03-31,5,13,0
2022-04-01,8,18,0
2022-04-02,6,6,0
2022-04-03,0,5,0
2022-04-04,0,17,0
2022-04-05,0,37,0
2022-04-06,0,32,0
2022-04-07,0,15,0
2022-04-08,0,10,0
2022-04-09,1,2,0
2022-04-10,2,4,0
2022-04-11,0,14,0
2022-04-12,3,5,0
2022-04-13,2,13,0
2022-04-14,10,19,0
2022-04-15,4,12,0
2022-04-16,6,19,0
2022-04-17,3,6,0
2022-04-18,5,11,0
2022-04-19,11,34,0
2022-04-20,7,28,0
2022-04-21,1,27,0
2022-04-22,0,13,0
