,parcel-bundler/parcel,webpack/webpack,rollup/rollup
2017-08-05,2,0,0
2017-08-06,2,2,2
2017-08-07,5,19,1
2017-08-08,0,15,0
2017-08-09,3,9,2
2017-08-10,0,7,1
2017-08-11,1,22,50
2017-08-12,1,5,23
2017-08-13,4,0,5
2017-08-14,2,0,0
2017-08-15,0,1,0
2017-08-16,0,5,3
2017-08-17,0,0,2
2017-08-18,0,0,0
2017-08-19,0,0,2
2017-08-20,0,0,14
2017-08-21,0,1,0
2017-08-22,0,0,1
2017-08-23,0,3,1
2017-08-24,0,1,1
2017-08-25,0,3,3
2017-08-26,0,0,0
2017-08-27,3,1,4
2017-08-28,0,5,8
2017-08-29,0,3,4
2017-08-30,0,1,1
2017-08-31,3,1,5
2017-09-01,2,2,2
2017-09-02,4,0,0
2017-09-03,2,0,0
2017-09-04,8,6,0
2017-09-05,13,0,0
2017-09-06,0,9,0
2017-09-07,4,0,0
2017-09-08,3,3,7
2017-09-09,9,1,1
2017-09-10,0,0,0
2017-09-11,1,10,18
2017-09-12,0,1,0
2017-09-13,8,5,15
2017-09-14,0,21,0
2017-09-15,0,7,1
2017-09-16,1,1,10
2017-09-17,8,7,0
2017-09-18,9,5,0
2017-09-19,0,1,0
2017-09-20,2,1,0
2017-09-21,0,1,0
2017-09-22,0,18,0
2017-09-23,0,0,1
2017-09-24,10,0,0
2017-09-25,5,4,0
2017-09-26,0,0,0
2017-09-27,0,1,0
2017-09-28,0,0,1
2017-09-29,4,1,1
2017-09-30,1,1,0
2017-10-01,0,0,0
2017-10-02,1,0,0
2017-10-03,0,0,0
2017-10-04,0,0,0
2017-10-05,0,2,0
2017-10-06,0,1,1
2017-10-07,0,0,0
2017-10-08,4,0,2
2017-10-09,0,15,0
2017-10-10,0,7,0
2017-10-11,0,20,0
2017-10-12,0,12,0
2017-10-13,0,16,0
2017-10-14,0,1,0
2017-10-15,0,0,0
2017-10-16,0,15,0
2017-10-17,2,14,0
2017-10-18,0,4,0
2017-10-19,4,9,0
2017-10-20,0,2,0
2017-10-21,0,0,0
2017-10-22,0,0,0
2017-10-23,3,1,0
2017-10-24,0,0,0
2017-10-25,1,0,0
2017-10-26,0,0,0
2017-10-27,0,0,0
2017-10-28,0,1,0
2017-10-29,1,0,1
2017-10-30,0,1,0
2017-10-31,0,0,0
2017-11-01,0,0,0
2017-11-02,0,0,0
2017-11-03,0,2,1
2017-11-04,0,0,2
2017-11-05,2,0,1
2017-11-06,0,12,0
2017-11-07,0,5,0
2017-11-08,0,15,86
2017-11-09,0,0,5
2017-11-10,0,13,9
2017-11-11,0,5,8
2017-11-12,0,13,0
2017-11-13,0,0,0
2017-11-14,0,1,3
2017-11-15,0,8,0
2017-11-16,0,10,5
2017-11-17,0,4,4
2017-11-18,1,8,3
2017-11-19,0,7,6
2017-11-20,0,15,7
2017-11-21,0,13,2
2017-11-22,0,6,4
2017-11-23,0,21,1
2017-11-24,0,21,3
2017-11-25,1,4,8
2017-11-26,0,3,0
