,vercel/next.js,nuxt/nuxt,remix-run/remix
2021-10-18,17,39,0
2021-10-19,11,6,2
2021-10-20,16,17,1
2021-10-21,17,12,7
2021-10-22,16,15,3
2021-10-23,7,0,0
2021-10-24,13,5,0
2021-10-25,21,6,2
2021-10-26,41,6,0
2021-10-27,26,19,0
2021-10-28,27,1,0
2021-10-29,14,13,14
2021-10-30,13,0,1
2021-10-31,3,0,0
2021-11-01,14,0,1
2021-11-02,18,23,1
2021-11-03,24,3,0
2021-11-04,14,11,3
2021-11-05,10,8,0
2021-11-06,6,0,0
2021-11-07,2,0,0
2021-11-08,18,5,0
2021-11-09,23,3,5
2021-11-10,6,10,1
2021-11-11,24,5,0
2021-11-12,7,3,0
2021-11-13,5,0,0
2021-11-14,6,0,0
2021-11-15,22,19,0
2021-11-16,15,10,1
2021-11-17,12,3,5
2021-11-18,10,3,14
2021-11-19,10,5,29
2021-11-20,2,0,5
2021-11-21,10,7,5
2021-11-22,8,12,28
2021-11-23,5,6,25
2021-11-24,4,9,19
2021-11-25,8,0,2
2021-11-26,15,0,2
2021-11-27,0,0,7
2021-11-28,3,0,0
2021-11-29,10,13,15
2021-11-30,15,2,2
2021-12-01,8,6,9
2021-12-02,8,1,41
2021-12-03,16,0,38
2021-12-04,6,0,5
2021-12-05,5,0,1
2021-12-06,4,5,10
2021-12-07,13,0,0
2021-12-08,11,0,11
2021-12-09,7,1,4
2021-12-10,7,3,15
2021-12-11,2,0,2
2021-12-12,4,0,5
2021-12-13,11,0,30
2021-12-14,9,2,7
2021-12-15,6,0,30
2021-12-16,17,0,36
2021-12-17,10,10,20
2021-12-18,5,0,4
2021-12-19,2,0,0
2021-12-20,8,9,0
2021-12-21,10,9,0
2021-12-22,8,5,1
2021-12-23,5,5,0
2021-12-24,2,0,0
2021-12-25,1,0,0
2021-12-26,2,0,0
2021-12-27,0,0,0
2021-12-28,2,1,1
2021-12-29,2,0,2
2021-12-30,0,0,2
2021-12-31,1,0,0
2022-01-01,5,0,2
2022-01-02,3,0,1
2022-01-03,9,0,0
2022-01-04,8,0,7
2022-01-05,12,7,9
2022-01-06,7,0,18
2022-01-07,1,1,17
2022-01-08,1,0,11
2022-01-09,0,0,1
2022-01-10,7,0,7
2022-01-11,5,3,2
2022-01-12,14,1,12
2022-01-13,8,4,0
2022-01-14,11,1,3
2022-01-15,1,0,4
2022-01-16,2,0,2
2022-01-17,14,15,3
2022-01-18,3,6,0
2022-01-19,9,5,2
2022-01-20,5,0,12
2022-01-21,12,10,1
2022-01-22,1,0,2
2022-01-23,3,0,0
2022-01-24,12,10,2
2022-01-25,6,6,1
2022-01-26,17,6,4
2022-01-27,28,5,6
2022-01-28,9,2,0
2022-01-29,1,2,2
2022-01-30,2,0,30
2022-01-31,9,6,4
2022-02-01,17,1,13
2022-02-02,17,1,28
2022-02-03,10,7,5
2022-02-04,18,0,2
2022-02-05,14,1,1
2022-02-06,28,0,0
2022-02-07,14,17,1
2022-02-08,17,7,42
2022-02-09,10,3,13
2022-02-10,16,6,39
2022-02-11,15,5,49
2022-02-12,3,1,3
2022-02-13,6,0,0
2022-02-14,11,2,7
2022-02-15,14,5,24
2022-02-16,20,8,21
2022-02-17,23,3,12
2022-02-18,24,5,7
2022-02-19,4,0,2
2022-02-20,0,0,0
2022-02-21,14,5,5
2022-02-22,7,2,12
2022-02-23,7,0,17
2022-02-24,10,2,8
2022-02-25,17,7,8
2022-02-26,4,1,9
2022-02-27,0,1,1
2022-02-28,8,12,8
2022-03-01,10,5,3
2022-03-02,17,1,4
2022-03-03,4,4,14
2022-03-04,3,1,5
2022-03-05,2,0,0
2022-03-06,2,0,0
2022-03-07,10,6,7
2022-03-08,13,10,5
2022-03-09,7,7,3
2022-03-10,9,9,3
2022-03-11,14,9,6
2022-03-12,3,1,2
2022-03-13,2,1,0
2022-03-14,11,12,8
2022-03-15,9,8,33
2022-03-16,11,24,25
2022-03-17,12,9,22
2022-03-18,15,8,39
2022-03-19,2,0,1
2022-03-20,1,0,4
2022-03-21,12,1,14
2022-03-22,9,9,22
2022-03-23,7,4,12
2022-03-24,11,6,7
2022-03-25,6,10,7
2022-03-26,5,0,2
2022-03-27,3,0,6
2022-03-28,15,3,5
2022-03-29,4,1,7
2022-03-30,21,18,0
2022-03-31,28,11,26
2022-04-01,19,9,21
2022-04-02,0,0,0
2022-04-03,0,0,2
2022-04-04,16,9,8
2022-04-05,19,13,17
2022-04-06,21,11,13
2022-04-07,10,27,15
2022-04-08,11,5,2
2022-04-09,1,7,2
2022-04-10,0,0,3
2022-04-11,22,11,9
2022-04-12,15,12,16
2022-04-13,16,10,12
2022-04-14,13,11,12
2022-04-15,15,10,10
2022-04-16,9,1,1
2022-04-17,1,0,3
2022-04-18,3,0,23
2022-04-19,9,14,9
2022-04-20,6,28,12
2022-04-21,11,2,4
2022-04-22,10,10,2
2022-04-23,1,0,1
2022-04-24,2,0,0
2022-04-25,31,6,2
2022-04-26,16,9,3
2022-04-27,28,5,12
2022-04-28,23,0,1
2022-04-29,9,11,8
2022-04-30,5,0,0
2022-05-01,3,0,0
2022-05-02,12,6,6
2022-05-03,11,2,12
2022-05-04,3,0,3
2022-05-05,9,1,8
2022-05-06,2,18,7
2022-05-07,4,2,1
2022-05-08,2,1,1
2022-05-09,4,1,10
2022-05-10,7,1,9
2022-05-11,7,1,8
2022-05-12,10,1,1
2022-05-13,11,3,5
2022-05-14,3,0,4
2022-05-15,1,0,1
2022-05-16,5,0,1
2022-05-17,29,1,17
2022-05-18,5,2,17
2022-05-19,15,0,21
2022-05-20,5,11,6
2022-05-21,3,0,5
2022-05-22,31,0,4
2022-05-23,27,1,6
2022-05-24,14,3,2
2022-05-25,5,1,0
2022-05-26,12,0,0
2022-05-27,12,0,1
2022-05-28,1,0,1
2022-05-29,20,0,0
2022-05-30,10,3,1
2022-05-31,10,6,0
2022-06-01,9,1,6
2022-06-02,8,0,2
2022-06-03,4,6,0
2022-06-04,2,0,2
2022-06-05,1,0,0
2022-06-06,16,0,1
2022-06-07,7,1,7
2022-06-08,20,7,3
2022-06-09,7,5,3
2022-06-10,9,13,2
2022-06-11,4,1,8
2022-06-12,1,5,0
2022-06-13,17,4,1
2022-06-14,17,0,7
2022-06-15,11,7,15
2022-06-16,16,1,8
2022-06-17,7,1,2
2022-06-18,3,0,0
2022-06-19,7,0,0
2022-06-20,17,1,7
2022-06-21,16,0,12
2022-06-22,13,5,7
2022-06-23,20,2,8
2022-06-24,35,0,4
2022-06-25,5,0,2
2022-06-26,13,0,0
2022-06-27,47,10,0
2022-06-28,29,0,15
2022-06-29,40,0,5
2022-06-30,21,2,3
2022-07-01,3,3,3
2022-07-02,3,0,7
2022-07-03,1,0,0
2022-07-04,6,0,0
2022-07-05,18,0,7
2022-07-06,28,10,5
2022-07-07,13,13,21
2022-07-08,28,1,1
2022-07-09,9,0,2
2022-07-10,2,0,2
2022-07-11,29,5,8
2022-07-12,21,11,4
2022-07-13,101,9,6
2022-07-14,20,6,11
2022-07-15,13,5,3
2022-07-16,4,0,4
2022-07-17,1,5,2
2022-07-18,52,2,15
2022-07-19,28,2,8
2022-07-20,29,4,6
2022-07-21,23,16,5
2022-07-22,19,4,5
2022-07-23,1,1,0
2022-07-24,1,0,2
2022-07-25,12,10,1
2022-07-26,15,7,2
2022-07-27,23,7,6
2022-07-28,17,2,1
2022-07-29,13,9,6
2022-07-30,3,0,10
2022-07-31,8,0,0
2022-08-01,13,2,0
2022-08-02,12,12,2
2022-08-03,15,3,3
2022-08-04,17,8,5
2022-08-05,13,4,2
2022-08-06,3,0,2
2022-08-07,8,6,1
2022-08-08,22,10,5
2022-08-09,17,7,2
2022-08-10,18,6,4
2022-08-11,22,13,0
2022-08-12,21,9,12
2022-08-13,3,4,0
2022-08-14,2,1,0
2022-08-15,10,11,9
2022-08-16,18,5,3
2022-08-17,6,7,7
2022-08-18,7,6,5
2022-08-19,1,0,2
2022-08-20,4,0,1
2022-08-21,7,0,0
2022-08-22,24,9,0
2022-08-23,24,11,0
2022-08-24,23,5,15
2022-08-25,12,3,16
2022-08-26,26,9,5
2022-08-27,2,0,0
2022-08-28,7,0,0
2022-08-29,12,7,3
2022-08-30,15,6,1
2022-08-31,11,6,1
2022-09-01,7,6,0
2022-09-02,5,2,0
2022-09-03,3,12,5
2022-09-04,1,3,0
2022-09-05,12,18,0
2022-09-06,21,9,1
2022-09-07,18,14,9
2022-09-08,41,10,7
2022-09-09,11,4,1
2022-09-10,0,5,0
2022-09-11,1,0,1
2022-09-12,16,13,1
2022-09-13,15,6,0
2022-09-14,15,17,4
2022-09-15,16,15,10
2022-09-16,19,11,5
2022-09-17,0,0,1
2022-09-18,5,0,2
2022-09-19,32,8,2
2022-09-20,15,13,5
2022-09-21,22,4,12
2022-09-22,23,9,0
2022-09-23,15,0,0
2022-09-24,3,0,1
2022-09-25,2,0,0
2022-09-26,16,10,4
2022-09-27,32,0,3
2022-09-28,36,0,1
2022-09-29,31,0,4
2022-09-30,37,3,0
2022-10-01,18,1,0
2022-10-02,8,0,0
2022-10-03,10,13,0
2022-10-04,13,0,0
2022-10-05,10,0,1
2022-10-06,25,5,0
2022-10-07,19,10,0
2022-10-08,2,3,0
2022-10-09,4,4,0
2022-10-10,22,7,0
2022-10-11,31,5,1
2022-10-12,13,7,5
2022-10-13,47,8,3
2022-10-14,14,3,1
2022-10-15,16,9,1
2022-10-16,6,5,0
2022-10-17,24,13,3
2022-10-18,47,11,2
2022-10-19,35,18,5
2022-10-20,39,0,5
2022-10-21,42,7,3
2022-10-22,25,0,0
2022-10-23,14,0,0
2022-10-24,55,9,0
2022-10-25,58,6,2
2022-10-26,17,10,4
2022-10-27,39,3,6
2022-10-28,48,0,6
2022-10-29,16,0,0
2022-10-30,20,0,0
2022-10-31,23,0,1
2022-11-01,8,0,4
2022-11-02,25,6,1
2022-11-03,37,14,4
2022-11-04,16,3,0
2022-11-05,1,0,1
2022-11-06,6,0,0
2022-11-07,19,5,0
2022-11-08,20,4,3
2022-11-09,13,15,2
2022-11-10,24,20,10
2022-11-11,8,2,0
2022-11-12,4,0,1
2022-11-13,0,0,1
2022-11-14,27,7,3
2022-11-15,13,10,3
2022-11-16,22,29,4
2022-11-17,10,11,7
2022-11-18,16,1,8
2022-11-19,4,1,5
2022-11-20,5,0,1
2022-11-21,13,12,3
2022-11-22,20,1,0
2022-11-23,23,2,0
2022-11-24,9,3,0
2022-11-25,12,1,1
2022-11-26,4,0,0
2022-11-27,1,0,0
2022-11-28,11,5,4
2022-11-29,21,2,1
2022-11-30,10,10,17
2022-12-01,24,2,3
2022-12-02,17,3,12
2022-12-03,8,1,1
2022-12-04,7,1,0
2022-12-05,16,7,11
2022-12-06,12,7,5
2022-12-07,23,1,18
2022-12-08,23,1,3
2022-12-09,16,0,7
2022-12-10,5,3,4
2022-12-11,1,3,1
2022-12-12,22,8,5
2022-12-13,24,2,10
2022-12-14,11,4,8
2022-12-15,13,3,5
2022-12-16,13,1,23
2022-12-17,6,0,1
2022-12-18,8,0,0
2022-12-19,29,4,5
2022-12-20,33,3,3
2022-12-21,26,1,8
2022-12-22,16,3,4
2022-12-23,8,2,8
2022-12-24,3,0,0
2022-12-25,0,0,2
2022-12-26,0,0,0
2022-12-27,2,0,0
2022-12-28,1,0,0
2022-12-29,0,1,0
2022-12-30,3,0,0
2022-12-31,4,0,0
2023-01-01,2,0,1
2023-01-02,0,7,2
2023-01-03,24,5,3
2023-01-04,11,5,14
2023-01-05,14,2,3
2023-01-06,25,2,3
2023-01-07,2,0,0
2023-01-08,1,0,0
2023-01-09,10,5,3
2023-01-10,17,5,12
2023-01-11,12,4,10
2023-01-12,35,3,0
2023-01-13,15,6,11
2023-01-14,6,6,0
2023-01-15,1,0,0
2023-01-16,13,6,0
2023-01-17,20,2,3
2023-01-18,16,0,25
2023-01-19,22,14,21
2023-01-20,32,9,6
2023-01-21,9,9,9
2023-01-22,2,2,4
2023-01-23,17,9,13
2023-01-24,23,11,8
2023-01-25,18,9,15
2023-01-26,25,4,7
2023-01-27,30,0,3
2023-01-28,23,2,8
2023-01-29,4,1,1
2023-01-30,13,10,16
2023-01-31,17,5,1
2023-02-01,27,4,7
2023-02-02,27,5,6
2023-02-03,16,5,0
2023-02-04,5,6,0
2023-02-05,2,1,1
2023-02-06,20,10,6
2023-02-07,35,9,6
2023-02-08,16,3,3
2023-02-09,20,7,10
2023-02-10,28,4,1
2023-02-11,10,0,0
2023-02-12,3,2,3
2023-02-13,26,6,1
2023-02-14,28,7,3
2023-02-15,32,3,6
2023-02-16,27,15,4
2023-02-17,30,7,3
2023-02-18,22,0,0
2023-02-19,4,0,0
2023-02-20,13,6,0
2023-02-21,20,4,3
2023-02-22,51,2,3
2023-02-23,37,0,4
2023-02-24,18,1,2
2023-02-25,14,0,0
2023-02-26,1,0,0
2023-02-27,25,4,6
2023-02-28,24,4,1
2023-03-01,36,7,7
2023-03-02,44,3,1
2023-03-03,10,16,1
2023-03-04,15,3,1
2023-03-05,8,3,0
2023-03-06,13,5,4
2023-03-07,37,11,2
2023-03-08,29,7,3
2023-03-09,20,14,12
2023-03-10,16,7,6
2023-03-11,3,8,1
2023-03-12,1,4,0
2023-03-13,26,4,6
2023-03-14,16,10,18
2023-03-15,6,9,22
2023-03-16,19,3,2
2023-03-17,28,7,2
2023-03-18,1,4,1
2023-03-19,3,8,1
2023-03-20,23,7,4
2023-03-21,20,2,14
2023-03-22,23,3,4
2023-03-23,23,9,3
2023-03-24,31,2,8
2023-03-25,12,0,1
2023-03-26,2,0,4
2023-03-27,25,0,3
2023-03-28,17,6,2
2023-03-29,12,1,0
2023-03-30,21,3,6
2023-03-31,31,6,11
2023-04-01,18,3,2
2023-04-02,14,4,0
2023-04-03,17,8,4
2023-04-04,23,8,0
2023-04-05,33,0,1
2023-04-06,32,9,0
2023-04-07,14,10,2
2023-04-08,4,2,3
2023-04-09,0,0,0
2023-04-10,6,8,4
2023-04-11,10,12,8
2023-04-12,19,2,6
2023-04-13,17,5,6
2023-04-14,22,3,4
2023-04-15,2,4,0
2023-04-16,1,1,1
2023-04-17,20,0,6
2023-04-18,22,2,3
2023-04-19,17,10,5
2023-04-20,19,12,6
2023-04-21,23,0,4
2023-04-22,1,0,0
2023-04-23,6,0,0
2023-04-24,19,5,8
2023-04-25,16,7,15
2023-04-26,25,7,23
2023-04-27,22,2,16
2023-04-28,22,3,4
2023-04-29,10,10,5
2023-04-30,6,4,1
2023-05-01,31,8,15
2023-05-02,26,3,11
2023-05-03,43,3,6
2023-05-04,44,5,6
2023-05-05,9,5,5
2023-05-06,1,1,4
2023-05-07,2,0,0
2023-05-08,18,1,3
2023-05-09,22,6,1
2023-05-10,22,9,0
2023-05-11,23,8,1
2023-05-12,9,0,0
2023-05-13,5,4,1
2023-05-14,0,3,0
2023-05-15,14,15,8
2023-05-16,9,8,6
2023-05-17,9,8,5
2023-05-18,11,7,0
2023-05-19,19,3,1
2023-05-20,2,6,0
2023-05-21,3,1,0
2023-05-22,15,11,4
2023-05-23,23,0,5
2023-05-24,16,0,6
2023-05-25,18,6,14
2023-05-26,15,1,4
2023-05-27,3,1,0
2023-05-28,7,4,1
2023-05-29,2,1,0
2023-05-30,8,5,0
2023-05-31,10,5,6
2023-06-01,9,0,5
2023-06-02,12,3,8
2023-06-03,0,0,0
2023-06-04,0,2,0
2023-06-05,14,8,0
2023-06-06,20,5,8
2023-06-07,9,13,1
2023-06-08,35,4,6
2023-06-09,30,9,0
2023-06-10,13,6,0
2023-06-11,3,4,1
2023-06-12,28,1,1
2023-06-13,22,0,4
2023-06-14,57,5,9
2023-06-15,20,2,7
2023-06-16,16,5,6
2023-06-17,0,4,1
2023-06-18,0,2,0
2023-06-19,17,7,2
2023-06-20,13,13,4
2023-06-21,19,3,8
2023-06-22,24,6,4
2023-06-23,24,5,1
2023-06-24,12,1,0
2023-06-25,7,9,0
2023-06-26,13,6,4
2023-06-27,16,5,1
2023-06-28,19,6,2
2023-06-29,31,2,9
2023-06-30,20,1,7
2023-07-01,2,1,0
2023-07-02,3,5,0
2023-07-03,17,4,5
2023-07-04,24,4,2
2023-07-05,25,10,11
2023-07-06,32,8,4
2023-07-07,20,4,0
2023-07-08,1,0,1
2023-07-09,9,0,0
2023-07-10,28,2,3
2023-07-11,9,0,12
2023-07-12,22,2,4
2023-07-13,11,4,6
2023-07-14,9,5,2
2023-07-15,1,1,1
2023-07-16,3,0,1
2023-07-17,16,0,6
2023-07-18,18,8,2
2023-07-19,18,5,8
2023-07-20,17,8,15
2023-07-21,25,1,26
2023-07-22,7,0,0
2023-07-23,4,1,1
2023-07-24,16,5,3
2023-07-25,7,6,1
2023-07-26,19,5,5
2023-07-27,15,0,0
2023-07-28,15,2,1
2023-07-29,8,5,1
2023-07-30,4,13,5
2023-07-31,14,12,13
2023-08-01,20,2,13
2023-08-02,21,2,9
2023-08-03,20,8,8
2023-08-04,26,4,11
2023-08-05,5,6,0
2023-08-06,5,1,0
2023-08-07,25,10,6
2023-08-08,11,9,22
2023-08-09,18,4,18
2023-08-10,8,3,6
2023-08-11,19,5,3
2023-08-12,6,4,1
2023-08-13,0,3,2
2023-08-14,29,4,10
2023-08-15,19,4,6
2023-08-16,20,2,25
2023-08-17,20,3,0
2023-08-18,16,1,2
2023-08-19,4,1,5
2023-08-20,10,0,0
2023-08-21,17,0,3
2023-08-22,16,0,28
2023-08-23,15,8,13
2023-08-24,24,7,5
2023-08-25,21,10,36
2023-08-26,6,1,1
2023-08-27,11,1,0
2023-08-28,16,2,13
2023-08-29,22,2,6
2023-08-30,24,6,10
2023-08-31,17,3,14
2023-09-01,22,1,5
2023-09-02,9,0,0
2023-09-03,9,0,2
2023-09-04,10,12,0
2023-09-05,17,6,11
2023-09-06,17,3,5
2023-09-07,13,2,6
2023-09-08,15,1,4
2023-09-09,1,0,0
2023-09-10,4,2,0
2023-09-11,14,11,2
2023-09-12,19,8,0
2023-09-13,16,5,10
2023-09-14,40,7,0
2023-09-15,18,4,15
2023-09-16,5,2,1
2023-09-17,1,2,0
2023-09-18,33,2,10
2023-09-19,24,6,9
2023-09-20,26,1,10
2023-09-21,24,3,8
2023-09-22,20,5,0
2023-09-23,8,2,0
2023-09-24,4,0,0
2023-09-25,19,0,0
2023-09-26,35,3,0
2023-09-27,25,4,12
2023-09-28,33,8,14
2023-09-29,21,2,0
2023-09-30,5,1,3
2023-10-01,1,2,0
2023-10-02,26,7,2
2023-10-03,16,2,3
2023-10-04,16,0,0
2023-10-05,10,1,2
2023-10-06,22,1,0
2023-10-07,9,0,0
2023-10-08,0,0,0
2023-10-09,5,0,0
2023-10-10,15,5,2
2023-10-11,9,4,1
2023-10-12,28,8,10
2023-10-13,19,2,3
2023-10-14,8,0,0
2023-10-15,3,1,2
2023-10-16,16,9,8
2023-10-17,22,7,3
2023-10-18,14,11,2
2023-10-19,21,7,2
2023-10-20,29,9,5
2023-10-21,19,2,1
2023-10-22,7,4,1
2023-10-23,42,9,4
2023-10-24,40,0,2
2023-10-25,32,9,3
2023-10-26,60,2,5
2023-10-27,16,3,5
2023-10-28,6,1,7
2023-10-29,3,0,0
2023-10-30,17,7,12
2023-10-31,24,6,12
2023-11-01,22,1,0
2023-11-02,11,3,6
2023-11-03,14,6,4
2023-11-04,4,0,0
2023-11-05,7,0,1
2023-11-06,18,2,6
2023-11-07,19,4,5
2023-11-08,35,5,1
2023-11-09,20,4,3
2023-11-10,9,0,4
2023-11-11,2,0,0
2023-11-12,5,0,0
2023-11-13,10,5,7
2023-11-14,8,4,11
2023-11-15,14,6,4
2023-11-16,41,10,11
2023-11-17,24,0,1
2023-11-18,4,2,0
2023-11-19,1,0,1
2023-11-20,6,10,10
2023-11-21,12,1,11
2023-11-22,21,2,11
2023-11-23,12,5,2
2023-11-24,12,1,1
2023-11-25,1,0,1
2023-11-26,3,0,5
2023-11-27,15,1,2
2023-11-28,21,7,7
2023-11-29,24,5,1
2023-11-30,15,1,7
2023-12-01,19,2,5
2023-12-02,5,1,2
2023-12-03,4,0,2
2023-12-04,24,0,4
2023-12-05,17,6,13
2023-12-06,28,1,11
2023-12-07,15,1,9
2023-12-08,14,4,4
2023-12-09,3,1,0
2023-12-10,0,1,0
2023-12-11,12,2,2
2023-12-12,13,3,7
2023-12-13,25,1,13
2023-12-14,8,20,4
2023-12-15,12,4,4
2023-12-16,2,3,0
2023-12-17,2,0,2
2023-12-18,11,4,8
2023-12-19,7,11,0
2023-12-20,17,6,0
2023-12-21,4,3,14
2023-12-22,16,0,5
2023-12-23,4,2,0
2023-12-24,10,0,0
2023-12-25,3,3,0
2023-12-26,2,3,0
2023-12-27,9,0,0
2023-12-28,5,2,0
2023-12-29,2,4,0
2023-12-30,2,0,0
2023-12-31,6,0,0
2024-01-01,5,5,1
2024-01-02,23,9,9
2024-01-03,25,2,11
2024-01-04,31,1,2
2024-01-05,16,4,5
2024-01-06,16,0,0
2024-01-07,4,0,0
2024-01-08,20,2,4
