,mrdoob/three.js,playcanvas/engine,BabylonJS/Babylon.js
2017-09-27,5,0,21
2017-09-28,7,1,12
2017-09-29,10,2,20
2017-09-30,9,0,0
2017-10-01,5,0,0
2017-10-02,15,0,5
2017-10-03,11,0,19
2017-10-04,12,0,6
2017-10-05,16,0,6
2017-10-06,9,0,24
2017-10-07,2,0,3
2017-10-08,5,0,10
2017-10-09,9,0,17
2017-10-10,30,0,23
2017-10-11,2,0,37
2017-10-12,7,0,13
2017-10-13,7,3,19
2017-10-14,11,0,6
2017-10-15,3,0,5
2017-10-16,11,0,42
2017-10-17,10,1,12
2017-10-18,16,6,21
2017-10-19,7,7,9
2017-10-20,10,4,21
2017-10-21,12,1,1
2017-10-22,7,0,6
2017-10-23,19,4,29
2017-10-24,30,10,26
2017-10-25,15,7,15
2017-10-26,46,1,27
2017-10-27,9,6,27
2017-10-28,2,1,3
2017-10-29,3,0,2
2017-10-30,18,11,27
2017-10-31,54,6,10
2017-11-01,32,5,27
2017-11-02,14,5,18
2017-11-03,9,5,19
2017-11-04,4,0,1
2017-11-05,22,0,0
2017-11-06,1,0,21
2017-11-07,2,1,11
2017-11-08,18,7,37
2017-11-09,12,5,25
2017-11-10,13,6,29
2017-11-11,3,0,6
2017-11-12,4,0,0
2017-11-13,5,4,29
2017-11-14,2,7,33
2017-11-15,42,4,15
2017-11-16,4,5,42
2017-11-17,15,3,29
2017-11-18,13,0,3
2017-11-19,11,0,12
2017-11-20,8,10,32
2017-11-21,15,3,37
2017-11-22,27,6,27
2017-11-23,21,13,19
2017-11-24,12,0,6
2017-11-25,10,0,2
2017-11-26,17,0,1
2017-11-27,16,1,12
2017-11-28,16,10,9
2017-11-29,12,8,12
2017-11-30,6,9,36
2017-12-01,4,0,17
2017-12-02,5,0,6
2017-12-03,11,0,10
2017-12-04,18,7,17
2017-12-05,27,3,36
2017-12-06,13,0,35
2017-12-07,17,3,32
2017-12-08,12,0,17
2017-12-09,0,2,7
2017-12-10,5,2,3
2017-12-11,1,4,19
2017-12-12,38,5,36
2017-12-13,5,4,23
2017-12-14,5,9,20
2017-12-15,11,5,14
2017-12-16,9,0,1
2017-12-17,5,0,1
2017-12-18,29,1,20
2017-12-19,11,3,26
2017-12-20,11,6,21
2017-12-21,15,7,25
2017-12-22,30,2,7
2017-12-23,1,0,6
2017-12-24,1,0,8
2017-12-25,11,0,8
2017-12-26,5,0,2
2017-12-27,9,0,4
2017-12-28,18,0,5
2017-12-29,16,2,14
2017-12-30,12,1,1
2017-12-31,20,1,24
2018-01-01,12,0,1
2018-01-02,13,1,14
2018-01-03,20,1,12
2018-01-04,9,5,27
2018-01-05,16,0,22
2018-01-06,7,0,4
2018-01-07,6,0,1
2018-01-08,22,2,40
2018-01-09,9,3,29
2018-01-10,12,0,18
2018-01-11,16,10,21
2018-01-12,18,2,19
2018-01-13,14,0,7
2018-01-14,2,0,8
2018-01-15,12,2,12
2018-01-16,12,4,34
2018-01-17,14,5,22
2018-01-18,10,2,49
2018-01-19,9,2,21
2018-01-20,8,0,13
2018-01-21,12,0,1
2018-01-22,6,3,28
2018-01-23,9,7,51
2018-01-24,8,5,45
2018-01-25,4,1,50
2018-01-26,10,1,36
2018-01-27,0,0,3
2018-01-28,2,0,0
2018-01-29,6,2,54
2018-01-30,13,1,39
2018-01-31,16,0,38
2018-02-01,14,0,27
2018-02-02,7,1,23
2018-02-03,10,0,1
2018-02-04,11,0,2
2018-02-05,18,3,15
2018-02-06,23,4,16
2018-02-07,13,15,32
2018-02-08,27,0,8
2018-02-09,17,5,19
2018-02-10,16,0,5
2018-02-11,3,0,4
2018-02-12,19,4,36
2018-02-13,29,5,22
2018-02-14,40,0,18
2018-02-15,5,2,49
2018-02-16,25,0,16
2018-02-17,11,0,3
2018-02-18,10,0,4
2018-02-19,13,0,10
2018-02-20,12,1,17
2018-02-21,28,7,29
2018-02-22,28,3,6
