,grafana/grafana,elastic/kibana,getsentry/sentry
2013-08-22,8,0,0.0
2013-08-23,9,0,0.0
2013-08-24,1,0,17.0
2013-08-25,0,0,15.600000000000001
2013-08-26,30,0,-0.16000000000000014
2013-08-27,16,0,0.6639999999999979
2013-08-28,5,0,32.3168
2013-08-29,4,0,-8.632511999999998
2013-08-30,19,0,-3.992473600000003
2013-08-31,0,0,-1.6179814400000017
2013-09-01,0,0,-2.1464867839999995
2013-09-02,1,0,-0.6254542847999986
2013-09-03,3,0,-0.3395710975999995
2013-09-04,4,0,3.9740672
2013-09-05,0,0,-1.7069833215999977
2013-09-06,5,0,-0.9384560639999991
2013-09-07,1,0,-0.31606272000000024
2013-09-08,0,0,-0.22835251200000004
2013-09-09,1,0,-0.17750487040000007
2013-09-10,1,0,3.866541568
2013-09-11,12,0,0.08850933760000024
2013-09-12,1,0,-0.6044079104
2013-09-13,9,0,-0.334346752
2013-09-14,1,0,1.8175999999999999
2013-09-15,8,0,36.464256
2013-09-16,17,0,-7.667251199999999
2013-09-17,10,0,5.855864319999997
2013-09-18,0,0,-3.717677568000001
2013-09-19,9,0,3.9214628863999987
2013-09-20,13,0,6.3698410496
2013-09-21,0,0,-3.3721190400000003
2013-09-22,0,0,4.107111935999999
2013-09-23,4,0,-2.574743244799998
2013-09-24,0,0,-1.5493224447999996
2013-09-25,3,0,-0.7698862079999997
2013-09-26,2,0,-0.5992436736
2013-09-27,1,2,0.6081172480000002
2013-09-28,0,0,-0.5268783103999992
2013-09-29,1,0,7.7062155264
2013-09-30,7,2,-0.7343262719999992
2013-10-01,3,1,-0.9484161024000003
2013-10-02,0,2,1.5104639999999996
2013-10-03,0,0,-0.7372288
2013-10-04,0,0,-0.41481472000000025
2013-10-05,1,0,0.7006458879999999
2013-10-06,0,0,-0.43551191040000004
2013-10-07,1,1,-0.26310041599999967
2013-10-08,1,0,1.7969998848000004
2013-10-09,5,0,12.5200772096
2013-10-10,2,0,0.18568857600000044
2013-10-11,4,0,4.218632499199999
2013-10-12,3,0,-2.1481267200000005
2013-10-13,0,0,-1.1262597120000006
2013-10-14,3,0,14.2259050496
2013-10-15,6,0,5.422364160000001
2013-10-16,3,0,-1.4633251840000008
2013-10-17,8,0,-0.2253319168000001
2013-10-18,1,0,5.1971749888000005
2013-10-19,0,0,5.534825676800001
2013-10-20,0,0,16.0657278976
2013-10-21,3,0,5.667968
2013-10-22,3,0,-4.79928576
2013-10-23,4,0,-1.6307927040000005
2013-10-24,3,0,0.11145738239999958
2013-10-25,7,0,5.329584435199999
2013-10-26,0,0,-0.5381096447999996
2013-10-27,0,0,3.1616883712
2013-10-28,3,4,-2.148051251199999
2013-10-29,2,0,2.802116710400001
2013-10-30,9,0,-1.4808991743999997
2013-10-31,1,2,-0.7303147520000004
