,hashicorp/consul,etcd-io/etcd,apache/zookeeper
2021-11-04,7,0,0
2021-11-05,13,0,0
2021-11-06,1,0,1
2021-11-07,0,0,0
2021-11-08,6,0,0
2021-11-09,15,4,0
2021-11-10,18,1,0
2021-11-11,6,0,0
2021-11-12,12,1,0
2021-11-13,0,0,1
2021-11-14,1,3,0
2021-11-15,3,4,0
2021-11-16,23,1,0
2021-11-17,12,1,0
2021-11-18,7,0,0
2021-11-19,3,0,0
2021-11-20,1,0,0
2021-11-21,4,2,1
2021-11-22,7,0,0
2021-11-23,2,0,0
2021-11-24,5,4,0
2021-11-25,2,1,0
2021-11-26,7,3,0
2021-11-27,3,0,1
2021-11-28,0,0,0
2021-11-29,9,1,0
2021-11-30,7,0,0
2021-12-01,15,0,0
2021-12-02,24,6,0
2021-12-03,27,1,0
2021-12-04,17,0,0
2021-12-05,0,0,1
2021-12-06,18,0,0
2021-12-07,14,0,0
2021-12-08,18,0,0
2021-12-09,12,1,0
2021-12-10,12,0,0
2021-12-11,1,0,0
2021-12-12,0,0,0
2021-12-13,14,0,0
2021-12-14,33,0,0
2021-12-15,22,3,0
2021-12-16,4,2,0
2021-12-17,14,2,0
2021-12-18,0,1,1
2021-12-19,0,0,0
2021-12-20,4,0,0
2021-12-21,15,7,0
2021-12-22,11,1,0
2021-12-23,0,1,0
2021-12-24,2,1,0
2021-12-25,0,0,0
2021-12-26,0,0,1
2021-12-27,2,2,0
2021-12-28,1,0,0
2021-12-29,0,3,0
2021-12-30,0,0,0
2021-12-31,0,2,0
2022-01-01,0,0,0
2022-01-02,0,0,0
2022-01-03,13,0,0
2022-01-04,12,3,1
2022-01-05,14,0,0
2022-01-06,22,1,0
2022-01-07,8,0,0
2022-01-08,1,0,3
2022-01-09,0,0,0
2022-01-10,40,1,0
2022-01-11,45,0,0
2022-01-12,31,10,0
2022-01-13,13,4,0
2022-01-14,14,8,0
2022-01-15,5,7,0
2022-01-16,0,7,0
2022-01-17,6,11,0
2022-01-18,17,1,0
2022-01-19,13,6,0
2022-01-20,19,11,0
2022-01-21,11,4,0
2022-01-22,6,3,1
2022-01-23,0,0,0
2022-01-24,15,7,0
2022-01-25,4,2,1
2022-01-26,32,10,0
2022-01-27,39,5,3
2022-01-28,7,12,1
2022-01-29,2,0,0
2022-01-30,0,1,0
2022-01-31,9,0,1
2022-02-01,18,5,1
2022-02-02,9,3,1
2022-02-03,27,0,2
2022-02-04,19,0,1
2022-02-05,0,0,0
2022-02-06,0,0,0
2022-02-07,12,1,0
2022-02-08,8,1,0
2022-02-09,5,0,0
2022-02-10,8,1,0
2022-02-11,13,5,1
2022-02-12,0,0,0
2022-02-13,0,3,0
2022-02-14,9,13,1
2022-02-15,12,2,1
2022-02-16,5,2,0
2022-02-17,19,0,1
2022-02-18,12,2,0
2022-02-19,0,0,0
2022-02-20,1,2,0
2022-02-21,3,15,0
2022-02-22,22,9,0
2022-02-23,21,3,0
2022-02-24,20,6,0
2022-02-25,14,5,1
2022-02-26,0,0,0
2022-02-27,0,0,0
2022-02-28,5,4,1
2022-03-01,12,12,2
2022-03-02,7,3,0
2022-03-03,9,1,0
2022-03-04,7,0,1
2022-03-05,0,0,0
2022-03-06,0,0,0
2022-03-07,8,3,0
2022-03-08,2,5,1
2022-03-09,7,5,0
2022-03-10,2,1,0
2022-03-11,10,4,0
2022-03-12,0,1,1
2022-03-13,0,0,0
2022-03-14,2,3,0
2022-03-15,12,5,0
2022-03-16,6,3,0
2022-03-17,3,4,0
2022-03-18,9,16,0
2022-03-19,1,5,0
2022-03-20,0,2,0
2022-03-21,4,5,1
2022-03-22,9,2,0
2022-03-23,13,17,0
2022-03-24,7,6,0
2022-03-25,6,1,0
2022-03-26,1,2,0
2022-03-27,0,0,0
2022-03-28,11,1,1
2022-03-29,7,3,1
2022-03-30,12,0,2
2022-03-31,14,6,0
2022-04-01,8,3,1
2022-04-02,0,7,0
2022-04-03,0,6,0
2022-04-04,8,7,0
2022-04-05,21,5,1
2022-04-06,5,11,1
2022-04-07,13,10,0
2022-04-08,1,9,1
2022-04-09,0,5,1
2022-04-10,0,2,0
2022-04-11,14,3,0
2022-04-12,14,9,0
2022-04-13,9,6,0
2022-04-14,15,1,0
2022-04-15,5,0,0
2022-04-16,0,1,1
2022-04-17,1,2,0
2022-04-18,11,6,0
2022-04-19,3,6,0
2022-04-20,6,3,0
2022-04-21,16,4,0
2022-04-22,16,6,0
2022-04-23,0,4,0
2022-04-24,0,5,0
2022-04-25,8,6,0
2022-04-26,13,3,0
2022-04-27,34,1,0
2022-04-28,6,5,0
2022-04-29,10,2,0
2022-04-30,0,0,0
2022-05-01,0,1,0
2022-05-02,3,1,0
2022-05-03,8,3,0
2022-05-04,11,1,1
2022-05-05,8,14,2
2022-05-06,4,19,2
2022-05-07,0,4,0
2022-05-08,0,0,0
2022-05-09,17,0,0
2022-05-10,9,2,0
2022-05-11,9,4,0
2022-05-12,9,2,0
2022-05-13,11,11,0
2022-05-14,0,0,0
2022-05-15,0,0,0
2022-05-16,7,4,1
2022-05-17,7,2,1
2022-05-18,4,4,0
2022-05-19,13,2,0
2022-05-20,4,23,0
2022-05-21,0,0,0
2022-05-22,0,1,0
2022-05-23,9,0,0
2022-05-24,7,1,1
2022-05-25,16,2,0
2022-05-26,10,0,0
2022-05-27,10,1,0
2022-05-28,0,3,0
2022-05-29,0,0,0
2022-05-30,1,1,0
2022-05-31,9,0,0
2022-06-01,20,0,1
2022-06-02,5,0,0
2022-06-03,2,0,0
2022-06-04,0,1,0
2022-06-05,0,0,0
2022-06-06,11,0,0
2022-06-07,8,5,0
2022-06-08,10,2,0
2022-06-09,6,6,0
2022-06-10,20,3,0
2022-06-11,1,0,0
2022-06-12,0,0,0
2022-06-13,18,29,0
2022-06-14,23,3,0
2022-06-15,23,9,0
2022-06-16,14,4,0
2022-06-17,17,14,2
2022-06-18,1,0,0
2022-06-19,2,0,0
2022-06-20,14,2,1
2022-06-21,49,3,0
2022-06-22,16,2,0
2022-06-23,9,2,0
2022-06-24,8,4,2
2022-06-25,0,2,0
2022-06-26,1,7,0
2022-06-27,8,1,1
2022-06-28,5,2,0
2022-06-29,10,2,0
2022-06-30,2,2,0
2022-07-01,1,0,0
2022-07-02,0,2,0
2022-07-03,0,0,0
2022-07-04,9,4,0
2022-07-05,4,6,0
2022-07-06,7,2,0
2022-07-07,18,2,0
2022-07-08,5,4,0
2022-07-09,0,0,0
2022-07-10,0,1,0
2022-07-11,6,4,0
2022-07-12,8,5,1
2022-07-13,14,6,1
2022-07-14,26,0,0
2022-07-15,12,2,0
2022-07-16,0,0,0
2022-07-17,0,1,0
2022-07-18,10,1,0
2022-07-19,8,3,0
2022-07-20,18,4,0
2022-07-21,28,5,0
2022-07-22,16,1,0
2022-07-23,1,1,0
2022-07-24,0,2,0
2022-07-25,26,6,0
2022-07-26,17,13,1
2022-07-27,24,2,0
2022-07-28,20,4,0
2022-07-29,9,3,0
2022-07-30,0,0,0
2022-07-31,0,7,0
2022-08-01,23,2,0
2022-08-02,34,4,0
2022-08-03,5,1,0
2022-08-04,2,0,0
2022-08-05,20,3,0
2022-08-06,0,4,0
2022-08-07,0,0,0
2022-08-08,50,5,0
2022-08-09,30,1,0
2022-08-10,21,7,0
2022-08-11,14,3,0
2022-08-12,13,1,0
2022-08-13,0,1,0
2022-08-14,2,2,0
2022-08-15,17,5,0
2022-08-16,7,2,0
2022-08-17,5,5,0
2022-08-18,7,6,0
2022-08-19,3,1,0
2022-08-20,0,1,0
2022-08-21,0,1,0
2022-08-22,21,1,0
2022-08-23,18,4,0
2022-08-24,10,8,0
2022-08-25,21,6,0
2022-08-26,28,11,0
2022-08-27,0,5,0
2022-08-28,6,0,0
2022-08-29,30,5,0
2022-08-30,12,4,0
2022-08-31,15,4,0
2022-09-01,17,0,0
2022-09-02,9,0,0
2022-09-03,0,3,0
2022-09-04,0,1,1
2022-09-05,1,4,0
2022-09-06,19,7,0
2022-09-07,8,4,0
2022-09-08,49,3,0
2022-09-09,16,6,0
2022-09-10,0,1,0
2022-09-11,0,0,0
2022-09-12,4,1,0
2022-09-13,31,8,0
2022-09-14,20,9,0
2022-09-15,23,12,0
2022-09-16,13,13,0
2022-09-17,1,7,0
2022-09-18,0,1,0
2022-09-19,4,7,0
2022-09-20,5,49,0
2022-09-21,9,1,0
2022-09-22,4,11,0
2022-09-23,18,3,0
2022-09-24,0,1,0
2022-09-25,0,0,1
2022-09-26,3,5,0
2022-09-27,15,3,0
2022-09-28,18,4,0
2022-09-29,25,8,1
2022-09-30,32,5,0
2022-10-01,1,0,0
2022-10-02,0,0,0
2022-10-03,23,1,0
2022-10-04,33,1,0
2022-10-05,11,3,1
2022-10-06,6,2,0
2022-10-07,14,3,0
2022-10-08,0,1,0
2022-10-09,0,4,0
2022-10-10,10,3,0
2022-10-11,20,0,1
2022-10-12,17,5,0
2022-10-13,97,9,0
2022-10-14,15,6,0
2022-10-15,4,0,0
2022-10-16,0,3,0
2022-10-17,7,15,0
2022-10-18,23,1,0
2022-10-19,17,0,0
2022-10-20,16,6,0
2022-10-21,18,3,0
2022-10-22,3,3,0
2022-10-23,0,8,0
2022-10-24,21,6,0
2022-10-25,17,3,0
2022-10-26,14,10,0
2022-10-27,6,11,0
2022-10-28,5,11,0
2022-10-29,0,4,0
2022-10-30,0,1,0
2022-10-31,7,6,0
2022-11-01,2,3,0
2022-11-02,3,10,1
2022-11-03,3,2,1
