,iterate-ch/cyberduck,aws/aws-cli,rclone/rclone
2016-12-18,5,0,0
2016-12-19,28,3,2
2016-12-20,23,5,2
2016-12-21,18,6,0
2016-12-22,2,7,0
2016-12-23,10,0,0
2016-12-24,0,0,0
2016-12-25,0,0,0
2016-12-26,0,0,0
2016-12-27,1,0,0
2016-12-28,8,2,0
2016-12-29,6,3,0
2016-12-30,5,3,0
2016-12-31,0,0,1
2017-01-01,9,1,0
2017-01-02,35,0,4
2017-01-03,22,3,11
2017-01-04,39,10,1
2017-01-05,12,0,4
2017-01-06,28,5,1
2017-01-07,0,1,0
2017-01-08,0,0,1
2017-01-09,31,0,0
2017-01-10,77,2,4
2017-01-11,40,0,0
2017-01-12,14,0,2
2017-01-13,62,0,0
2017-01-14,12,0,3
2017-01-15,19,0,0
2017-01-16,42,3,6
2017-01-17,65,3,2
2017-01-18,21,5,0
2017-01-19,9,5,4
2017-01-20,3,3,2
2017-01-21,0,0,0
2017-01-22,0,0,0
2017-01-23,0,0,0
2017-01-24,11,0,0
2017-01-25,39,6,0
2017-01-26,2,3,2
2017-01-27,12,3,0
2017-01-28,3,0,0
2017-01-29,3,0,10
2017-01-30,38,4,1
2017-01-31,10,0,0
2017-02-01,6,1,0
2017-02-02,0,0,4
2017-02-03,12,0,3
2017-02-04,11,0,13
2017-02-05,6,0,0
2017-02-06,37,1,0
2017-02-07,9,0,0
2017-02-08,5,3,2
2017-02-09,0,4,2
2017-02-10,14,5,0
2017-02-11,0,0,9
2017-02-12,0,0,4
2017-02-13,10,1,3
2017-02-14,14,4,3
2017-02-15,9,3,5
2017-02-16,9,3,6
2017-02-17,15,7,10
2017-02-18,0,0,4
2017-02-19,0,0,0
2017-02-20,45,1,6
2017-02-21,14,3,0
2017-02-22,18,3,7
2017-02-23,0,8,1
2017-02-24,41,5,1
2017-02-25,2,0,7
2017-02-26,5,0,2
2017-02-27,13,1,2
2017-02-28,14,5,0
2017-03-01,35,0,0
2017-03-02,6,3,4
2017-03-03,21,0,0
2017-03-04,7,0,4
2017-03-05,2,0,3
2017-03-06,35,9,3
2017-03-07,7,3,0
2017-03-08,31,7,0
2017-03-09,1,3,1
2017-03-10,23,4,0
2017-03-11,0,0,1
2017-03-12,1,0,4
2017-03-13,30,6,1
2017-03-14,0,4,0
2017-03-15,1,0,3
2017-03-16,7,0,3
2017-03-17,17,2,0
2017-03-18,1,0,4
2017-03-19,1,0,2
2017-03-20,4,1,0
2017-03-21,2,5,0
2017-03-22,0,4,0
2017-03-23,2,4,0
2017-03-24,3,1,1
2017-03-25,1,0,0
2017-03-26,3,0,0
2017-03-27,1,4,0
2017-03-28,4,5,0
2017-03-29,6,0,13
2017-03-30,6,1,1
2017-03-31,16,6,0
2017-04-01,0,0,0
2017-04-02,0,0,0
2017-04-03,17,7,0
2017-04-04,8,4,0
2017-04-05,16,3,0
2017-04-06,0,3,0
2017-04-07,0,12,0
2017-04-08,10,0,0
2017-04-09,4,0,0
2017-04-10,28,2,2
2017-04-11,34,8,0
2017-04-12,46,14,0
2017-04-13,17,0,0
2017-04-14,1,2,0
2017-04-15,10,0,0
2017-04-16,15,0,0
2017-04-17,33,0,0
2017-04-18,27,3,0
2017-04-19,24,7,0
2017-04-20,7,3,0
2017-04-21,26,5,0
2017-04-22,13,0,9
2017-04-23,1,0,2
2017-04-24,37,1,4
2017-04-25,33,2,4
2017-04-26,56,8,0
2017-04-27,10,2,0
2017-04-28,41,9,0
2017-04-29,0,0,0
2017-04-30,4,0,0
2017-05-01,29,0,0
2017-05-02,34,4,6
2017-05-03,47,0,0
2017-05-04,6,0,0
2017-05-05,16,10,0
2017-05-06,10,0,0
