,highcharts/highcharts,plotly/plotly.js,d3/d3
2016-07-19,0,17,0
2016-07-20,0,8,0
2016-07-21,5,21,0
2016-07-22,16,9,0
2016-07-23,0,0,1
2016-07-24,0,0,0
2016-07-25,14,10,0
2016-07-26,13,3,1
2016-07-27,6,2,0
2016-07-28,0,11,0
2016-07-29,0,10,3
2016-07-30,0,1,0
2016-07-31,0,0,0
2016-08-01,0,15,0
2016-08-02,8,15,0
2016-08-03,3,15,2
2016-08-04,7,41,0
2016-08-05,4,12,0
2016-08-06,3,0,0
2016-08-07,2,0,5
2016-08-08,5,7,0
2016-08-09,1,13,0
2016-08-10,0,14,0
2016-08-11,9,22,1
2016-08-12,6,15,0
2016-08-13,0,9,0
2016-08-14,0,0,0
2016-08-15,7,6,0
2016-08-16,5,1,3
2016-08-17,5,2,0
2016-08-18,9,7,0
2016-08-19,24,21,0
2016-08-20,2,0,0
2016-08-21,4,0,0
2016-08-22,15,16,0
2016-08-23,4,3,0
2016-08-24,5,2,0
2016-08-25,1,0,0
2016-08-26,0,0,0
2016-08-27,0,0,0
2016-08-28,0,0,0
2016-08-29,8,1,0
2016-08-30,9,0,3
2016-08-31,12,0,0
2016-09-01,10,6,0
2016-09-02,8,4,0
2016-09-03,0,0,0
2016-09-04,0,0,0
2016-09-05,9,0,0
2016-09-06,8,58,0
2016-09-07,8,25,0
2016-09-08,1,14,0
2016-09-09,4,13,0
2016-09-10,0,1,0
2016-09-11,5,0,1
2016-09-12,15,10,2
2016-09-13,8,0,0
2016-09-14,5,16,0
2016-09-15,11,10,0
2016-09-16,14,21,0
2016-09-17,4,0,0
2016-09-18,4,0,0
2016-09-19,27,0,6
2016-09-20,8,12,2
2016-09-21,25,17,0
2016-09-22,14,12,2
2016-09-23,23,19,0
2016-09-24,0,0,0
2016-09-25,0,0,0
2016-09-26,14,10,0
2016-09-27,31,3,0
2016-09-28,20,18,0
2016-09-29,20,24,0
2016-09-30,15,11,0
2016-10-01,6,0,0
2016-10-02,0,0,0
2016-10-03,19,20,0
2016-10-04,13,19,0
2016-10-05,19,14,0
2016-10-06,18,23,0
2016-10-07,13,2,1
2016-10-08,0,0,0
2016-10-09,0,0,0
2016-10-10,9,3,0
2016-10-11,2,26,2
2016-10-12,8,12,0
2016-10-13,10,18,0
2016-10-14,23,15,0
2016-10-15,0,1,0
2016-10-16,0,0,0
2016-10-17,5,19,0
2016-10-18,14,12,0
