,balderdashy/sails,hapijs/hapi,expressjs/express
2012-02-17,0.0,5.0,1
2012-02-18,0.0,2.220446049250313e-16,52
2012-02-19,4.0,-0.6000000000000003,3
2012-02-20,2.5999999999999996,9.68,0
2012-02-21,-0.4800000000000004,1.7840000000000003,2
2012-02-22,3.751,0.23871999999999938,1
2012-02-23,1.4318499999999998,1.6723199999999994,7
2012-02-24,3.4935455,0.6069375999999995,3
2012-02-25,1.2950016999999998,-1.21462528,0
2012-02-26,3.3964891775000003,-0.7543664640000002,4
2012-02-27,2.2186536591875,-0.5113237504000002,0
2012-02-28,-0.7668318991906247,-0.39624959999999954,1
2012-02-29,3.549312632392188,5.671543808000001,0
2012-03-01,-0.7134921945624997,-1.3702905855999996,2
2012-03-02,-0.42988534617499935,-0.5819552768000003,0
2012-03-03,-0.2922566496343746,-0.3541834752,0
2012-03-04,3.7807571413250005,-0.2265387008,0
2012-03-05,8.447180954115625,-0.15321600000000007,0
2012-03-06,3.8050516008093744,1.8774271999999999,0
2012-03-07,-0.08857134260781319,-0.50156032,0
2012-03-08,8.2975767479375,0.7536737280000002,0
2012-03-09,-1.3715249101437499,-0.3708161023999998,0
2012-03-10,-0.7345112999999993,-0.1472000000000001,0
2012-03-11,-0.5205791474999993,-0.09907200000000006,0
2012-03-12,-0.4060058308124987,-0.07445760000000004,0
2012-03-13,-0.33339147103437405,-0.05938944000000003,0
2012-03-14,-0.2529830466515618,2.950795776,0
2012-03-15,-0.15140584194531206,2.3581345792,0
2012-03-16,-0.09451366967656225,1.145612288,0
2012-03-17,-0.0755896728234373,-0.7964693504000002,0
2012-03-18,14.0,-0.40480000000000027,0
2012-03-19,-0.40000000000000124,8.726592,0
2012-03-20,4.27,-1.0050944,0
2012-03-21,-0.9440000000000008,-0.08313856000000075,0
2012-03-22,1.4572250000000009,1.1531991039999998,0
2012-03-23,-0.5887969999999995,4.0551753728,0
2012-03-24,-0.3936974249999991,-0.5376074751999997,12
2012-03-25,-0.30605750999999926,4.036066099199999,0
2012-03-26,-0.2521851409687493,13.41449472,0
2012-03-27,-0.2148542297687494,1.166083072000001,2
2012-03-28,-0.08256444261406228,-2.7856761856000007,0
2012-03-29,-0.06418165517968732,-1.476390502400001,7
2012-03-30,-0.01913662603124995,0.9820128255999996,2
2012-03-31,-0.016797705071874957,-1.1669879807999997,0
2012-04-01,0.0,-0.7554800640000001,0
2012-04-02,4.0,3.4635472896,15
2012-04-03,-0.40000000000000036,-0.22999603199999874,4
2012-04-04,-0.18000000000000013,-0.8300508159999994,2
2012-04-05,-0.11400000000000009,-0.3752043520000001,2
2012-04-06,-0.0826499999999997,-0.2162534400000001,0
2012-04-07,-0.06446699999999979,-0.16451942399999994,0
2012-04-08,-0.05264804999999984,-0.13218990079999998,0
2012-04-09,-0.04437478499999987,-0.08813568000000005,0
2012-04-10,-0.0382732520624999,-0.07447756799999977,2
2012-04-11,-0.033595410143749914,-0.0642651135999998,14
2012-04-12,0.0,-0.012469350399999964,1
2012-04-13,4.0,0.0,3
2012-04-14,0.5999999999999996,0.0,0
2012-04-15,11.719999999999999,0.0,8
2012-04-16,0.6409999999999989,0.0,10
2012-04-17,0.1488499999999997,2.0,0
2012-04-18,-0.6171295000000001,-0.3999999999999999,10
2012-04-19,-0.41871479999999894,0.8399999999999999,5
2012-04-20,-0.3207627974999991,-0.29600000000000004,2
2012-04-21,-0.2602070983124992,-0.1472000000000001,0
2012-04-22,0.7812711468406256,-0.09907200000000006,2
2012-04-23,3.741431986276563,-0.07445760000000004,0
2012-04-24,-0.5760165527125001,-0.05938944000000003,1
2012-04-25,-0.23486601808750007,4.9507957760000005,11
2012-04-26,-0.1430613525359375,2.9581345792000002,34
2012-04-27,-0.09876674999999964,-1.2143877120000002,5
2012-04-28,-0.07762901249999975,-0.5724693504000005,1
2012-04-29,-0.06374174624999981,-0.3600000000000002,3
2012-04-30,-0.053943098015624844,0.7379199999999999,1
2012-05-01,-0.04667210459843738,0.5957119999999999,2
2012-05-02,-0.033595410143749914,-0.4463488000000001,5
2012-05-03,0.0,-0.26764543999999985,6
2012-05-04,0.0,-0.20149759999999964,3
2012-05-05,0.0,-0.10901340159999989,1
2012-05-06,0.0,-0.04596480000000003,0
2012-05-07,14.0,-0.03735552000000002,7
2012-05-08,-1.4000000000000012,16.968685568,0
2012-05-09,-0.6300000000000004,5.5731429376,2
2012-05-10,1.6009999999999998,12.8275306496,2
2012-05-11,0.5107250000000009,17.264,3
2012-05-12,1.5843655000000005,-5.6832,2
2012-05-13,-0.4862681749999997,-3.4645120000000027,0
2012-05-14,15.684863252500001,10.749286399999999,1
2012-05-15,0.15614761778124908,-0.26738944000000053,0
2012-05-16,3.878650289496875,17.840815616,0
2012-05-17,4.886417094999999,-6.2312654848,1
2012-05-18,-1.2691543472812494,-3.0440441856000007,0
2012-05-19,-0.7602464105874991,-2.007333990399999,0
2012-05-20,-0.5446736785671865,-1.3620318207999995,0
2012-05-21,-0.42517962007187365,-0.8504879104000005,1
2012-05-22,-0.337790963249999,-0.6837519359999995,0
2012-05-23,-0.28795882285624924,1.4248864768000005,0
2012-05-24,-0.13120144764999964,0.2479806464000015,0
2012-05-25,3.900595859226563,-0.6218563583999994,0
2012-05-26,-0.4503931152156252,-0.17600000000000016,0
2012-05-27,-0.18000000000000013,-0.11520000000000005,2
2012-05-28,18.886,-0.08467200000000004,0
2012-05-29,0.017349999999998644,1.9336064,0
2012-05-30,1.8805329999999993,6.5457177600000005,7
2012-05-31,2.015851949999999,-0.6057021439999997,0
2012-06-01,0.07103771500000122,2.1046735871999998,4
2012-06-02,6.293683497937501,-1.0956693504000001,0
2012-06-03,-1.2083946476437495,-0.5742720000000003,1
2012-06-04,-0.6909420037499991,0.6027903999999997,1
2012-06-05,-0.5119841272968743,-0.50319104,0
2012-06-06,-0.4122362004640613,-0.3242992640000001,9
2012-06-07,-0.20476299536874937,1.7481341952000005,2
2012-06-08,-0.15712928040468704,-0.5860533247999997,4
2012-06-09,-0.11242074437343719,-0.24116848639999994,0
2012-06-10,-0.07537704364531231,-0.15383685119999996,1
2012-06-11,-0.05879196775156235,-0.08412672000000003,1
2012-06-12,0.0,-0.06545971199999996,0
2012-06-13,0.0,-0.05332695039999999,0
2012-06-14,0.0,-0.03385344000000002,3
2012-06-15,0.0,-0.02877542399999988,10
2012-06-16,0.0,-0.02493870079999993,0
2012-06-17,0.0,0.0,3
2012-06-18,0.0,0.0,13
2012-06-19,1.0,0.0,0
2012-06-20,-0.10000000000000009,0.0,0
2012-06-21,-0.04500000000000003,0.0,2
2012-06-22,-0.028500000000000022,1.0,3
2012-06-23,-0.020662499999999924,-0.19999999999999996,0
2012-06-24,-0.016116749999999947,-0.08000000000000007,0
2012-06-25,3.9868379875,-0.048000000000000036,2
2012-06-26,0.5889063037499997,-0.03360000000000001,1
2012-06-27,-0.2895683130156252,-0.025536000000000014,5
2012-06-28,-0.1673988525359376,-0.02042880000000001,0
2012-06-29,-0.11114999999999972,-0.01692672000000001,1
2012-06-30,-0.08512949999999972,-0.01438771199999994,1
2012-07-01,-0.06876479999999979,-0.012469350399999964,0
2012-07-02,-0.05753679749999983,0.0,2
2012-07-03,-0.04936694831249987,0.0,6
2012-07-04,-0.04316372315937489,0.0,3
2012-07-05,-0.008398852535937478,0.0,2
2012-07-06,0.0,0.0,8
2012-07-07,0.0,0.0,0
2012-07-08,1.0,0.0,0
2012-07-09,-0.10000000000000009,0.0,0
2012-07-10,-0.04500000000000003,2.0,0
2012-07-11,-0.028500000000000022,-0.3999999999999999,1
2012-07-12,-0.020662499999999924,-0.16000000000000014,2
2012-07-13,-0.016116749999999947,-0.09600000000000007,4
2012-07-14,-0.01316201249999996,-0.06720000000000002,0
2012-07-15,-0.011093696249999967,-0.05107200000000003,0
2012-07-16,-0.009568313015624975,-0.04085760000000002,2
2012-07-17,-0.008398852535937478,-0.03385344000000002,1
2012-07-18,0.0,7.971224576,3
2012-07-19,0.0,-0.6249387007999996,0
2012-07-20,0.0,4.159999999999999,0
2012-07-21,0.0,-1.4640000000000002,1
2012-07-22,0.0,-0.7168000000000005,0
2012-07-23,0.0,0.5221119999999997,1
2012-07-24,4.0,6.4430336,12
2012-07-25,-0.40000000000000036,4.23647744,1
2012-07-26,-0.18000000000000013,-1.0421724159999997,2
2012-07-27,-0.11400000000000009,2.7516238848,0
