,grafana/grafana,cacti/cacti,netdata/netdata
2013-07-17,6,0,0.0
2013-07-18,8,0,0.0
2013-07-19,0,0,0.0
2013-07-20,4,0,0.0
2013-07-21,0,6,0.0
2013-07-22,10,4,0.0
2013-07-23,15,0,0.0
2013-07-24,7,0,0.0
2013-07-25,3,0,0.0
2013-07-26,7,0,0.0
2013-07-27,6,0,0.0
2013-07-28,0,0,0.0
2013-07-29,18,0,0.0
2013-07-30,7,0,0.0
2013-07-31,4,0,0.0
2013-08-01,2,0,0.0
2013-08-02,2,0,0.0
2013-08-03,0,0,0.0
2013-08-04,0,1,0.0
2013-08-05,0,0,0.0
2013-08-06,0,0,0.0
2013-08-07,4,1,0.0
2013-08-08,0,2,0.0
2013-08-09,2,0,0.0
2013-08-10,0,0,0.0
2013-08-11,0,0,0.0
2013-08-12,0,0,0.0
2013-08-13,2,2,0.0
2013-08-14,8,0,0.0
2013-08-15,0,0,0.0
2013-08-16,6,0,0.0
2013-08-17,0,0,0.0
2013-08-18,0,1,0.0
2013-08-19,0,0,0.0
2013-08-20,5,0,0.0
2013-08-21,4,0,0.0
2013-08-22,8,0,0.0
2013-08-23,9,0,0.0
2013-08-24,1,2,0.0
2013-08-25,0,1,0.0
2013-08-26,30,0,0.0
2013-08-27,16,0,0.0
2013-08-28,5,0,0.0
2013-08-29,4,0,0.0
2013-08-30,19,0,0.0
2013-08-31,0,0,0.0
2013-09-01,0,0,0.0
2013-09-02,1,0,0.0
2013-09-03,3,0,0.0
2013-09-04,4,0,0.0
2013-09-05,0,0,0.0
2013-09-06,5,0,0.0
2013-09-07,1,1,0.0
2013-09-08,0,0,0.0
2013-09-09,1,0,0.0
2013-09-10,1,0,0.0
2013-09-11,12,0,0.0
2013-09-12,1,0,0.0
2013-09-13,9,0,0.0
2013-09-14,1,0,0.0
2013-09-15,8,0,0.0
2013-09-16,17,0,0.0
2013-09-17,10,0,0.0
2013-09-18,0,0,0.0
2013-09-19,9,0,0.0
2013-09-20,13,0,0.0
2013-09-21,0,1,0.0
2013-09-22,0,0,0.0
2013-09-23,4,0,0.0
2013-09-24,0,0,0.0
2013-09-25,3,0,0.0
2013-09-26,2,0,0.0
2013-09-27,1,0,0.0
2013-09-28,0,0,0.0
2013-09-29,1,0,0.0
2013-09-30,7,0,0.0
2013-10-01,3,0,0.0
2013-10-02,0,0,0.0
2013-10-03,0,0,0.0
2013-10-04,0,0,0.0
2013-10-05,1,0,0.0
2013-10-06,0,0,0.0
2013-10-07,1,0,0.0
2013-10-08,1,0,0.0
2013-10-09,5,0,0.0
2013-10-10,2,0,0.0
2013-10-11,4,0,0.0
2013-10-12,3,0,0.0
2013-10-13,0,0,2.0
2013-10-14,3,0,-0.6000000000000001
2013-10-15,6,0,-0.20999999999999985
2013-10-16,3,0,-0.11899999999999994
2013-10-17,8,0,-0.080325
2013-10-18,1,0,-0.05944049999999999
2013-10-19,0,0,-0.04656172499999999
2013-10-20,0,0,-0.037914547500000007
2013-10-21,3,0,-0.03175343353125009
2013-10-22,3,0,10.972833173534376
2013-10-23,4,0,-3.3000000000000007
2013-10-24,3,0,-1.1549999999999991
2013-10-25,7,0,-0.6544999999999996
2013-10-26,0,0,-0.44178749999999994
2013-10-27,0,0,-0.32692275
2013-10-28,3,0,-0.25608948749999993
2013-10-29,2,0,-0.20853001125000004
2013-10-30,9,0,-0.1746438844218755
2013-10-31,1,0,-0.14941754556093775
2013-11-01,8,0,0.0
2013-11-02,0,0,0.0
2013-11-03,0,0,0.0
2013-11-04,2,0,0.0
2013-11-05,3,0,0.0
2013-11-06,3,0,0.0
2013-11-07,4,0,0.0
2013-11-08,1,0,0.0
2013-11-09,0,0,0.0
2013-11-10,0,0,0.0
2013-11-11,0,0,0.0
2013-11-12,1,0,0.0
2013-11-13,1,0,0.0
2013-11-14,2,0,0.0
2013-11-15,7,0,0.0
2013-11-16,0,0,0.0
2013-11-17,0,0,0.0
2013-11-18,0,0,0.0
2013-11-19,4,0,0.0
2013-11-20,0,0,0.0
2013-11-21,0,0,0.0
2013-11-22,0,0,0.0
2013-11-23,1,0,0.0
2013-11-24,0,0,0.0
2013-11-25,1,0,0.0
2013-11-26,2,0,0.0
2013-11-27,0,0,0.0
2013-11-28,0,0,0.0
2013-11-29,2,0,0.0
2013-11-30,0,0,0.0
2013-12-01,0,0,0.0
2013-12-02,6,0,0.0
2013-12-03,12,0,0.0
2013-12-04,7,0,0.0
2013-12-05,2,0,0.0
2013-12-06,6,0,0.0
2013-12-07,2,0,0.0
2013-12-08,4,0,0.0
2013-12-09,5,0,0.0
2013-12-10,5,0,0.0
2013-12-11,4,0,0.0
2013-12-12,5,0,0.0
2013-12-13,4,0,0.0
2013-12-14,0,0,0.0
2013-12-15,3,0,0.0
2013-12-16,3,0,0.0
2013-12-17,4,0,0.0
2013-12-18,0,0,0.0
2013-12-19,2,0,0.0
2013-12-20,6,0,0.0
2013-12-21,1,0,0.0
2013-12-22,4,0,0.0
2013-12-23,7,0,0.0
2013-12-24,11,0,0.0
2013-12-25,4,0,0.0
2013-12-26,10,0,0.0
2013-12-27,7,0,0.0
2013-12-28,5,0,0.0
2013-12-29,12,0,0.0
2013-12-30,6,0,0.0
2013-12-31,2,0,0.0
2014-01-01,5,0,0.0
2014-01-02,2,0,0.0
2014-01-03,10,0,0.0
2014-01-04,2,0,0.0
2014-01-05,1,0,0.0
2014-01-06,7,0,0.0
2014-01-07,3,0,0.0
2014-01-08,2,0,0.0
2014-01-09,0,0,0.0
2014-01-10,1,0,0.0
2014-01-11,1,0,0.0
2014-01-12,5,0,0.0
2014-01-13,1,0,0.0
2014-01-14,3,0,0.0
2014-01-15,1,0,0.0
2014-01-16,0,0,0.0
2014-01-17,0,0,0.0
2014-01-18,0,0,0.0
2014-01-19,5,0,0.0
2014-01-20,16,0,0.0
2014-01-21,6,0,0.0
2014-01-22,4,0,0.0
2014-01-23,11,0,0.0
2014-01-24,6,0,0.0
2014-01-25,1,0,0.0
2014-01-26,0,0,0.0
2014-01-27,4,0,0.0
2014-01-28,1,0,0.0
2014-01-29,2,0,0.0
2014-01-30,0,0,0.0
2014-01-31,1,0,0.0
2014-02-01,16,0,0.0
2014-02-02,1,0,0.0
2014-02-03,0,0,0.0
2014-02-04,0,0,0.0
2014-02-05,18,0,0.0
2014-02-06,5,0,0.0
2014-02-07,7,0,0.0
2014-02-08,8,0,0.0
2014-02-09,7,0,0.0
2014-02-10,4,0,0.0
2014-02-11,6,0,0.0
2014-02-12,9,0,0.0
2014-02-13,6,0,0.0
2014-02-14,3,0,0.0
2014-02-15,7,0,0.0
2014-02-16,0,0,0.0
2014-02-17,1,0,0.0
2014-02-18,4,0,0.0
2014-02-19,3,0,0.0
2014-02-20,3,0,0.0
2014-02-21,5,0,0.0
2014-02-22,0,0,0.0
2014-02-23,2,0,0.0
2014-02-24,3,0,0.0
2014-02-25,5,0,0.0
2014-02-26,9,0,0.0
2014-02-27,5,0,0.0
2014-02-28,4,0,0.0
2014-03-01,2,0,0.0
2014-03-02,4,0,0.0
2014-03-03,2,0,0.0
2014-03-04,5,0,0.0
2014-03-05,5,0,0.0
2014-03-06,2,0,0.0
2014-03-07,6,0,0.0
2014-03-08,2,0,0.0
2014-03-09,2,0,0.0
2014-03-10,4,0,0.0
2014-03-11,3,0,0.0
2014-03-12,2,0,0.0
2014-03-13,0,0,0.0
2014-03-14,0,0,0.0
2014-03-15,0,0,0.0
2014-03-16,1,0,0.0
2014-03-17,3,0,0.0
2014-03-18,6,0,0.0
2014-03-19,5,0,0.0
2014-03-20,0,0,0.0
2014-03-21,0,0,0.0
2014-03-22,0,0,2.0
2014-03-23,6,0,10.4
2014-03-24,5,0,-2.5100000000000007
2014-03-25,0,0,8.426
2014-03-26,13,0,-0.8398250000000003
2014-03-27,6,0,2.4892720000000006
2014-03-28,3,0,0.17635302500000005
2014-03-29,2,0,9.671150715
2014-03-30,3,7,0.1062456927187494
2014-03-31,4,0,-1.6820498596375
2014-04-01,4,0,-0.5327983373265619
2014-04-02,4,0,2.9757625353609374
2014-04-03,4,0,1.2654512611249995
2014-04-04,2,0,-1.5293022447765625
2014-04-05,8,0,-0.6167043139609374
2014-04-06,6,0,4.724128065364062
2014-04-07,3,0,1.3993879348781242
2014-04-08,3,0,-2.3025328596953125
2014-04-09,2,0,1.9062871712531253
2014-04-10,5,0,-0.6143556177937504
2014-04-11,3,0,-0.12763356947656268
2014-04-12,0,0,8.068766181553125
2014-04-13,2,0,5.7786852775015625
2014-04-14,2,0,-2.018496058826562
2014-04-15,2,0,-1.3652326839593742
2014-04-16,3,0,1.4288309133187502
2014-04-17,4,0,5.157186963453125
2014-04-18,1,0,-1.1074192427140628
2014-04-19,0,0,-2.022706356248437
2014-04-20,2,0,-1.1503588028734377
2014-04-21,7,0,1.1843651700140618
2014-04-22,3,0,0.8688292361234371
2014-04-23,2,0,0.86767809801875
2014-04-24,1,0,4.830523795220312
2014-04-25,3,0,-0.39912680455781313
2014-04-26,0,0,4.384397173839062
2014-04-27,3,0,11.419505948534376
2014-04-28,3,0,-1.3338917725000004
2014-04-29,0,0,1.5981237939687514
2014-04-30,7,0,-2.2899354824968743
2014-05-01,2,0,10.977177872503125
2014-05-02,0,0,9.820739650440625
2014-05-03,2,0,2.202876869571875
2014-05-04,0,0,1.2817838404406263
2014-05-05,1,0,-1.9853406716156252
2014-05-06,4,0,-1.5310426335718752
2014-05-07,0,0,2.405908026990625
2014-05-08,0,0,-1.1165710291796875
2014-05-09,5,0,3.713603150064062
2014-05-10,0,0,4.774697625239062
2014-05-11,0,0,0.04156184686718678
2014-05-12,0,0,-1.9627475327046877
2014-05-13,2,0,0.20655159707343773
2014-05-14,0,0,-1.6564732669796876
2014-05-15,3,0,-0.95206213279375
2014-05-16,0,0,4.322295457804687
2014-05-17,0,0,-1.9772540170593755
2014-05-18,0,0,1.1079353289781249
2014-05-19,5,0,2.8648068283249994
2014-05-20,16,0,8.281062582803125
2014-05-21,0,0,-1.7329380967640624
2014-05-22,3,0,1.8881038610343754
2014-05-23,6,0,-0.31987686874999977
2014-05-24,0,0,1.214548691171875
2014-05-25,4,0,-0.9244825636640626
2014-05-26,1,0,-1.2944816535312498
2014-05-27,6,0,-0.8095141560281249
2014-05-28,0,0,-0.5835668180875005
2014-05-29,0,0,-0.4193016358593753
2014-05-30,5,0,3.7718489214718747
2014-05-31,7,0,-0.3662397702125004
2014-06-01,1,0,6.1862457494875
2014-06-02,5,0,-0.49962695646406274
2014-06-03,6,0,-1.568733413232812
2014-06-04,1,0,-0.7855434999999996
2014-06-05,0,0,-0.5229811999999998
2014-06-06,14,0,0.6125232925
2014-06-07,7,0,-0.6048706783125002
2014-06-08,6,0,-0.3544730109468751
2014-06-09,2,0,-0.22213497809218782
2014-06-10,1,0,-0.16699982616093775
2014-06-11,4,0,-0.05688707646562505
2014-06-12,4,0,-0.023280862499999996
2014-06-13,2,0,-0.018957273750000003
2014-06-14,7,0,0.9841232832343749
2014-06-15,0,2,2.686416586767187
2014-06-16,3,0,-1.0050000000000001
2014-06-17,2,0,-0.3744999999999997
2014-06-18,1,0,-0.2186624999999999
2014-06-19,1,0,-0.15020775
2014-06-20,8,0,-0.11244161249999998
2014-06-21,6,0,-0.08879986124999999
2014-06-22,9,0,-0.07274853801562506
2014-06-23,0,0,-0.06121356352968765
2014-06-24,2,0,-0.04075023969843757
2014-06-25,2,0,0.0
2014-06-26,1,0,0.0
2014-06-27,4,0,0.0
2014-06-28,0,4,0.0
2014-06-29,0,0,0.0
2014-06-30,10,0,0.0
2014-07-01,2,0,0.0
2014-07-02,4,0,0.0
2014-07-03,5,0,0.0
2014-07-04,1,0,0.0
2014-07-05,0,0,0.0
2014-07-06,0,0,0.0
2014-07-07,1,0,0.0
2014-07-08,1,0,0.0
2014-07-09,0,0,0.0
2014-07-10,0,0,0.0
2014-07-11,0,0,0.0
2014-07-12,0,0,0.0
2014-07-13,5,0,0.0
2014-07-14,5,0,0.0
2014-07-15,3,0,0.0
2014-07-16,5,0,0.0
