,playcanvas/engine,BabylonJS/Babylon.js,mrdoob/three.js
2013-07-27,0,0.0,1
2013-07-28,0,0.0,0
2013-07-29,1,1.0,0
2013-07-30,0,-0.19999999999999996,11
2013-07-31,0,-0.08000000000000007,8
2013-08-01,0,-0.048000000000000036,0
2013-08-02,0,-0.03360000000000001,7
2013-08-03,4,-0.025536000000000014,0
2013-08-04,0,-0.02042880000000001,1
2013-08-05,0,0.9830732799999999,1
2013-08-06,0,-0.2143877119999999,2
2013-08-07,2,-0.09246935040000004,1
2013-08-08,3,3.952,0
2013-08-09,3,-0.8335999999999998,2
2013-08-10,0,-0.3455360000000003,3
2013-08-11,0,-0.21242880000000014,7
2013-08-12,0,-0.15132672000000005,1
2013-08-13,4,0.883468288,11
2013-08-14,2,1.7058154496,10
2013-08-15,7,-0.54770688,4
2013-08-16,1,-0.26555084799999995,6
2013-08-17,0,1.8205225984000002,9
2013-08-18,0,-0.49273599999999995,2
2013-08-19,0,-0.23150080000000017,6
2013-08-20,0,-0.15378432000000009,14
2013-08-21,0,0.884558848,6
2013-08-22,0,-0.2923167743999998,2
2013-08-23,0,-0.14579630080000003,9
2013-08-24,3,-0.08185344000000006,3
2013-08-25,1,-0.06237542399999989,0
2013-08-26,9,-0.05047470079999994,0
2013-08-27,0,1.9795712,0
2013-08-28,2,1.58307328,0
2013-08-29,6,0.42561228799999995,0
2013-08-30,6,0.5315306495999998,1
2013-08-31,4,-0.44320000000000015,0
2013-09-01,0,-0.24627200000000016,0
2013-09-02,8,-0.17352960000000012,0
2013-09-03,3,-0.13384704000000006,0
2013-09-04,0,2.891406336,3
2013-09-05,0,-0.6910696447999997,9
2013-09-06,3,-0.2962531328000001,5
2013-09-07,0,-0.1708570624,0
2013-09-08,0,-0.1132693504,0
2013-09-09,3,-0.07660800000000004,1
2013-09-10,0,-0.06128640000000003,4
2013-09-11,0,-0.05078016000000003,6
2013-09-12,1,-0.04316313599999982,4
2013-09-13,0,1.9625919488,1
2013-09-14,0,11.6,0
2013-09-15,0,-2.5599999999999996,1
2013-09-16,0,0.9439999999999991,11
2013-09-17,1,0.9567999999999997,0
2013-09-18,5,-0.014272000000000062,2
2013-09-19,3,-0.8032896000000004,5
2013-09-20,6,-0.5221990400000003,8
2013-09-21,0,-0.3981680640000001,2
2013-09-22,0,-0.32312084479999925,0
2013-09-23,0,-0.2498792447999996,8
2013-09-24,0,0.9169423360000001,0
2013-09-25,0,-0.2706408447999998,13
2013-09-26,0,-0.11932641279999995,5
2013-09-27,0,-0.060469350399999997,0
2013-09-28,0,-0.03360000000000001,0
2013-09-29,0,-0.025536000000000014,1
2013-09-30,0,-0.02042880000000001,3
2013-10-01,2,-0.01692672000000001,5
2013-10-02,4,-0.01438771199999994,8
2013-10-03,5,-0.012469350399999964,2
2013-10-04,8,0.0,3
2013-10-05,6,0.0,3
2013-10-06,0,4.0,0
2013-10-07,0,-0.7999999999999998,0
2013-10-08,2,9.68,1
2013-10-09,4,-1.1919999999999997,0
2013-10-10,19,-0.13440000000000074,0
2013-10-11,3,1.1378559999999995,3
2013-10-12,0,-0.9457152000000002,8
2013-10-13,0,-0.5646668800000003,0
2013-10-14,3,-0.41697484799999995,10
2013-10-15,5,-0.3323094016,0
2013-10-16,7,-0.23230463999999942,6
2013-10-17,5,-0.19686553599999962,13
2013-10-18,26,4.9392894976,11
2013-10-19,0,-1.0412447743999995,3
2013-10-20,0,-0.4249387008000003,5
2013-10-21,10,-0.24000000000000019,15
2013-10-22,11,-0.16800000000000007,8
2013-10-23,0,-0.12768000000000007,6
2013-10-24,2,-0.10214400000000005,7
2013-10-25,10,-0.08463360000000004,5
2013-10-26,4,-0.0719385599999997,3
2013-10-27,0,-0.062346751999999825,3
2013-10-28,2,5.0,7
2013-10-29,6,-0.9999999999999998,4
2013-10-30,1,-0.40000000000000036,9
2013-10-31,18,2.76,4
2013-11-01,5,0.2320000000000001,15
2013-11-02,0,-0.5676800000000002,3
2013-11-03,0,2.673856,4
2013-11-04,1,1.1665664,5
2013-11-05,2,2.1778534400000003,15
2013-11-06,0,-0.05316915199999994,12
2013-11-07,4,-0.7080089600000004,2
2013-11-08,3,0.5721021439999999,7
2013-11-09,0,-0.5129541631999999,6
2013-11-10,0,-0.29431511040000014,9
2013-11-11,3,-0.2118389759999999,2
2013-11-12,0,-0.17099243519999985,5
2013-11-13,4,-0.11056455679999977,2
2013-11-14,6,-0.07222456319999984,4
2013-11-15,10,-0.029396070399999974,6
2013-11-16,0,-0.01438771199999994,4
2013-11-17,4,-0.012469350399999964,1
2013-11-18,11,0.0,16
2013-11-19,8,0.0,3
2013-11-20,8,0.0,7
2013-11-21,12,0.0,4
2013-11-22,4,0.0,4
2013-11-23,3,0.0,2
2013-11-24,1,0.0,3
2013-11-25,27,1.0,14
2013-11-26,6,0.8,2
2013-11-27,5,-0.28,0
2013-11-28,2,-0.1280000000000001,0
2013-11-29,0,1.9183999999999999,0
2013-11-30,0,-0.45913599999999993,0
2013-12-01,0,-0.20596480000000017,2
2013-12-02,0,-0.1333555200000001,5
2013-12-03,0,0.901485568,6
2013-12-04,0,-0.27792906239999987,14
2013-12-05,2,0.8666730495999999,3
2013-12-06,0,4.71814656,6
2013-12-07,1,-1.1423754239999997,1
2013-12-08,1,-0.49847470080000034,6
2013-12-09,1,-0.2940288000000002,1
2013-12-10,4,0.7895372799999999,5
2013-12-11,4,2.637503488,11
2013-12-12,0,-0.8115400704,3
2013-12-13,4,0.6129786879999998,1
2013-12-14,0,-0.4620079103999997,2
2013-12-15,0,-0.2686827519999999,3
2013-12-16,1,-0.14503680000000008,5
2013-12-17,2,-0.11181312000000004,0
2013-12-18,3,1.909296128,5
2013-12-19,3,-0.4760612863999997,7
2013-12-20,1,-0.21433477120000005,3
2013-12-21,2,0.889612288,0
2013-12-22,3,-0.27966935039999996,1
2013-12-23,1,-0.1310720000000001,0
2013-12-24,0,-0.08885760000000006,11
2013-12-25,0,-0.06745344000000003,6
2013-12-26,0,-0.05431142399999989,1
2013-12-27,0,-0.04536750079999994,1
2013-12-28,0,-0.01692672000000001,2
2013-12-29,2,-0.01438771199999994,4
2013-12-30,3,-0.012469350399999964,1
2013-12-31,1,1.0,6
2014-01-01,0,0.8,1
2014-01-02,17,1.72,0
2014-01-03,25,1.472,4
2014-01-04,7,0.35839999999999983,6
2014-01-05,2,6.484864,0
2014-01-06,9,1.3108352,3
2014-01-07,17,1.6363724799999995,6
2014-01-08,16,-1.3328440320000003,4
2014-01-09,10,0.25369589759999966,10
2014-01-10,6,0.2809209855999999,12
2014-01-11,0,-0.6710504448,1
2014-01-12,1,-0.4237078528000001,0
2014-01-13,12,4.6931501056,12
2014-01-14,9,1.7596352512000006,17
2014-01-15,17,-0.12653598720000003,31
2014-01-16,1,4.2452364288,1
2014-01-17,8,0.576685568,0
2014-01-18,0,-1.1033370624000003,0
2014-01-19,0,1.3751786495999996,0
2014-01-20,12,17.164544,2
2014-01-21,14,-0.09802751999999959,8
2014-01-22,10,2.388347391999999,3
2014-01-23,0,3.5715130367999994,0
2014-01-24,0,-0.5661333504000003,8
2014-01-25,0,-0.8460277760000006,3
2014-01-26,0,1.6553454591999994,7
2014-01-27,0,-0.5204515840000001,45
2014-01-28,0,-1.1621843967999994,16
2014-01-29,8,2.2021224448000005,31
2014-01-30,0,-1.0385698815999995,14
2014-01-31,0,-0.5531632639999997,14
2014-02-01,0,-0.35134064639999985,5
2014-02-02,0,0.7886646272000001,0
2014-02-03,3,-0.34916720639999976,0
2014-02-04,0,0.8069178368000001,2
2014-02-05,0,0.6887504896000001,22
2014-02-06,0,-0.35676313599999987,10
