,rust-lang/rust,golang/go,swiftlang/swift
2018-08-17,44,14,93
2018-08-18,40,8,53
2018-08-19,83,0,7
2018-08-20,72,53,70
2018-08-21,44,53,65
2018-08-22,118,53,62
2018-08-23,72,11,50
2018-08-24,87,28,95
2018-08-25,43,7,52
2018-08-26,57,6,18
2018-08-27,89,3,37
2018-08-28,61,13,80
2018-08-29,92,6,88
2018-08-30,98,29,56
2018-08-31,78,11,89
2018-09-01,64,2,26
2018-09-02,42,3,5
2018-09-03,74,7,5
2018-09-04,39,10,55
2018-09-05,64,17,82
2018-09-06,93,9,73
2018-09-07,74,14,38
2018-09-08,63,3,15
2018-09-09,47,3,1
2018-09-10,69,2,44
2018-09-11,85,7,61
2018-09-12,71,10,52
2018-09-13,76,14,52
2018-09-14,44,6,92
2018-09-15,69,3,29
2018-09-16,50,3,49
2018-09-17,51,12,34
2018-09-18,61,12,56
2018-09-19,45,9,71
2018-09-20,86,8,77
2018-09-21,50,0,80
2018-09-22,57,0,68
2018-09-23,43,2,10
2018-09-24,41,17,85
2018-09-25,51,13,75
2018-09-26,87,11,95
2018-09-27,35,14,76
2018-09-28,37,10,68
2018-09-29,66,4,20
2018-09-30,59,1,8
2018-10-01,51,6,60
2018-10-02,64,27,40
2018-10-03,42,29,72
2018-10-04,62,19,67
2018-10-05,82,15,93
2018-10-06,48,11,18
2018-10-07,30,1,13
2018-10-08,76,5,54
2018-10-09,76,16,68
2018-10-10,76,16,56
2018-10-11,58,17,65
2018-10-12,69,17,73
2018-10-13,76,4,30
2018-10-14,54,3,13
2018-10-15,123,20,55
2018-10-16,69,11,62
2018-10-17,63,18,31
2018-10-18,73,11,16
2018-10-19,67,13,40
2018-10-20,54,2,25
2018-10-21,36,1,15
2018-10-22,52,14,16
2018-10-23,57,24,42
2018-10-24,58,19,49
2018-10-25,122,15,47
2018-10-26,77,11,79
2018-10-27,49,7,45
2018-10-28,61,9,9
2018-10-29,61,12,57
2018-10-30,70,23,68
2018-10-31,62,15,67
2018-11-01,96,10,54
2018-11-02,62,41,56
2018-11-03,71,6,20
2018-11-04,37,2,62
2018-11-05,99,21,45
2018-11-06,53,15,105
2018-11-07,81,6,89
2018-11-08,56,17,71
2018-11-09,49,16,101
2018-11-10,85,7,58
2018-11-11,60,4,5
2018-11-12,38,32,44
2018-11-13,63,19,73
2018-11-14,36,23,101
2018-11-15,67,9,83
2018-11-16,123,20,115
2018-11-17,34,3,45
2018-11-18,47,2,16
2018-11-19,52,8,9
2018-11-20,72,12,14
2018-11-21,108,8,10
2018-11-22,61,2,22
2018-11-23,42,4,8
2018-11-24,61,1,3
2018-11-25,63,0,1
2018-11-26,56,13,82
2018-11-27,127,13,75
2018-11-28,47,16,88
2018-11-29,84,26,74
2018-11-30,103,10,98
2018-12-01,18,6,25
2018-12-02,57,2,13
2018-12-03,79,10,49
2018-12-04,82,14,86
2018-12-05,59,20,60
2018-12-06,74,10,66
2018-12-07,57,10,79
2018-12-08,57,1,41
2018-12-09,57,1,14
2018-12-10,73,10,62
2018-12-11,78,15,49
2018-12-12,86,21,78
2018-12-13,53,25,84
2018-12-14,80,16,38
2018-12-15,57,5,55
2018-12-16,40,1,25
2018-12-17,56,19,48
2018-12-18,50,18,65
2018-12-19,117,8,47
2018-12-20,86,13,52
2018-12-21,79,4,77
2018-12-22,75,5,5
2018-12-23,54,0,8
2018-12-24,38,3,3
2018-12-25,60,1,6
2018-12-26,52,1,5
2018-12-27,76,3,0
2018-12-28,61,3,2
2018-12-29,73,4,0
2018-12-30,72,3,5
2018-12-31,50,1,1
2019-01-01,60,2,2
2019-01-02,83,13,71
2019-01-03,89,9,44
2019-01-04,68,10,81
2019-01-05,70,2,25
2019-01-06,63,1,10
2019-01-07,82,10,31
2019-01-08,91,8,88
2019-01-09,51,10,60
2019-01-10,45,5,66
2019-01-11,44,2,58
2019-01-12,80,1,24
2019-01-13,107,0,7
2019-01-14,69,5,53
2019-01-15,67,5,74
2019-01-16,46,2,65
2019-01-17,45,6,64
2019-01-18,82,8,80
2019-01-19,99,0,27
2019-01-20,55,2,25
2019-01-21,72,3,36
2019-01-22,102,3,82
2019-01-23,61,6,42
2019-01-24,76,1,46
2019-01-25,92,2,50
2019-01-26,111,0,60
2019-01-27,82,4,20
2019-01-28,65,2,46
2019-01-29,59,4,76
2019-01-30,72,7,59
2019-01-31,66,2,41
2019-02-01,107,4,62
2019-02-02,37,0,19
2019-02-03,69,0,25
2019-02-04,47,3,70
2019-02-05,79,3,76
2019-02-06,66,1,67
2019-02-07,131,3,62
2019-02-08,93,2,76
2019-02-09,68,2,9
2019-02-10,75,1,10
2019-02-11,83,13,66
2019-02-12,78,8,79
2019-02-13,106,5,55
2019-02-14,72,0,77
2019-02-15,41,6,48
2019-02-16,53,1,31
2019-02-17,60,2,24
2019-02-18,112,0,57
2019-02-19,42,12,98
2019-02-20,87,6,83
2019-02-21,70,1,67
2019-02-22,54,9,82
2019-02-23,83,1,38
2019-02-24,90,6,22
2019-02-25,58,4,87
2019-02-26,48,65,57
2019-02-27,81,52,48
2019-02-28,37,11,57
2019-03-01,50,29,69
2019-03-02,56,22,42
2019-03-03,59,8,18
2019-03-04,57,12,47
2019-03-05,71,25,77
2019-03-06,45,30,76
2019-03-07,56,20,61
2019-03-08,56,23,37
2019-03-09,39,13,11
2019-03-10,44,3,12
2019-03-11,50,14,42
2019-03-12,68,26,60
2019-03-13,56,22,62
2019-03-14,49,23,56
2019-03-15,109,16,64
2019-03-16,93,1,9
2019-03-17,51,3,19
2019-03-18,80,13,78
2019-03-19,64,23,47
2019-03-20,66,13,37
2019-03-21,58,14,54
2019-03-22,46,14,64
2019-03-23,60,3,26
2019-03-24,46,3,10
2019-03-25,72,21,52
2019-03-26,78,9,69
2019-03-27,60,18,101
2019-03-28,87,21,61
2019-03-29,91,13,79
2019-03-30,74,3,12
2019-03-31,49,4,26
2019-04-01,46,5,60
2019-04-02,87,12,80
2019-04-03,68,17,88
2019-04-04,67,8,44
2019-04-05,50,18,44
2019-04-06,36,0,44
2019-04-07,52,6,22
2019-04-08,47,17,41
2019-04-09,59,8,73
2019-04-10,51,10,48
2019-04-11,63,11,67
2019-04-12,74,11,53
2019-04-13,60,5,22
2019-04-14,92,2,28
2019-04-15,45,16,31
2019-04-16,64,34,56
2019-04-17,109,11,102
2019-04-18,73,10,44
2019-04-19,87,23,51
2019-04-20,51,3,36
2019-04-21,67,0,11
2019-04-22,75,12,35
2019-04-23,75,20,79
2019-04-24,74,16,85
2019-04-25,84,14,51
2019-04-26,51,19,55
2019-04-27,30,9,18
2019-04-28,43,4,5
2019-04-29,46,20,27
2019-04-30,74,34,26
2019-05-01,102,16,46
2019-05-02,98,13,62
2019-05-03,44,14,59
2019-05-04,104,1,37
2019-05-05,33,3,13
2019-05-06,41,22,58
2019-05-07,40,6,70
2019-05-08,39,16,59
2019-05-09,73,29,58
2019-05-10,57,9,64
2019-05-11,53,2,22
2019-05-12,44,2,13
2019-05-13,61,20,55
2019-05-14,62,15,86
2019-05-15,55,8,55
2019-05-16,57,20,51
2019-05-17,61,12,36
2019-05-18,45,0,29
2019-05-19,54,0,19
2019-05-20,100,11,57
2019-05-21,93,10,60
2019-05-22,75,12,44
2019-05-23,105,13,75
2019-05-24,59,10,36
2019-05-25,88,2,16
2019-05-26,51,0,15
2019-05-27,99,1,10
2019-05-28,115,8,36
2019-05-29,69,6,84
2019-05-30,63,13,56
2019-05-31,55,9,65
2019-06-01,64,0,36
2019-06-02,54,2,39
2019-06-03,84,6,41
2019-06-04,96,4,40
2019-06-05,64,11,61
2019-06-06,68,18,41
2019-06-07,44,12,17
2019-06-08,84,0,19
2019-06-09,71,2,12
2019-06-10,61,10,56
2019-06-11,93,6,65
2019-06-12,100,7,112
2019-06-13,44,11,66
2019-06-14,61,4,100
2019-06-15,85,3,22
2019-06-16,70,1,3
2019-06-17,30,4,48
2019-06-18,54,7,71
2019-06-19,65,11,49
2019-06-20,64,7,61
2019-06-21,75,9,37
2019-06-22,72,0,25
2019-06-23,44,2,15
2019-06-24,64,7,71
2019-06-25,52,15,50
2019-06-26,85,17,91
2019-06-27,29,8,69
2019-06-28,22,3,76
2019-06-29,52,1,30
2019-06-30,61,1,20
2019-07-01,43,2,64
2019-07-02,110,3,48
2019-07-03,91,6,41
2019-07-04,70,0,24
2019-07-05,61,5,19
2019-07-06,111,1,21
2019-07-07,86,0,13
2019-07-08,47,5,38
2019-07-09,77,2,70
2019-07-10,97,6,45
2019-07-11,56,2,41
2019-07-12,50,3,59
2019-07-13,49,0,53
2019-07-14,45,1,7
2019-07-15,81,6,17
2019-07-16,44,4,98
2019-07-17,48,4,54
2019-07-18,60,7,47
2019-07-19,57,3,53
2019-07-20,61,0,10
2019-07-21,38,0,4
2019-07-22,69,2,36
2019-07-23,62,4,53
2019-07-24,75,0,47
2019-07-25,64,0,60
2019-07-26,81,0,36
2019-07-27,69,2,15
2019-07-28,129,1,7
2019-07-29,71,3,27
2019-07-30,82,6,42
2019-07-31,61,5,46
2019-08-01,82,5,31
2019-08-02,103,8,59
2019-08-03,60,1,10
2019-08-04,69,0,2
2019-08-05,95,6,35
2019-08-06,88,5,58
2019-08-07,42,1,70
2019-08-08,84,5,42
2019-08-09,93,4,59
2019-08-10,91,1,29
2019-08-11,74,2,11
2019-08-12,101,2,66
2019-08-13,67,1,90
2019-08-14,81,2,48
2019-08-15,91,3,56
2019-08-16,70,3,39
2019-08-17,73,0,30
2019-08-18,46,1,2
2019-08-19,108,1,74
2019-08-20,72,2,84
2019-08-21,85,4,65
2019-08-22,81,3,66
2019-08-23,42,4,71
2019-08-24,80,1,31
2019-08-25,62,3,24
2019-08-26,68,13,103
2019-08-27,55,32,109
2019-08-28,59,46,100
2019-08-29,71,24,91
2019-08-30,63,13,86
2019-08-31,47,9,30
2019-09-01,34,10,21
2019-09-02,36,10,11
2019-09-03,65,16,61
2019-09-04,62,11,61
2019-09-05,123,2,51
2019-09-06,66,18,77
2019-09-07,79,7,50
2019-09-08,45,2,7
2019-09-09,82,10,24
2019-09-10,64,14,53
2019-09-11,45,22,43
2019-09-12,42,19,49
2019-09-13,47,4,77
2019-09-14,68,1,82
2019-09-15,56,2,7
2019-09-16,95,16,28
2019-09-17,87,12,60
2019-09-18,56,24,70
2019-09-19,72,12,44
2019-09-20,46,6,62
2019-09-21,49,5,56
2019-09-22,56,1,0
2019-09-23,74,12,89
2019-09-24,70,15,94
2019-09-25,119,23,68
2019-09-26,84,30,70
2019-09-27,57,11,42
2019-09-28,128,4,21
2019-09-29,63,3,10
2019-09-30,100,10,29
2019-10-01,82,14,42
2019-10-02,132,11,73
2019-10-03,82,20,58
2019-10-04,78,26,30
2019-10-05,34,7,8
2019-10-06,55,2,4
2019-10-07,84,13,9
2019-10-08,83,17,72
2019-10-09,50,24,44
2019-10-10,59,12,78
2019-10-11,101,22,65
2019-10-12,39,5,35
2019-10-13,78,2,15
2019-10-14,66,21,88
2019-10-15,113,20,68
2019-10-16,66,14,65
2019-10-17,91,29,61
2019-10-18,112,11,36
2019-10-19,60,3,23
2019-10-20,55,7,9
2019-10-21,65,33,45
2019-10-22,98,37,51
2019-10-23,88,14,26
2019-10-24,103,18,33
2019-10-25,138,26,34
2019-10-26,65,16,14
2019-10-27,63,3,8
2019-10-28,80,22,27
2019-10-29,87,24,68
2019-10-30,57,12,84
2019-10-31,64,18,60
2019-11-01,69,24,45
2019-11-02,37,21,32
2019-11-03,65,6,25
2019-11-04,83,21,53
2019-11-05,100,36,90
2019-11-06,102,19,99
2019-11-07,111,43,49
2019-11-08,76,45,57
2019-11-09,51,6,38
2019-11-10,51,8,24
2019-11-11,85,27,74
2019-11-12,93,30,76
2019-11-13,89,13,73
2019-11-14,86,6,67
2019-11-15,150,18,62
2019-11-16,59,3,58
2019-11-17,74,0,32
2019-11-18,84,14,49
2019-11-19,73,22,77
2019-11-20,59,12,54
2019-11-21,76,7,94
2019-11-22,101,15,54
2019-11-23,84,4,9
2019-11-24,95,1,10
2019-11-25,84,9,1
2019-11-26,99,4,7
2019-11-27,114,10,6
2019-11-28,74,1,2
2019-11-29,70,0,1
2019-11-30,72,0,4
2019-12-01,51,0,6
2019-12-02,153,5,55
2019-12-03,112,4,58
2019-12-04,87,8,70
2019-12-05,53,13,45
2019-12-06,117,17,47
2019-12-07,47,2,30
2019-12-08,67,0,12
2019-12-09,56,10,31
2019-12-10,44,6,30
2019-12-11,51,8,84
2019-12-12,85,4,77
2019-12-13,74,4,77
2019-12-14,29,0,26
2019-12-15,47,1,15
2019-12-16,59,4,33
2019-12-17,24,5,51
2019-12-18,70,7,47
2019-12-19,67,5,84
2019-12-20,148,10,67
2019-12-21,111,0,10
2019-12-22,92,0,5
2019-12-23,133,2,6
2019-12-24,47,5,2
2019-12-25,71,0,2
2019-12-26,84,2,2
2019-12-27,65,8,8
2019-12-28,35,0,6
2019-12-29,36,0,0
2019-12-30,119,3,2
2019-12-31,131,1,1
2020-01-01,30,0,4
2020-01-02,35,5,66
2020-01-03,65,11,40
2020-01-04,82,4,26
2020-01-05,50,0,13
2020-01-06,51,22,38
2020-01-07,126,13,35
2020-01-08,107,4,36
2020-01-09,105,16,64
2020-01-10,118,14,86
2020-01-11,130,0,31
2020-01-12,67,0,19
2020-01-13,71,6,52
2020-01-14,71,4,101
2020-01-15,111,6,46
2020-01-16,86,3,68
2020-01-17,49,2,75
2020-01-18,55,3,35
