,NativeScript/NativeScript,ionic-team/ionic-framework,flutter/flutter
2023-08-13,0,0,5
2023-08-14,0,3,22
2023-08-15,0,3,24
2023-08-16,0,8,24
2023-08-17,0,1,22
2023-08-18,0,4,16
2023-08-19,0,0,2
2023-08-20,0,0,1
2023-08-21,0,0,20
2023-08-22,0,4,28
2023-08-23,0,5,20
2023-08-24,0,1,14
2023-08-25,2,4,23
2023-08-26,0,0,5
2023-08-27,1,0,4
2023-08-28,0,1,24
2023-08-29,0,3,28
2023-08-30,0,11,25
2023-08-31,0,6,42
2023-09-01,0,8,23
2023-09-02,1,0,6
2023-09-03,0,0,3
2023-09-04,0,0,0
2023-09-05,0,2,17
2023-09-06,1,6,23
2023-09-07,1,2,27
2023-09-08,0,0,30
2023-09-09,1,0,12
2023-09-10,0,0,7
2023-09-11,0,3,17
2023-09-12,0,0,30
2023-09-13,0,10,29
2023-09-14,1,5,19
2023-09-15,0,0,11
2023-09-16,0,0,13
2023-09-17,0,0,3
2023-09-18,0,2,23
2023-09-19,0,5,10
2023-09-20,0,7,39
2023-09-21,0,2,23
2023-09-22,0,3,29
2023-09-23,0,0,9
2023-09-24,0,0,12
2023-09-25,0,0,16
2023-09-26,0,2,13
2023-09-27,0,3,12
2023-09-28,5,6,29
2023-09-29,2,0,21
2023-09-30,0,0,15
2023-10-01,0,0,7
2023-10-02,1,0,18
2023-10-03,1,1,20
2023-10-04,1,9,16
2023-10-05,0,1,15
2023-10-06,0,0,15
2023-10-07,0,0,11
2023-10-08,0,0,5
2023-10-09,5,9,24
2023-10-10,2,5,25
2023-10-11,0,9,33
2023-10-12,0,4,22
2023-10-13,0,1,25
2023-10-14,3,0,13
2023-10-15,0,0,9
2023-10-16,1,0,22
2023-10-17,0,3,29
2023-10-18,0,11,32
2023-10-19,0,4,19
2023-10-20,0,1,23
2023-10-21,0,0,7
2023-10-22,0,0,6
2023-10-23,1,6,28
2023-10-24,3,1,23
2023-10-25,0,10,16
2023-10-26,0,1,41
2023-10-27,0,4,26
2023-10-28,0,0,9
2023-10-29,0,0,1
2023-10-30,0,2,5
2023-10-31,0,2,23
2023-11-01,0,5,17
2023-11-02,4,7,36
2023-11-03,0,1,29
2023-11-04,0,0,8
2023-11-05,0,0,3
2023-11-06,0,3,17
2023-11-07,0,2,23
2023-11-08,0,7,18
2023-11-09,0,6,16
2023-11-10,0,3,26
2023-11-11,0,0,5
2023-11-12,0,0,1
2023-11-13,0,6,12
2023-11-14,0,1,19
2023-11-15,0,9,22
2023-11-16,0,4,21
2023-11-17,0,2,8
2023-11-18,0,0,7
2023-11-19,1,0,4
2023-11-20,0,3,17
2023-11-21,0,4,18
2023-11-22,2,2,14
2023-11-23,0,0,7
2023-11-24,1,0,5
2023-11-25,7,0,1
2023-11-26,0,0,1
2023-11-27,0,4,23
2023-11-28,0,2,33
2023-11-29,0,10,28
2023-11-30,0,2,9
2023-12-01,0,5,14
2023-12-02,0,0,10
2023-12-03,0,0,4
2023-12-04,0,2,17
2023-12-05,0,7,23
2023-12-06,0,8,20
2023-12-07,0,2,18
2023-12-08,0,1,17
2023-12-09,0,0,6
2023-12-10,0,0,1
2023-12-11,0,4,20
2023-12-12,0,4,22
2023-12-13,0,9,10
2023-12-14,0,0,29
2023-12-15,0,0,26
2023-12-16,0,0,12
2023-12-17,2,0,2
2023-12-18,0,4,13
2023-12-19,1,6,16
2023-12-20,2,7,18
2023-12-21,0,3,14
2023-12-22,2,0,10
2023-12-23,0,0,2
2023-12-24,0,0,0
2023-12-25,0,0,0
2023-12-26,0,0,3
2023-12-27,0,2,9
2023-12-28,0,1,3
2023-12-29,0,0,7
2023-12-30,0,0,0
2023-12-31,0,0,0
2024-01-01,0,0,0
2024-01-02,0,0,13
2024-01-03,2,5,33
2024-01-04,0,0,23
2024-01-05,0,2,17
2024-01-06,0,0,9
2024-01-07,0,0,3
2024-01-08,0,4,10
2024-01-09,0,4,28
2024-01-10,0,5,28
2024-01-11,0,0,14
2024-01-12,0,0,25
2024-01-13,0,0,3
2024-01-14,0,0,3
2024-01-15,0,2,1
2024-01-16,0,3,15
2024-01-17,0,8,19
2024-01-18,0,2,33
2024-01-19,9,2,20
2024-01-20,0,0,8
2024-01-21,1,0,4
2024-01-22,0,1,23
2024-01-23,0,2,25
2024-01-24,0,5,33
2024-01-25,0,7,26
2024-01-26,0,5,28
2024-01-27,0,0,8
2024-01-28,0,0,0
2024-01-29,0,1,25
2024-01-30,0,3,23
2024-01-31,0,12,39
2024-02-01,0,3,30
2024-02-02,0,4,14
2024-02-03,0,0,4
2024-02-04,0,0,2
2024-02-05,0,3,7
2024-02-06,0,6,11
2024-02-07,0,8,35
2024-02-08,0,3,24
2024-02-09,0,2,23
2024-02-10,1,0,10
2024-02-11,0,0,3
2024-02-12,1,1,14
2024-02-13,0,9,21
2024-02-14,0,10,20
2024-02-15,1,3,13
2024-02-16,0,0,24
2024-02-17,0,0,12
2024-02-18,0,0,5
2024-02-19,0,0,8
2024-02-20,0,0,24
2024-02-21,0,3,22
2024-02-22,0,7,21
2024-02-23,1,0,22
2024-02-24,0,0,11
2024-02-25,0,0,0
2024-02-26,0,1,18
2024-02-27,0,0,16
2024-02-28,0,6,18
2024-02-29,0,2,30
2024-03-01,0,2,19
2024-03-02,0,0,2
2024-03-03,0,0,1
2024-03-04,0,1,17
2024-03-05,0,0,19
2024-03-06,0,14,20
2024-03-07,0,2,24
2024-03-08,0,1,12
2024-03-09,0,1,16
2024-03-10,0,0,3
2024-03-11,0,1,11
2024-03-12,0,9,18
2024-03-13,0,15,22
2024-03-14,0,2,21
2024-03-15,0,4,14
2024-03-16,0,1,15
2024-03-17,0,0,3
2024-03-18,0,3,20
2024-03-19,0,7,21
2024-03-20,0,17,18
2024-03-21,0,3,24
2024-03-22,0,1,17
2024-03-23,0,0,10
2024-03-24,0,0,5
2024-03-25,0,1,22
2024-03-26,0,0,16
2024-03-27,0,13,16
2024-03-28,0,0,17
2024-03-29,0,0,20
2024-03-30,0,0,8
2024-03-31,0,0,4
2024-04-01,0,3,17
2024-04-02,4,4,19
2024-04-03,1,11,36
2024-04-04,0,1,26
2024-04-05,0,1,21
2024-04-06,1,0,6
2024-04-07,2,0,1
2024-04-08,6,2,19
2024-04-09,0,4,12
2024-04-10,0,13,12
2024-04-11,0,0,20
2024-04-12,0,1,15
2024-04-13,0,0,1
2024-04-14,0,0,1
2024-04-15,7,2,10
2024-04-16,3,0,20
2024-04-17,0,14,31
2024-04-18,0,1,26
2024-04-19,1,1,27
2024-04-20,0,0,8
2024-04-21,0,0,4
2024-04-22,0,0,9
2024-04-23,3,5,36
2024-04-24,1,5,17
2024-04-25,0,3,18
2024-04-26,0,1,17
2024-04-27,0,0,8
2024-04-28,0,0,4
2024-04-29,0,4,10
2024-04-30,0,1,14
2024-05-01,1,15,19
2024-05-02,2,1,24
2024-05-03,0,3,22
2024-05-04,0,0,3
2024-05-05,0,0,7
2024-05-06,2,3,17
2024-05-07,2,2,33
2024-05-08,0,2,23
2024-05-09,0,0,13
2024-05-10,0,3,18
2024-05-11,0,0,5
2024-05-12,0,0,1
2024-05-13,0,0,17
2024-05-14,0,1,26
2024-05-15,0,8,12
