,rails/rails,django/django,pallets/flask
2022-07-06,16,4.0,3
2022-07-07,4,2.0,0
2022-07-08,6,3.0,11
2022-07-09,5,1.0,2
2022-07-10,7,0.0,2
2022-07-11,9,3.0,2
2022-07-12,10,2.0,0
2022-07-13,18,1.0,10
2022-07-14,2,1.0,2
2022-07-15,3,0.0,0
2022-07-16,1,1.0,0
2022-07-17,0,1.0,0
2022-07-18,6,2.0,0
2022-07-19,21,1.0,0
2022-07-20,3,1.0,0
2022-07-21,5,2.0,0
2022-07-22,2,1.0,0
2022-07-23,3,4.0,0
2022-07-24,6,0.0,0
2022-07-25,8,6.0,5
2022-07-26,22,6.0,0
2022-07-27,9,11.0,0
2022-07-28,14,1.0,0
2022-07-29,20,1.0,0
2022-07-30,6,1.0,0
2022-07-31,7,2.0,0
2022-08-01,14,2.0,9
2022-08-02,16,4.0,7
2022-08-03,30,11.0,6
2022-08-04,13,4.0,5
2022-08-05,9,1.0,4
2022-08-06,26,2.0,0
2022-08-07,3,0.0,0
2022-08-08,9,4.0,7
2022-08-09,8,8.0,4
2022-08-10,9,3.0,0
2022-08-11,8,5.0,0
2022-08-12,6,3.0,0
2022-08-13,0,0.0,2
2022-08-14,0,0.0,0
2022-08-15,5,4.0,3
2022-08-16,5,2.0,0
2022-08-17,3,5.0,2
2022-08-18,16,3.0,0
2022-08-19,11,0.0,0
2022-08-20,1,0.0,0
2022-08-21,0,0.0,2
2022-08-22,12,0.0,2
2022-08-23,7,4.0,0
2022-08-24,9,2.0,0
2022-08-25,13,5.0,0
2022-08-26,3,2.0,0
2022-08-27,3,4.0,2
2022-08-28,4,0.0,0
2022-08-29,5,4.0,0
2022-08-30,14,6.0,0
2022-08-31,8,3.0,0
2022-09-01,14,4.0,0
2022-09-02,11,1.0,2
2022-09-03,0,0.0,0
2022-09-04,0,1.0,0
2022-09-05,10,3.0,0
2022-09-06,2,6.0,0
2022-09-07,13,3.0,0
2022-09-08,24,2.0,0
2022-09-09,42,3.0,0
2022-09-10,7,0.0,0
2022-09-11,7,0.0,2
2022-09-12,18,4.0,0
2022-09-13,18,2.0,0
2022-09-14,23,1.0,2
2022-09-15,17,5.0,0
2022-09-16,13,5.0,0
2022-09-17,8,4.0,0
2022-09-18,1,0.0,1
2022-09-19,12,2.0,0
2022-09-20,19,0.0,0
2022-09-21,5,1.0,0
2022-09-22,19,1.0,0
2022-09-23,8,1.0,0
2022-09-24,0,4.0,0
2022-09-25,3,4.0,0
2022-09-26,8,5.0,0
2022-09-27,10,8.0,0
2022-09-28,4,8.0,0
2022-09-29,8,4.0,0
2022-09-30,5,2.0,0
2022-10-01,0,2.0,0
2022-10-02,6,0.0,0
2022-10-03,6,3.0,0
2022-10-04,7,7.0,0
2022-10-05,19,2.0,2
2022-10-06,4,5.0,0
2022-10-07,2,5.0,0
2022-10-08,1,1.0,0
2022-10-09,21,0.0,0
2022-10-10,3,5.0,0
2022-10-11,10,1.0,0
2022-10-12,4,3.0,0
2022-10-13,12,5.0,0
2022-10-14,8,1.0,0
2022-10-15,0,0.0,0
2022-10-16,8,0.0,0
2022-10-17,8,0.0,0
2022-10-18,9,1.0,0
2022-10-19,6,1.0,1
2022-10-20,18,2.0,0
2022-10-21,8,3.0,0
2022-10-22,11,0.0,0
2022-10-23,7,0.0,0
2022-10-24,10,6.0,0
2022-10-25,17,2.0,0
2022-10-26,8,8.0,0
2022-10-27,15,2.0,0
2022-10-28,4,1.0,0
2022-10-29,7,3.0,0
2022-10-30,4,0.0,3
2022-10-31,6,4.0,0
2022-11-01,14,3.0,1
2022-11-02,8,4.0,0
2022-11-03,9,3.0,0
2022-11-04,18,6.0,0
2022-11-05,4,0.0,0
2022-11-06,2,0.0,0
2022-11-07,0,9.0,0
2022-11-08,9,5.0,0
2022-11-09,6,3.0,0
2022-11-10,17,4.0,0
2022-11-11,8,4.0,0
2022-11-12,10,0.0,0
2022-11-13,3,0.0,0
2022-11-14,12,7.0,0
2022-11-15,19,4.0,0
2022-11-16,13,2.0,0
2022-11-17,4,1.0,0
2022-11-18,1,5.0,0
2022-11-19,2,0.0,0
2022-11-20,5,0.0,0
2022-11-21,13,1.0,0
2022-11-22,21,4.0,0
2022-11-23,16,5.0,0
2022-11-24,11,5.0,0
2022-11-25,15,2.0,3
2022-11-26,7,0.0,0
2022-11-27,3,0.0,4
2022-11-28,15,3.0,0
2022-11-29,10,3.0,0
2022-11-30,9,2.0,0
2022-12-01,7,4.0,0
2022-12-02,7,3.0,0
2022-12-03,2,0.0,0
2022-12-04,2,0.0,0
