,pytorch/pytorch,chainer/chainer,torch/torch7
2016-12-25,4,0,0
2016-12-26,4,5,1
2016-12-27,24,29,0
2016-12-28,17,5,3
2016-12-29,36,1,2
2016-12-30,23,1,4
2016-12-31,34,1,1
2017-01-01,10,0,8
2017-01-02,8,0,1
2017-01-03,27,2,2
2017-01-04,72,3,0
2017-01-05,35,15,3
2017-01-06,6,24,1
2017-01-07,1,4,0
2017-01-08,0,7,0
2017-01-09,9,2,0
2017-01-10,9,17,3
2017-01-11,8,10,2
2017-01-12,8,17,0
2017-01-13,22,10,2
2017-01-14,4,3,0
2017-01-15,2,11,0
2017-01-16,16,29,0
2017-01-17,22,8,2
2017-01-18,29,11,0
2017-01-19,16,29,0
2017-01-20,17,9,0
2017-01-21,4,9,0
2017-01-22,9,2,0
2017-01-23,11,31,0
2017-01-24,25,25,1
2017-01-25,20,27,0
2017-01-26,13,14,0
2017-01-27,20,12,0
2017-01-28,17,2,0
2017-01-29,11,7,1
2017-01-30,8,31,2
2017-01-31,54,41,0
2017-02-01,23,10,2
2017-02-02,16,15,1
2017-02-03,7,28,0
2017-02-04,4,5,1
2017-02-05,0,3,0
2017-02-06,9,61,1
2017-02-07,19,35,0
2017-02-08,12,8,2
2017-02-09,20,9,6
2017-02-10,15,11,3
2017-02-11,5,6,0
2017-02-12,2,0,0
2017-02-13,9,34,0
2017-02-14,32,9,0
2017-02-15,14,5,0
2017-02-16,35,61,0
2017-02-17,25,7,0
2017-02-18,5,2,0
2017-02-19,0,2,0
2017-02-20,9,38,0
2017-02-21,26,17,0
2017-02-22,18,8,1
2017-02-23,63,37,54
2017-02-24,8,2,2
2017-02-25,8,12,0
2017-02-26,14,14,0
2017-02-27,15,31,0
2017-02-28,34,11,5
2017-03-01,19,13,0
2017-03-02,27,17,2
2017-03-03,25,21,5
2017-03-04,9,0,7
2017-03-05,10,3,0
2017-03-06,14,32,0
2017-03-07,21,6,0
2017-03-08,16,30,0
2017-03-09,16,17,0
2017-03-10,16,38,0
2017-03-11,7,5,0
2017-03-12,5,18,0
2017-03-13,21,61,0
2017-03-14,18,8,0
2017-03-15,25,5,0
2017-03-16,15,16,0
2017-03-17,17,29,0
2017-03-18,1,15,0
2017-03-19,3,5,0
2017-03-20,8,15,0
2017-03-21,7,41,0
2017-03-22,28,26,2
2017-03-23,26,18,1
2017-03-24,34,31,2
2017-03-25,4,2,0
2017-03-26,4,17,2
2017-03-27,19,39,0
2017-03-28,19,29,0
2017-03-29,27,10,0
2017-03-30,12,22,0
2017-03-31,20,25,2
2017-04-01,4,7,0
2017-04-02,3,4,2
2017-04-03,18,23,1
2017-04-04,15,27,1
2017-04-05,17,22,1
2017-04-06,31,46,2
2017-04-07,20,9,1
2017-04-08,12,1,1
2017-04-09,5,8,0
2017-04-10,6,19,1
2017-04-11,33,54,0
2017-04-12,32,43,2
