,getredash/redash,metabase/metabase,apache/superset
2015-10-02,0,69,13
2015-10-03,0,6,1
2015-10-04,0,8,15
2015-10-05,14,40,7
2015-10-06,26,66,3
2015-10-07,7,35,3
2015-10-08,17,29,1
2015-10-09,4,17,1
2015-10-10,1,4,0
2015-10-11,22,0,0
2015-10-12,0,4,5
2015-10-13,8,27,12
2015-10-14,2,44,1
2015-10-15,0,3,0
2015-10-16,2,29,2
2015-10-17,0,4,0
2015-10-18,2,1,0
2015-10-19,3,26,0
2015-10-20,5,9,17
2015-10-21,3,24,0
2015-10-22,0,4,0
2015-10-23,0,20,0
2015-10-24,0,1,4
2015-10-25,0,8,0
2015-10-26,4,6,0
2015-10-27,0,21,2
2015-10-28,0,12,0
2015-10-29,0,5,0
2015-10-30,2,20,0
2015-10-31,0,12,1
2015-11-01,0,0,0
2015-11-02,1,21,0
2015-11-03,7,22,1
2015-11-04,2,8,0
2015-11-05,2,8,1
2015-11-06,1,12,0
2015-11-07,2,10,0
2015-11-08,1,0,2
2015-11-09,1,8,0
2015-11-10,1,20,7
2015-11-11,2,34,2
2015-11-12,0,8,0
2015-11-13,2,15,0
2015-11-14,2,17,1
2015-11-15,4,0,1
2015-11-16,1,20,0
2015-11-17,3,29,0
2015-11-18,13,18,0
2015-11-19,0,59,0
2015-11-20,4,29,0
2015-11-21,1,8,1
2015-11-22,1,1,0
2015-11-23,22,22,1
2015-11-24,2,17,10
2015-11-25,0,33,0
2015-11-26,4,4,1
2015-11-27,0,0,0
2015-11-28,1,0,0
2015-11-29,0,0,0
2015-11-30,13,7,4
2015-12-01,21,43,0
2015-12-02,4,26,0
2015-12-03,4,16,0
2015-12-04,3,9,12
2015-12-05,3,0,0
2015-12-06,2,0,0
2015-12-07,1,17,0
2015-12-08,1,15,5
2015-12-09,3,15,4
2015-12-10,7,8,4
2015-12-11,4,15,5
2015-12-12,2,8,2
2015-12-13,4,2,5
2015-12-14,4,7,7
2015-12-15,0,28,8
2015-12-16,13,14,8
2015-12-17,0,6,12
2015-12-18,0,8,12
2015-12-19,1,0,2
2015-12-20,5,0,3
2015-12-21,6,0,3
2015-12-22,0,0,4
2015-12-23,0,0,6
2015-12-24,4,0,4
2015-12-25,0,0,1
2015-12-26,0,0,4
2015-12-27,4,0,2
2015-12-28,5,0,1
2015-12-29,0,0,2
2015-12-30,0,0,0
2015-12-31,1,0,0
2016-01-01,0,0,0
2016-01-02,0,0,0
2016-01-03,1,0,0
2016-01-04,1,0,0
2016-01-05,2,1,0
2016-01-06,8,7,11
2016-01-07,17,3,4
2016-01-08,2,6,4
2016-01-09,2,4,4
2016-01-10,1,1,2
2016-01-11,9,5,11
2016-01-12,9,11,11
2016-01-13,4,2,3
2016-01-14,5,6,10
2016-01-15,11,35,3
2016-01-16,4,12,5
2016-01-17,0,0,0
2016-01-18,1,9,0
2016-01-19,7,20,7
2016-01-20,6,12,0
2016-01-21,6,32,3
2016-01-22,1,33,2
2016-01-23,6,5,4
2016-01-24,5,0,3
2016-01-25,0,16,2
2016-01-26,0,23,1
2016-01-27,1,22,4
2016-01-28,0,10,1
2016-01-29,1,22,3
2016-01-30,0,1,0
2016-01-31,0,1,0
2016-02-01,1,20,0
2016-02-02,2,7,0
2016-02-03,4,30,0
2016-02-04,0,13,12
2016-02-05,0,7,1
2016-02-06,1,11,0
2016-02-07,1,1,0
2016-02-08,3,11,0
2016-02-09,5,6,0
2016-02-10,5,21,11
2016-02-11,1,7,4
2016-02-12,0,22,8
2016-02-13,0,13,0
2016-02-14,14,3,0
2016-02-15,1,16,0
2016-02-16,4,27,3
2016-02-17,2,8,0
2016-02-18,1,24,0
2016-02-19,0,25,3
2016-02-20,0,10,0
2016-02-21,2,8,0
2016-02-22,5,13,0
2016-02-23,8,35,2
2016-02-24,10,27,9
2016-02-25,3,18,5
2016-02-26,2,12,3
2016-02-27,1,24,5
2016-02-28,4,2,4
2016-02-29,17,14,10
2016-03-01,5,33,13
2016-03-02,1,17,10
2016-03-03,0,6,0
2016-03-04,1,9,9
2016-03-05,0,7,4
2016-03-06,2,1,7
2016-03-07,6,7,2
2016-03-08,9,28,3
2016-03-09,4,19,1
2016-03-10,10,17,2
2016-03-11,4,10,3
2016-03-12,4,1,0
2016-03-13,12,0,0
2016-03-14,12,5,3
2016-03-15,10,17,1
2016-03-16,1,38,9
2016-03-17,8,25,10
2016-03-18,0,10,3
2016-03-19,0,0,5
2016-03-20,1,0,2
2016-03-21,5,34,4
2016-03-22,4,24,1
2016-03-23,35,17,8
2016-03-24,8,30,7
2016-03-25,1,21,5
2016-03-26,0,2,8
2016-03-27,3,0,9
2016-03-28,5,13,6
2016-03-29,7,24,13
2016-03-30,14,4,9
2016-03-31,1,11,15
2016-04-01,1,12,15
2016-04-02,0,2,0
2016-04-03,5,0,9
2016-04-04,2,19,11
2016-04-05,2,15,7
2016-04-06,7,6,7
2016-04-07,7,1,14
2016-04-08,1,3,2
2016-04-09,0,4,12
2016-04-10,3,4,5
2016-04-11,1,18,5
2016-04-12,1,33,5
2016-04-13,0,38,4
2016-04-14,5,32,10
2016-04-15,10,12,7
2016-04-16,0,0,1
2016-04-17,15,2,2
2016-04-18,10,21,3
2016-04-19,2,48,1
2016-04-20,83,41,4
2016-04-21,1,31,5
2016-04-22,1,18,1
2016-04-23,0,4,0
2016-04-24,0,0,0
2016-04-25,1,8,2
2016-04-26,0,29,5
2016-04-27,0,12,1
2016-04-28,1,27,3
2016-04-29,2,14,3
2016-04-30,0,7,1
2016-05-01,4,0,1
2016-05-02,1,20,4
2016-05-03,1,19,3
2016-05-04,11,16,2
2016-05-05,9,15,5
2016-05-06,0,23,1
2016-05-07,4,13,0
2016-05-08,6,0,0
2016-05-09,4,28,0
2016-05-10,0,51,7
2016-05-11,0,20,0
2016-05-12,0,13,6
2016-05-13,1,12,0
2016-05-14,0,0,0
2016-05-15,0,0,0
2016-05-16,0,9,2
2016-05-17,6,7,7
2016-05-18,11,8,0
2016-05-19,4,8,1
2016-05-20,2,8,8
2016-05-21,0,0,0
2016-05-22,4,0,0
2016-05-23,2,12,4
2016-05-24,3,22,2
2016-05-25,1,20,0
2016-05-26,7,9,0
2016-05-27,2,2,0
2016-05-28,0,0,0
2016-05-29,0,0,0
2016-05-30,5,0,0
2016-05-31,7,18,0
2016-06-01,7,8,4
2016-06-02,2,3,7
2016-06-03,1,2,6
2016-06-04,0,2,0
2016-06-05,1,0,0
2016-06-06,7,11,1
2016-06-07,4,24,2
2016-06-08,10,26,2
2016-06-09,8,10,5
2016-06-10,0,29,6
2016-06-11,0,2,4
2016-06-12,0,0,2
2016-06-13,5,27,4
2016-06-14,22,33,5
2016-06-15,9,19,10
2016-06-16,2,11,2
2016-06-17,11,11,5
2016-06-18,0,0,0
2016-06-19,5,0,0
2016-06-20,6,18,6
2016-06-21,4,2,8
