,golang/go,rust-lang/rust,nim-lang/Nim
2018-07-16,15,83,5
2018-07-17,18,65,12
2018-07-18,32,78,6
2018-07-19,34,57,2
2018-07-20,11,89,4
2018-07-21,0,42,6
2018-07-22,0,65,3
2018-07-23,4,62,2
2018-07-24,10,109,2
2018-07-25,3,82,1
2018-07-26,1,79,1
2018-07-27,9,56,3
2018-07-28,9,32,1
2018-07-29,3,56,0
2018-07-30,3,109,21
2018-07-31,20,108,4
2018-08-01,18,120,3
2018-08-02,12,64,2
2018-08-03,14,57,2
2018-08-04,2,68,9
2018-08-05,0,97,9
2018-08-06,3,58,9
2018-08-07,6,104,8
2018-08-08,5,70,17
2018-08-09,16,127,5
2018-08-10,13,46,11
2018-08-11,0,52,1
2018-08-12,1,41,3
2018-08-13,3,53,21
2018-08-14,4,125,7
2018-08-15,0,105,6
2018-08-16,3,116,9
2018-08-17,14,44,8
2018-08-18,8,40,4
2018-08-19,0,83,1
2018-08-20,53,72,5
2018-08-21,53,44,9
2018-08-22,53,118,12
2018-08-23,11,72,21
2018-08-24,28,87,6
2018-08-25,7,43,5
2018-08-26,6,57,4
2018-08-27,3,89,9
2018-08-28,13,61,9
2018-08-29,6,92,2
2018-08-30,29,98,12
2018-08-31,11,78,8
2018-09-01,2,64,1
2018-09-02,3,42,6
2018-09-03,7,74,25
2018-09-04,10,39,10
2018-09-05,17,64,5
2018-09-06,9,93,6
2018-09-07,14,74,17
2018-09-08,3,63,4
2018-09-09,3,47,0
2018-09-10,2,69,3
2018-09-11,7,85,10
2018-09-12,10,71,8
2018-09-13,14,76,4
2018-09-14,6,44,26
2018-09-15,3,69,17
2018-09-16,3,50,12
2018-09-17,12,51,14
2018-09-18,12,61,11
2018-09-19,9,45,9
2018-09-20,8,86,4
2018-09-21,0,50,4
2018-09-22,0,57,12
2018-09-23,2,43,4
2018-09-24,17,41,15
2018-09-25,13,51,8
2018-09-26,11,87,3
2018-09-27,14,35,8
2018-09-28,10,37,11
2018-09-29,4,66,12
2018-09-30,1,59,4
2018-10-01,6,51,11
2018-10-02,27,64,20
2018-10-03,29,42,8
2018-10-04,19,62,3
2018-10-05,15,82,0
2018-10-06,11,48,0
2018-10-07,1,30,0
2018-10-08,5,76,3
2018-10-09,16,76,34
2018-10-10,16,76,6
2018-10-11,17,58,17
2018-10-12,17,69,12
2018-10-13,4,76,16
2018-10-14,3,54,14
2018-10-15,20,123,6
2018-10-16,11,69,17
2018-10-17,18,63,4
2018-10-18,11,73,25
2018-10-19,13,67,13
2018-10-20,2,54,3
2018-10-21,1,36,1
2018-10-22,14,52,4
2018-10-23,24,57,6
2018-10-24,19,58,12
2018-10-25,15,122,11
2018-10-26,11,77,0
2018-10-27,7,49,4
2018-10-28,9,61,14
2018-10-29,12,61,8
2018-10-30,23,70,29
2018-10-31,15,62,8
2018-11-01,10,96,4
2018-11-02,41,62,5
2018-11-03,6,71,5
2018-11-04,2,37,1
2018-11-05,21,99,3
2018-11-06,15,53,9
2018-11-07,6,81,12
2018-11-08,17,56,18
2018-11-09,16,49,6
2018-11-10,7,85,2
2018-11-11,4,60,6
2018-11-12,32,38,1
2018-11-13,19,63,2
2018-11-14,23,36,3
2018-11-15,9,67,12
2018-11-16,20,123,6
2018-11-17,3,34,0
2018-11-18,2,47,3
2018-11-19,8,52,7
2018-11-20,12,72,7
2018-11-21,8,108,7
2018-11-22,2,61,5
2018-11-23,4,42,25
2018-11-24,1,61,1
2018-11-25,0,63,0
2018-11-26,13,56,15
2018-11-27,13,127,5
2018-11-28,16,47,1
2018-11-29,26,84,6
2018-11-30,10,103,6
2018-12-01,6,18,3
2018-12-02,2,57,0
2018-12-03,10,79,7
2018-12-04,14,82,11
2018-12-05,20,59,15
2018-12-06,10,74,5
2018-12-07,10,57,7
2018-12-08,1,57,12
2018-12-09,1,57,21
2018-12-10,10,73,10
2018-12-11,15,78,60
2018-12-12,21,86,20
2018-12-13,25,53,17
2018-12-14,16,80,10
2018-12-15,5,57,8
2018-12-16,1,40,14
2018-12-17,19,56,3
2018-12-18,18,50,8
2018-12-19,8,117,12
2018-12-20,13,86,9
2018-12-21,4,79,11
2018-12-22,5,75,4
2018-12-23,0,54,2
2018-12-24,3,38,0
2018-12-25,1,60,1
2018-12-26,1,52,1
2018-12-27,3,76,8
2018-12-28,3,61,0
2018-12-29,4,73,0
2018-12-30,3,72,14
2018-12-31,1,50,4
2019-01-01,2,60,4
2019-01-02,13,83,3
2019-01-03,9,89,2
2019-01-04,10,68,10
2019-01-05,2,70,3
2019-01-06,1,63,7
2019-01-07,10,82,6
2019-01-08,8,91,10
2019-01-09,10,51,8
2019-01-10,5,45,17
2019-01-11,2,44,12
2019-01-12,1,80,3
2019-01-13,0,107,16
2019-01-14,5,69,9
