,pulsar-edit/pulsar,microsoft/vscode,neovim/neovim
2019-12-13,0,54,1
2019-12-14,0,9,0
2019-12-15,0,2,0
2019-12-16,3,54,4
2019-12-17,0,54,7
2019-12-18,4,77,3
2019-12-19,8,48,2
2019-12-20,3,31,5
2019-12-21,0,2,3
2019-12-22,0,1,16
2019-12-23,0,19,9
2019-12-24,0,15,6
2019-12-25,0,2,3
2019-12-26,0,3,12
2019-12-27,0,6,1
2019-12-28,0,2,2
2019-12-29,0,2,13
2019-12-30,0,36,16
2019-12-31,0,31,8
2020-01-01,3,0,16
2020-01-02,0,19,7
2020-01-03,0,16,6
2020-01-04,0,1,5
2020-01-05,0,5,3
2020-01-06,0,58,3
2020-01-07,7,61,3
2020-01-08,2,51,7
2020-01-09,2,59,4
2020-01-10,1,77,0
2020-01-11,0,11,2
2020-01-12,0,13,2
2020-01-13,0,80,2
2020-01-14,0,67,3
2020-01-15,0,75,2
2020-01-16,0,61,4
2020-01-17,0,68,14
2020-01-18,0,8,7
2020-01-19,0,18,13
2020-01-20,0,41,5
2020-01-21,1,88,13
2020-01-22,0,61,3
2020-01-23,5,68,2
2020-01-24,13,58,3
2020-01-25,2,6,1
2020-01-26,0,20,18
2020-01-27,1,94,13
2020-01-28,0,29,7
2020-01-29,1,88,2
2020-01-30,2,49,6
2020-01-31,1,26,4
2020-02-01,0,4,2
2020-02-02,0,4,5
2020-02-03,0,41,11
2020-02-04,1,106,1
2020-02-05,1,110,1
2020-02-06,1,101,1
2020-02-07,3,108,9
2020-02-08,1,9,0
2020-02-09,0,9,5
2020-02-10,7,89,9
2020-02-11,1,83,2
2020-02-12,1,60,13
2020-02-13,5,75,22
2020-02-14,2,59,7
2020-02-15,0,13,1
2020-02-16,0,2,12
2020-02-17,2,66,11
2020-02-18,0,61,7
2020-02-19,0,88,5
2020-02-20,4,102,1
2020-02-21,0,77,5
2020-02-22,0,14,2
2020-02-23,0,31,9
2020-02-24,1,25,1
2020-02-25,7,35,1
2020-02-26,5,88,6
2020-02-27,5,71,6
2020-02-28,5,59,1
2020-02-29,1,4,4
2020-03-01,0,7,11
2020-03-02,1,72,20
2020-03-03,2,52,1
2020-03-04,3,86,0
2020-03-05,0,70,0
2020-03-06,1,62,1
2020-03-07,0,19,0
2020-03-08,0,8,6
2020-03-09,0,65,0
2020-03-10,1,55,0
2020-03-11,5,41,0
2020-03-12,0,58,2
