,scikit-learn/scikit-learn,mlpack/mlpack,statsmodels/statsmodels
2010-04-05,0,2,1
2010-04-06,4,1,0
2010-04-07,0,2,0
2010-04-08,8,2,1
2010-04-09,0,0,1
2010-04-10,0,0,0
2010-04-11,0,2,4
2010-04-12,0,3,14
2010-04-13,3,4,3
2010-04-14,9,16,1
2010-04-15,5,2,0
2010-04-16,0,0,4
2010-04-17,0,0,6
2010-04-18,0,0,3
2010-04-19,9,0,2
2010-04-20,15,4,1
2010-04-21,16,3,1
2010-04-22,13,0,1
2010-04-23,7,0,0
2010-04-24,0,2,14
2010-04-25,1,2,1
2010-04-26,1,0,1
2010-04-27,0,1,0
2010-04-28,2,11,0
2010-04-29,7,3,0
2010-04-30,4,1,0
2010-05-01,0,0,0
2010-05-02,0,0,11
2010-05-03,10,3,12
2010-05-04,10,3,13
2010-05-05,8,1,0
2010-05-06,11,4,0
2010-05-07,23,1,0
2010-05-08,1,0,0
2010-05-09,6,2,0
2010-05-10,4,0,7
2010-05-11,0,3,0
2010-05-12,6,5,2
2010-05-13,2,2,0
2010-05-14,1,5,0
2010-05-15,1,1,4
2010-05-16,0,0,4
2010-05-17,6,3,3
2010-05-18,2,0,5
2010-05-19,0,0,1
2010-05-20,3,2,6
2010-05-21,0,1,6
2010-05-22,0,0,7
2010-05-23,0,0,0
2010-05-24,3,12,0
2010-05-25,1,12,0
2010-05-26,4,5,0
2010-05-27,19,2,1
2010-05-28,5,2,3
2010-05-29,6,0,0
2010-05-30,2,0,0
2010-05-31,2,0,3
2010-06-01,2,6,0
2010-06-02,7,1,0
2010-06-03,3,8,0
2010-06-04,3,0,2
2010-06-05,0,2,0
2010-06-06,0,1,0
2010-06-07,2,1,2
2010-06-08,0,6,5
2010-06-09,3,8,8
2010-06-10,10,0,4
2010-06-11,1,0,0
2010-06-12,0,0,2
2010-06-13,0,0,0
2010-06-14,2,1,6
2010-06-15,3,1,3
2010-06-16,13,4,8
2010-06-17,6,4,4
2010-06-18,3,14,3
2010-06-19,0,0,0
2010-06-20,0,1,0
2010-06-21,7,3,4
2010-06-22,11,5,6
2010-06-23,14,13,0
2010-06-24,0,2,0
2010-06-25,8,3,1
2010-06-26,13,0,0
2010-06-27,2,0,1
2010-06-28,7,0,3
2010-06-29,0,0,2
2010-06-30,0,1,7
2010-07-01,2,0,3
2010-07-02,1,0,0
2010-07-03,5,0,0
2010-07-04,9,0,0
2010-07-05,1,0,0
2010-07-06,11,0,0
2010-07-07,9,2,5
2010-07-08,3,0,2
2010-07-09,0,1,4
2010-07-10,6,0,0
2010-07-11,0,0,0
2010-07-12,0,0,2
2010-07-13,1,2,4
2010-07-14,2,2,5
2010-07-15,3,1,1
2010-07-16,42,1,13
2010-07-17,3,0,0
2010-07-18,6,0,0
2010-07-19,2,0,3
2010-07-20,5,0,2
2010-07-21,1,0,2
2010-07-22,2,0,1
2010-07-23,1,0,6
2010-07-24,2,0,0
2010-07-25,0,0,0
2010-07-26,14,0,2
