,twbs/bootstrap,primer/css,zurb/foundation-sites
2015-03-20,0,2,27
2015-03-21,6,0,0
2015-03-22,0,0,0
2015-03-23,3,25,3
2015-03-24,5,11,24
2015-03-25,2,3,3
2015-03-26,18,2,20
2015-03-27,6,16,10
2015-03-28,3,20,7
2015-03-29,17,7,3
2015-03-30,0,18,3
2015-03-31,8,8,8
2015-04-01,2,4,0
2015-04-02,2,4,7
2015-04-03,2,0,7
2015-04-04,4,3,2
2015-04-05,12,2,0
2015-04-06,0,1,14
2015-04-07,16,0,3
2015-04-08,24,1,19
2015-04-09,1,5,8
2015-04-10,1,2,9
2015-04-11,5,0,3
2015-04-12,2,0,0
2015-04-13,12,0,1
2015-04-14,6,0,12
2015-04-15,10,16,0
2015-04-16,8,3,11
2015-04-17,30,0,1
2015-04-18,22,0,0
2015-04-19,7,2,1
2015-04-20,1,1,8
2015-04-21,2,0,6
2015-04-22,8,0,9
2015-04-23,23,1,3
2015-04-24,11,0,13
2015-04-25,12,0,13
2015-04-26,22,0,0
2015-04-27,18,0,1
2015-04-28,15,0,8
2015-04-29,18,1,4
2015-04-30,4,2,7
2015-05-01,2,0,0
2015-05-02,4,0,1
2015-05-03,4,0,0
2015-05-04,4,0,1
2015-05-05,11,0,14
2015-05-06,8,1,7
2015-05-07,2,0,6
2015-05-08,4,0,10
2015-05-09,2,0,0
2015-05-10,2,0,0
2015-05-11,3,0,3
2015-05-12,5,1,5
2015-05-13,11,0,5
2015-05-14,21,0,6
2015-05-15,5,0,10
2015-05-16,6,0,2
2015-05-17,2,0,0
2015-05-18,2,0,5
2015-05-19,0,0,10
2015-05-20,0,0,5
2015-05-21,1,6,1
2015-05-22,2,0,6
2015-05-23,7,0,0
2015-05-24,1,0,0
2015-05-25,0,0,2
2015-05-26,3,3,0
2015-05-27,1,1,1
2015-05-28,7,0,11
2015-05-29,18,2,6
2015-05-30,5,2,5
2015-05-31,1,3,0
2015-06-01,11,11,0
2015-06-02,2,0,5
2015-06-03,2,0,15
2015-06-04,0,0,5
2015-06-05,2,0,2
2015-06-06,0,0,5
2015-06-07,0,0,1
2015-06-08,2,0,4
2015-06-09,9,3,2
2015-06-10,2,15,1
2015-06-11,3,0,3
2015-06-12,0,3,3
2015-06-13,3,1,0
2015-06-14,0,0,0
2015-06-15,1,0,0
2015-06-16,6,0,3
2015-06-17,1,0,0
2015-06-18,11,0,5
2015-06-19,11,0,12
2015-06-20,1,0,3
2015-06-21,1,0,1
2015-06-22,6,0,4
2015-06-23,16,1,7
2015-06-24,0,19,1
2015-06-25,1,2,2
2015-06-26,0,0,0
2015-06-27,2,0,0
2015-06-28,0,0,0
2015-06-29,0,0,3
2015-06-30,0,0,2
2015-07-01,7,0,1
2015-07-02,1,0,5
2015-07-03,4,0,0
2015-07-04,7,0,0
2015-07-05,0,0,0
2015-07-06,0,0,4
2015-07-07,2,0,2
2015-07-08,1,0,5
2015-07-09,1,4,11
2015-07-10,0,0,3
2015-07-11,1,0,0
2015-07-12,1,0,0
2015-07-13,3,0,3
2015-07-14,0,0,1
2015-07-15,0,0,1
2015-07-16,0,0,0
2015-07-17,1,0,11
2015-07-18,8,0,3
2015-07-19,0,0,2
2015-07-20,0,6,0
2015-07-21,0,5,0
2015-07-22,0,0,0
2015-07-23,0,0,4
2015-07-24,1,0,0
2015-07-25,7,0,0
2015-07-26,3,0,0
2015-07-27,3,2,1
2015-07-28,4,0,17
2015-07-29,3,3,17
2015-07-30,0,0,8
2015-07-31,4,0,13
2015-08-01,2,0,0
2015-08-02,0,0,0
2015-08-03,0,0,7
2015-08-04,0,0,8
2015-08-05,31,3,9
2015-08-06,9,0,11
2015-08-07,0,0,2
2015-08-08,8,0,0
2015-08-09,1,0,3
2015-08-10,44,0,13
2015-08-11,13,0,16
2015-08-12,0,0,23
2015-08-13,32,0,15
2015-08-14,9,0,8
2015-08-15,5,0,6
2015-08-16,0,0,0
2015-08-17,14,0,29
2015-08-18,37,0,25
2015-08-19,72,0,20
2015-08-20,44,0,12
2015-08-21,43,0,18
2015-08-22,7,0,3
2015-08-23,45,0,1
2015-08-24,25,0,6
2015-08-25,27,0,2
2015-08-26,25,0,11
2015-08-27,15,2,5
2015-08-28,2,0,0
2015-08-29,10,0,0
2015-08-30,2,0,0
2015-08-31,3,0,2
2015-09-01,6,0,17
2015-09-02,36,0,9
2015-09-03,9,0,5
2015-09-04,0,0,3
2015-09-05,14,0,1
2015-09-06,17,0,6
2015-09-07,3,0,0
2015-09-08,9,2,12
2015-09-09,4,1,6
2015-09-10,10,0,5
2015-09-11,3,15,3
2015-09-12,2,0,1
2015-09-13,1,0,0
2015-09-14,1,0,3
2015-09-15,2,0,5
2015-09-16,6,0,4
2015-09-17,1,0,2
2015-09-18,0,0,9
2015-09-19,3,0,0
2015-09-20,3,0,2
2015-09-21,1,0,3
2015-09-22,5,0,23
2015-09-23,4,0,30
2015-09-24,7,0,35
2015-09-25,9,2,31
2015-09-26,2,0,4
2015-09-27,6,0,3
2015-09-28,6,0,14
2015-09-29,5,2,12
2015-09-30,0,1,28
2015-10-01,10,0,9
2015-10-02,2,2,12
2015-10-03,0,0,3
2015-10-04,3,0,3
2015-10-05,0,0,10
2015-10-06,2,0,20
2015-10-07,7,0,4
2015-10-08,4,0,23
2015-10-09,3,0,43
2015-10-10,3,4,2
2015-10-11,5,0,1
2015-10-12,5,1,7
2015-10-13,11,2,23
2015-10-14,2,2,14
2015-10-15,3,0,3
2015-10-16,5,2,19
2015-10-17,4,0,0
2015-10-18,0,0,3
2015-10-19,4,7,22
2015-10-20,3,0,29
2015-10-21,2,1,32
2015-10-22,1,0,17
2015-10-23,10,0,6
2015-10-24,14,0,0
2015-10-25,4,0,14
2015-10-26,7,0,11
2015-10-27,14,0,7
2015-10-28,7,0,11
2015-10-29,9,0,2
2015-10-30,8,0,6
2015-10-31,3,0,0
2015-11-01,0,0,2
2015-11-02,5,1,14
2015-11-03,9,0,13
2015-11-04,2,0,30
2015-11-05,1,0,35
2015-11-06,1,0,30
2015-11-07,0,0,12
2015-11-08,0,0,9
2015-11-09,0,0,12
2015-11-10,0,0,23
2015-11-11,7,0,16
2015-11-12,6,0,16
2015-11-13,44,0,7
2015-11-14,1,0,14
2015-11-15,45,0,2
2015-11-16,11,6,26
2015-11-17,0,0,53
2015-11-18,0,0,31
2015-11-19,9,0,60
2015-11-20,0,0,50
2015-11-21,0,0,20
2015-11-22,0,0,4
2015-11-23,4,0,26
2015-11-24,3,0,42
2015-11-25,1,0,22
2015-11-26,5,0,5
2015-11-27,1,0,11
2015-11-28,1,0,3
2015-11-29,1,0,2
2015-11-30,35,0,29
2015-12-01,7,0,26
2015-12-02,2,0,26
2015-12-03,5,0,11
2015-12-04,8,0,9
2015-12-05,19,0,7
2015-12-06,9,0,2
2015-12-07,24,0,6
2015-12-08,78,7,9
2015-12-09,12,0,11
2015-12-10,4,0,17
2015-12-11,6,0,25
2015-12-12,5,0,11
2015-12-13,6,0,10
2015-12-14,1,0,18
2015-12-15,1,0,42
2015-12-16,2,0,28
2015-12-17,6,0,29
2015-12-18,1,0,28
2015-12-19,0,0,10
