,tensorflow/tensorflow,apache/mxnet,pytorch/pytorch
2016-09-25,5,0,7
2016-09-26,49,2,8
2016-09-27,68,1,16
2016-09-28,47,1,5
2016-09-29,69,4,13
2016-09-30,55,1,18
2016-10-01,10,2,5
2016-10-02,5,1,5
2016-10-03,30,2,11
2016-10-04,44,2,3
2016-10-05,34,2,9
2016-10-06,57,2,2
2016-10-07,48,2,34
2016-10-08,17,1,2
2016-10-09,7,0,2
2016-10-10,42,2,3
2016-10-11,69,1,5
2016-10-12,73,4,3
2016-10-13,62,0,10
2016-10-14,71,1,16
2016-10-15,22,5,2
2016-10-16,27,2,4
2016-10-17,44,6,17
2016-10-18,70,3,5
2016-10-19,103,3,9
2016-10-20,58,1,0
2016-10-21,63,1,0
2016-10-22,38,0,3
2016-10-23,26,1,1
2016-10-24,64,6,24
2016-10-25,69,1,7
2016-10-26,62,4,10
2016-10-27,67,1,8
2016-10-28,61,1,4
2016-10-29,16,1,5
2016-10-30,6,3,1
2016-10-31,70,4,6
2016-11-01,58,1,13
2016-11-02,58,0,12
2016-11-03,70,2,10
2016-11-04,67,2,0
2016-11-05,5,2,4
2016-11-06,5,2,1
2016-11-07,18,3,13
2016-11-08,9,4,79
2016-11-09,107,6,5
2016-11-10,42,4,9
2016-11-11,47,4,29
2016-11-12,31,3,0
2016-11-13,3,1,4
2016-11-14,46,3,3
2016-11-15,64,6,25
2016-11-16,151,7,13
2016-11-17,68,7,6
2016-11-18,54,11,8
2016-11-19,22,5,4
2016-11-20,17,3,0
2016-11-21,44,7,10
2016-11-22,70,6,9
2016-11-23,69,8,7
2016-11-24,30,8,9
2016-11-25,13,4,1
2016-11-26,8,0,9
2016-11-27,4,2,0
2016-11-28,47,2,8
2016-11-29,59,7,39
2016-11-30,57,3,3
2016-12-01,73,1,26
2016-12-02,70,4,5
2016-12-03,26,7,1
2016-12-04,3,2,0
2016-12-05,56,1,20
2016-12-06,44,4,8
2016-12-07,110,10,2
2016-12-08,84,3,3
2016-12-09,59,4,4
2016-12-10,31,3,0
2016-12-11,7,2,4
2016-12-12,36,0,5
2016-12-13,50,1,17
2016-12-14,46,0,24
2016-12-15,59,5,39
