,netdata/netdata,cacti/cacti,grafana/grafana
2021-06-17,3,1,24
2021-06-18,6,0,10
2021-06-19,1,0,1
2021-06-20,0,1,0
2021-06-21,1,2,11
2021-06-22,2,0,10
2021-06-23,5,0,15
2021-06-24,1,0,13
2021-06-25,0,10,6
2021-06-26,1,1,1
2021-06-27,0,3,2
2021-06-28,2,1,13
2021-06-29,2,0,12
2021-06-30,3,1,12
2021-07-01,2,4,17
2021-07-02,4,0,13
2021-07-03,1,1,0
2021-07-04,0,1,1
2021-07-05,0,0,14
2021-07-06,0,0,13
2021-07-07,3,0,24
2021-07-08,6,0,15
2021-07-09,2,3,14
2021-07-10,1,0,2
2021-07-11,0,0,2
2021-07-12,2,0,19
2021-07-13,2,0,20
2021-07-14,4,0,19
2021-07-15,2,0,17
2021-07-16,1,0,18
2021-07-17,0,0,2
2021-07-18,1,0,0
2021-07-19,6,2,17
2021-07-20,3,0,16
2021-07-21,3,0,27
2021-07-22,4,0,23
2021-07-23,1,2,11
2021-07-24,0,0,1
2021-07-25,0,0,0
2021-07-26,2,0,18
2021-07-27,0,0,10
2021-07-28,2,0,5
2021-07-29,2,0,22
2021-07-30,1,0,13
2021-07-31,1,0,0
2021-08-01,0,0,0
2021-08-02,1,0,9
2021-08-03,3,0,13
2021-08-04,4,0,26
2021-08-05,3,0,15
2021-08-06,3,0,10
2021-08-07,1,0,0
2021-08-08,0,0,0
2021-08-09,7,0,15
2021-08-10,2,0,16
2021-08-11,11,0,11
2021-08-12,4,0,12
2021-08-13,2,0,18
2021-08-14,1,0,2
2021-08-15,0,0,2
2021-08-16,5,0,11
2021-08-17,2,0,20
2021-08-18,4,1,23
2021-08-19,3,0,20
2021-08-20,1,0,11
2021-08-21,0,0,0
2021-08-22,0,0,0
2021-08-23,1,0,21
2021-08-24,4,0,19
2021-08-25,4,0,15
2021-08-26,5,0,15
2021-08-27,3,2,23
2021-08-28,1,6,1
2021-08-29,0,2,2
2021-08-30,1,0,9
2021-08-31,2,3,16
2021-09-01,1,1,25
2021-09-02,0,0,17
2021-09-03,1,0,5
2021-09-04,2,0,0
2021-09-05,1,4,0
2021-09-06,1,1,12
2021-09-07,2,2,20
2021-09-08,5,3,19
2021-09-09,3,0,23
2021-09-10,1,1,21
2021-09-11,0,0,0
2021-09-12,0,0,1
2021-09-13,0,0,26
2021-09-14,3,0,18
2021-09-15,9,4,25
2021-09-16,4,0,17
2021-09-17,4,0,22
2021-09-18,0,0,0
2021-09-19,2,2,1
2021-09-20,11,0,23
2021-09-21,10,0,15
2021-09-22,4,0,14
2021-09-23,8,0,24
2021-09-24,5,0,2
2021-09-25,2,8,2
2021-09-26,1,0,0
2021-09-27,5,0,17
2021-09-28,10,0,18
2021-09-29,5,0,26
2021-09-30,4,3,21
2021-10-01,4,0,21
2021-10-02,1,3,0
2021-10-03,0,1,0
2021-10-04,4,0,14
2021-10-05,7,0,12
2021-10-06,6,2,22
2021-10-07,6,0,19
2021-10-08,5,1,15
2021-10-09,1,0,0
2021-10-10,0,26,0
2021-10-11,3,5,18
2021-10-12,8,0,27
2021-10-13,3,0,15
2021-10-14,2,0,23
2021-10-15,5,2,15
2021-10-16,2,11,1
2021-10-17,1,0,0
2021-10-18,4,0,21
2021-10-19,7,51,22
2021-10-20,5,2,27
2021-10-21,8,6,22
2021-10-22,10,4,18
2021-10-23,1,2,0
2021-10-24,1,1,0
2021-10-25,3,4,15
2021-10-26,7,5,26
2021-10-27,8,3,24
2021-10-28,2,0,18
2021-10-29,3,0,21
2021-10-30,0,0,0
2021-10-31,0,0,0
2021-11-01,6,2,16
2021-11-02,3,0,36
2021-11-03,7,0,21
2021-11-04,5,0,17
2021-11-05,3,0,20
2021-11-06,2,0,2
2021-11-07,0,3,1
2021-11-08,5,0,16
2021-11-09,6,0,28
2021-11-10,2,0,25
2021-11-11,8,0,27
2021-11-12,2,0,20
2021-11-13,0,0,1
2021-11-14,0,4,2
2021-11-15,7,1,26
2021-11-16,5,0,23
2021-11-17,7,1,36
2021-11-18,4,2,31
2021-11-19,3,0,36
2021-11-20,0,1,2
2021-11-21,0,0,0
2021-11-22,5,1,17
2021-11-23,0,0,25
2021-11-24,2,0,36
2021-11-25,3,1,16
2021-11-26,3,0,20
2021-11-27,0,6,0
2021-11-28,0,7,0
2021-11-29,4,3,31
2021-11-30,5,2,16
2021-12-01,5,0,25
2021-12-02,2,0,21
2021-12-03,0,0,14
2021-12-04,0,0,0
2021-12-05,0,0,0
2021-12-06,3,1,14
2021-12-07,5,0,10
2021-12-08,2,0,10
2021-12-09,4,27,10
2021-12-10,3,26,4
2021-12-11,0,1,0
2021-12-12,0,0,0
2021-12-13,5,0,18
2021-12-14,4,3,27
2021-12-15,3,1,20
2021-12-16,0,1,18
2021-12-17,3,0,17
2021-12-18,0,0,2
2021-12-19,0,23,1
2021-12-20,6,0,23
2021-12-21,4,6,20
2021-12-22,7,0,11
2021-12-23,6,1,9
2021-12-24,0,0,2
2021-12-25,0,0,0
2021-12-26,0,0,0
2021-12-27,0,0,4
2021-12-28,0,0,6
2021-12-29,0,3,1
2021-12-30,0,1,4
2021-12-31,2,1,0
2022-01-01,0,0,0
2022-01-02,0,3,0
2022-01-03,0,3,8
2022-01-04,4,1,24
2022-01-05,1,0,19
2022-01-06,0,0,14
2022-01-07,0,0,26
2022-01-08,0,2,0
2022-01-09,0,0,0
2022-01-10,12,0,21
2022-01-11,8,0,18
2022-01-12,5,0,15
2022-01-13,8,0,19
2022-01-14,5,0,14
2022-01-15,1,0,0
2022-01-16,0,0,0
