,swiftlang/swift,rust-lang/rust,golang/go
2022-08-17,42,88,37
2022-08-18,47,104,41
2022-08-19,49,89,41
2022-08-20,22,79,2
2022-08-21,20,117,0
2022-08-22,81,133,18
2022-08-23,64,134,35
2022-08-24,58,87,17
2022-08-25,48,67,14
2022-08-26,104,112,29
2022-08-27,16,92,4
2022-08-28,6,80,1
2022-08-29,26,87,21
2022-08-30,57,100,12
2022-08-31,72,124,32
2022-09-01,71,94,23
2022-09-02,60,87,51
2022-09-03,7,53,7
2022-09-04,9,60,1
2022-09-05,7,82,14
2022-09-06,41,75,39
2022-09-07,44,74,46
2022-09-08,59,96,27
2022-09-09,39,88,19
2022-09-10,29,72,0
2022-09-11,7,54,0
2022-09-12,50,126,0
2022-09-13,56,115,16
2022-09-14,47,103,9
2022-09-15,107,75,21
2022-09-16,42,94,22
2022-09-17,17,58,4
2022-09-18,24,46,1
2022-09-19,51,70,24
2022-09-20,75,82,10
2022-09-21,40,86,10
2022-09-22,49,103,5
2022-09-23,47,99,11
2022-09-24,13,93,1
2022-09-25,4,68,1
2022-09-26,37,101,23
2022-09-27,51,140,38
2022-09-28,49,64,31
2022-09-29,52,77,54
2022-09-30,60,82,24
2022-10-01,13,104,10
2022-10-02,1,91,4
2022-10-03,39,83,7
2022-10-04,66,65,15
2022-10-05,49,65,14
2022-10-06,25,78,10
2022-10-07,83,116,14
2022-10-08,21,60,4
2022-10-09,13,83,0
2022-10-10,52,108,13
2022-10-11,10,64,12
2022-10-12,21,74,17
2022-10-13,24,68,11
2022-10-14,43,87,17
2022-10-15,18,68,1
2022-10-16,4,70,0
2022-10-17,48,77,19
2022-10-18,29,65,13
2022-10-19,40,93,8
2022-10-20,77,104,9
2022-10-21,67,78,11
2022-10-22,45,64,0
2022-10-23,11,101,1
2022-10-24,42,106,15
2022-10-25,41,92,13
2022-10-26,33,95,16
2022-10-27,60,99,6
2022-10-28,49,74,8
2022-10-29,9,109,4
2022-10-30,26,39,0
2022-10-31,51,70,19
2022-11-01,60,71,19
2022-11-02,68,72,12
2022-11-03,56,52,24
2022-11-04,89,105,21
2022-11-05,25,102,1
2022-11-06,5,69,0
2022-11-07,56,158,17
2022-11-08,59,78,23
2022-11-09,83,122,25
2022-11-10,76,95,32
2022-11-11,64,86,14
2022-11-12,45,85,0
2022-11-13,7,71,0
2022-11-14,57,72,18
2022-11-15,52,102,45
2022-11-16,95,70,32
2022-11-17,64,70,25
2022-11-18,45,97,24
2022-11-19,23,105,13
2022-11-20,0,106,0
2022-11-21,6,130,20
2022-11-22,6,80,18
2022-11-23,7,90,14
2022-11-24,2,86,3
2022-11-25,0,170,0
