,golang/go,rust-lang/rust,swiftlang/swift
2022-09-17,4,58,17
2022-09-18,1,46,24
2022-09-19,24,70,51
2022-09-20,10,82,75
2022-09-21,10,86,40
2022-09-22,5,103,49
2022-09-23,11,99,47
2022-09-24,1,93,13
2022-09-25,1,68,4
2022-09-26,23,101,37
2022-09-27,38,140,51
2022-09-28,31,64,49
2022-09-29,54,77,52
2022-09-30,24,82,60
2022-10-01,10,104,13
2022-10-02,4,91,1
2022-10-03,7,83,39
2022-10-04,15,65,66
2022-10-05,14,65,49
2022-10-06,10,78,25
2022-10-07,14,116,83
2022-10-08,4,60,21
2022-10-09,0,83,13
2022-10-10,13,108,52
2022-10-11,12,64,10
2022-10-12,17,74,21
2022-10-13,11,68,24
2022-10-14,17,87,43
2022-10-15,1,68,18
2022-10-16,0,70,4
2022-10-17,19,77,48
2022-10-18,13,65,29
2022-10-19,8,93,40
2022-10-20,9,104,77
2022-10-21,11,78,67
2022-10-22,0,64,45
2022-10-23,1,101,11
2022-10-24,15,106,42
2022-10-25,13,92,41
2022-10-26,16,95,33
2022-10-27,6,99,60
2022-10-28,8,74,49
2022-10-29,4,109,9
2022-10-30,0,39,26
2022-10-31,19,70,51
2022-11-01,19,71,60
2022-11-02,12,72,68
2022-11-03,24,52,56
2022-11-04,21,105,89
2022-11-05,1,102,25
2022-11-06,0,69,5
2022-11-07,17,158,56
2022-11-08,23,78,59
2022-11-09,25,122,83
2022-11-10,32,95,76
2022-11-11,14,86,64
2022-11-12,0,85,45
2022-11-13,0,71,7
2022-11-14,18,72,57
2022-11-15,45,102,52
2022-11-16,32,70,95
2022-11-17,25,70,64
2022-11-18,24,97,45
2022-11-19,13,105,23
2022-11-20,0,106,0
2022-11-21,20,130,6
2022-11-22,18,80,6
2022-11-23,14,90,7
2022-11-24,3,86,2
2022-11-25,0,170,0
2022-11-26,0,80,3
2022-11-27,0,88,2
2022-11-28,11,100,50
2022-11-29,5,100,116
2022-11-30,7,65,87
2022-12-01,18,90,90
2022-12-02,14,87,68
2022-12-03,1,75,24
2022-12-04,0,54,10
2022-12-05,8,53,32
2022-12-06,9,106,68
2022-12-07,11,60,58
2022-12-08,8,59,55
2022-12-09,3,83,58
2022-12-10,1,60,27
2022-12-11,1,68,7
2022-12-12,6,68,71
2022-12-13,3,110,90
2022-12-14,6,112,84
2022-12-15,2,88,109
2022-12-16,4,70,60
2022-12-17,1,79,19
2022-12-18,0,53,14
2022-12-19,1,53,55
2022-12-20,0,91,70
2022-12-21,6,59,68
2022-12-22,6,74,39
2022-12-23,2,60,1
2022-12-24,0,42,1
2022-12-25,0,44,1
2022-12-26,0,22,1
2022-12-27,1,67,1
2022-12-28,1,110,12
2022-12-29,2,67,7
2022-12-30,0,52,5
2022-12-31,0,54,2
2023-01-01,0,39,3
2023-01-02,0,87,8
2023-01-03,3,66,78
2023-01-04,4,80,60
2023-01-05,2,56,60
2023-01-06,3,62,49
2023-01-07,0,53,57
2023-01-08,0,37,29
2023-01-09,7,172,63
2023-01-10,3,52,30
2023-01-11,3,133,54
2023-01-12,0,131,57
2023-01-13,3,106,58
2023-01-14,0,131,18
2023-01-15,0,49,18
2023-01-16,1,65,54
2023-01-17,42,100,42
2023-01-18,7,72,51
2023-01-19,19,76,64
2023-01-20,38,84,60
2023-01-21,3,83,22
2023-01-22,0,54,9
2023-01-23,12,100,28
2023-01-24,20,50,56
2023-01-25,16,64,68
2023-01-26,22,81,115
2023-01-27,14,151,56
2023-01-28,6,77,39
2023-01-29,1,57,32
2023-01-30,25,91,37
2023-01-31,31,95,54
2023-02-01,14,72,81
2023-02-02,17,73,151
2023-02-03,7,80,61
2023-02-04,9,30,25
2023-02-05,0,61,11
2023-02-06,15,65,64
2023-02-07,8,72,87
2023-02-08,10,52,100
2023-02-09,13,84,92
2023-02-10,20,89,55
2023-02-11,2,53,72
2023-02-12,0,56,23
2023-02-13,8,90,58
2023-02-14,8,139,74
2023-02-15,7,86,78
2023-02-16,8,95,77
2023-02-17,10,75,64
2023-02-18,1,98,28
2023-02-19,1,73,9
2023-02-20,1,93,50
2023-02-21,8,91,63
2023-02-22,14,83,82
2023-02-23,18,66,90
2023-02-24,12,42,60
2023-02-25,3,79,38
2023-02-26,0,82,15
2023-02-27,34,64,48
2023-02-28,26,79,108
2023-03-01,23,126,93
2023-03-02,10,66,114
2023-03-03,5,93,118
2023-03-04,1,80,101
2023-03-05,0,84,50
2023-03-06,13,75,79
2023-03-07,12,60,91
2023-03-08,5,98,92
2023-03-09,13,97,73
2023-03-10,25,104,79
2023-03-11,1,75,40
2023-03-12,0,78,7
2023-03-13,16,76,51
2023-03-14,11,87,86
2023-03-15,24,87,69
2023-03-16,17,86,73
2023-03-17,12,88,61
2023-03-18,4,47,41
2023-03-19,0,59,18
2023-03-20,8,70,57
2023-03-21,20,92,85
2023-03-22,21,91,68
2023-03-23,5,79,73
2023-03-24,20,75,47
2023-03-25,2,63,28
2023-03-26,0,61,9
2023-03-27,12,84,41
2023-03-28,16,81,59
2023-03-29,24,99,100
2023-03-30,12,105,71
2023-03-31,18,50,52
2023-04-01,0,33,33
2023-04-02,0,34,7
2023-04-03,7,105,42
2023-04-04,21,115,80
2023-04-05,16,91,55
2023-04-06,16,112,69
2023-04-07,20,70,37
2023-04-08,3,48,17
2023-04-09,0,85,10
2023-04-10,17,64,18
2023-04-11,30,101,48
2023-04-12,16,108,66
2023-04-13,16,99,76
2023-04-14,19,104,41
2023-04-15,0,47,19
2023-04-16,0,111,9
2023-04-17,11,90,26
2023-04-18,22,60,43
2023-04-19,12,83,57
2023-04-20,18,104,47
2023-04-21,24,94,46
2023-04-22,1,101,16
2023-04-23,0,70,5
2023-04-24,14,90,37
2023-04-25,9,93,47
2023-04-26,8,101,38
2023-04-27,8,109,49
2023-04-28,18,92,48
2023-04-29,0,95,18
2023-04-30,2,56,4
2023-05-01,7,64,38
2023-05-02,17,150,103
2023-05-03,20,68,68
2023-05-04,23,67,75
2023-05-05,23,120,57
2023-05-06,0,118,35
2023-05-07,0,64,6
2023-05-08,11,83,63
2023-05-09,16,70,59
2023-05-10,26,67,30
2023-05-11,28,72,49
2023-05-12,39,74,46
2023-05-13,1,63,18
2023-05-14,0,57,10
2023-05-15,9,79,39
2023-05-16,21,72,56
2023-05-17,29,54,37
2023-05-18,22,102,40
2023-05-19,45,39,38
2023-05-20,8,62,12
2023-05-21,0,44,0
2023-05-22,26,64,31
2023-05-23,57,75,52
2023-05-24,63,75,38
2023-05-25,29,105,49
2023-05-26,19,119,44
2023-05-27,3,46,12
2023-05-28,0,51,8
2023-05-29,0,66,16
2023-05-30,21,72,30
2023-05-31,27,80,43
2023-06-01,28,100,49
