,rails/rails,sinatra/sinatra,django/django
2007-10-08,19,2,0.0
2007-10-09,5,0,0.0
2007-10-10,8,0,1.0
2007-10-11,4,0,0.0
2007-10-12,1,0,0.0
2007-10-13,10,0,7.0
2007-10-14,8,0,3.0
2007-10-15,27,1,0.0
2007-10-16,15,0,0.0
2007-10-17,3,0,0.0
2007-10-18,5,0,0.0
2007-10-19,7,0,8.0
2007-10-20,2,0,38.0
2007-10-21,1,0,18.0
2007-10-22,4,0,3.0
2007-10-23,11,3,3.0
2007-10-24,2,0,0.0
2007-10-25,8,0,0.0
2007-10-26,20,10,2.0
2007-10-27,4,2,7.0
2007-10-28,1,0,4.0
2007-10-29,7,0,2.0
2007-10-30,0,0,4.0
2007-10-31,3,0,3.0
2007-11-01,4,0,0.0
2007-11-02,0,0,0.0
2007-11-03,0,0,1.0
2007-11-04,1,0,11.0
2007-11-05,3,0,2.0
2007-11-06,25,0,0.0
2007-11-07,5,0,1.0
2007-11-08,4,0,0.0
2007-11-09,7,0,2.0
2007-11-10,1,0,0.0
2007-11-11,3,0,8.0
2007-11-12,2,0,1.0
2007-11-13,1,0,1.0
2007-11-14,10,0,4.0
2007-11-15,1,0,3.0
2007-11-16,6,0,0.0
2007-11-17,6,0,7.0
2007-11-18,2,0,4.0
2007-11-19,2,0,8.0
2007-11-20,4,0,4.0
2007-11-21,10,15,1.0
2007-11-22,5,3,0.0
2007-11-23,0,2,1.0
2007-11-24,3,6,0.0
2007-11-25,9,9,6.0
2007-11-26,10,6,2.0
2007-11-27,2,2,0.0
2007-11-28,6,12,9.0
2007-11-29,7,11,24.0
2007-11-30,3,5,15.0
2007-12-01,5,0,30.0
2007-12-02,7,3,29.0
2007-12-03,4,1,3.0
2007-12-04,3,0,23.0
2007-12-05,47,0,2.0
2007-12-06,6,0,0.0
2007-12-07,4,0,0.0
2007-12-08,4,0,0.0
2007-12-09,8,0,3.0
2007-12-10,29,0,0.0
2007-12-11,2,0,10.0
2007-12-12,1,0,0.0
2007-12-13,4,0,2.0
2007-12-14,9,0,0.0
2007-12-15,20,0,0.0
2007-12-16,9,0,0.0
2007-12-17,6,0,21.0
2007-12-18,3,0,0.0
2007-12-19,8,0,13.0
2007-12-20,3,0,1.0
2007-12-21,18,0,2.0
2007-12-22,10,0,8.0
2007-12-23,1,0,1.0
2007-12-24,0,0,0.0
2007-12-25,0,0,0.0
2007-12-26,0,0,0.0
2007-12-27,9,0,0.0
2007-12-28,10,0,0.0
2007-12-29,4,0,0.0
2007-12-30,3,0,0.0
2007-12-31,6,0,0.0
2008-01-01,0,0,0.0
2008-01-02,13,0,7.0
2008-01-03,13,0,1.0
2008-01-04,7,0,2.0
2008-01-05,18,0,1.0
2008-01-06,7,0,6.0
2008-01-07,10,0,0.0
2008-01-08,7,0,0.0
2008-01-09,6,0,7.0
2008-01-10,4,0,0.0
2008-01-11,14,0,0.0
2008-01-12,6,1,0.0
2008-01-13,12,0,7.0
2008-01-14,7,0,0.0
2008-01-15,0,2,0.0
2008-01-16,5,1,0.0
2008-01-17,2,2,1.0
2008-01-18,7,0,2.0
2008-01-19,14,0,0.0
2008-01-20,2,0,0.0
2008-01-21,6,0,0.0
2008-01-22,8,0,0.0
2008-01-23,12,0,0.0
2008-01-24,0,0,0.0
2008-01-25,7,0,0.0
2008-01-26,7,0,0.0
2008-01-27,6,0,0.0
2008-01-28,2,0,10.0
2008-01-29,2,0,0.0
2008-01-30,4,0,0.0
2008-01-31,1,0,4.0
2008-02-01,6,0,1.0
2008-02-02,14,0,0.0
2008-02-03,7,0,25.0
2008-02-04,2,0,6.0
2008-02-05,2,0,2.0
2008-02-06,4,0,1.0
2008-02-07,10,0,0.0
2008-02-08,3,0,2.0
2008-02-09,3,0,0.0
2008-02-10,10,0,0.0
2008-02-11,3,0,0.0
2008-02-12,6,0,2.0
2008-02-13,2,0,2.0
2008-02-14,5,0,4.0
2008-02-15,5,0,5.0
2008-02-16,8,0,1.0
2008-02-17,11,0,0.0
2008-02-18,7,1,3.0
2008-02-19,6,0,5.0
2008-02-20,9,1,0.0
2008-02-21,2,4,2.0
2008-02-22,1,1,1.0
2008-02-23,0,0,2.0
2008-02-24,6,6,0.0
2008-02-25,2,5,2.0
2008-02-26,0,0,5.0
2008-02-27,6,0,1.0
2008-02-28,3,2,1.0
2008-02-29,3,0,7.0
2008-03-01,1,0,0.0
2008-03-02,3,0,1.0
2008-03-03,9,0,0.0
2008-03-04,0,0,1.0
2008-03-05,6,1,0.0
2008-03-06,1,0,2.0
2008-03-07,4,0,2.0
2008-03-08,3,1,8.0
2008-03-09,1,0,3.0
2008-03-10,3,0,2.0
2008-03-11,6,0,3.0
2008-03-12,6,3,2.0
2008-03-13,13,0,3.0
2008-03-14,4,0,2.0
2008-03-15,9,3,0.0
2008-03-16,7,1,2.0
2008-03-17,18,0,15.0
2008-03-18,4,0,28.0
2008-03-19,1,0,7.0
2008-03-20,3,0,11.0
2008-03-21,6,0,4.0
2008-03-22,6,0,0.0
2008-03-23,3,0,2.0
2008-03-24,6,0,5.0
2008-03-25,2,4,3.0
2008-03-26,7,2,1.0
2008-03-27,5,5,7.0
2008-03-28,22,1,0.0
2008-03-29,12,0,7.0
2008-03-30,14,1,4.0
2008-03-31,18,0,0.0
2008-04-01,32,5,0.0
2008-04-02,8,1,0.0
2008-04-03,4,0,0.0
2008-04-04,5,0,1.0
2008-04-05,4,0,3.0
2008-04-06,6,0,0.0
2008-04-07,2,9,0.0
2008-04-08,6,6,2.0
2008-04-09,2,6,0.0
2008-04-10,2,1,3.0
2008-04-11,16,5,0.0
2008-04-12,17,0,0.0
2008-04-13,9,4,4.0
2008-04-14,8,3,1.0
2008-04-15,4,5,3.0
2008-04-16,1,6,0.0
2008-04-17,2,0,0.0
2008-04-18,12,0,1.0
2008-04-19,6,6,0.0
2008-04-20,10,0,0.0
2008-04-21,20,1,0.0
2008-04-22,5,0,0.0
2008-04-23,6,0,0.0
2008-04-24,2,0,0.0
2008-04-25,1,0,1.0
2008-04-26,2,0,3.0
2008-04-27,4,1,4.0
2008-04-28,12,9,15.0
2008-04-29,11,0,2.0
2008-04-30,10,0,1.0
