,tensorflow/tensorflow,pytorch/pytorch,chainer/chainer
2016-10-25,69,7,23
2016-10-26,62,10,4
2016-10-27,67,8,25
2016-10-28,61,4,3
2016-10-29,16,5,1
2016-10-30,6,1,8
2016-10-31,70,6,14
2016-11-01,58,13,1
2016-11-02,58,12,0
2016-11-03,70,10,9
2016-11-04,67,0,15
2016-11-05,5,4,5
2016-11-06,5,1,9
2016-11-07,18,13,46
2016-11-08,9,79,2
2016-11-09,107,5,27
2016-11-10,42,9,27
2016-11-11,47,29,6
2016-11-12,31,0,1
2016-11-13,3,4,21
2016-11-14,46,3,27
2016-11-15,64,25,10
2016-11-16,151,13,20
2016-11-17,68,6,16
2016-11-18,54,8,7
2016-11-19,22,4,5
2016-11-20,17,0,2
2016-11-21,44,10,15
2016-11-22,70,9,12
2016-11-23,69,7,3
2016-11-24,30,9,16
2016-11-25,13,1,15
2016-11-26,8,9,1
2016-11-27,4,0,11
2016-11-28,47,8,15
2016-11-29,59,39,10
2016-11-30,57,3,4
2016-12-01,73,26,26
2016-12-02,70,5,15
2016-12-03,26,1,11
2016-12-04,3,0,12
2016-12-05,56,20,42
2016-12-06,44,8,17
2016-12-07,110,2,8
2016-12-08,84,3,12
2016-12-09,59,4,14
2016-12-10,31,0,5
2016-12-11,7,4,4
2016-12-12,36,5,30
2016-12-13,50,17,13
2016-12-14,46,24,6
2016-12-15,59,39,16
2016-12-16,69,17,45
2016-12-17,28,7,2
2016-12-18,5,2,11
2016-12-19,35,17,5
2016-12-20,37,30,8
2016-12-21,64,19,0
2016-12-22,57,26,14
2016-12-23,17,7,6
2016-12-24,6,4,2
2016-12-25,4,4,0
2016-12-26,3,4,5
2016-12-27,26,24,29
2016-12-28,25,17,5
2016-12-29,28,36,1
2016-12-30,14,23,1
2016-12-31,5,34,1
2017-01-01,5,10,0
2017-01-02,0,8,0
2017-01-03,28,27,2
2017-01-04,52,72,3
2017-01-05,33,35,15
2017-01-06,49,6,24
2017-01-07,12,1,4
2017-01-08,10,0,7
2017-01-09,27,9,2
2017-01-10,53,9,17
2017-01-11,47,8,10
2017-01-12,51,8,17
2017-01-13,57,22,10
2017-01-14,10,4,3
2017-01-15,9,2,11
2017-01-16,9,16,29
2017-01-17,51,22,8
2017-01-18,43,29,11
2017-01-19,68,16,29
2017-01-20,63,17,9
2017-01-21,10,4,9
2017-01-22,7,9,2
2017-01-23,20,11,31
2017-01-24,54,25,25
2017-01-25,50,20,27
2017-01-26,37,13,14
2017-01-27,51,20,12
2017-01-28,15,17,2
2017-01-29,8,11,7
2017-01-30,32,8,31
2017-01-31,46,54,41
2017-02-01,71,23,10
2017-02-02,54,16,15
2017-02-03,71,7,28
2017-02-04,19,4,5
2017-02-05,7,0,3
2017-02-06,66,9,61
2017-02-07,133,19,35
2017-02-08,71,12,8
2017-02-09,55,20,9
2017-02-10,75,15,11
2017-02-11,40,5,6
2017-02-12,9,2,0
2017-02-13,27,9,34
2017-02-14,94,32,9
2017-02-15,61,14,5
2017-02-16,50,35,61
2017-02-17,38,25,7
2017-02-18,11,5,2
2017-02-19,9,0,2
2017-02-20,9,9,38
2017-02-21,29,26,17
2017-02-22,69,18,8
2017-02-23,43,63,37
2017-02-24,38,8,2
2017-02-25,16,8,12
2017-02-26,1,14,14
2017-02-27,46,15,31
2017-02-28,38,34,11
2017-03-01,63,19,13
2017-03-02,48,27,17
2017-03-03,52,25,21
2017-03-04,20,9,0
2017-03-05,18,10,3
2017-03-06,22,14,32
2017-03-07,48,21,6
2017-03-08,46,16,30
