,microsoft/vscode,nteract/nteract,nteract/hydrogen
2020-04-26,9,5,1
2020-04-27,107,2,0
2020-04-28,39,5,0
2020-04-29,72,1,1
2020-04-30,41,1,0
2020-05-01,17,0,1
2020-05-02,5,1,0
2020-05-03,7,0,0
2020-05-04,70,2,0
2020-05-05,69,1,1
2020-05-06,78,2,0
2020-05-07,75,0,0
2020-05-08,46,1,0
2020-05-09,8,0,0
2020-05-10,5,0,0
2020-05-11,68,1,0
2020-05-12,89,6,0
2020-05-13,81,5,0
2020-05-14,72,2,0
2020-05-15,78,4,0
2020-05-16,8,1,0
2020-05-17,10,3,0
2020-05-18,52,0,0
2020-05-19,44,8,0
2020-05-20,81,1,0
2020-05-21,12,0,0
2020-05-22,15,7,0
2020-05-23,12,7,0
2020-05-24,3,0,1
2020-05-25,43,4,0
2020-05-26,68,5,0
2020-05-27,80,0,0
2020-05-28,29,0,0
2020-05-29,54,3,0
2020-05-30,3,1,0
2020-05-31,13,5,0
2020-06-01,73,0,0
2020-06-02,32,0,0
2020-06-03,94,7,0
2020-06-04,53,0,0
2020-06-05,44,4,0
2020-06-06,5,2,0
2020-06-07,8,3,0
2020-06-08,75,0,0
2020-06-09,69,4,0
2020-06-10,58,2,0
2020-06-11,81,0,0
2020-06-12,81,0,1
2020-06-13,10,0,0
2020-06-14,6,0,0
2020-06-15,71,0,0
2020-06-16,78,7,3
2020-06-17,73,0,0
2020-06-18,58,0,0
2020-06-19,37,8,0
2020-06-20,11,7,3
2020-06-21,16,4,0
2020-06-22,73,5,5
2020-06-23,81,4,2
2020-06-24,71,12,1
2020-06-25,68,8,0
2020-06-26,61,13,0
2020-06-27,0,2,1
2020-06-28,12,4,0
2020-06-29,71,7,0
2020-06-30,37,3,0
2020-07-01,74,1,0
2020-07-02,38,4,2
2020-07-03,17,0,0
2020-07-04,6,0,0
2020-07-05,1,3,0
2020-07-06,42,2,0
2020-07-07,50,0,0
2020-07-08,49,1,2
2020-07-09,45,1,0
2020-07-10,40,0,0
2020-07-11,9,0,0
2020-07-12,7,1,0
2020-07-13,59,1,1
2020-07-14,43,5,0
2020-07-15,31,12,0
2020-07-16,57,4,0
2020-07-17,50,21,0
2020-07-18,10,0,0
2020-07-19,0,0,0
2020-07-20,46,2,1
2020-07-21,60,1,0
2020-07-22,79,2,0
2020-07-23,49,1,1
2020-07-24,31,1,0
2020-07-25,5,3,0
2020-07-26,5,2,0
2020-07-27,33,7,0
2020-07-28,37,4,0
2020-07-29,40,1,0
2020-07-30,37,1,0
2020-07-31,33,1,0
2020-08-01,3,0,0
2020-08-02,1,2,0
2020-08-03,54,4,0
2020-08-04,20,5,0
2020-08-05,71,9,0
2020-08-06,37,2,1
2020-08-07,17,5,0
2020-08-08,8,6,0
2020-08-09,8,3,0
2020-08-10,52,6,0
2020-08-11,58,4,0
2020-08-12,69,0,0
2020-08-13,55,1,1
2020-08-14,19,1,1
2020-08-15,4,1,0
2020-08-16,5,2,0
2020-08-17,30,0,0
2020-08-18,42,6,0
2020-08-19,46,1,0
2020-08-20,39,9,0
2020-08-21,53,6,0
2020-08-22,2,0,0
2020-08-23,1,0,0
2020-08-24,42,7,0
2020-08-25,43,6,0
2020-08-26,59,1,0
2020-08-27,55,2,0
2020-08-28,56,6,0
2020-08-29,7,0,0
2020-08-30,16,0,0
2020-08-31,77,3,0
2020-09-01,43,6,0
2020-09-02,60,0,0
2020-09-03,41,0,0
2020-09-04,37,8,0
2020-09-05,12,1,0
2020-09-06,5,0,0
2020-09-07,49,4,0
2020-09-08,80,2,0
2020-09-09,87,0,0
2020-09-10,63,0,0
2020-09-11,40,0,0
2020-09-12,3,0,0
2020-09-13,1,0,0
2020-09-14,39,0,0
2020-09-15,40,3,0
2020-09-16,88,2,0
2020-09-17,55,0,0
2020-09-18,55,2,0
2020-09-19,10,0,0
2020-09-20,1,0,0
2020-09-21,38,0,0
2020-09-22,47,0,0
2020-09-23,42,12,0
2020-09-24,37,7,0
2020-09-25,42,3,0
2020-09-26,1,4,0
2020-09-27,12,2,0
2020-09-28,65,4,1
2020-09-29,21,7,0
2020-09-30,57,0,0
2020-10-01,47,0,1
2020-10-02,14,0,1
2020-10-03,19,0,0
2020-10-04,2,1,0
2020-10-05,50,1,0
2020-10-06,37,0,0
2020-10-07,34,2,0
2020-10-08,26,1,0
2020-10-09,40,1,0
2020-10-10,6,0,0
2020-10-11,5,0,0
2020-10-12,28,3,0
2020-10-13,33,0,0
2020-10-14,43,0,0
2020-10-15,27,0,1
2020-10-16,29,0,0
2020-10-17,8,0,0
2020-10-18,1,0,0
2020-10-19,33,0,0
2020-10-20,55,0,0
2020-10-21,41,2,0
2020-10-22,58,2,0
2020-10-23,61,1,0
2020-10-24,6,0,0
2020-10-25,15,0,0
2020-10-26,80,9,0
2020-10-27,49,4,0
2020-10-28,78,0,0
2020-10-29,33,1,0
2020-10-30,28,1,0
2020-10-31,1,0,0
2020-11-01,0,0,0
2020-11-02,61,1,0
2020-11-03,59,0,0
2020-11-04,85,0,0
2020-11-05,73,2,0
2020-11-06,49,6,0
2020-11-07,4,5,0
2020-11-08,3,1,0
2020-11-09,86,1,0
2020-11-10,93,0,0
2020-11-11,79,0,0
2020-11-12,58,3,0
2020-11-13,63,0,0
2020-11-14,0,0,0
2020-11-15,7,3,0
2020-11-16,50,1,0
2020-11-17,52,2,0
2020-11-18,72,1,0
2020-11-19,45,5,0
2020-11-20,60,2,0
2020-11-21,4,0,0
2020-11-22,7,0,0
2020-11-23,44,2,0
2020-11-24,76,2,0
2020-11-25,79,2,0
2020-11-26,62,0,0
2020-11-27,51,0,0
2020-11-28,6,2,0
2020-11-29,0,0,0
2020-11-30,43,11,0
2020-12-01,45,4,0
2020-12-02,68,0,0
2020-12-03,36,2,0
2020-12-04,31,5,0
2020-12-05,5,3,0
2020-12-06,3,1,0
2020-12-07,22,1,0
2020-12-08,38,4,0
2020-12-09,44,7,0
2020-12-10,49,0,0
2020-12-11,96,0,0
2020-12-12,2,0,0
