,jesseduffield/lazygit,jonas/tig,dandavison/delta
2023-10-05,0,0,0.0
2023-10-06,0,0,0.0
2023-10-07,0,0,0.0
2023-10-08,9,0,0.0
2023-10-09,1,0,0.0
2023-10-10,7,0,0.0
2023-10-11,0,0,0.0
2023-10-12,0,0,0.0
2023-10-13,0,0,0.0
2023-10-14,1,0,0.0
2023-10-15,2,0,0.0
2023-10-16,9,0,0.0
2023-10-17,0,0,0.0
2023-10-18,4,0,0.0
2023-10-19,0,0,0.0
2023-10-20,0,0,0.0
2023-10-21,0,4,0.0
2023-10-22,0,0,0.0
2023-10-23,0,0,0.0
2023-10-24,3,1,0.0
2023-10-25,0,0,0.0
2023-10-26,2,0,0.0
2023-10-27,2,0,0.0
2023-10-28,0,2,0.0
2023-10-29,0,3,0.0
2023-10-30,1,0,0.0
2023-10-31,0,0,0.0
2023-11-01,0,0,0.0
2023-11-02,0,2,0.0
2023-11-03,0,0,0.0
2023-11-04,3,0,0.0
2023-11-05,0,0,0.0
2023-11-06,0,0,0.0
2023-11-07,0,0,0.0
2023-11-08,0,0,0.0
2023-11-09,0,0,0.0
2023-11-10,1,0,0.0
2023-11-11,0,0,0.0
2023-11-12,0,0,0.0
2023-11-13,0,0,0.0
2023-11-14,0,0,0.0
2023-11-15,0,0,0.0
2023-11-16,0,0,0.0
2023-11-17,0,0,0.0
2023-11-18,2,0,2.0
2023-11-19,2,0,0.6000000000000001
2023-11-20,0,0,-0.3600000000000001
2023-11-21,0,0,2.824
2023-11-22,2,0,-0.7152
2023-11-23,0,0,-0.32467200000000024
2023-11-24,0,0,-0.21039360000000012
2023-11-25,0,0,-0.15508224000000007
2023-11-26,0,0,-0.12231014399999993
2023-11-27,0,0,-0.1006128127999999
2023-11-28,0,0,-0.0632495104
2023-11-29,1,0,-0.04316313599999982
2023-11-30,4,0,-0.03740805119999989
2023-12-01,3,0,0.0
2023-12-02,5,0,0.0
2023-12-03,0,0,0.0
2023-12-04,0,0,0.0
2023-12-05,0,0,0.0
2023-12-06,3,0,0.0
2023-12-07,7,0,1.0
2023-12-08,0,0,-0.19999999999999996
2023-12-09,11,0,-0.08000000000000007
2023-12-10,5,0,-0.048000000000000036
2023-12-11,0,0,-0.03360000000000001
2023-12-12,0,0,-0.025536000000000014
2023-12-13,0,0,0.9795712
2023-12-14,0,0,-0.21692671999999996
2023-12-15,3,0,-0.09438771200000001
2023-12-16,0,0,-0.060469350399999997
2023-12-17,0,0,-0.03360000000000001
2023-12-18,0,0,-0.025536000000000014
2023-12-19,0,0,-0.02042880000000001
2023-12-20,0,0,-0.01692672000000001
2023-12-21,0,0,-0.01438771199999994
2023-12-22,4,0,-0.012469350399999964
2023-12-23,0,0,0.0
2023-12-24,0,0,0.0
2023-12-25,0,0,0.0
2023-12-26,0,0,0.0
2023-12-27,7,0,0.0
2023-12-28,0,0,0.0
2023-12-29,0,0,0.0
2023-12-30,0,0,0.0
2023-12-31,0,0,0.0
2024-01-01,0,0,0.0
2024-01-02,3,0,0.0
2024-01-03,0,0,0.0
2024-01-04,0,0,0.0
2024-01-05,0,0,0.0
2024-01-06,0,0,0.0
2024-01-07,0,0,0.0
2024-01-08,0,0,0.0
2024-01-09,18,0,0.0
2024-01-10,15,0,0.0
2024-01-11,0,0,0.0
2024-01-12,3,0,0.0
2024-01-13,5,0,0.0
2024-01-14,7,0,0.0
2024-01-15,6,0,0.0
2024-01-16,3,0,0.0
2024-01-17,0,0,0.0
2024-01-18,13,1,0.0
2024-01-19,3,0,1.0
2024-01-20,0,3,0.8
2024-01-21,0,0,-0.28
2024-01-22,5,0,-0.1280000000000001
2024-01-23,6,0,-0.08160000000000005
2024-01-24,5,0,-0.05913600000000002
2024-01-25,4,3,-0.04596480000000003
2024-01-26,10,0,-0.03735552000000002
2024-01-27,8,0,-0.03131443199999995
2024-01-28,7,0,-0.026857062399999902
2024-01-29,5,0,-0.012469350399999964
2024-01-30,3,0,0.0
2024-01-31,0,0,0.0
2024-02-01,0,0,0.0
2024-02-02,0,0,0.0
2024-02-03,0,0,0.0
2024-02-04,0,0,0.0
2024-02-05,0,1,0.0
2024-02-06,0,0,0.0
2024-02-07,0,0,0.0
2024-02-08,0,0,0.0
2024-02-09,0,1,0.0
2024-02-10,3,0,0.0
2024-02-11,0,0,0.0
2024-02-12,1,0,0.0
2024-02-13,6,0,0.0
2024-02-14,0,0,0.0
2024-02-15,0,1,0.0
2024-02-16,16,0,0.0
2024-02-17,0,0,0.0
2024-02-18,9,0,0.0
2024-02-19,0,0,1.0
2024-02-20,0,0,-0.19999999999999996
2024-02-21,5,0,-0.08000000000000007
2024-02-22,0,0,-0.048000000000000036
2024-02-23,0,0,-0.03360000000000001
2024-02-24,0,0,-0.025536000000000014
2024-02-25,0,0,-0.02042880000000001
2024-02-26,0,0,-0.01692672000000001
2024-02-27,0,0,-0.01438771199999994
2024-02-28,0,0,-0.012469350399999964
2024-02-29,0,0,0.0
2024-03-01,1,0,0.0
2024-03-02,16,0,8.0
2024-03-03,2,0,-1.5999999999999996
2024-03-04,0,0,2.3599999999999994
2024-03-05,0,0,-0.9840000000000002
2024-03-06,1,0,-0.5088000000000004
2024-03-07,7,0,-0.3482880000000002
2024-03-08,0,0,-0.2642304000000001
2024-03-09,16,0,-0.21202176000000011
2024-03-10,0,0,-0.17638809599999955
2024-03-11,8,0,-0.15053496319999976
2024-03-12,4,0,2.956836864
2024-03-13,0,0,-0.6374080511999998
2024-03-14,0,0,-0.2400000000000002
2024-03-15,0,0,-0.1440000000000001
2024-03-16,6,0,5.8991999999999996
2024-03-17,16,0,0.7233920000000003
2024-03-18,2,0,-0.9412864000000004
2024-03-19,6,0,-0.49878016000000036
2024-03-20,0,0,-0.34076313599999997
2024-03-21,1,1,-0.2578240512
2024-03-22,18,0,0.8263551999999998
2024-03-23,8,2,-0.34241792000000004
2024-03-24,0,0,-0.20017971199999973
2024-03-25,0,0,-0.1515915263999997
2024-03-26,7,1,-0.05853870079999994
2024-03-27,0,1,-0.025536000000000014
2024-03-28,13,1,-0.02042880000000001
2024-03-29,9,1,-0.01692672000000001
2024-03-30,1,0,-0.01438771199999994
2024-03-31,0,0,-0.012469350399999964
2024-04-01,1,0,0.0
2024-04-02,0,0,0.0
2024-04-03,0,0,0.0
2024-04-04,0,0,0.0
2024-04-05,0,0,0.0
2024-04-06,2,0,0.0
2024-04-07,4,0,0.0
2024-04-08,0,2,0.0
2024-04-09,4,0,0.0
2024-04-10,4,1,0.0
2024-04-11,0,0,0.0
2024-04-12,16,0,0.0
2024-04-13,1,0,0.0
2024-04-14,0,0,0.0
2024-04-15,4,0,0.0
2024-04-16,1,0,0.0
2024-04-17,0,0,0.0
2024-04-18,10,0,0.0
2024-04-19,0,0,0.0
2024-04-20,2,0,0.0
2024-04-21,0,0,0.0
2024-04-22,6,0,0.0
2024-04-23,1,0,0.0
2024-04-24,2,0,0.0
2024-04-25,4,0,0.0
2024-04-26,0,1,0.0
2024-04-27,2,0,0.0
2024-04-28,3,0,0.0
2024-04-29,0,0,0.0
2024-04-30,2,1,0.0
2024-05-01,2,0,0.0
2024-05-02,0,1,0.0
2024-05-03,0,0,0.0
2024-05-04,0,0,3.0
2024-05-05,1,0,-0.5999999999999999
2024-05-06,0,0,0.7599999999999998
2024-05-07,0,0,-0.3440000000000001
2024-05-08,0,0,-0.1808000000000001
2024-05-09,0,0,-0.12460800000000008
2024-05-10,0,1,0.9051136
2024-05-11,0,0,-0.27631616000000003
2024-05-12,0,0,-0.1435919359999999
2024-05-13,0,0,-0.10233477119999992
2024-05-14,0,0,-0.04798771199999995
2024-05-15,9,0,-0.03800535039999998
2024-05-16,0,0,-0.02042880000000001
2024-05-17,0,0,-0.01692672000000001
2024-05-18,2,0,-0.01438771199999994
2024-05-19,26,0,-0.012469350399999964
2024-05-20,7,0,0.0
2024-05-21,0,0,0.0
2024-05-22,1,0,0.0
2024-05-23,0,0,0.0
2024-05-24,5,0,0.0
2024-05-25,0,0,0.0
2024-05-26,3,0,0.0
2024-05-27,1,0,0.0
2024-05-28,0,1,0.0
2024-05-29,5,0,0.0
2024-05-30,0,2,0.0
2024-05-31,3,0,0.0
2024-06-01,18,0,0.0
2024-06-02,2,0,0.0
2024-06-03,17,0,0.0
2024-06-04,3,0,0.0
2024-06-05,4,0,0.0
2024-06-06,0,0,0.0
2024-06-07,5,0,0.0
2024-06-08,0,0,0.0
2024-06-09,0,0,0.0
2024-06-10,4,0,0.0
2024-06-11,0,0,0.0
2024-06-12,3,1,0.0
2024-06-13,0,0,0.0
2024-06-14,2,0,0.0
2024-06-15,2,0,0.0
2024-06-16,0,0,0.0
2024-06-17,0,0,0.0
2024-06-18,0,0,0.0
2024-06-19,0,0,0.0
2024-06-20,0,1,0.0
2024-06-21,0,0,0.0
2024-06-22,0,0,0.0
2024-06-23,52,0,0.0
2024-06-24,0,0,1.0
2024-06-25,0,0,-0.19999999999999996
2024-06-26,2,0,-0.08000000000000007
2024-06-27,6,0,-0.048000000000000036
2024-06-28,8,0,-0.03360000000000001
2024-06-29,7,0,-0.025536000000000014
2024-06-30,5,0,-0.02042880000000001
2024-07-01,10,0,-0.01692672000000001
2024-07-02,0,0,-0.01438771199999994
2024-07-03,0,0,-0.012469350399999964
2024-07-04,2,0,0.0
2024-07-05,0,0,0.0
2024-07-06,21,0,1.0
2024-07-07,1,0,0.8
2024-07-08,0,0,4.72
2024-07-09,0,0,-1.128
2024-07-10,3,0,-0.4816000000000004
2024-07-11,0,0,-0.2991360000000002
2024-07-12,0,0,0.7860351999999999
2024-07-13,21,0,-0.36503552000000006
2024-07-14,0,0,-0.2134584320000001
2024-07-15,0,0,-0.15949066239999998
2024-07-16,0,0,0.8819920896000003
2024-07-17,0,0,5.712117248
2024-07-18,0,0,-1.3004287999999997
2024-07-19,0,0,-0.5449267200000005
2024-07-20,0,0,-0.33598771200000016
2024-07-21,0,0,-0.23960535040000003
2024-07-22,0,0,2.8263552
